be-inherently	undeclined																	
climb	infinitive			infinitive			चढ़ना	caṛhnā		चढ़ने	caṛhne		चढ़नी	caṛhnī		चढ़नीं	caṛhnī̃	
climb	habitual			habitual			चढ़ता	caṛhtā		चढ़ते	caṛhte		चढ़ती	caṛhtī		चढ़तीं	caṛhtī̃	
climb	perfective			perfective			चढ़ा	caṛhā		चढ़े	caṛhe		चढ़ी	caṛhī		चढ़ीं	caṛhī̃	
climb	prospectiveagentive			prospectiveagentive			चढ़नेवाला	caṛhnevālā		चढ़नेवाले	caṛhnevāle		चढ़नेवाली	caṛhnevālī		चढ़नेवालीं	caṛhnevālī̃	
climb	adjectival			perfective			चढ़ा हुआ	caṛhā huā		चढ़े हुए	caṛhe hue		चढ़ी हुई	caṛhī huī		चढ़ी हुईं	caṛhī huī̃	
climb	adjectival			habitual			चढ़ता हुआ	caṛhtā huā		चढ़ते हुए	caṛhte hue		चढ़ती हुई	caṛhtī huī		चढ़ती हुईं	caṛhtī huī̃	
eat	undeclined																	
eat	stem			stem			खा	khā										
eat	infinitive			infinitive			खाना	khānā										
eat	oblique infinitive			oblique infinitive			खाने	khāne										
eat	conjunctive			conjunctive			खाकर, खाके, 	khākar	khāke									
eat	progressive			progressive			खाते-खाते	khāte-khāte										
eat	participles																	
eat							dir m s			m pobl m s			f s			f p		
eat	infinitive			infinitive			खाना	khānā		खाने	khāne		खानी	khānī		खानीं	khānī̃	
eat	habitual			habitual			खाता	khātā		खाते	khāte		खाती	khātī		खातीं	khātī̃	
eat	perfective			perfective			खाया	khāyā		खाये11	khāye		खायी11	khāyī		खायीं11	khāyī̃	
eat	prospectiveagentive			prospectiveagentive			खानेवाला	khānevālā		खानेवाले	khānevāle		खानेवाली	khānevālī		खानेवालीं	khānevālī̃	
eat	adjectival			perfective			खाया हुआ	khāyā huā		खाये हुए11	khāye hue		खायी हुई11	khāyī huī		खायी हुईं11	khāyī huī̃	
eat	adjectival			habitual			खाता हुआ	khātā huā		खाते हुए	khāte hue		खाती हुई	khātī huī		खाती हुईं	khātī huī̃	
fall	undeclined																	
fall	stem			stem			गिर	gir										
fall	infinitive			infinitive			गिरना	girnā										
fall	oblique infinitive			oblique infinitive			गिरने	girne										
fall	conjunctive			conjunctive			गिरकर, गिरके, 	girkar	girke									
fall	progressive			progressive			गिरते-गिरते	girte-girte										
fall	participles																	
fall							dir m s			m pobl m s			f s			f p		
fall	infinitive			infinitive			गिरना	girnā		गिरने	girne		गिरनी	girnī		गिरनीं	girnī̃	
fall	habitual			habitual			गिरता	girtā		गिरते	girte		गिरती	girtī		गिरतीं	girtī̃	
fall	perfective			perfective			गिरा	girā		गिरे	gire		गिरी	girī		गिरीं	girī̃	
fall	prospectiveagentive			prospectiveagentive			गिरनेवाला	girnevālā		गिरनेवाले	girnevāle		गिरनेवाली	girnevālī		गिरनेवालीं	girnevālī̃	
fall	adjectival			perfective			गिरा हुआ	girā huā		गिरे हुए	gire hue		गिरी हुई	girī huī		गिरी हुईं	girī huī̃	
fall	adjectival			habitual			गिरता हुआ	girtā huā		गिरते हुए	girte hue		गिरती हुई	girtī huī		गिरती हुईं	girtī huī̃	
fly	undeclined																	
fly	stem			stem			उड़	uṛ										
fly	infinitive			infinitive			उड़ना	uṛnā										
fly	oblique infinitive			oblique infinitive			उड़ने	uṛne										
fly	conjunctive			conjunctive			उड़कर, उड़के, 	uṛkar	uṛke									
fly	progressive			progressive			उड़ते-उड़ते	uṛte-uṛte										
fly	participles																	
fly							dir m s			m pobl m s			f s			f p		
fly	infinitive			infinitive			उड़ना	uṛnā		उड़ने	uṛne		उड़नी	uṛnī		उड़नीं	uṛnī̃	
fly	habitual			habitual			उड़ता	uṛtā		उड़ते	uṛte		उड़ती	uṛtī		उड़तीं	uṛtī̃	
fly	perfective			perfective			उड़ा	uṛā		उड़े	uṛe		उड़ी	uṛī		उड़ीं	uṛī̃	
fly	prospectiveagentive			prospectiveagentive			उड़नेवाला	uṛnevālā		उड़नेवाले	uṛnevāle		उड़नेवाली	uṛnevālī		उड़नेवालीं	uṛnevālī̃	
fly	adjectival			perfective			उड़ा हुआ	uṛā huā		उड़े हुए	uṛe hue		उड़ी हुई	uṛī huī		उड़ी हुईं	uṛī huī̃	
fly	adjectival			habitual			उड़ता हुआ	uṛtā huā		उड़ते हुए	uṛte hue		उड़ती हुई	uṛtī huī		उड़ती हुईं	uṛtī huī̃	
hear	undeclined																	
hear	stem			stem			सुन	sun										
hear	infinitive			infinitive			सुनना	sunnā										
hear	oblique infinitive			oblique infinitive			सुनने	sunne										
hear	conjunctive			conjunctive			सुनकर, सुनके, 	sunkar	sunke									
hear	progressive			progressive			सुनते-सुनते	sunte-sunte										
hear	participles																	
hear							dir m s			m pobl m s			f s			f p		
hear	infinitive			infinitive			सुनना	sunnā		सुनने	sunne		सुननी	sunnī		सुननीं	sunnī̃	
hear	habitual			habitual			सुनता	suntā		सुनते	sunte		सुनती	suntī		सुनतीं	suntī̃	
hear	perfective			perfective			सुना	sunā		सुने	sune		सुनी	sunī		सुनीं	sunī̃	
hear	prospectiveagentive			prospectiveagentive			सुननेवाला	sunnevālā		सुननेवाले	sunnevāle		सुननेवाली	sunnevālī		सुननेवालीं	sunnevālī̃	
hear	adjectival			perfective			सुना हुआ	sunā huā		सुने हुए	sune hue		सुनी हुई	sunī huī		सुनी हुईं	sunī huī̃	
hear	adjectival			habitual			सुनता हुआ	suntā huā		सुनते हुए	sunte hue		सुनती हुई	suntī huī		सुनती हुईं	suntī huī̃	
rest	undeclined																	
rest	stem			stem			आराम कर	ārām kar										
rest	infinitive			infinitive			आराम करना	ārām karnā										
rest	oblique infinitive			oblique infinitive			आराम करने	ārām karne										
rest	conjunctive			conjunctive			आराम करकर, आराम करके, 	ārām karkar	ārām karke									
rest	progressive			progressive			आराम करते-करते	ārām karte-karte										
rest	participles																	
rest							dir m s			m pobl m s			f s			f p		
rest	infinitive			infinitive			आराम करना	ārām karnā		आराम करने	ārām karne		आराम करनी	ārām karnī		आराम करनीं	ārām karnī̃	
rest	habitual			habitual			आराम करता	ārām kartā		आराम करते	ārām karte		आराम करती	ārām kartī		आराम करतीं	ārām kartī̃	
rest	perfective			perfective			आराम किया	ārām kiyā		आराम किये11	ārām kiye		आराम की	ārām kī		आराम कीं	ārām kī̃	
rest	prospectiveagentive			prospectiveagentive			आराम करनेवाला	ārām karnevālā		आराम करनेवाले	ārām karnevāle		आराम करनेवाली	ārām karnevālī		आराम करनेवालीं	ārām karnevālī̃	
rest	adjectival			perfective			आराम किया हुआ	ārām kiyā huā		आराम किये हुए11	ārām kiye hue		आराम की हुई	ārām kī huī		आराम की हुईं	ārām kī huī̃	
rest	adjectival			habitual			आराम करता हुआ	ārām kartā huā		आराम करते हुए	ārām karte hue		आराम करती हुई	ārām kartī huī		आराम करती हुईं	ārām kartī huī̃	
see	undeclined																	
see	stem			stem			देख	dekh										
see	infinitive			infinitive			देखना	dekhnā										
see	oblique infinitive			oblique infinitive			देखने	dekhne										
see	conjunctive			conjunctive			देखकर, देखके, 	dekhkar	dekhke									
see	progressive			progressive			देखते-देखते	dekhte-dekhte										
see	participles																	
see							dir m s			m pobl m s			f s			f p		
see	infinitive			infinitive			देखना	dekhnā		देखने	dekhne		देखनी	dekhnī		देखनीं	dekhnī̃	
see	habitual			habitual			देखता	dekhtā		देखते	dekhte		देखती	dekhtī		देखतीं	dekhtī̃	
see	perfective			perfective			देखा	dekhā		देखे	dekhe		देखी	dekhī		देखीं	dekhī̃	
see	prospectiveagentive			prospectiveagentive			देखनेवाला	dekhnevālā		देखनेवाले	dekhnevāle		देखनेवाली	dekhnevālī		देखनेवालीं	dekhnevālī̃	
see	adjectival			perfective			देखा हुआ	dekhā huā		देखे हुए	dekhe hue		देखी हुई	dekhī huī		देखी हुईं	dekhī huī̃	
see	adjectival			habitual			देखता हुआ	dekhtā huā		देखते हुए	dekhte hue		देखती हुई	dekhtī huī		देखती हुईं	dekhtī huī̃	
show	undeclined																	
show	stem			stem			दिखा	dikhā										
show	infinitive			infinitive			दिखाना	dikhānā										
show	oblique infinitive			oblique infinitive			दिखाने	dikhāne										
show	conjunctive			conjunctive			दिखाकर, दिखाके, 	dikhākar	dikhāke									
show	progressive			progressive			दिखाते-दिखाते	dikhāte-dikhāte										
show	participles																	
show							dir m s			m pobl m s			f s			f p		
show	infinitive			infinitive			दिखाना	dikhānā		दिखाने	dikhāne		दिखानी	dikhānī		दिखानीं	dikhānī̃	
show	habitual			habitual			दिखाता	dikhātā		दिखाते	dikhāte		दिखाती	dikhātī		दिखातीं	dikhātī̃	
show	perfective			perfective			दिखाया	dikhāyā		दिखाये11	dikhāye		दिखायी11	dikhāyī		दिखायीं11	dikhāyī̃	
show	prospectiveagentive			prospectiveagentive			दिखानेवाला	dikhānevālā		दिखानेवाले	dikhānevāle		दिखानेवाली	dikhānevālī		दिखानेवालीं	dikhānevālī̃	
show	adjectival			perfective			दिखाया हुआ	dikhāyā huā		दिखाये हुए11	dikhāye hue		दिखायी हुई11	dikhāyī huī		दिखायी हुईं11	dikhāyī huī̃	
show	adjectival			habitual			दिखाता हुआ	dikhātā huā		दिखाते हुए	dikhāte hue		दिखाती हुई	dikhātī huī		दिखाती हुईं	dikhātī huī̃	
swim	undeclined																	
swim	stem			stem			तैर	tair										
swim	infinitive			infinitive			तैरना	tairnā										
swim	oblique infinitive			oblique infinitive			तैरने	tairne										
swim	conjunctive			conjunctive			तैरकर, तैरके, 	tairkar	tairke									
swim	progressive			progressive			तैरते-तैरते	tairte-tairte										
swim	participles																	
swim							dir m s			m pobl m s			f s			f p		
swim	infinitive			infinitive			तैरना	tairnā		तैरने	tairne		तैरनी	tairnī		तैरनीं	tairnī̃	
swim	habitual			habitual			तैरता	tairtā		तैरते	tairte		तैरती	tairtī		तैरतीं	tairtī̃	
swim	perfective			perfective			तैरा	tairā		तैरे	taire		तैरी	tairī		तैरीं	tairī̃	
swim	prospectiveagentive			prospectiveagentive			तैरनेवाला	tairnevālā		तैरनेवाले	tairnevāle		तैरनेवाली	tairnevālī		तैरनेवालीं	tairnevālī̃	
swim	adjectival			perfective			तैरा हुआ	tairā huā		तैरे हुए	taire hue		तैरी हुई	tairī huī		तैरी हुईं	tairī huī̃	
swim	adjectival			habitual			तैरता हुआ	tairtā huā		तैरते हुए	tairte hue		तैरती हुई	tairtī huī		तैरती हुईं	tairtī huī̃	
walk	undeclined																	
walk	stem			stem			टहल	ṭahal										
walk	infinitive			infinitive			टहलना	ṭahalnā										
walk	oblique infinitive			oblique infinitive			टहलने	ṭahalne										
walk	conjunctive			conjunctive			टहलकर, टहलके, 	ṭahalkar	ṭahalke									
walk	progressive			progressive			टहलते-टहलते	ṭahalte-ṭahalte										
walk	participles																	
walk							dir m s			m pobl m s			f s			f p		
walk	infinitive			infinitive			टहलना	ṭahalnā		टहलने	ṭahalne		टहलनी	ṭahalnī		टहलनीं	ṭahalnī̃	
walk	habitual			habitual			टहलता	ṭahaltā		टहलते	ṭahalte		टहलती	ṭahaltī		टहलतीं	ṭahaltī̃	
walk	perfective			perfective			टहला	ṭahlā		टहले	ṭahle		टहली	ṭahlī		टहलीं	ṭahlī̃	
walk	prospectiveagentive			prospectiveagentive			टहलनेवाला	ṭahalnevālā		टहलनेवाले	ṭahalnevāle		टहलनेवाली	ṭahalnevālī		टहलनेवालीं	ṭahalnevālī̃	
walk	adjectival			perfective			टहला हुआ	ṭahlā huā		टहले हुए	ṭahle hue		टहली हुई	ṭahlī huī		टहली हुईं	ṭahlī huī̃	
walk	adjectival			habitual			टहलता हुआ	ṭahaltā huā		टहलते हुए	ṭahalte hue		टहलती हुई	ṭahaltī huī		टहलती हुईं	ṭahaltī huī̃	
watch	undeclined																	
watch	stem			stem			देख	dekh										
watch	infinitive			infinitive			देखना	dekhnā										
watch	oblique infinitive			oblique infinitive			देखने	dekhne										
watch	conjunctive			conjunctive			देखकर, देखके, 	dekhkar	dekhke									
watch	progressive			progressive			देखते-देखते	dekhte-dekhte										
watch	participles																	
watch							dir m s			m pobl m s			f s			f p		
watch	infinitive			infinitive			देखना	dekhnā		देखने	dekhne		देखनी	dekhnī		देखनीं	dekhnī̃	
watch	habitual			habitual			देखता	dekhtā		देखते	dekhte		देखती	dekhtī		देखतीं	dekhtī̃	
watch	perfective			perfective			देखा	dekhā		देखे	dekhe		देखी	dekhī		देखीं	dekhī̃	
watch	prospectiveagentive			prospectiveagentive			देखनेवाला	dekhnevālā		देखनेवाले	dekhnevāle		देखनेवाली	dekhnevālī		देखनेवालीं	dekhnevālī̃	
watch	adjectival			perfective			देखा हुआ	dekhā huā		देखे हुए	dekhe hue		देखी हुई	dekhī huī		देखी हुईं	dekhī huī̃	
watch	adjectival			habitual			देखता हुआ	dekhtā huā		देखते हुए	dekhte hue		देखती हुई	dekhtī huī		देखती हुईं	dekhtī huī̃	
work	undeclined																	
work	stem			stem			काम कर	kām kar										
work	infinitive			infinitive			काम करना	kām karnā										
work	oblique infinitive			oblique infinitive			काम करने	kām karne										
work	conjunctive			conjunctive			काम करकर, काम करके, 	kām karkar	kām karke									
work	progressive			progressive			काम करते-करते	kām karte-karte										
work	participles																	
work							dir m s			m pobl m s			f s			f p		
work	infinitive			infinitive			काम करना	kām karnā		काम करने	kām karne		काम करनी	kām karnī		काम करनीं	kām karnī̃	
work	habitual			habitual			काम करता	kām kartā		काम करते	kām karte		काम करती	kām kartī		काम करतीं	kām kartī̃	
work	perfective			perfective			काम किया	kām kiyā		काम किये11	kām kiye		काम की	kām kī		काम कीं	kām kī̃	
work	prospectiveagentive			prospectiveagentive			काम करनेवाला	kām karnevālā		काम करनेवाले	kām karnevāle		काम करनेवाली	kām karnevālī		काम करनेवालीं	kām karnevālī̃	
work	adjectival			perfective			काम किया हुआ	kām kiyā huā		काम किये हुए11	kām kiye hue		काम की हुई	kām kī huī		काम की हुईं	kām kī huī̃	
work	adjectival			habitual			काम करता हुआ	kām kartā huā		काम करते हुए	kām karte hue		काम करती हुई	kām kartī huī		काम करती हुईं	kām kartī huī̃	
