singular	nominative  	{{declined}} déwkti ís                
singular	vocative    	{{declined}}!                  
singular	accusative  	ḱe ís  déwkti {{declined}}             
singular	instrumental	ḱe ís déwkti íd {{declined}}        
singular	dative      	ḱe ís déwkti íd {{declined}}              
singular	ablative    	ḱe ís déwkti íd {{declined}}            
singular	genitive    	íd h₁ésti {{declined}}               
singular	locative    	ḱe ís h₁ést {{declined}}                
singular	reflexive   	the {{nominative}} déwkti {{reflexive}} 
        	            
dual    	nominative  	{{declined}} duktés íd                
dual    	vocative    	{{declined}}!                  
dual    	accusative  	ḱe ís  déwkti {{declined}}             
dual    	instrumental	ḱe ís déwkti íd {{declined}}        
dual    	dative      	ḱe ís déwkti íd {{declined}}              
dual    	ablative    	ḱe ís déwkti íd {{declined}}            
dual    	genitive    	íd h₁ésti {{declined}}               
dual    	locative    	ḱe ís h₁ést {{declined}}                
dual    	reflexive   	the {{nominative}} duktés {{reflexive}} 
        	            
plural  	nominative  	{{declined}} dukénti íd               
plural  	vocative    	{{declined}}!                  
plural  	accusative  	ḱe ís  déwkti {{declined}}             
plural  	instrumental	ḱe ís déwkti íd {{declined}}        
plural  	dative      	ḱe ís déwkti íd {{declined}}              
plural  	ablative    	ḱe ís déwkti íd {{declined}}            
plural  	genitive    	íd h₁ésti {{declined}}               
plural  	locative    	ḱe ís h₁ést {{declined}}                
plural  	reflexive   	the {{nominative}} dukénti {{reflexive}}
