town	neuter	dual 	ἄστει	ἀστέοιν	ἀστέοιν	ἄστει	ἄστει	3	double vowel stem							
town	neuter	plural	ἄστη	ἄστεων	ἄστεσι	ἄστη	ἄστη 	3	double vowel stem							
																
master	masculine	singular 	βασιλεύς	βασιλέως	βασιλεῖ	βασιλέα	βασιλεῦ	3	-εύς, -οῦς or -αῦς							
master	masculine	dual 	βασιλεῖ	βασιλέοιν	βασιλέοιν	βασιλεῖ	βασιλεῖ	3	-εύς, -οῦς or -αῦς							
master	masculine	plural 	βασιλεῖς	βασιλέων	βασιλεῦσι	βασιλέας	βασιλεῖς	3	-εύς, -οῦς or -αῦς							
cow	masculine	singular 	βοῦς	βοός	βοΐ	βοῦν	βοῦ	3	-εύς, -οῦς or -αῦς							
cow	masculine	dual 	βόε	βοοῖν	βοοῖν	βόε	βόε	3	-εύς, -οῦς or -αῦς							
cow	masculine	plural 	βόες	βοῶν	βουσί	βοῦς	βόες	3	-εύς, -οῦς or -αῦς							
old woman	feminine	singular 	γραῦς	γραός	γραΐ	γραῦν	γραῦ	3	-εύς, -οῦς or -αῦς							
old woman	feminine	plural	γρᾶες	γραῶν	γραυσί	γραῦς	γρᾶες 	3	-εύς, -οῦς or -αῦς							
																
echo	feminine	singular 	ἠχώ	ἠχοῦς	ἠχοῖ	ἠχώ	ἠχοῖ	3	-ώ							
Clio	feminine	singular	Κλειώ	Κλειοῦς	Κλειοῖ	Κλειώ	Κλειοῖ 	3	-ώ	a Nereid						
																
crow	masculine	singular 	κόραξ	κόρακος	κόρακι	κόρακα	κόραξ	3	κ stem							
crow	masculine	dual 	κόρακε	κοράκοιν	κοράκοιν	κόρακε	κόρακε	3	κ stem							
crow	masculine	plural 	κόρακες	κοράκων	κόραξι	κόρακας	κόρακες	3	κ stem							
vulture	masculine	singular 	γύψ	γυπός	γυπί	γῦπα	γύψ	3	π stem							
vulture	masculine	dual 	γῦπε	γυποῖν	γυποῖν	γῦπε	γῦπε	3	π stem							
vulture	masculine	plural 	γῦπες	γυπῶν	γυψί	γῦπας	γῦπες	3	π stem							
rug	masculine	singular 	τάπης	τάπητος	τάπητι	τάπητα	τάπης	3	τ stem							
rug	masculine	dual 	τάπητε	ταπήτοιν	ταπήτοιν	τάπητε	τάπητε	3	τ stem							
rug	masculine	plural	τάπητες	ταπήτων	τάπησι	τάπητας	τάπητες 	3	τ stem							
																
giant	masculine	singular 	γίγας	γίγαντος	γίγαντι	γίγαντα	γίγαν	3	-ντ							
giant	masculine	dual 	γίγαντε	γιγάντοιν	γιγάντοιν	γίγαντε	γίγαντε	3	-ντ							
giant	masculine	plural 	γίγαντες	γιγάντων	γίγασι	γίγαντας	γίγαντες	3	-ντ							
