appear	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أَعْرِضَ‎	ʔaʕriḍa	تَعْرِضَ‎	taʕriḍa	يَعْرِضَ‎	yaʕriḍa			تَعْرِضَا‎	taʕriḍā	يَعْرِضَا‎	yaʕriḍā			نَعْرِضَ‎	naʕriḍa	تَعْرِضُوا‎	taʕriḍū	يَعْرِضُوا‎	yaʕriḍū		
appear	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أَعْرِضَ‎	ʔaʕriḍa	تَعْرِضِي‎	taʕriḍī	تَعْرِضَ‎	taʕriḍa			تَعْرِضَا‎	taʕriḍā	تَعْرِضَا‎	taʕriḍā			نَعْرِضَ‎	naʕriḍa	تَعْرِضْنَ‎	taʕriḍna	يَعْرِضْنَ‎	yaʕriḍna		
appear	jussiveالْمُضَارِع الْمَجْزُوم		m		أَعْرِضْ‎	ʔaʕriḍ	تَعْرِضْ‎	taʕriḍ	يَعْرِضْ‎	yaʕriḍ			تَعْرِضَا‎	taʕriḍā	يَعْرِضَا‎	yaʕriḍā			نَعْرِضْ‎	naʕriḍ	تَعْرِضُوا‎	taʕriḍū	يَعْرِضُوا‎	yaʕriḍū		
appear	jussiveالْمُضَارِع الْمَجْزُوم		f		أَعْرِضْ‎	ʔaʕriḍ	تَعْرِضِي‎	taʕriḍī	تَعْرِضْ‎	taʕriḍ			تَعْرِضَا‎	taʕriḍā	تَعْرِضَا‎	taʕriḍā			نَعْرِضْ‎	naʕriḍ	تَعْرِضْنَ‎	taʕriḍna	يَعْرِضْنَ‎	yaʕriḍna		
appear	imperativeالْأَمْر		m				اِعْرِضْ‎	iʕriḍ					اِعْرِضَا‎	iʕriḍā							اِعْرِضُوا‎	iʕriḍū				
appear	imperativeالْأَمْر		f				اِعْرِضِي‎	iʕriḍī					اِعْرِضَا‎	iʕriḍā							اِعْرِضْنَ‎	iʕriḍna				
appear	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
appear					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
appear					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
appear	past (perfect) indicativeالْمَاضِي		m		عُرِضْتُ‎	ʕuriḍtu	عُرِضْتَ‎	ʕuriḍta	عُرِضَ	ʕuriḍa			عُرِضْتُمَا‎	ʕuriḍtumā	عُرِضَا‎	ʕuriḍā			عُرِضْنَا‎	ʕuriḍnā	عُرِضْتُمْ‎	ʕuriḍtum	عُرِضُوا‎	ʕuriḍū		
