direct	imperativeالْأَمْر						m												قُدْ‎	qud																	قُودَا‎	qūdā																							قُودُوا‎	qūdū																
direct	imperativeالْأَمْر						f												قُودِي‎	qūdī																	قُودَا‎	qūdā																							قُدْنَ‎	qudna																
direct	passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول						passive voiceالْفِعْل الْمَجْهُول											
direct													singularالْمُفْرَد						singularالْمُفْرَد						singularالْمُفْرَد												dualالْمُثَنَّى						dualالْمُثَنَّى												pluralالْجَمْع						pluralالْجَمْع						pluralالْجَمْع											
direct													1st personالْمُتَكَلِّم						2nd personالْمُخَاطَب						3rd personالْغَائِب												2nd personالْمُخَاطَب						3rd personالْغَائِب												1st personالْمُتَكَلِّم						2nd personالْمُخَاطَب						3rd personالْغَائِب											
direct	past (perfect) indicativeالْمَاضِي						m						قِدْتُ‎	qidtu					قِدْتَ‎	qidta					قِيدَ‎	qīda											قِدْتُمَا‎	qidtumā					قِيدَا‎	qīdā											قِدْنَا‎	qidnā					قِدْتُمْ‎	qidtum					قِيدُوا‎	qīdū										
direct	past (perfect) indicativeالْمَاضِي						f						قِدْتُ‎	qidtu					قِدْتِ‎	qidti					قِيدَتْ‎	qīdat											قِدْتُمَا‎	qidtumā					قِيدَتَا‎	qīdatā											قِدْنَا‎	qidnā					قِدْتُنَّ‎	qidtunna					قِدْنَ‎	qidna										
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع						m						أُقَادُ‎	ʔuqādu					تُقَادُ‎	tuqādu					يُقَادُ‎	yuqādu											تُقَادَانِ‎	tuqādāni					يُقَادَانِ‎	yuqādāni											نُقَادُ‎	nuqādu					تُقَادُونَ‎	tuqādūna					يُقَادُونَ‎	yuqādūna										
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع						f						أُقَادُ‎	ʔuqādu					تُقَادِينَ‎	tuqādīna					تُقَادُ‎	tuqādu											تُقَادَانِ‎	tuqādāni					تُقَادَانِ‎	tuqādāni											نُقَادُ‎	nuqādu					تُقَدْنَ‎	tuqadna					يُقَدْنَ‎	yuqadna										
direct	subjunctiveالْمُضَارِع الْمَنْصُوب						m						أُقَادَ‎	ʔuqāda					تُقَادَ‎	tuqāda					يُقَادَ‎	yuqāda											تُقَادَا‎	tuqādā					يُقَادَا‎	yuqādā											نُقَادَ‎	nuqāda					تُقَادُوا‎	tuqādū					يُقَادُوا‎	yuqādū										
direct	subjunctiveالْمُضَارِع الْمَنْصُوب						f						أُقَادَ‎	ʔuqāda					تُقَادِي‎	tuqādī					تُقَادَ‎	tuqāda											تُقَادَا‎	tuqādā					تُقَادَا‎	tuqādā											نُقَادَ‎	nuqāda					تُقَدْنَ‎	tuqadna					يُقَدْنَ‎	yuqadna										
direct	jussiveالْمُضَارِع الْمَجْزُوم						m						أُقَدْ‎	ʔuqad					تُقَدْ‎	tuqad					يُقَدْ‎	yuqad											تُقَادَا‎	tuqādā					يُقَادَا‎	yuqādā											نُقَدْ‎	nuqad					تُقَادُوا‎	tuqādū					يُقَادُوا‎	yuqādū										
direct	jussiveالْمُضَارِع الْمَجْزُوم						f						أُقَدْ‎	ʔuqad					تُقَادِي‎	tuqādī					تُقَدْ‎	tuqad											تُقَادَا‎	tuqādā					تُقَادَا‎	tuqādā											نُقَدْ‎	nuqad					تُقَدْنَ‎	tuqadna					يُقَدْنَ‎	yuqadna										
direct	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda	قِيَادَة‎	qiyāda
direct	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		قَائِد‎	qāʔid	قَائِد‎	qāʔid	قَائِد‎	qāʔid	قَائِد‎	qāʔid	قَائِد‎	qāʔid	قَائِد‎	qāʔid	قَائِد‎	qāʔid
direct	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مَقُود‎	maqūd	مَقُود‎	maqūd	مَقُود‎	maqūd	مَقُود‎	maqūd	مَقُود‎	maqūd	مَقُود‎	maqūd	مَقُود‎	maqūd
direct	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
direct					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
direct					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
direct	past (perfect) indicativeالْمَاضِي		m		قُدْتُ‎	qudtu	قُدْتَ‎	qudta	قَادَ	qāda			قُدْتُمَا‎	qudtumā	قَادَا‎	qādā			قُدْنَا‎	qudnā	قُدْتُمْ‎	qudtum	قَادُوا‎	qādū		
direct	past (perfect) indicativeالْمَاضِي		f		قُدْتُ‎	qudtu	قُدْتِ‎	qudti	قَادَتْ‎	qādat			قُدْتُمَا‎	qudtumā	قَادَتَا‎	qādatā			قُدْنَا‎	qudnā	قُدْتُنَّ‎	qudtunna	قُدْنَ‎	qudna		
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أَقُودُ‎	ʔaqūdu	تَقُودُ‎	taqūdu	يَقُودُ‎	yaqūdu			تَقُودَانِ‎	taqūdāni	يَقُودَانِ‎	yaqūdāni			نَقُودُ‎	naqūdu	تَقُودُونَ‎	taqūdūna	يَقُودُونَ‎	yaqūdūna		
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أَقُودُ‎	ʔaqūdu	تَقُودِينَ‎	taqūdīna	تَقُودُ‎	taqūdu			تَقُودَانِ‎	taqūdāni	تَقُودَانِ‎	taqūdāni			نَقُودُ‎	naqūdu	تَقُدْنَ‎	taqudna	يَقُدْنَ‎	yaqudna		
direct	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أَقُودَ‎	ʔaqūda	تَقُودَ‎	taqūda	يَقُودَ‎	yaqūda			تَقُودَا‎	taqūdā	يَقُودَا‎	yaqūdā			نَقُودَ‎	naqūda	تَقُودُوا‎	taqūdū	يَقُودُوا‎	yaqūdū		
direct	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أَقُودَ‎	ʔaqūda	تَقُودِي‎	taqūdī	تَقُودَ‎	taqūda			تَقُودَا‎	taqūdā	تَقُودَا‎	taqūdā			نَقُودَ‎	naqūda	تَقُدْنَ‎	taqudna	يَقُدْنَ‎	yaqudna		
direct	jussiveالْمُضَارِع الْمَجْزُوم		m		أَقُدْ‎	ʔaqud	تَقُدْ‎	taqud	يَقُدْ‎	yaqud			تَقُودَا‎	taqūdā	يَقُودَا‎	yaqūdā			نَقُدْ‎	naqud	تَقُودُوا‎	taqūdū	يَقُودُوا‎	yaqūdū		
direct	jussiveالْمُضَارِع الْمَجْزُوم		f		أَقُدْ‎	ʔaqud	تَقُودِي‎	taqūdī	تَقُدْ‎	taqud			تَقُودَا‎	taqūdā	تَقُودَا‎	taqūdā			نَقُدْ‎	naqud	تَقُدْنَ‎	taqudna	يَقُدْنَ‎	yaqudna		
direct	imperativeالْأَمْر		m				قُدْ‎	qud					قُودَا‎	qūdā							قُودُوا‎	qūdū				
direct	imperativeالْأَمْر		f				قُودِي‎	qūdī					قُودَا‎	qūdā							قُدْنَ‎	qudna				
direct	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
direct					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
direct					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
direct	past (perfect) indicativeالْمَاضِي		m		—		—		قِيدَ‎	qīda			—		—				—		—		—			
direct	past (perfect) indicativeالْمَاضِي		f		—		—		—				—		—				—		—		—			
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		—		—		يُقَادُ‎	yuqādu			—		—				—		—		—			
direct	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		—		—		—				—		—				—		—		—			
direct	subjunctiveالْمُضَارِع الْمَنْصُوب		m		—		—		يُقَادَ‎	yuqāda			—		—				—		—		—			
direct	subjunctiveالْمُضَارِع الْمَنْصُوب		f		—		—		—				—		—				—		—		—			
direct	jussiveالْمُضَارِع الْمَجْزُوم		m		—		—		يُقَدْ‎	yuqad			—		—				—		—		—			
direct	jussiveالْمُضَارِع الْمَجْزُوم		f		—		—		—				—		—				—		—		—			
displease	verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		verbal nounالْمَصْدَر		إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ	إِسْخَاط‎	ʔisḵāṭ
displease	active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		active participleاِسْم الْفَاعِل		مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ	مُسْخِط‎	musḵiṭ
displease	passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		passive participleاِسْم الْمَفْعُول		مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ	مُسْخَط‎	musḵaṭ
displease	active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم		active voiceالْفِعْل الْمَعْلُوم			
displease					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
displease					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
displease	past (perfect) indicativeالْمَاضِي		m		أَسْخَطْتُ‎	ʔasḵaṭtu	أَسْخَطْتَ‎	ʔasḵaṭta	أَسْخَطَ	ʔasḵaṭa			أَسْخَطْتُمَا‎	ʔasḵaṭtumā	أَسْخَطَا‎	ʔasḵaṭā			أَسْخَطْنَا‎	ʔasḵaṭnā	أَسْخَطْتُمْ‎	ʔasḵaṭtum	أَسْخَطُوا‎	ʔasḵaṭū		
displease	past (perfect) indicativeالْمَاضِي		f		أَسْخَطْتُ‎	ʔasḵaṭtu	أَسْخَطْتِ‎	ʔasḵaṭti	أَسْخَطَتْ‎	ʔasḵaṭat			أَسْخَطْتُمَا‎	ʔasḵaṭtumā	أَسْخَطَتَا‎	ʔasḵaṭatā			أَسْخَطْنَا‎	ʔasḵaṭnā	أَسْخَطْتُنَّ‎	ʔasḵaṭtunna	أَسْخَطْنَ‎	ʔasḵaṭna		
displease	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُسْخِطُ	ʔusḵiṭu	تُسْخِطُ‎	tusḵiṭu	يُسْخِطُ‎	yusḵiṭu			تُسْخِطَانِ‎	tusḵiṭāni	يُسْخِطَانِ‎	yusḵiṭāni			نُسْخِطُ‎	nusḵiṭu	تُسْخِطُونَ‎	tusḵiṭūna	يُسْخِطُونَ‎	yusḵiṭūna		
displease	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُسْخِطُ	ʔusḵiṭu	تُسْخِطِينَ‎	tusḵiṭīna	تُسْخِطُ‎	tusḵiṭu			تُسْخِطَانِ‎	tusḵiṭāni	تُسْخِطَانِ‎	tusḵiṭāni			نُسْخِطُ‎	nusḵiṭu	تُسْخِطْنَ‎	tusḵiṭna	يُسْخِطْنَ‎	yusḵiṭna		
displease	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُسْخِطَ	ʔusḵiṭa	تُسْخِطَ‎	tusḵiṭa	يُسْخِطَ‎	yusḵiṭa			تُسْخِطَا‎	tusḵiṭā	يُسْخِطَا‎	yusḵiṭā			نُسْخِطَ‎	nusḵiṭa	تُسْخِطُوا‎	tusḵiṭū	يُسْخِطُوا‎	yusḵiṭū		
displease	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُسْخِطَ	ʔusḵiṭa	تُسْخِطِي‎	tusḵiṭī	تُسْخِطَ‎	tusḵiṭa			تُسْخِطَا‎	tusḵiṭā	تُسْخِطَا‎	tusḵiṭā			نُسْخِطَ‎	nusḵiṭa	تُسْخِطْنَ‎	tusḵiṭna	يُسْخِطْنَ‎	yusḵiṭna		
displease	jussiveالْمُضَارِع الْمَجْزُوم		m		أُسْخِطْ	ʔusḵiṭ	تُسْخِطْ‎	tusḵiṭ	يُسْخِطْ‎	yusḵiṭ			تُسْخِطَا‎	tusḵiṭā	يُسْخِطَا‎	yusḵiṭā			نُسْخِطْ‎	nusḵiṭ	تُسْخِطُوا‎	tusḵiṭū	يُسْخِطُوا‎	yusḵiṭū		
displease	jussiveالْمُضَارِع الْمَجْزُوم		f		أُسْخِطْ	ʔusḵiṭ	تُسْخِطِي‎	tusḵiṭī	تُسْخِطْ‎	tusḵiṭ			تُسْخِطَا‎	tusḵiṭā	تُسْخِطَا‎	tusḵiṭā			نُسْخِطْ‎	nusḵiṭ	تُسْخِطْنَ‎	tusḵiṭna	يُسْخِطْنَ‎	yusḵiṭna		
displease	imperativeالْأَمْر		m				أَسْخِطْ	ʔasḵiṭ					أَسْخِطَا‎	ʔasḵiṭā							أَسْخِطُوا‎	ʔasḵiṭū				
displease	imperativeالْأَمْر		f				أَسْخِطِي‎	ʔasḵiṭī					أَسْخِطَا‎	ʔasḵiṭā							أَسْخِطْنَ‎	ʔasḵiṭna				
displease	passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول		passive voiceالْفِعْل الْمَجْهُول			
displease					singularالْمُفْرَد		singularالْمُفْرَد		singularالْمُفْرَد				dualالْمُثَنَّى		dualالْمُثَنَّى				pluralالْجَمْع		pluralالْجَمْع		pluralالْجَمْع			
displease					1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب				2nd personالْمُخَاطَب		3rd personالْغَائِب				1st personالْمُتَكَلِّم		2nd personالْمُخَاطَب		3rd personالْغَائِب			
displease	past (perfect) indicativeالْمَاضِي		m		أُسْخِطْتُ‎	ʔusḵiṭtu	أُسْخِطْتَ‎	ʔusḵiṭta	أُسْخِطَ	ʔusḵiṭa			أُسْخِطْتُمَا‎	ʔusḵiṭtumā	أُسْخِطَا‎	ʔusḵiṭā			أُسْخِطْنَا‎	ʔusḵiṭnā	أُسْخِطْتُمْ‎	ʔusḵiṭtum	أُسْخِطُوا‎	ʔusḵiṭū		
displease	past (perfect) indicativeالْمَاضِي		f		أُسْخِطْتُ‎	ʔusḵiṭtu	أُسْخِطْتِ‎	ʔusḵiṭti	أُسْخِطَتْ‎	ʔusḵiṭat			أُسْخِطْتُمَا‎	ʔusḵiṭtumā	أُسْخِطَتَا‎	ʔusḵiṭatā			أُسْخِطْنَا‎	ʔusḵiṭnā	أُسْخِطْتُنَّ‎	ʔusḵiṭtunna	أُسْخِطْنَ‎	ʔusḵiṭna		
displease	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		m		أُسْخَطُ	ʔusḵaṭu	تُسْخَطُ‎	tusḵaṭu	يُسْخَطُ‎	yusḵaṭu			تُسْخَطَانِ‎	tusḵaṭāni	يُسْخَطَانِ‎	yusḵaṭāni			نُسْخَطُ‎	nusḵaṭu	تُسْخَطُونَ‎	tusḵaṭūna	يُسْخَطُونَ‎	yusḵaṭūna		
displease	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع		f		أُسْخَطُ	ʔusḵaṭu	تُسْخَطِينَ‎	tusḵaṭīna	تُسْخَطُ‎	tusḵaṭu			تُسْخَطَانِ‎	tusḵaṭāni	تُسْخَطَانِ‎	tusḵaṭāni			نُسْخَطُ‎	nusḵaṭu	تُسْخَطْنَ‎	tusḵaṭna	يُسْخَطْنَ‎	yusḵaṭna		
displease	subjunctiveالْمُضَارِع الْمَنْصُوب		m		أُسْخَطَ	ʔusḵaṭa	تُسْخَطَ‎	tusḵaṭa	يُسْخَطَ‎	yusḵaṭa			تُسْخَطَا‎	tusḵaṭā	يُسْخَطَا‎	yusḵaṭā			نُسْخَطَ‎	nusḵaṭa	تُسْخَطُوا‎	tusḵaṭū	يُسْخَطُوا‎	yusḵaṭū		
displease	subjunctiveالْمُضَارِع الْمَنْصُوب		f		أُسْخَطَ	ʔusḵaṭa	تُسْخَطِي‎	tusḵaṭī	تُسْخَطَ‎	tusḵaṭa			تُسْخَطَا‎	tusḵaṭā	تُسْخَطَا‎	tusḵaṭā			نُسْخَطَ‎	nusḵaṭa	تُسْخَطْنَ‎	tusḵaṭna	يُسْخَطْنَ‎	yusḵaṭna		
displease	jussiveالْمُضَارِع الْمَجْزُوم		m		أُسْخَطْ	ʔusḵaṭ	تُسْخَطْ‎	tusḵaṭ	يُسْخَطْ‎	yusḵaṭ			تُسْخَطَا‎	tusḵaṭā	يُسْخَطَا‎	yusḵaṭā			نُسْخَطْ‎	nusḵaṭ	تُسْخَطُوا‎	tusḵaṭū	يُسْخَطُوا‎	yusḵaṭū		
displease	jussiveالْمُضَارِع الْمَجْزُوم		f		أُسْخَطْ	ʔusḵaṭ	تُسْخَطِي‎	tusḵaṭī	تُسْخَطْ‎	tusḵaṭ			تُسْخَطَا‎	tusḵaṭā	تُسْخَطَا‎	tusḵaṭā			نُسْخَطْ‎	nusḵaṭ	تُسْخَطْنَ‎	tusḵaṭna	يُسْخَطْنَ‎	yusḵaṭna		
eat	verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			verbal nounsالْمَصَادِر			أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal	أَكْل or مَأْكَل‎ or 	ʔakl	maʔkal
eat	active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			active participleاِسْم الْفَاعِل			آكِل‎	ʔākil		آكِل‎	ʔākil		آكِل‎	ʔākil		آكِل‎	ʔākil		آكِل‎	ʔākil		آكِل‎	ʔākil		آكِل‎	ʔākil	
eat	passive participleاِسْم الْمَفْعُول			passive participleاِسْم الْمَفْعُول			passive participleاِسْم الْمَفْعُول			passive participleاِسْم الْمَفْعُول			passive participleاِسْم الْمَفْعُول			passive participleاِسْم الْمَفْعُول			مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl		مَأْكُول‎	maʔkūl	
eat	active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم			active voiceالْفِعْل الْمَعْلُوم					
eat							singularالْمُفْرَد			singularالْمُفْرَد			singularالْمُفْرَد						dualالْمُثَنَّى			dualالْمُثَنَّى						pluralالْجَمْع			pluralالْجَمْع			pluralالْجَمْع					
eat							1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب						2nd personالْمُخَاطَب			3rd personالْغَائِب						1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب					
eat	past (perfect) indicativeالْمَاضِي			m			أَكَلْتُ‎	ʔakaltu		أَكَلْتَ‎	ʔakalta		أَكَلَ	ʔakala					أَكَلْتُمَا‎	ʔakaltumā		أَكَلَا‎	ʔakalā					أَكَلْنَا‎	ʔakalnā		أَكَلْتُمْ‎	ʔakaltum		أَكَلُوا‎	ʔakalū				
eat	past (perfect) indicativeالْمَاضِي			f			أَكَلْتُ‎	ʔakaltu		أَكَلْتِ‎	ʔakalti		أَكَلَتْ‎	ʔakalat					أَكَلْتُمَا‎	ʔakaltumā		أَكَلَتَا‎	ʔakalatā					أَكَلْنَا‎	ʔakalnā		أَكَلْتُنَّ‎	ʔakaltunna		أَكَلْنَ‎	ʔakalna				
eat	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع			m			آكُلُ‎	ʔākulu		تَأْكُلُ‎	taʔkulu		يَأْكُلُ‎	yaʔkulu					تَأْكُلَانِ‎	taʔkulāni		يَأْكُلَانِ‎	yaʔkulāni					نَأْكُلُ‎	naʔkulu		تَأْكُلُونَ‎	taʔkulūna		يَأْكُلُونَ‎	yaʔkulūna				
eat	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع			f			آكُلُ‎	ʔākulu		تَأْكُلِينَ‎	taʔkulīna		تَأْكُلُ‎	taʔkulu					تَأْكُلَانِ‎	taʔkulāni		تَأْكُلَانِ‎	taʔkulāni					نَأْكُلُ‎	naʔkulu		تَأْكُلْنَ‎	taʔkulna		يَأْكُلْنَ‎	yaʔkulna				
eat	subjunctiveالْمُضَارِع الْمَنْصُوب			m			آكُلَ‎	ʔākula		تَأْكُلَ‎	taʔkula		يَأْكُلَ‎	yaʔkula					تَأْكُلَا‎	taʔkulā		يَأْكُلَا‎	yaʔkulā					نَأْكُلَ‎	naʔkula		تَأْكُلُوا‎	taʔkulū		يَأْكُلُوا‎	yaʔkulū				
eat	subjunctiveالْمُضَارِع الْمَنْصُوب			f			آكُلَ‎	ʔākula		تَأْكُلِي‎	taʔkulī		تَأْكُلَ‎	taʔkula					تَأْكُلَا‎	taʔkulā		تَأْكُلَا‎	taʔkulā					نَأْكُلَ‎	naʔkula		تَأْكُلْنَ‎	taʔkulna		يَأْكُلْنَ‎	yaʔkulna				
eat	jussiveالْمُضَارِع الْمَجْزُوم			m			آكُلْ‎	ʔākul		تَأْكُلْ‎	taʔkul		يَأْكُلْ‎	yaʔkul					تَأْكُلَا‎	taʔkulā		يَأْكُلَا‎	yaʔkulā					نَأْكُلْ‎	naʔkul		تَأْكُلُوا‎	taʔkulū		يَأْكُلُوا‎	yaʔkulū				
eat	jussiveالْمُضَارِع الْمَجْزُوم			f			آكُلْ‎	ʔākul		تَأْكُلِي‎	taʔkulī		تَأْكُلْ‎	taʔkul					تَأْكُلَا‎	taʔkulā		تَأْكُلَا‎	taʔkulā					نَأْكُلْ‎	naʔkul		تَأْكُلْنَ‎	taʔkulna		يَأْكُلْنَ‎	yaʔkulna				
eat	imperativeالْأَمْر			m						كُلْ‎	kul								كُلَا‎	kulā											كُلُوا‎	kulū							
eat	imperativeالْأَمْر			f						كُلِي‎	kulī								كُلَا‎	kulā											كُلْنَ‎	kulna							
eat	passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول			passive voiceالْفِعْل الْمَجْهُول					
eat							singularالْمُفْرَد			singularالْمُفْرَد			singularالْمُفْرَد						dualالْمُثَنَّى			dualالْمُثَنَّى						pluralالْجَمْع			pluralالْجَمْع			pluralالْجَمْع					
eat							1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب						2nd personالْمُخَاطَب			3rd personالْغَائِب						1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب					
