mood	explanation																
indicative		statement	visual														
indicative		statement	nonvisual														
indicative		statement	circumstantial														
indicative		statement	hearsay														
indicative		statement	uncorroborated														
admirative	Event is genuinely surprising or amazing	statement															
admirative	Event is genuinely surprising or amazing	statement															
ironic-admirative	Event is stated in irony as surprising or amazing	statement															
hypothetical	Event is hypothetical, or it is counterfactual, but possible.	statement															
dubitative	Event is uncertain, doubtful, dubious.	statement															
potential	Event is able to be done by the subject	statement															
probable	Event is probable or considered likely.	statement															
inferential	Event is nonwitnessed, and not confirmed.	statement	secondhand														
inferential	Event is nonwitnessed, and not confirmed.	statement	thirdhand														
comissive	Event is committed to by the speaker, such as by promise or threat	statement	promise														
presumptive	Event is assumed, presupposed by the speaker.	statement	presumption														
suggestive	Event is proposed by the speaker	statement	supposition														
desiderative	Event is desired/wished by the subject	statement				wanted											
subjunctive	Event is considered unlikely (mainly used in dependent clauses)	statement		antecedant													
subjunctive	Event is considered unlikely (mainly used in dependent clauses)	statement		antecedant													
conditional	Event depends upon another condition.	statement		consequent													
eventitive	Event is likely but depends upon a condition. 	statement		consequent													
optative	Event is hoped, expected, or awaited.	aspiration					wanted										
volitive	Event is desired, wished or feared by the speaker.	aspiration					wanted/unwanted										
involutive	Event is feared by the speaker.	aspiration					unwanted										
necessitative	Event is necessary, or it is both desired and encouraged. 	aspiration					needed										
injunctive	Event is intended by the speaker	deferral					wanted										
permissive	Event is permitted by the speaker.	deferral					wanted										
benedictive	Event is blessed by the speaker	request					wanted	emphatic	supernatural								
imperative	Event is directly ordered or requested by the speaker.	request					wanted	emphatic	lower								
prohibitive	Event is directly prohibited by the speaker.	request					unwanted	emphatic	lower								
jussive	Event is pleaded, implored or asked.	request					wanted	emphatic	unspecified								
hortative	Event is exhorted, implored, insisted or encouraged by speaker.	request					wanted	encouraging	unspecified								
precative	Event is requested by the speaker.	request					wanted	dispassionate	unspecified								
interrogative	Event is queried by the speaker, asking for response	query															
propositive	Event is proposed by the speaker, asking for consideration	proposal															
deliberative	Event is considered by the speaker, asking for confirmation	verification															
																	
																	
		actspe	e	i	mesub	mosub	mospe	emph	power								
		speaker-action	evidentiality	implication-position	subject-means	subject-motive	speaker-motive	speaker-emphasis	addressee-power								
																	
	mosub	statement	visual	antecedant	probable	needed	needed	emphatic	supernatural								
	mesub	aspiration	nonvisual	consequent	potential	wanted	wanted	encouraging	lower								
	i*mesub	deferral	circumstantial	positive	improbable	unwanted	unwanted	dispassionate	unspecified								
	mospe	request	secondhand	negative													
	mesub	query	thirdhand														
	mospe*emspe*powad	proposal	promised														
	1	verification	accepted														
	1		presumed														
	1		supposed														
			counterfactual														
																	
																	
																	
																	
																	
																	
																	
																	
																	
