*	*	*	*	case	preposition	postposition
#	subjectivity	motion	role			
	subject			nominative	∅	∅
	addressee			oblique	∅	∅
	direct-object			oblique	∅	∅
	indirect-object			oblique	∅	∅
	modifier	departed	possessor	oblique	from [the possession of]	∅
	modifier	associated	possessor	oblique	of	∅
	modifier	acquired	possessor	oblique	to [the possession of]	∅
	modifier	approached	possessor	oblique	towards [the possession of]	∅
	modifier	surpassed	possessor	oblique	beyond [the possession of]	∅
	modifier	leveraged	possessor	oblique	[due to the possession of]	∅
	modifier	departed	location	oblique	away from	∅
	modifier	associated	location	oblique	by	∅
	modifier	acquired	location	oblique	to	∅
	modifier	approached	location	oblique	towards	∅
	modifier	surpassed	location	oblique	past	∅
	modifier	leveraged	location	oblique	along	∅
	modifier	departed	extent	oblique	starting from	∅
	modifier	associated	extent	oblique	beside	∅
	modifier	acquired	extent	oblique	up to	∅
	modifier	approached	extent	oblique	towards [the edge of]	∅
	modifier	surpassed	extent	oblique	past [the edge of]	∅
	modifier	leveraged	extent	oblique	along [the edges of]	∅
	modifier	departed	vicinity	oblique	from around	∅
	modifier	associated	vicinity	oblique	by	∅
	modifier	acquired	vicinity	oblique	to around	∅
	modifier	approached	vicinity	oblique	towards [the vicinity of]	∅
	modifier	surpassed	vicinity	oblique	past [the vicinity of]	∅
	modifier	leveraged	vicinity	oblique	via	∅
	modifier	departed	interior	oblique	out of	∅
	modifier	associated	interior	oblique	in	∅
	modifier	acquired	interior	oblique	into	∅
	modifier	approached	interior	oblique	towards [the inside of]	∅
	modifier	surpassed	interior	oblique	past [the inside of]	∅
	modifier	leveraged	interior	oblique	through	∅
	modifier	departed	medium	oblique	out of [the mass of]	∅
	modifier	associated	medium	oblique	in [the mass of]	∅
	modifier	acquired	medium	oblique	into [the mass of]	∅
	modifier	approached	medium	oblique	towards [the mass of]	∅
	modifier	surpassed	medium	oblique	past [the mass of]	∅
	modifier	leveraged	medium	oblique	through [the mass of]	∅
	modifier	departed	side	oblique	from against	∅
	modifier	associated	side	oblique	against	∅
	modifier	acquired	side	oblique	up against	∅
	modifier	approached	side	oblique	towards [the side of]	∅
	modifier	surpassed	side	oblique	past [the side of]	∅
	modifier	leveraged	side	oblique	along [the side of]	∅
	modifier	departed	surface	oblique	off of	∅
	modifier	associated	surface	oblique	on	∅
	modifier	acquired	surface	oblique	onto	∅
	modifier	approached	surface	oblique	towards [the surface of]	∅
	modifier	surpassed	surface	oblique	past [the surface of]	∅
	modifier	leveraged	surface	oblique	over	∅
	modifier	departed	subsurface	oblique	out from under	∅
	modifier	associated	subsurface	oblique	under	∅
	modifier	acquired	subsurface	oblique	in under	∅
	modifier	approached	subsurface	oblique	towards under	∅
	modifier	surpassed	subsurface	oblique	past under	∅
	modifier	leveraged	subsurface	oblique	through under	∅
	modifier	departed	presence	oblique	[due to the presence of]	∅
	modifier	associated	presence	oblique	[in the presence of]	∅
	modifier	acquired	presence	oblique	[to draw in]	∅
	modifier	approached	presence	oblique	towards [the presence of]	∅
	modifier	surpassed	presence	oblique	beyond [the presence of]	∅
	modifier	leveraged	presence	oblique	by using [the presence of]	∅
	modifier	departed	lack	oblique	[for want of]	∅
	modifier	associated	lack	oblique	[in the absence of]	∅
	modifier	acquired	lack	oblique	[to avoid]	∅
	modifier	approached	lack	oblique	towards [a lack of]	∅
	modifier	surpassed	lack	oblique	beyond [a lack of]	∅
	modifier	leveraged	lack	oblique	[by taking advantage of the lack of]	∅
	modifier	departed	aid	oblique	[thanks to the aid of]	∅
	modifier	associated	aid	oblique	[with the aid of]	∅
	modifier	acquired	aid	oblique	[to aid the]	∅
	modifier	approached	aid	oblique	towards [the aid of]	∅
	modifier	surpassed	aid	oblique	beyond [the aid of]	∅
	modifier	leveraged	aid	oblique	by using [the aid of]	∅
	modifier	departed	interest	oblique	[out of the interest of]	∅
	modifier	associated	interest	oblique	[in the interest of]	∅
