pronoun 	 tôi 	 479988
verb 	 tôi 	 479988
noun 	 tôi 	 479988
interjection 	 không 	 436425
numeral 	 không 	 436425
adverb 	 không 	 436425
adjective 	 không 	 436425
verb 	 không 	 436425
particle 	 không 	 436425
pronoun 	 anh 	 314792
adjective 	 anh 	 314792
noun 	 anh 	 314792
verb 	 là 	 304467
noun 	 là 	 304467
adverb 	 có 	 300538
interjection 	 có 	 300538
verb 	 có 	 300538
pronoun 	 ta 	 218423
adjective 	 ta 	 218423
verb 	 đi 	 173439
particle 	 đi 	 173439
conjunction 	 của 	 168035
noun 	 của 	 168035
adjective 	 đã 	 163912
particle 	 đã 	 163912
adjective 	 một 	 160092
numeral 	 một 	 160092
noun 	 một 	 160092
pronoun 	 đó 	 159964
particle 	 sẽ 	 156441
pronoun 	 gì 	 156235
interjection 	 gì 	 156235
pronoun 	 chúng 	 155858
verb 	 chúng 	 155858
particle 	 chúng 	 155858
verb 	 được 	 149746
particle 	 được 	 149746
conjunction 	 và 	 141462
determiner 	 và 	 141462
verb 	 và 	 141462
pronoun 	 cô 	 135953
noun 	 cô 	 135953
adjective 	 phải 	 135124
verb 	 phải 	 135124
particle 	 phải 	 135124
verb 	 làm 	 134916
pronoun 	 người 	 130032
noun 	 người 	 130032
interjection 	 rồi 	 128983
adverb 	 rồi 	 128983
adjective 	 rồi 	 128983
verb 	 rồi 	 128983
particle 	 rồi 	 128983
adverb 	 này 	 124297
determiner 	 này 	 124297
verb 	 cho 	 122544
preposition 	 cho 	 122544
particle 	 cho 	 122544
pronoun 	 đây 	 117596
particle 	 đây 	 117596
pronoun 	 em 	 112692
adjective 	 em 	 112692
noun 	 em 	 112692
pronoun 	 con 	 110556
noun 	 con 	 110556
pronoun 	 ông 	 109311
noun 	 ông 	 109311
adverb 	 sao 	 106398
adjective 	 sao 	 106398
noun 	 sao 	 106398
preposition 	 ở 	 102246
verb 	 ở 	 102246
verb 	 biết 	 102061
verb 	 nói 	 100938
pronoun 	 nó 	 99707
verb 	 thể 	 95722
noun 	 thể 	 95722
particle 	 với 	 91606
