*	*	emoji	#		this file represents noun-adjective combinations
purple	animal	\nx{👾}	#		
pink	man	<span style='filter: hue-rotate(-45deg)'>\nx{🧑\gx\2}</span>	#		
pink	woman	<span style='filter: hue-rotate(-45deg)'>\nx{🧑\gx\2}</span>	#		
pink	animal	\nx{🦩}	#		
black	man	\nx{🧑\gx\5}	#	old english	
black	woman	\nx{🧑\gx\5}	#	old english	
black	animal	\nx{🐈‍⬛}	#	old english	
fancy	man	\nx{🤵\cx\gx}	#		
fancy	woman	\nx{🤵\cx\gx}	#		
fancy	animal	\nx{🐩}	#		
upset	man	\nx{🙍\cx\gx}	#	proto-indo-european	
upset	woman	\nx{🙍\cx\gx}	#	proto-indo-european	
upset	animal	\nx{😾}	#	proto-indo-european	
strong	man	\nx{🏋️\cx\gx}	#	declension templates	
strong	woman	\nx{🏋️\cx\gx}	#	declension templates	
strong	animal	\nx{🐂}	#	declension templates	
