#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
middle	2     	dual     	                  	               	             	                	                	bʰéromnos     	                  	               	🧍<sup>{{subject}}</sup>  	root-thematic                   	                            	
middle	3     	dual     	                  	               	             	                	                	bʰéromnos     	                  	               	🧍<sup>{{subject}}</sup>  	root-thematic                   	                            	
middle	1     	plural   	bʰéromosdʰh₂      	bʰéromedʰh₂    	             	bʰérōmosdʰh₂    	bʰéroymedʰh₂    	bʰéromnos     	                  	               	🧍<sup>{{subject}}</sup>  	root-thematic                   	                            	
middle	2     	plural   	bʰéredʰh₂we       	bʰéredʰh₂we    	bʰéredʰh₂we  	bʰérēdʰh₂we     	bʰéroydʰh₂we    	bʰéromnos     	                  	               	🧍<sup>{{subject}}</sup>  	root-thematic                   	                            	
middle	3     	plural   	bʰéroror          	bʰéroro        	             	bʰérōror        	bʰéroyro        	bʰéromnos     	                  	               	🧍<sup>{{subject}}</sup>  	root-thematic                   	                            	
active	1     	singular 	linékʷmi          	linékʷmₒ       	             	linékʷoh₂       	linkʷyéh₁mₒ     	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	2     	singular 	linékʷsi          	linékʷs        	linékʷ       	linékʷesi       	linkʷyéh₁s      	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	3     	singular 	linékʷti          	linékʷt        	linékʷtu     	linékʷeti       	linkʷyéh₁t      	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	1     	dual     	linkwós           	linkwé         	             	linékʷowos      	linkʷih₁wé      	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	2     	dual     	linkʷtés          	linkʷtóm       	linkʷtóm     	linékʷetes      	linkʷih₁tóm     	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	3     	dual     	linkʷtés          	linkʷtā´m      	linkʷtā´m    	linékʷetes      	linkʷih₁tā´m    	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	1     	plural   	linkʷmós          	linkʷmé        	             	linékʷomos      	linkʷih₁mé      	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	2     	plural   	linkʷté           	linkʷté        	linkʷté      	linékʷete       	linkʷih₁té      	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
active	3     	plural   	linkʷénti         	linkʷént       	linkʷéntu    	linékʷonti      	linkʷih₁ént     	linkʷónts     	the house         	dṓm            	←{{subject}}🏠            	nasal-infix                     	                            	
middle	1     	singular 	linkʷh₂ér         	linkʷh₂é       	             	linékʷoh₂er     	linkʷih₁h₂é     	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	2     	singular 	linkʷth₂ér        	linkʷth₂é      	linkʷsó      	linékʷeth₂er    	linkʷih₁th₂é    	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	3     	singular 	linkʷtór          	linkʷtó        	             	linékʷetor      	linkʷih₁tó      	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	1     	dual     	linkwósdʰh₂       	linkwédʰh₂     	             	linékʷowosdʰh₂  	linkʷih₁wédʰh₂  	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	2     	dual     	                  	               	             	                	                	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	3     	dual     	                  	               	             	                	                	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	1     	plural   	linkʷmósdʰh₂      	linkʷmédʰh₂    	             	linékʷomosdʰh₂  	linkʷih₁médʰh₂  	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	2     	plural   	linkʷdʰh₂wé       	linkʷdʰh₂wé    	linkʷdʰh₂wé  	linékʷedʰh₂we   	linkʷih₁dʰh₂wé  	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
middle	3     	plural   	linkʷrór          	linkʷró        	             	linékʷoror      	linkʷih₁ró      	linkʷmₒh₁nós  	                  	               	←🧍{{subject}}            	nasal-infix                     	                            	
