#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
active	1     	singular 	wóydh₂e           	wóydh₂e        	             	wéydoh₂         	widyéh₁mₒ       	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	2     	singular 	wóydth₂e          	wóydth₂e       	wóyd         	wéydesi         	widyéh₁s        	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	3     	singular 	wóyde             	wóyde          	wóydtu       	wéydeti         	widyéh₁t        	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	1     	dual     	widwé             	widwé          	             	wéydowos        	widih₁wé        	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	2     	dual     	                  	               	widtóm       	wéydetes        	widih₁tóm       	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	3     	dual     	                  	               	widtā´m      	wéydetes        	widih₁tā´m      	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	1     	plural   	widmé             	widmé          	             	wéydomos        	widih₁mé        	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	2     	plural   	widé              	widé           	widté        	wéydete         	widih₁té        	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	3     	plural   	widḗr             	widḗr          	widéntu      	wéydonti        	widih₁ént       	widwṓs        	                  	               	{{subject}}<sup>💡</sup>  	root-stative                    	english 'wit',latin 'vidi'  	
active	1     	singular 	sísdoh₂           	sísdom         	             	sísdōh₂         	sísdoyh₁mₒ      	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	2     	singular 	sísdesi           	sísdes         	sísde        	sísdēsi         	sísdoys         	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	3     	singular 	sísdeti           	sísdet         	sísdetu      	sísdēti         	sísdoyt         	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	1     	dual     	sísdowos          	sísdowe        	             	sísdōwos        	sísdoywe        	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	2     	dual     	sísdetes          	sísdetom       	sísdetom     	sísdētes        	sísdoytom       	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	3     	dual     	sísdetes          	sísdetām       	sísdetām     	sísdētes        	sísdoytām       	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	1     	plural   	sísdomos          	sísdome        	             	sísdōmos        	sísdoyme        	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	2     	plural   	sísdete           	sísdete        	sísdete      	sísdēte         	sísdoyte        	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	3     	plural   	sísdonti          	sísdont        	sísdontu     	sísdōnti        	sísdoyh₁nₒt     	sísdonts      	                  	               	{{subject}}→<sub>🪑</sub> 	reduplicated-                   	thematic                    	
active	1     	singular 	h₂léksoh₂         	h₂léksom       	             	h₂léksōh₂       	h₂léksoyh₁mₒ    	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	2     	singular 	h₂léksesi         	h₂lékses       	h₂lékse      	h₂léksēsi       	h₂léksoys       	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	3     	singular 	h₂lékseti         	h₂lékset       	h₂léksetu    	h₂léksēti       	h₂léksoyt       	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	1     	dual     	h₂léksowos        	h₂léksowe      	             	h₂léksōwos      	h₂léksoywe      	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	2     	dual     	h₂léksetes        	h₂léksetom     	h₂léksetom   	h₂léksētes      	h₂léksoytom     	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	3     	dual     	h₂léksetes        	h₂léksetām     	h₂léksetām   	h₂léksētes      	h₂léksoytām     	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	1     	plural   	h₂léksomos        	h₂léksome      	             	h₂léksōmos      	h₂léksoyme      	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	2     	plural   	h₂léksete         	h₂léksete      	h₂léksete    	h₂léksēte       	h₂léksoyte      	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
active	3     	plural   	h₂léksonti        	h₂léksont      	h₂léksontu   	h₂léksōnti      	h₂léksoyh₁nₒt   	h₂léksonts    	the house         	dṓm            	{{subject}}🏠             	se-suffix                       	                            	
middle	1     	singular 	h₂léksoh₂er       	h₂léksoh₂e     	             	h₂léksōh₂er     	h₂léksoyh₂e     	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	2     	singular 	h₂lékseth₂er      	h₂lékseth₂e    	h₂lékseso    	h₂léksēth₂er    	h₂léksoyth₂e    	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	3     	singular 	h₂léksetor        	h₂lékseto      	             	h₂léksētor      	h₂léksoyto      	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	1     	dual     	h₂léksowosdʰh₂    	h₂léksowedʰh₂  	             	h₂léksōwosdʰh₂  	h₂léksoywedʰh₂  	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	2     	dual     	                  	               	             	                	                	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	3     	dual     	                  	               	             	                	                	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	1     	plural   	h₂léksomosdʰh₂    	h₂léksomedʰh₂  	             	h₂léksōmosdʰh₂  	h₂léksoymedʰh₂  	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	2     	plural   	h₂léksedʰh₂we     	h₂léksedʰh₂we  	h₂léksedʰh₂we	h₂léksēdʰh₂we   	h₂léksoydʰh₂we  	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
middle	3     	plural   	h₂léksoror        	h₂léksoro      	             	h₂léksōror      	h₂léksoyro      	h₂léksomnos   	the house         	dṓm            	🧍{{subject}}             	se-suffix                       	                            	
active	1     	singular 	h₁rudʰéh₁mi       	h₁rudʰéh₁mₒ    	             	h₁rudʰéh₁oh₂    	h₁rudʰéh₁yeh₁mₒ 	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	2     	singular 	h₁rudʰéh₁si       	h₁rudʰéh₁s     	h₁rudʰéh₁    	h₁rudʰéh₁esi    	h₁rudʰéh₁yeh₁s  	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	3     	singular 	h₁rudʰéh₁ti       	h₁rudʰéh₁t     	h₁rudʰéh₁tu  	h₁rudʰéh₁eti    	h₁rudʰéh₁yeh₁t  	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	1     	dual     	h₁rudʰéh₁wos      	h₁rudʰéh₁we    	             	h₁rudʰéh₁owos   	h₁rudʰéh₁ih₁we  	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	2     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tom   	h₁rudʰéh₁tom 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tom 	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	3     	dual     	h₁rudʰéh₁tes      	h₁rudʰéh₁tām   	h₁rudʰéh₁tām 	h₁rudʰéh₁etes   	h₁rudʰéh₁ih₁tām 	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	1     	plural   	h₁rudʰéh₁mos      	h₁rudʰéh₁me    	             	h₁rudʰéh₁omos   	h₁rudʰéh₁ih₁me  	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	2     	plural   	h₁rudʰéh₁te       	h₁rudʰéh₁te    	h₁rudʰéh₁te  	h₁rudʰéh₁ete    	h₁rudʰéh₁ih₁te  	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	3     	plural   	h₁rudʰéh₁nₒti     	h₁rudʰéh₁nₒt   	h₁rudʰéh₁nₒtu	h₁rudʰéh₁onti   	h₁rudʰéh₁ih₁nₒt 	h₁rudʰéh₁nₒts 	                  	               	{{subject}}→🟥            	eh₁-stative                     	                            	
active	1     	singular 	sodéyoh₂          	sodéyom        	             	sodéyōh₂        	sodéyoyh₁mₒ     	sodéyonts     	myself            	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	2     	singular 	sodéyesi          	sodéyes        	sodéye       	sodéyēsi        	sodéyoys        	sodéyonts     	yourself          	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	3     	singular 	sodéyeti          	sodéyet        	sodéyetu     	sodéyēti        	sodéyoyt        	sodéyonts     	himself           	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	1     	dual     	sodéyowos         	sodéyowe       	             	sodéyōwos       	sodéyoywe       	sodéyonts     	ourselves         	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	2     	dual     	sodéyetes         	sodéyetom      	sodéyetom    	sodéyētes       	sodéyoytom      	sodéyonts     	yourselves        	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	3     	dual     	sodéyetes         	sodéyetām      	sodéyetām    	sodéyētes       	sodéyoytām      	sodéyonts     	theirselves       	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	1     	plural   	sodéyomos         	sodéyome       	             	sodéyōmos       	sodéyoyme       	sodéyonts     	ourselves         	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	2     	plural   	sodéyete          	sodéyete       	sodéyete     	sodéyēte        	sodéyoyte       	sodéyonts     	yourselves        	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
active	3     	plural   	sodéyonti         	sodéyont       	sodéyontu    	sodéyōnti       	sodéyoyh₁nₒt    	sodéyonts     	theirselves       	swé            	{{subject}}→<sub>🪑</sub> 	éye-causative/iterative         	                            	
middle	1     	singular 	sodéyoh₂er        	sodéyoh₂e      	             	sodéyōh₂er      	sodéyoyh₂e      	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	2     	singular 	sodéyeth₂er       	sodéyeth₂e     	sodéyeso     	sodéyēth₂er     	sodéyoyth₂e     	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	3     	singular 	sodéyetor         	sodéyeto       	             	sodéyētor       	sodéyoyto       	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	1     	dual     	sodéyowosdʰh₂     	sodéyowedʰh₂   	             	sodéyōwosdʰh₂   	sodéyoywedʰh₂   	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	2     	dual     	                  	               	             	                	                	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	3     	dual     	                  	               	             	                	                	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	1     	plural   	sodéyomosdʰh₂     	sodéyomedʰh₂   	             	sodéyōmosdʰh₂   	sodéyoymedʰh₂   	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	2     	plural   	sodéyedʰh₂we      	sodéyedʰh₂we   	sodéyedʰh₂we 	sodéyēdʰh₂we    	sodéyoydʰh₂we   	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
middle	3     	plural   	sodéyoror         	sodéyoro       	             	sodéyōror       	sodéyoyro       	sodéyomnos    	                  	               	🧍{{subject}}→<sub>🪑</sub>	éye-causative/iterative         	                            	
active	1     	singular 	wéydsoh₂          	wéydsom        	             	wéydsōh₂        	wéydsoyh₁mₒ     	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	2     	singular 	wéydsesi          	wéydses        	wéydse       	wéydsēsi        	wéydsoys        	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	3     	singular 	wéydseti          	wéydset        	wéydsetu     	wéydsēti        	wéydsoyt        	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	1     	dual     	wéydsowos         	wéydsowe       	             	wéydsōwos       	wéydsoywe       	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	2     	dual     	wéydsetes         	wéydsetom      	wéydsetom    	wéydsētes       	wéydsoytom      	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	3     	dual     	wéydsetes         	wéydsetām      	wéydsetām    	wéydsētes       	wéydsoytām      	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	1     	plural   	wéydsomos         	wéydsome       	             	wéydsōmos       	wéydsoyme       	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	2     	plural   	wéydsete          	wéydsete       	wéydsete     	wéydsēte        	wéydsoyte       	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
active	3     	plural   	wéydsonti         	wéydsont       	wéydsontu    	wéydsōnti       	wéydsoyh₁nₒt    	wéydsonts     	the house         	dṓm            	{{subject}}🏠             	(h₁)se-desiderative             	                            	
middle	1     	singular 	wéydsoh₂er        	wéydsoh₂e      	             	wéydsōh₂er      	wéydsoyh₂e      	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	2     	singular 	wéydseth₂er       	wéydseth₂e     	wéydseso     	wéydsēth₂er     	wéydsoyth₂e     	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	3     	singular 	wéydsetor         	wéydseto       	             	wéydsētor       	wéydsoyto       	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	1     	dual     	wéydsowosdʰh₂     	wéydsowedʰh₂   	             	wéydsōwosdʰh₂   	wéydsoywedʰh₂   	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	2     	dual     	                  	               	             	                	                	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	3     	dual     	                  	               	             	                	                	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	1     	plural   	wéydsomosdʰh₂     	wéydsomedʰh₂   	             	wéydsōmosdʰh₂   	wéydsoymedʰh₂   	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	2     	plural   	wéydsedʰh₂we      	wéydsedʰh₂we   	wéydsedʰh₂we 	wéydsēdʰh₂we    	wéydsoydʰh₂we   	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
middle	3     	plural   	wéydsoror         	wéydsoro       	             	wéydsōror       	wéydsoyro       	wéydsomnos    	                  	               	{{subject}}<sup>👀</sup>  	(h₁)se-desiderative             	                            	
active	1     	singular 	néweh₂mi          	néwām          	             	néweh₂oh₂       	néweh₂yeh₁mₒ    	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	2     	singular 	néweh₂si          	néweh₂s        	néweh₂       	néweh₂esi       	néweh₂yeh₁s     	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	3     	singular 	néweh₂ti          	néweh₂t        	néweh₂tu     	néweh₂eti       	néweh₂yeh₁t     	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	1     	dual     	néweh₂wos         	néweh₂we       	             	néweh₂owos      	néweh₂ih₁we     	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	2     	dual     	néweh₂tes         	néweh₂tom      	néweh₂tom    	néweh₂etes      	néweh₂ih₁tom    	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	3     	dual     	néweh₂tes         	néweh₂tām      	néweh₂tām    	néweh₂etes      	néweh₂ih₁tām    	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	1     	plural   	néweh₂mos         	néweh₂me       	             	néweh₂omos      	néweh₂ih₁me     	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	2     	plural   	néweh₂te          	néweh₂te       	néweh₂te     	néweh₂ete       	néweh₂ih₁te     	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
active	3     	plural   	néweh₂nₒti        	néweh₂nₒt      	néweh₂nₒtu   	néweh₂onti      	néweh₂ih₁nₒt    	néweh₂nₒts    	the oath          	h₁óytom        	{{subject}}<sup>📕</sup>  	h₂-factitive                    	                            	
middle	1     	singular 	néweh₂h₂er        	néweh₂h₂e      	             	néweh₂oh₂er     	néweh₂ih₁h₂e    	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	2     	singular 	néweh₂th₂er       	néweh₂th₂e     	néweh₂so     	néweh₂eth₂er    	néweh₂ih₁th₂e   	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	3     	singular 	néweh₂tor         	néweh₂to       	             	néweh₂etor      	néweh₂ih₁to     	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	1     	dual     	néweh₂wosdʰh₂     	néweh₂wedʰh₂   	             	néweh₂owosdʰh₂  	néweh₂ih₁wedʰh₂ 	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	2     	dual     	                  	               	             	                	                	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	3     	dual     	                  	               	             	                	                	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	1     	plural   	néweh₂mosdʰh₂     	néweh₂medʰh₂   	             	néweh₂omosdʰh₂  	néweh₂ih₁medʰh₂ 	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	2     	plural   	néweh₂dʰh₂we      	néweh₂dʰh₂we   	néweh₂dʰh₂we 	néweh₂edʰh₂we   	néweh₂ih₁dʰh₂we 	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
middle	3     	plural   	néweh₂ror         	néweh₂ro       	             	néweh₂oror      	néweh₂ih₁ro     	néweh₂mₒh₁nos 	                  	ḱe éybʰi       	{{subject}}              	h₂-factitive                    	                            	
active	1     	singular 	h₁ludʰóm          	h₁ludʰóm       	             	h₁ludʰṓh₂       	h₁ludʰóyh₁mₒ    	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	2     	singular 	h₁ludʰés          	h₁ludʰés       	h₁ludʰé      	h₁ludʰḗsi       	h₁ludʰóys       	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	3     	singular 	h₁ludʰét          	h₁ludʰét       	h₁ludʰétu    	h₁ludʰḗti       	h₁ludʰóyt       	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	1     	dual     	h₁ludʰówe         	h₁ludʰówe      	             	h₁ludʰṓwos      	h₁ludʰóywe      	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	2     	dual     	h₁ludʰétom        	h₁ludʰétom     	h₁ludʰétom   	h₁ludʰḗtes      	h₁ludʰóytom     	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	3     	dual     	h₁ludʰétām        	h₁ludʰétām     	h₁ludʰétām   	h₁ludʰḗtes      	h₁ludʰóytām     	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	1     	plural   	h₁ludʰóme         	h₁ludʰóme      	             	h₁ludʰṓmos      	h₁ludʰóyme      	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	2     	plural   	h₁ludʰéte         	h₁ludʰéte      	h₁ludʰéte    	h₁ludʰḗte       	h₁ludʰóyte      	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	3     	plural   	h₁ludʰónt         	h₁ludʰónt      	h₁ludʰóntu   	h₁ludʰṓnti      	h₁ludʰóyh₁nₒt   	h₁ludʰónts    	at the house      	démey          	{{subject}}→🏠            	root-thematic-perfective        	                            	
active	1     	singular 	wéwkom            	wéwkom         	             	wéwkōh₂         	wéwkoyh₁mₒ      	wéwkonts      	my thoughts       	mos ménōs      	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	2     	singular 	wéwkes            	wéwkes         	wéwke        	wéwkēsi         	wéwkoys         	wéwkonts      	your thoughts     	tos ménōs      	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	3     	singular 	wéwket            	wéwket         	wéwketu      	wéwkēti         	wéwkoyt         	wéwkonts      	his thoughts      	ḱe ésyo ménōs  	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	1     	dual     	wéwkowe           	wéwkowe        	             	wéwkōwos        	wéwkoywe        	wéwkonts      	our thoughts      	nō̆h₁  ménōs   	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	2     	dual     	wéwketom          	wéwketom       	wéwketom     	wéwkētes        	wéwkoytom       	wéwkonts      	your thoughts     	wō̆h₁  ménōs   	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	3     	dual     	wéwketām          	wéwketām       	wéwketām     	wéwkētes        	wéwkoytām       	wéwkonts      	their thoughts    	ḱe éysom  ménōs	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	1     	plural   	wéwkome           	wéwkome        	             	wéwkōmos        	wéwkoyme        	wéwkonts      	our thoughts      	nō̆s  ménōs    	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	2     	plural   	wéwkete           	wéwkete        	wéwkete      	wéwkēte         	wéwkoyte        	wéwkonts      	your thoughts     	wō̆s  ménōs    	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
active	3     	plural   	wéwkont           	wéwkont        	wéwkontu     	wéwkōnti        	wéwkoyh₁nₒt     	wéwkonts      	their thoughts    	ḱe éysom ménōs 	{{subject}}<sup>💬</sup>  	reduplicated-thematic-perfective	                            	
middle	1     	singular 	wéwkoh₂e          	wéwkoh₂e       	             	wéwkōh₂er       	wéwkoyh₂e       	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	2     	singular 	wéwketh₂e         	wéwketh₂e      	wéwkeso      	wéwkēth₂er      	wéwkoyth₂e      	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	3     	singular 	wéwketo           	wéwketo        	             	wéwkētor        	wéwkoyto        	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	1     	dual     	wéwkowedʰh₂       	wéwkowedʰh₂    	             	wéwkōwosdʰh₂    	wéwkoywedʰh₂    	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	2     	dual     	                  	               	             	                	                	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	3     	dual     	                  	               	             	                	                	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	1     	plural   	wéwkomedʰh₂       	wéwkomedʰh₂    	             	wéwkōmosdʰh₂    	wéwkoymedʰh₂    	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	2     	plural   	wéwkedʰh₂we       	wéwkedʰh₂we    	wéwkedʰh₂we  	wéwkēdʰh₂we     	wéwkoydʰh₂we    	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
middle	3     	plural   	wéwkoro           	wéwkoro        	             	wéwkōror        	wéwkoyro        	wéwkomnos     	the man's thoughts	ménōs ǵʰm̥nés  	{{subject}}🧍<sup>💬</sup> 	reduplicated-thematic-perfective	                            	
active	1     	singular 	dḗyḱsmₒ           	dḗyḱsmₒ        	             	dḗyḱsoh₂        	déyḱsyeh₁mₒ     	déyḱsnₒts     	the way           	stóygʰom       	{{subject}}→🏞️           	s-suffix-perfective             	english 'teach'             	
active	2     	singular 	dḗyḱs             	dḗyḱs          	dḗyḱs        	dḗyḱsesi        	déyḱsyeh₁s      	déyḱsnₒts     	the way           	stóygʰom       	{{subject}}→🏞️           	s-suffix-perfective             	english 'teach'             	
active	3     	singular 	dḗyḱst            	dḗyḱst         	dḗyḱstu      	dḗyḱseti        	déyḱsyeh₁t      	déyḱsnₒts     	the way           	stóygʰom       	{{subject}}→🏞️           	s-suffix-perfective             	english 'teach'             	
active	1     	dual     	déyḱswe           	déyḱswe        	             	dḗyḱsowos       	déyḱsih₁we      	déyḱsnₒts     	the way           	stóygʰom       	{{subject}}→🏞️           	s-suffix-perfective             	english 'teach'             	
active	2     	dual     	déyḱstom          	déyḱstom       	déyḱstom     	dḗyḱsetes       	déyḱsih₁tom     	déyḱsnₒts     	the way           	stóygʰom       	{{subject}}→🏞️           	s-suffix-perfective             	english 'teach'             	
