									
	nominative	accusative	vocative	genitive	dative	allative	instrumental	#	N.-A. n.
singular	-mis	-min	-mi	-mas	-mi	-ma	 	#	-mit
singular	-tis	-tin	 	-tas	-ti	-ta	-tit	#	-tit
singular	-sis	-sin	 	-sas	-si	-sa	-set	#	-sit
singular	-smis	 	 	 	-smi	 	 	#	-smet
singular	-smes	-sman	 	 	-smi	-sma	-smit	#	-smet
plural	-mis	-mus (-mis; §63a)		man (§62a)	 			#	-mit (-met) 
plural	-tis (-tes)	-tus (-dus)		 	-tas			#	 
plural	-ses (-sis)	-sus		 	 			#	-set
plural	-smes	 		 	 			#	 
plural	 	-smus		 	-smas			#	 
