				nominative	accusative	genitive	dative	locative	allative	ablative	instrumental		#	
neighboring	singular			arahzenas	arahzinan	arahzenas	arahzeni	arahzeni	arahzena	arahzenaza			#	-a stem
neighboring	plural			arahzenes	arahzenus	arahzenan	arahzenas	arahzenas					#	-a stem
big	singular			sallis	sallin	sallaiyas	sallai	sallai		sallayaz	*sallit		#	-i stem
big	plural			sallaēs	sallaus	*suppayas	sallayas	sallayas		*sallayaza			#	-i stem
nasty	singular			idālus	idālun	idāluwas	idālawi	idālawi		idālawaz	*idālawit		#	-u stem
nasty	plural			idālawēs	idālamus	idālawas	idālawas	idālawas		idālawaza	*idālawet		#	-u stem
all	singular	common	cuneiform	𒄷𒌋𒈠𒀭𒍝 	𒄷𒌋𒈠𒀭𒋫𒀭 	𒄷𒌋𒈠𒀭𒋫𒀸 	𒄷𒌋𒈠𒀭𒋾 	𒄷𒌋𒈠𒀭𒋾 	𒄷𒌋𒈠𒀭𒋫 	𒄷𒌋𒈠𒀭𒋫𒊍 	𒄷𒌋𒈠𒀭𒋫𒀉 	𒄷𒌋𒈠𒀭𒋫 	#	-nt stem
all	singular	common	transliteration	ḫu-u-ma-an-za 	ḫu-u-ma-an-ta-an 	ḫu-u-ma-an-ta-aš 	ḫu-u-ma-an-ti 	ḫu-u-ma-an-ti 	ḫu-u-ma-an-ta 	ḫu-u-ma-an-ta-az 	ḫu-u-ma-an-ti-it 	ḫu-u-ma-an-ta 	#	-nt stem
all	singular	common	latin	ḫūmanz 	ḫūmantan 	ḫūmantaš 	ḫūmanti 	ḫūmanti 	ḫūmanta 	ḫūmantaz(a) 	ḫūmantit 	ḫūmant 	#	-nt stem
all	singular	neuter	cuneiform	𒄷𒌋𒈠𒀭 	𒄷𒌋𒈠𒀭 	𒄷𒌋𒈠𒀭𒋫𒀸 	𒄷𒌋𒈠𒀭𒋾 	𒄷𒌋𒈠𒀭𒋾 	𒄷𒌋𒈠𒀭𒋫 	𒄷𒌋𒈠𒀭𒋫𒊍 	𒄷𒌋𒈠𒀭𒋫𒀉 	– 	#	-nt stem
all	singular	neuter	transliteration	ḫu-u-ma-an 	ḫu-u-ma-an 	ḫu-u-ma-an-ta-aš 	ḫu-u-ma-an-ti 	ḫu-u-ma-an-ti 	ḫu-u-ma-an-ta 	ḫu-u-ma-an-ta-az 	ḫu-u-ma-an-ti-it 	– 	#	-nt stem
all	singular	neuter	latin	ḫūman 	ḫūman 	ḫūmantaš 	ḫūmanti 	ḫūmanti 	ḫūmanta 	ḫūmantaz(a) 	ḫūmantit 	– 	#	-nt stem
all	plural	common	cuneiform	𒄷𒌋𒈠𒀭𒋼𒌍 	𒄷𒌋𒈠𒀭𒌅𒍑 	𒄷𒌋𒈠𒀭𒋫𒀸 	𒄷𒌋𒈠𒀭𒋫𒀸 	𒄷𒌋𒈠𒀭𒋫𒀸 	– 	𒄷𒌋𒈠𒀭𒋫𒊍 	𒄷𒌋𒈠𒀭𒋫𒀉 	– 	#	-nt stem
all	plural	common	transliteration	ḫu-u-ma-an-te-eš 	ḫu-u-ma-an-ta-an-za 	ḫu-u-ma-an-ta-aš 	ḫu-u-ma-an-ta-aš 	ḫu-u-ma-an-ta-aš 		ḫu-u-ma-an-ta-az 	ḫu-u-ma-an-ti-it 	– 	#	-nt stem
all	plural	common	latin	ḫūmanteš 	ḫūmantuš 	ḫūmantaš 	ḫūmantaš 	ḫūmantaš 	– 	ḫūmantaz(a) 	ḫūmantit 	– 	#	-nt stem
all	plural	neuter	cuneiform	𒄷𒌋𒈠𒀭𒋾	𒄷𒌋𒈠𒀭𒋾	𒄷𒌋𒈠𒀭𒋫𒀸	𒄷𒌋𒈠𒀭𒋫𒀸	𒄷𒌋𒈠𒀭𒋫𒀸	–	𒄷𒌋𒈠𒀭𒋫𒊍	𒄷𒌋𒈠𒀭𒋫𒀉	–	#	-nt stem
all	plural	neuter	transliteration	ḫu-u-ma-an-ti	ḫu-u-ma-an-ti	ḫu-u-ma-an-ta-aš	ḫu-u-ma-an-ta-aš	ḫu-u-ma-an-ta-aš		ḫu-u-ma-an-ta-az	ḫu-u-ma-an-ti-it 	–	#	-nt stem
all	plural	neuter	latin	ḫūmanti	ḫūmanti	ḫūmantaš	ḫūmantaš	ḫūmantaš	–	ḫūmantaz(a)	"ḫūmantit 	"	–	#	-nt stem
