				nominative	accusative	genitive	dative	locative	allative	ablative	instrumental	vocative			
man	singular	common	cuneiform	𒀀𒀸 	𒀀𒀭 	𒀀𒀸 	𒄿 		𒀀 	𒀀𒊍 	𒄿𒀉 	𒀀, 𒄿 	#	-a stem	
man	singular	common	transliteration	a-aš 	a-an 	a-aš 	-i 		-a 	a-az 	i-it 	-a, -i 	#	-a stem	
man	singular	common	latin	antuḫšaš, antūwaḫḫaš, antuwaḫḫiš 	anduḫšan, antūḫšan, antuwaḫḫan 	anduḫšaš, antuḫšaš, antuwaḫḫaš 	antuḫši, antuḫše 			antuḫšaz 	antuḫšet 		#	-a stem	
man	plural	common	cuneiform	𒂊𒌍, 𒄿𒅖	𒌋𒍑	𒀀𒀸, 𒀀𒀭	𒀀𒀸		–	𒀀𒊍	𒄿𒀉	–	#	-a stem	
man	plural	common	transliteration	e-eš, i-iš	u-uš	a-aš, a-an	a-aš			a-az	i-it 		#	-a stem	
man	plural	common	latin	antuḫšeš, antuḫšiš, antuwaḫḫeš, antuḫšuš	anduḫšuš, antuḫšuš, antuḫšeš	antuḫšaš	antūwaḫḫaš, antuḫšaš, anduḫšaš			antuḫšaz	antuḫšet 		#	-a stem	
place	singular	neuter	cuneiform	𒁉𒂊𒁕𒀭 	𒁉𒂊𒁕𒀭 	𒁉𒂊𒁕𒀸 	𒁉𒂊𒁲 	𒁉𒂊𒁲 	𒁉𒂊𒁕 	𒁉𒂊𒁕𒊍 	𒁉𒂊𒁲𒀉 		#	-a stem	
place	singular	neuter	transliteration	pé-e-da-an 	pé-e-da-an 	pé-e-da-aš 	pé-e-di 	pé-e-di 	pé-e-da 	pé-e-da-az 	pé-e-di-it 		#	-a stem	
place	singular	neuter	latin	pēdan 	pēdan 	pēdaš 	pēdi 	pēdi 	pēda 	pēdaz(a) 	pēdit 		#	-a stem	
place	plural	neuter	cuneiform	𒁉𒂊𒁕	𒁉𒂊𒁕	𒁉𒂊𒁕𒀸, 𒁉𒂊𒁕𒀭	𒁉𒂊𒁕𒀸	𒁉𒂊𒁕𒀸	–	𒁉𒂊𒁕𒊍	𒁉𒂊𒁲𒀉		#	-a stem	
place	plural	neuter	transliteration	pé-e-da	pé-e-da	pé-e-da-aš, pé-e-da-an	pé-e-da-aš	pé-e-da-aš		pé-e-da-az	pé-e-di-it 		#	-a stem	
place	plural	neuter	latin	pēda	pēda	pēdaš, pēdan²	pēdaš	pēdaš	–	pēdaz(a)	pēdit 		#	-a stem	
army	singular	common	cuneiform	𒌅𒊻𒍣𒅖 	𒌅𒊻𒍣𒅔 	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸 	𒌅𒊻𒍣𒅀, 𒌅𒊻𒍣 	𒌅𒊻𒍣𒅀, 𒌅𒊻𒍣 	𒌅𒊻𒍣𒅀 	𒌅𒊻𒍣𒅀𒊍, 𒌅𒊻𒍣𒀸 	𒌅𒊻𒍣𒀉 		#	-i stem	
army	singular	common	transliteration	tu-uz-zi-iš 	tu-uz-zi-in 	tu-uz-zi-ya-aš, tu-uz-zi-aš 	tu-uz-zi-ya, tu-uz-zi 	tu-uz-zi-ya, tu-uz-zi 	tu-uz-zi-ya 	tu-uz-zi-ya-az, tu-uz-zi-az 	tu-uz-zi-it 		#	-i stem	
army	singular	common	latin	tuzziš 	tuzzin 	tuzzi(y)aš 	tuzziya, tuzzi 	tuzziya, tuzzi 	tuzziya 	tuzzi(y)az 	tuzzit 		#	-i stem	
army	plural	common	cuneiform	𒌅𒊻𒍣𒂊𒌍	𒌅𒊻𒍣𒍑	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒅀𒀸, 𒌅𒊻𒍣𒀸	–	𒌅𒊻𒍣𒅀𒊍, 𒌅𒊻𒍣𒀸	𒌅𒊻𒍣𒀉		#	-i stem	
