climb	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 	 present: रोहति (rohati), रोहते (rohate), रुह्यते (ruhyate) 
climb	voice	active	active	active	middle	middle	middle	passive	passive	passive
climb	number	singular	dual	plural	singular	dual	plural	singular	dual	plural
climb	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood
climb	third	रोहतिrohati	रोहतःrohataḥ	रोहन्तिrohanti	रोहतेrohate	रोहेतेrohete	रोहन्तेrohante	रुह्यतेruhyate	रुह्येतेruhyete	रुह्यन्तेruhyante
climb	second	रोहसिrohasi	रोहथःrohathaḥ	रोहथrohatha	रोहसेrohase	रोहेथेrohethe	रोहध्वेrohadhve	रुह्यसेruhyase	रुह्येथेruhyethe	रुह्यध्वेruhyadhve
climb	first	रोहामिrohāmi	रोहावःrohāvaḥ	रोहामःrohāmaḥ	रोहेrohe	रोहावहेrohāvahe	रोहामहेrohāmahe	रुह्येruhye	रुह्यावहेruhyāvahe	रुह्यामहेruhyāmahe
climb	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood
climb	third	रोहतुrohatu	रोहताम्rohatām	रोहन्तुrohantu	रोहताम्rohatām	रोहेताम्rohetām	रोहन्ताम्rohantām	रुह्यताम्ruhyatām	रुह्येताम्ruhyetām	रुह्यन्ताम्ruhyantām
climb	second	रोहroha	रोहतम्rohatam	रोहतrohata	रोहस्वrohasva	रोहेथाम्rohethām	रोहध्वम्rohadhvam	रुह्यस्वruhyasva	रुह्येथाम्ruhyethām	रुह्यध्वम्ruhyadhvam
climb	first	रोहाणिrohāṇi	रोहावrohāva	रोहामrohāma	रोहैrohai	रोहावहैrohāvahai	रोहामहैrohāmahai	रुह्यैruhyai	रुह्यावहैruhyāvahai	रुह्यामहैruhyāmahai
climb	optative mood	optative mood	optative mood	optative mood	optative mood	optative mood	optative mood	optative mood	optative mood	optative mood
climb	third	रोहेत्rohet	रोहेताम्rohetām	रोहेयुःroheyuḥ	रोहेतroheta	रोहेयाताम्roheyātām	रोहेरन्roheran	रुह्येतruhyeta	रुह्येयाताम्ruhyeyātām	रुह्येरन्ruhyeran
climb	second	रोहेःroheḥ	रोहेतम्rohetam	रोहेतroheta	रोहेथाःrohethāḥ	रोहेयाथाम्roheyāthām	रोहेध्वम्rohedhvam	रुह्येथाःruhyethāḥ	रुह्येयाथाम्ruhyeyāthām	रुह्येध्वम्ruhyedhvam
climb	first	रोहेयम्roheyam	रोहेवroheva	रोहेमःrohemaḥ	रोहेयroheya	रोहेवहिrohevahi	रोहेमहिrohemahi	रुह्येयruhyeya	रुह्येवहिruhyevahi	रुह्येमहिruhyemahi
climb	participles	participles	participles	participles	participles	participles	participles	participles	participles	participles
climb		रोहत्rohat	or	रोहन्त्rohant	रोहमानrohamāna	रोहमानrohamāna	रोहमानrohamāna	रुह्यमानruhyamāna	रुह्यमानruhyamāna	रुह्यमानruhyamāna
direct	present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)		present: नयति (náyati), नयते (náyate)	
direct			active		active		active		mediopassive		mediopassive		mediopassive	
direct			singular		dual		plural		singular		dual		plural	
direct	indicative		indicative		indicative		indicative		indicative		indicative		indicative	
direct	Third		नयति	náyati	नयतः	náyataḥ	नयन्ति	náyanti	नयते	náyate	नयेते	náyete	नयन्ते	náyante
direct	Second		नयसि	náyasi	नयथः	náyathaḥ	नयथ	náyatha	नयसे	náyase	नयेथे	náyethe	नयध्वे	náyadhve
direct	First		नयामि	náyāmi	नयावः	náyāvaḥ	नयामः	náyāmaḥ	नये	náye	नयावहे	náyāvahe	नयामहे	náyāmahe
direct	imperative		imperative		imperative		imperative		imperative		imperative		imperative	
direct	Third		नयतु / नयतात्	náyatu / náyatāt	नयताम्	náyatām	नयन्तु	náyantu	नयताम्	náyatām	नयेताम्	náyetām	नयन्तम्	náyantam
direct	Second		नय / नयतात्	náya / náyatāt	नयतम्	náyatam	नयत	náyata	नयस्व	náyasva	नयेथाम्	náyethām	नयध्वम्	náyadhvam
direct	First		नयानि	náyāni	नयाव	náyāva	नयाम	náyāma	नयै	náyai	नयावहै	náyāvahai	नयामहै	náyāmahai
direct	optative/potential		optative/potential		optative/potential		optative/potential		optative/potential		optative/potential		optative/potential	
direct	Third		नयेत्	náyet	नयेताम्	náyetām	नयेयुः	náyeyuḥ	नयेत	náyeta	नयेयाताम्	náyeyātām	नयेरन्	náyeran
direct	Second		नयेः	náyeḥ	नयेतम्	náyetam	नयेत	náyeta	नयेथाः	náyethāḥ	नयेयाथाम्	náyeyāthām	नयेध्वम्	náyedhvam
direct	First		नयेयम्	náyeyam	नयेव	náyeva	नयेमः	náyemaḥ	नयेय	náyeya	नयेवहि	náyevahi	नयेमहि	náyemahi
direct	participles		participles		participles		participles		participles		participles		participles	
direct			नयत्	náyat	नयत्	náyat	नयत्	náyat	नयमान	náyamāna	नयमान	náyamāna	नयमान	náyamāna
eat	nonfinite forms: अत्तुम् (áttum)		nonfinite forms: अत्तुम् (áttum)		nonfinite forms: अत्तुम् (áttum)		nonfinite forms: अत्तुम् (áttum)	
eat			undeclinable		undeclinable			
eat	infinitive		अत्तुम्	áttum				
eat	gerund		जक्त्वा	jaktvā́				
eat			participles		participles			
eat	masculine/neuter gerundive		अद्य / अत्तव्य / अदनीय	ádya / attavya / adanīya				
eat	feminine gerundive		अद्या / अत्तव्या / अदनीया	ádyā / attavyā / adanīyā				
eat	masculine/neuter past passive participle		अन्न / जग्ध	anná / jagdhá				
eat	feminine past passive participle		अन्ना / जग्धा	annā́ / jagdhā́				
eat	masculine/neuter past active participle		अन्नवत् / जद्घवत्	annávat / jadghávat				
eat	feminine past active participle		अन्नवती / जग्धवती	annávatī / jagdhávatī				
fall	nonfinite forms: पतितुम् (pátitum)		nonfinite forms: पतितुम् (pátitum)		nonfinite forms: पतितुम् (pátitum)		nonfinite forms: पतितुम् (pátitum)	
fall			undeclinable		undeclinable			
fall	infinitive		पतितुम्	pátitum				
fall	gerund		पतित्वा	patitvā́				
fall			participles		participles			
fall	masculine/neuter gerundive		पत्य / पतितव्य / पतनीय	pátya / patitavya / patanīya				
fall	feminine gerundive		पत्या / पतितव्या / पतनीया	pátyā / patitavyā / patanīyā				
fall	masculine/neuter past passive participle		पतित	patitá				
fall	feminine past passive participle		पतिता	patitā́				
fall	masculine/neuter past active participle		पतितवत्	patitávat				
fall	feminine past active participle		पतितवती	patitávatī				
