chapter_id	entry_id	meaning	Nenets_Phonemic	comment
3	410	horse (equine)	yuno	
3	420	stallion	yunoʔ xor̃a	
3	440	mare	yunoʔ nʸebʸa	
3	450	foal, colt	yunoʔ suyu	
3	500	fowl	xar̃adʔ tir̃tʸa	
3	520	cock, rooster	xar̃adʔ xor̃kɨ	
3	550	chicken	xanʸey	
3	560	goose	yabto	
3	570	duck	ŋaʔʔŋu	
3	580	nest	pidʸa	
3	581	bird	tir̃tʸa	
3	582	seagull	xalew	
3	584	eagle	limbʸa	
3	585	hawk	xanawey	
3	586	vulture	sapsan	
3	591	bat	pʸenzo	
3	593	crow	war̃ŋe	
3	596	owl	xanʸebc̷ʸo	
3	610	dog	wenʸeko; weʔ	
3	614	rabbit	nʸawa; tewasi	
3	620	cat	xoska	
3	630	mouse, rat	pisʸa; idʔ pisʸa	
3	650	fish	xalʸa	
3	652	fin (dorsal)	tor̃a	
3	653	fishscale	sʸaw	
3	654	gill	tʸar̃ʔʔ	
3	655	shell	yawʔ xa	
3	663	whale	xaleʔ	
3	710	wolf	sar̃mik	
3	730	bear	war̃k	
3	740	fox	tʸonʸa	
3	750	deer	tɨ	
3	760	monkey	ŋaya tar̃ʔʔ	
3	810	insect	mair̃ta	
3	811	louse	panzʸeʔʔe	
3	812	nit (louse egg)	talik	
3	813	flea	luxu	
3	818	spider	lʸar̃c̷o	
3	819	spider web	lʸar̃c̷oʔ poŋga	
3	823	wasp	xeb	
3	830	fly	toxondabc̷o	
3	831	sandfly (midge), gnat	nibʸer̃ʸo	
3	832	mosquito	nʸenʸaŋg	
3	840	worm	xalc̷o	
3	920	butterfly	lambar̃ʸo	
3	950	frog	tʸamdeʔʔ	
3	960	lizard	tanz	
4	110	body	ŋaya	
4	120	skin, hide	tobyowa; xoba	
4	130	flesh	ŋamza	
4	140	hair (head)	ŋebtʔ yaʔʔ	
4	142	beard	munoc̷ʸʔ	
4	144	body hair	ŋebt; ŋewaʔ tar̃ʔʔ	
4	145	pubic hair	maʔʔnɨʔ tar̃ʔʔ	
4	146	dandruff	siwolʔʔ	
4	150	blood	xemʔ; weya	
4	151	vein, artery	xewʔ paŋg; weyaʔ paŋg	
4	160	bone	lɨ	
4	162	rib	xewc̷ʸʔ	
4	170	horn	nʸamd	
4	180	tail	tewa	
4	190	back	maxa	
4	191	spine	ledɨ	
4	200	head	ŋewa	
4	201	side of head, temple	nilʸnʸa	
4	202	skull	ŋewaʔ lɨ; ŋeweyc̷ʸʔ	
4	203	brain	ŋewey	
4	204	face	sʸaʔʔ	
4	205	forehead	tay	
4	207	jaw	nʸaŋu	
4	208	cheek	padu	
4	209	chin	nʸaŋu	
4	210	eye	sew	
4	212	eyebrow	nir̃c̷ʸʔ	
4	213	eyelid	sewʔ war̃	
4	214	eyelash	sewʔ tar̃ʔʔ	
4	215	blink	sewmʔ xayemlamba	
4	220	ear	xa	
4	221	earlobe	xaʔ lambʸa	
4	222	earwax	xaʔ labar̃ʔʔ	
4	230	nose	pɨya	
4	231	nostril	pɨyaʔ si	
4	232	mucus (nasal)	nadʔ	
4	240	mouth	nʸaʔ	
4	241	beak	tir̃tʸaʔ pɨya	
4	250	lip	pibtʸaʔ	
4	260	tongue	nʸamʸu	
4	270	tooth	tibʸa	
4	271	gums	tiwʔ ŋamza	
4	272	molartooth	taʔʔwanabc̷ʸʔ	
4	280	neck	ik	
4	281	nape of neck	pawe	
4	290	throat	xuŋgo	
4	300	shoulder	mar̃c̷ʸʔ	
4	301	shoulderblade	sʸudɨ; mar̃c̷ʸʔ lɨ	
4	302	collarbone	mar̃c̷ʸʔ lɨ	
4	310	arm	ŋuda	
4	312	armpit	sʸalʔ	
4	320	elbow	salik	
4	321	wrist	ŋudaʔ sexer̃ʔʔ	
4	330	hand	ŋuda	
4	331	palm of hand	pʸeʔ	
4	340	finger	ŋudaʔ tar̃ka	
4	342	thumb	pikc̷ʸa	
4	344	fingernail	xada	
4	345	claw	xada	
4	350	leg	ŋey	
4	351	thigh	yeyʔ	
4	352	calf of leg	nʸelak	
4	360	knee	pulɨ	
4	370	foot	ŋe	
4	371	ankle	ŋeʔ sexer̃ʔʔ	
4	372	heel	yenʸad	
4	374	footprint	ŋeʔ ŋɨlʔʔ	
4	380	toe	ŋeʔ tar̃ka	
4	392	wing	to	
4	393	feather	toʔ tar̃ʔʔ	
4	400	chest	lembar̃a	
4	410	breast (of woman)	ŋamʸa	
4	412	nipple, teat	ŋamʸaʔ mal	
4	420	udder	xor̃awaʔ ŋamʸa	
4	430	navel	sʸuʔ	
4	440	heart	sʸey	
4	441	lung	tiwak	
4	450	liver	mɨd	
4	451	kidney	suik	
4	452	spleen	lʸusi	
4	460	stomach	nʸanko; pir̃c̷i	Resepctively: human and animal stomach; bird stomach.; Resepctively: human and animal stomach; bird stomach.
4	461	intestines, guts	sʸonzʸaʔ tar̃ʔʔ	
4	462	waist	sʸudɨ	
4	463	hip	yeyʔ	
4	464	buttocks	xar̃c̷i; mor̃tɨʔʔ	
4	470	womb	nʸeʔ ŋesʸʔ	
4	490	testicle	nʸalo	
4	492	penis	xonda; xor̃a	
4	510	breathe, breath	indadmʔ nekalpa; indʔʔ	
4	520	yawn, gape	nʸaŋger̃c̷ʸ	
4	521	hiccough	sʸoydar̃c̷ʸ	
4	530	cough	xodor̃c̷ʸ	
4	540	sneeze	pɨyadar̃c̷ʸ	
4	550	perspire	nʸoxomba	
4	560	spit	sabc̷ʸbasʸ	
4	570	vomit	todnor̃c̷ʸ	
4	580	bite	sʸakalpa	
4	590	lick	nʸanzba	
4	591	dribble	muŋgana	
4	610	sleep	xonʸo	
4	612	snore	nar̃na	
4	620	dream	yudesʸ	
4	630	wake up	sidʸeba; sidʸe	
4	640	break wind	par̃ner̃c̷ʸ	
4	650	urinate	ŋanzac̷ʸ	
4	660	defecate	palka	
4	670	have sexual intercourse	saʔʔyesʸ	
4	680	shiver	lʸedr̃ʸe	
4	690	bathe	masna	
4	710	beget (of father)	soyabta	
4	720	born (to be)	soya	
4	730	pregnant	saŋgowota	
4	732	conceive	saŋgowoc̷ʸ	
4	740	live, living, life	ilʸe; ilʸena; ilʔ	
4	750	die, dead	xaŋga; xa; xawɨ	
4	751	drowned	pakalmɨ	
4	760	kill	xada	
4	780	bury (the dead)	sʸur̃pa; tinʸemba	
4	790	grave, tomb	xalʸmʸer̃ʔ waŋg; xalʸmʸer̃ʔ tin	
4	810	strong, mighty, powerful	nɨxɨta; mebʸeta	
4	820	weak	nɨxɨsʸada	
4	830	well, health	sʸenzʸ; yedʸasʸada; yedʸasʸawa	
4	840	sick, sickness	xaŋgur̃ta; xabc̷ʸaʔ; yedʸa	
4	841	fever	yadʸo	
4	843	cold (catarrh)	xanʸʔʔlar̃awa	
4	850	wound, sore	mʸer̃ʸo	
4	852	bruise	tanzʸo	
4	853	swelling	payena; posʸo	
4	854	itch	yakdey	
4	855	blister	idar̃ʔʔ	
4	856	boil (noun)	mʸer̃ʸo	
4	857	pus	xaʔʔ	
4	860	cure, heal	sawumdamba	
4	870	physician	lʸekar̃ʔʔ	
4	880	medicine, drug	par̃don	
4	890	poison	ŋabtʔʔ	
4	910	tired, weary	pedawɨ	
4	912	rest	nɨlana	
4	920	lazy	lek	
4	930	bald	ŋewa mʸar̃ʸoy	
4	940	lame	medna	
4	950	deaf	xasʸada	
4	960	mute	nʸanzʸada	
4	970	blind	sewsʸada	
4	980	intoxicated	yabʸenʸa	
4	990	naked, bare	par̃kasʸada	
5	110	eat	ŋawor̃c̷ʸ	
5	120	food	ŋawar̃	
5	121	cooked	pir̃ʸewɨ	
5	122	raw	ŋayabey	
5	123	ripe	xolkabey; xolkawɨ	
5	124	green, unripe	yedabey	
5	125	rotten	tibʸey	
