chapter_id	entry_id	meaning	Mari_Phonemic	comment
3	596	owl	tum'na	
3	610	dog	'piy	
3	614	rabbit	'kr̃olik	
3	620	cat	'pər̃əs; a'βa 'pər̃əs	
3	622	opossum	'sumčʸatəy ko'mak	
3	630	mouse, rat	ko'lʸa; kuɣo'lʸa	
3	650	fish	'kol	
3	652	fin (dorsal)	'šulðər̃	
3	653	fishscale	'kolšüm	
3	654	gill	so'ɣa	
3	655	shell	r̃akə'βot	
3	661	shark	a'kula	
3	662	porpoise, dolphin	'ðelʸΦin	
3	663	whale	'kit	
3	664	stingray	'skat	
3	665	freshwater eel	kiškə'kol	
3	710	wolf	'pir̃e	
3	720	lion	'lʸeβ	
3	730	bear	mas'ka	
3	740	fox	'r̃əβəž	
3	750	deer	'püčʸö	
3	760	monkey	'mayməl	
3	770	elephant	'slon	
3	780	camel	βer̃'blʸuð	
3	810	insect	kop'šaŋɣe	
3	811	louse	'tiy	
3	812	nit (louse egg)	šar̃'ɣenčʸe	
3	813	flea	'šur̃šo	
3	814	centipede	sor̃oko'nožka	
3	815	scorpion	skor̃pi'on	
3	816	cockroach	tar̃a'kan	
3	817	ant	'kutko	
3	818	spider	eŋə'r̃eməš	
3	819	spider web	eŋər̃eməš'βot	
3	820	bee	'mükš	
3	821	beeswax	'šəšte	
3	822	beehive	'mükš omar̃'ta	
3	823	wasp	pa'čʸeməš	
3	830	fly	'kar̃me	
3	831	sandfly (midge), gnat	šə'ŋa	
3	832	mosquito	mos'kit	
3	840	worm	'yəl; 'šukš	
3	850	snake	'kiške	
3	910	firefly	tul'šukš	
3	920	butterfly	'ləβe	
3	930	grasshopper	šuðə'šər̃čʸək	
3	940	snail	čʸəβətan'kuðo	
3	950	frog	uža'βa	
3	960	lizard	šəŋ'šalʸe	
3	970	crocodile, alligator	kr̃oko'ðil	
3	980	turtle	čʸer̃e'paxa	
4	110	body	'kap	
4	120	skin, hide	ko'βašte	
4	130	flesh	'šəl	
4	140	hair (head)	'üp; 'pun	
4	142	beard	pon'ðaš	
4	144	body hair	'pun	
4	145	pubic hair	βožɣok'la 'pun	
4	146	dandruff	'ləɣe	
4	150	blood	'βür̃	
4	151	vein, artery	βür̃'ɣor̃no	
4	160	bone	'lu	
4	162	rib	ör̃ðəž'lu	
4	170	horn	'tükö	
4	180	tail	'počʸ	
4	190	back	'tup	
4	191	spine	tup'r̃üðö	
4	200	head	'βuy	
4	201	side of head, temple	'xr̃am	
4	202	skull	βuyɣor̃'ka	
4	203	brain	'βem; βuy'tor̃ək	
4	204	face	'šür̃ɣö; čʸu'r̃iy	
4	205	forehead	saŋ'ɣa	
4	207	jaw	oŋəlaš'lu	
4	208	cheek	'šür̃ɣö	
4	209	chin	oŋə'laš	
4	210	eye	šin'čʸa	
4	212	eyebrow	šinčʸa'pun	
4	213	eyelid	šinčʸa'ɣomðəš	
4	214	eyelash	šinčʸa'ɣomðəš 'pun	
4	215	blink	püya'laš	
4	220	ear	'pələš	
4	221	earlobe	'pələš mu'čʸaš	
4	222	earwax	'pələš 'kiš	
4	230	nose	'ner̃	
4	231	nostril	ner̃'r̃ož	
4	232	mucus (nasal)	tazə'la	
4	240	mouth	um'ša	
4	241	beak	'kayək 'ner̃	
4	250	lip	'tür̃βö	
4	260	tongue	'yəlme	
4	270	tooth	'püy	
4	271	gums	püy'šəl	
4	272	molartooth	püy'βož	
4	280	neck	'šüy	
4	281	nape of neck	šoyaɣo'r̃em	
4	290	throat	lo'ɣar̃	
4	300	shoulder	'βačʸe; 'puləš	
4	301	shoulderblade	puləšsoβ'la	
4	302	collarbone	βačʸə'lu	
4	310	arm	'kið	
4	312	armpit	koŋlayə'mal	
4	320	elbow	kəɲer̃'βuy	
4	321	wrist	kið'βur̃ɣo	
4	330	hand	'kið	
4	331	palm of hand	kiðko'pa	
4	340	finger	par̃'ɲa	
4	342	thumb	kuɣəβar̃'ɲa	
4	344	fingernail	'küčʸ	
4	345	claw	küčʸ	
4	350	leg	'yol	
4	351	thigh	'er̃ðe	
4	352	calf of leg	yol'müškər̃	
4	360	knee	pul'βuy	
4	370	foot	'yol	
4	371	ankle	šaklʸa'ka	
4	372	heel	yolta'ɣan	
4	374	footprint	kə'ša	
4	380	toe	yolβar̃'ɲa	
4	392	wing	'šulðər̃	
4	393	feather	'pəstəl	
4	400	chest	'šonðək	
4	410	breast (of woman)	'oŋ	
4	412	nipple, teat	'čʸəze	
4	420	udder	βo'ðar̃	
4	430	navel	'kələmðe	
4	440	heart	'šüm	
4	441	lung	'kuštəlɣo	
4	450	liver	'mokš	
4	451	kidney	ləštaš'ner̃	
4	452	spleen	'lep	
4	460	stomach	'müškər̃	
4	461	intestines, guts	'šolo	
4	462	waist	kə'ðal	
4	463	hip	'er̃ðe	
4	464	buttocks	ko'βar̃čʸe	
4	470	womb	aβa'ɣuðo	
4	490	testicle	'muno	
4	492	penis	'čʸuɣo	
4	510	breathe, breath	šü'laš; 'šüləš	
4	520	yawn, gape	ueš'taš	
4	521	hiccough	yüɣən'čʸaš	
4	530	cough	kokə'r̃aš	
4	540	sneeze	tür̃βən'čʸaš	
4	550	perspire	püžal'taš	
4	560	spit	šüβe'ðaš	
4	570	vomit	šəžək'ten luk'taš	
4	580	bite	pu'r̃aš	
4	590	lick	nu'laš	
4	591	dribble	čʸü'čʸaš	
4	610	sleep	ma'laš	
4	612	snore	ner̃'yük	
4	620	dream	'oməm u'žaš	
4	630	wake up	poməžalta'r̃aš	
4	640	break wind	puša'r̃aš	
4	650	urinate	ša'laš	
4	660	defecate	er̃ək'taš	
4	670	have sexual intercourse	'βate-ma'r̃iyla i'laš	
4	680	shiver	čʸətə'r̃aš	
4	690	bathe	yüštə'laš	
4	710	beget (of father)	a'zam əš'taš	
4	720	born (to be)	šo'čʸaš	
4	730	pregnant	müškə'r̃an	
4	732	conceive	šo'naš	
4	740	live, living, life	i'laš; 'iləše; 'iləš	
4	750	die, dead	ko'laš; 'koləšo	
4	751	drowned	'βüðəš pu'r̃en kay'aš	
4	760	kill	puš'taš	
4	770	corpse	'tüɲ̃ək	
4	780	bury (the dead)	to'yaš	
4	790	grave, tomb	šü'ɣar̃	
4	810	strong, mighty, powerful	βiy'an	
4	820	weak	na'čʸar̃ yo'čʸa	
4	830	well, health	ta'za; ta'zalək	
4	840	sick, sickness	'čʸer̃le; 'čʸer̃	
4	841	fever	yüštə'mužo	
4	842	goiter	kuɣəlo'ɣar̃	
4	843	cold (catarrh)	kəl'men čʸer̃lanə'maš	
4	850	wound, sore	'susər̃; 'oyɣo	
4	852	bruise	ka'kar̃	
4	853	swelling	pual'maš	
4	854	itch	'lüɣəštəš	
4	855	blister	βüðotə'za	
4	856	boil (noun)	kok'ša; sü'βan	
4	857	pus	'šüyšö; 'šüy	
4	858	scar	'susər̃ 'pale	
4	860	cure, heal	em'laš	
4	870	physician	'βr̃ačʸ	
4	880	medicine, drug	'em	
4	890	poison	a'yar̃	
4	910	tired, weary	'noyəšo	
4	912	rest	'kanəš	
4	920	lazy	'yoɣo	
4	930	bald	čʸar̃aβuy'an	
4	940	lame	ok'šak	
4	950	deaf	soŋɣə'r̃a	
4	960	mute	'yəlməðəme	
4	970	blind	'sokər̃	
4	980	intoxicated	'yüšö	
4	990	naked, bare	čʸa'r̃a	
5	110	eat	kočʸ'kaš	
5	120	food	'kočʸkəš	
5	121	cooked	'šoltəmo	
5	122	raw	'βüðəžɣö	
5	123	ripe	'šušo	
5	124	green, unripe	u'žar̃ɣe	
5	125	rotten	'šüyšö; 'pužləšo	
5	130	drink	yü'aš	
5	140	hunger	šužə'maš	
5	141	famine	šužə'maš	
5	150	thirst	'yümö šu'maš	
5	160	suck	šup'šaš	
5	180	chew	pu'r̃aš	
5	181	swallow	ne'laš	
5	190	choke	'pičʸ kay'aš	
5	210	cook	'kočʸkəšəm əš'taš	
5	220	boil (vb)	šo'laš	
5	230	roast, fry	žar̃it'laš	
5	240	bake	kük'taš; küeš'taš	
5	250	oven	koŋ'ɣa	
5	260	pot, cooking vessel	kör̃'šök	
5	270	kettle	'poð	
5	280	pan	sal'ma	
5	310	dish	'küməž	
5	320	plate	'ter̃ke	
5	330	bowl	'küməž	
5	340	pitcher, jug	kr̃už'ka	
5	350	cup, drinking vessel	čʸayɣor̃'ka	
5	360	saucer	talʸin'ɣa	
5	370	spoon	soβ'la	
5	380	knife (2)	'küzö	
5	390	fork (2)	'βilka	
5	391	tongs	šip'ši	
5	410	meal (a)	üs'tel	
5	420	breakfast	'er̃ 'kočʸkəš	
5	430	lunch	'er̃ 'kočʸkəš	
5	440	dinner	kečʸə'βal 'kočʸkəš	
5	450	supper	'kas 'kočʸkəš	
5	460	peel	er̃ək'taš	
5	470	sieve, strain	šok'taš	
5	480	scrape	er̃əktə'maš	
5	490	stir, mix	lu'ɣaš	
5	510	bread	'kinðe	
5	530	dough	r̃u'aš	
5	540	knead	nöštə'laš	
5	550	meal, flour	lo'žaš	
5	560	crush, grind	yoŋəš'taš	
5	570	mill	'βakš	
5	580	mortar (2)	šu'ar̃	
5	590	pestle	šuar̃'βonðo	
5	610	meat	'šəl	
5	630	sausage	sok'ta	
5	640	soup, broth	'šür̃; 'lem	
5	650	vegetables	pak'čʸa sas'ka	
5	660	bean	ɲeməčʸpur̃'sa	
5	700	potato	par̃eŋ'ɣe	
5	710	fruit	'yeməž	
5	712	bunch	or̃laŋ'ɣe; 'piðəš	
5	750	fig	'Φiɣa	
5	760	grape	βino'ɣr̃að	
5	770	nut	'pükš	
5	780	olive	mas'lʸina	
5	790	oil	'üy	
5	791	grease, fat	'šel; ko'ya	
5	810	salt	šin'čʸal	
5	820	pepper	'pur̃əs	
5	821	chili pepper	yoš'kar̃ 'pur̃əs	
5	840	honey	'müy	
5	850	sugar	'sakər̃	
5	860	milk (noun)	'šör̃	
5	870	milk (vb)	lüš'taš	
5	880	cheese	'sər̃	
5	890	butter	'üy	
5	900	beverage, drink	'yüəš	
5	910	mead	'müy	
5	920	wine	ar̃a'ka	
5	930	beer	pu'r̃a; sə'r̃a	
5	940	fermented drink	pu'r̃a; 'pür̃ö	
5	970	egg	'muno	
5	971	egg yolk	munop'tem	
6	110	put on (clothes)	čʸik'taš	
6	120	clothing, clothes	βur̃'ɣem	
6	130	tailor	'ur̃ɣəzo	
6	210	cloth	ku'em; 'posto	
6	220	wool	'mež	
6	230	linen, flax	βə'ɲer̃	
6	240	cotton	'mamək	
6	250	silk	por̃sən	
6	270	felt	'por̃təš	
6	280	fur	'pun	
6	290	leather	ko'βašte	
6	310	spin	šüðə'r̃aš	
6	320	spindle	'šüðər̃	
6	330	weave	ku'aš	
6	340	loom	'stan	
6	350	sew	ur̃'ɣaš	
6	360	needle	'ime	
6	370	awl	'βür̃ž	
6	380	thread	'šür̃tö	
6	390	dye	čʸiyal'taš	
6	410	cloak	palʸ'to	
6	411	poncho	'pončʸo	
6	420	woman's dress	'tuβər̃	
6	430	coat	pin'čʸak	
6	440	shirt	'tuβər̃	
6	450	collar	šü'ša; so'ɣa	
6	460	skirt	'yubka	
6	480	trousers	yo'laš	
6	490	stocking, sock	čʸul'ka	
6	510	shoe	paš'mak; ka'ta	
6	520	boot	'kem	
6	540	shoemaker, cobbler	'kem 'ur̃ɣəzo	
6	550	hat, cap	ter̃'kupš; 'upš	
6	570	belt, girdle	'üštö; po'ta	
6	580	glove	par̃ɲa'šan 'piž	
6	590	veil	βu'alʸ	
6	610	pocket	kü'sen	
6	620	button	'polðəš	
6	630	pin	bu'laβka	
6	710	ornament, adornment	sör̃astar̃ə'maš	
6	720	jewel	šer̃ɣa'kan üz'ɣar̃	
6	730	ring (for finger)	šer̃'ɣaš	
6	740	bracelet	kið'šol	
6	750	necklace	šü'šer̃; ar̃'šaš	
6	760	bead	'šer̃	
6	770	earring	al'ɣa; 'kör̃ž	
6	780	headband, headdress	tas'ma; 'lʸenta	
6	790	tattoo	'kas üza'r̃a	
6	810	handkerchief, rag	ner̃'šoβəčʸ; lust'r̃a	
6	820	towel	kið'üštəš	
6	910	comb	šer̃'ɣe	
6	920	brush	'šʸotka; 'šu	
6	921	braid	pu'naš	
6	930	razor	'br̃itβa	
6	940	ointment	'mazʸ; šü'r̃e	
6	950	soap	'šoβən	
6	960	mirror	βoš'tončʸəš	
7	110	dwell, live	i'laš	
7	120	house	'pör̃t	
7	130	hut	i'zi 'pör̃t	
7	131	garden-house	sað-pak'čʸa 'pör̃t	
7	140	tent	pa'latka	
7	150	yard, court	kuðə'βečʸe	
7	160	men's house	'šket 'iləše pör̃'yeŋən 'pör̃tšö	
7	170	cookhouse	'kuðo	
7	180	meeting house	ku'malme 'pör̃t	
7	210	room	pö'lem	
7	220	door, gate	om'sa; kap'ka	
7	221	doorpost, jamb	ya'nak	
7	230	lock (noun)	kö'ɣön	
7	231	latch, door-bolt	om'sa 'kəl	
7	240	key	sr̃a'βočʸ	
7	250	window	ok'na	
7	260	floor	kü'βar̃	
7	270	wall	'pər̃ðəž	
7	310	fireplace	ka'min	
7	320	stove	koŋ'ɣa	
7	330	chimney	'tüɲək	
7	370	ladder	toš'kaltəš	
7	420	bed	'βakšəš	
7	421	pillow	'küpčʸək	
7	422	blanket	oðʸe'yal	
7	430	chair	pü'ken	
7	440	table	üs'tel	
7	450	lamp, torch	'lampe	
7	460	candle	sor̃'ta	
7	470	shelf	'šör̃lək; oŋam'bal	
7	480	trough	'βol	
7	510	roof	le'βeðəš	
7	520	thatch	'oləm le'βeðəš	
7	530	ridgepole	βuyβo'lak kaš'ta	
7	540	rafter	'βüčʸö	
7	550	beam	'βolɣəðo	
7	560	post, pole	'meŋɣe; βa'r̃a	
7	570	board	o'ŋa	
7	580	arch	ar̃'ka	
7	610	mason	'kamenšʸik	
7	620	brick	'ker̃məčʸ	
7	630	mortar	izβestkan r̃astβor̃	
7	640	adobe	sa'man	
8	110	farmer	'mlanðe paša'yeŋ; kr̃e'saɲək	
8	120	field (for cultivation)	pa'su; šur̃nə'βečʸe	
8	130	garden	sað	
8	150	cultivate, till	kur̃a'laš	
8	160	fence	pečʸə'laš	
8	170	ditch	ka'naβa; ku'žu βə'ɲem	
8	210	plow	šo'ɣa	
8	212	furrow	'kaš	
8	220	dig	kün'čʸaš; pur̃ɣe'ðaš	
8	230	spade	'kolʸmo	
8	240	shovel	so'βok	
8	250	hoe	kat'man	
8	260	fork	'šaɲək	
8	270	rake	šor̃'βonðo	
8	310	sow	ü'ðaš	
8	311	seed	'kəčʸke; 'nöšmö	
8	320	mow, reap	so'laš	
8	330	sickle, scythe	sor̃'la	
