chapter_id	entry_id	meaning	Mansi_Phonemic	comment
1	100	world	tor̃um	
1	210	earth, land	ma	
1	212	earth=ground, soil	ma	
1	213	dust	por̃s	
1	214	mud	paŋk	
1	215	sand	seɣ	
1	220	mountain, hill	nʸor̃; suma	
1	222	cliff, precipice	kʸer̃as	
1	230	plain, field	xar̃akan; tepkan	
1	240	valley	xar̃a	
1	250	island	tump	
1	260	mainland	ma	
1	270	shore	wʸit wata	
1	310	water	wʸit	
1	320	sea	sʸar̃sʸ	
1	322	calm (of sea)	tawant	
1	323	rough (of sea)	xumpaŋ	
1	324	foam	nʸer̃	
1	329	ocean	sʸar̃sʸ	
1	330	lake	tur̃	
1	340	gulf, bay	lox	
1	343	headland, point	mʸesɨɣ	
1	350	wave	xump	
1	352	tide	wʸit ontane; wʸit yola mʸinne	
1	353	lowtide	wʸit yola mʸinne	
1	354	hightide	wʸit ontane	
1	360	river, stream, brook	as; ya; posal; soym	
1	370	spring, well	soym	
1	380	swamp	nʸar̃; kʸeliɣ	
1	410	woods, forest	wor̃	
1	420	tree (cf 08.600)	yiw	
1	430	wood	yiw	
1	440	stone, rock	axwtas; kʸer̃as	
1	510	sky	tor̃umxar̃ʸi	
1	520	sun	xotal	
1	530	moon	etpos; yoŋxup	
1	540	star	xus	
1	550	lightning	sʸaxl salɨl	
1	560	thunder	sʸaxl kur̃ɣane suy	
1	570	lightning (as striking)	sʸaxl salɨl	
1	580	storm	tor̃um	
1	590	rainbow	nʸulɨ kʸis	
1	610	light (noun)	pos	
1	620	darkness	tur̃man	
1	630	shade, shadow	isxor̃	
1	640	dew	etwʸit	
1	710	air	lɨlɨep	
1	720	wind	wot	
1	730	cloud	tul	
1	740	fog	seŋkw	
1	750	rain (noun)	r̃akw	
1	760	snow (noun)	tuyt	
1	770	ice	yaŋk	
1	780	weather	tor̃um	
1	810	fire	nay; ulʸa	
1	820	flame (noun)	nay nʸelum; ulʸa nʸelum	
1	830	smoke (noun)	posɨm	
1	840	ashes	xulʸum	
1	841	embers	lum	
1	851	burn (vb trans)	kotar̃aŋkwʸe	
1	852	burn (vb intrans)	teŋkwʸe	
1	860	light, kindle, ignite	pʸelamtaŋkwʸe; kosamtaŋkwʸe	
1	861	extinguish	xar̃ɨɣtaŋkwʸe	
1	870	match (noun)	sʸer̃anka	
1	880	firewood	nayiw; ulʸiw	
1	890	charcoal	lotx	
2	100	person, human being	elmxolas; xotpa	
2	210	man (vs. woman)	xum; xumxotpa; oyka	
2	220	woman	ne; ekwa	
2	230	male	xar̃; xum	
2	240	female	ne	
2	250	boy	pɨɣr̃ʸisʸ	
2	251	young man (adolescent)	manʸpɨɣ	
2	260	girl	aɣir̃isʸ	
2	261	young woman (adolescent)	aɣi	
2	270	child	nʸawr̃am	
2	280	infant, baby	manʸ nʸawr̃am	
2	310	husband	oyka; xum	
2	320	wife	ekwa	
2	330	marry	ne wʸiŋkwʸe; ekwa totuŋkwʸe; oyka war̃uŋkwʸe; xum paltmʸinuŋkwʸe	Respectively: marry (to her); marry (to him).; Respectively: marry (to her); marry (to him).; Respectively: marry (to her); marry (to him).; Respectively: marry (to her); marry (to him).
2	340	marriage, wedding	pur̃i; muy	
2	341	divorce	kittɨɣ mʸinuŋkwʸe	
2	350	father	asʸ	
2	360	mother	aŋk; oma; sʸanʸ	
2	370	parents	aŋkiɣ-asʸiɣ; sʸanʸiɣ-asʸiɣ	Occurs only in plural.; Occurs only in plural.
2	380	married man	ekwaŋ oyka	
2	390	married woman	oykaŋ ekwa	
2	410	son	pɨɣ	
2	420	daughter	aɣi	
2	430	offspring (son or daughter)	yuw-xulʸtne aɣi-pɨɣ	
2	440	brother	yaɣpɨɣ	
2	444	older brother	kaŋk	
2	445	younger brother	apsʸi	
2	450	sister	yaɣaɣi	
2	454	older sister	uwsʸi	
2	455	younger sister	esʸ	
2	456	sibling	yaɣpɨɣ; yaɣaɣi	
2	460	grandfather	opa; asʸoyka	
2	461	old man	matum oyka; yanɨɣ oyka	
2	470	grandmother	anʸekwa; sʸasʸekwa	
2	471	old woman	matum ekwa; yanɨɣekwa	
2	480	grandson	apɨɣ	
2	490	granddaughter	apɨɣ	
2	510	uncle	akʸi; sasɨɣ; kaŋk	
2	511	mother's brother	sasɨɣ	
2	512	father's brother	akʸi; kaŋk	
2	520	aunt	akw	
2	521	mother's sister	akw; nɨy	
2	522	father's sister	akw; uwsʸi	
2	530	nephew	pant; apsʸi; kaŋk	
2	540	niece	eŋk; esʸ; uwsʸi	
2	550	cousin	sasɨɣ; aŋkwpɨɣ; pant; aŋkwaɣi; esʸ; eŋk	
2	560	ancestors	opar̃isʸit	
2	570	descendants	yuw-xulʸtne aɣi-pɨɣ	
2	630	son-in-law (of a man)	waps	
2	631	son-in-law (of a woman)	waps	
2	640	daughter-in-law (of a man)	mʸenʸ	
2	641	daughter-in-law (of a woman)	mʸenʸ	
2	710	stepfather	yaɣlaŋ	
2	720	stepmother	onʸiɣ	
2	750	orphan	sʸanʸtal-asʸtal; aŋkwtal-asʸtal; sawalap	
2	760	widow	xumtal xulʸtum ekwa	
2	770	widower	netal xulʸtum oyka	
2	810	relatives, kinsmen	r̃utɨt	
2	820	family	sʸemya	
2	910	I	am	
2	920	you (singular)	naŋ	
2	930	he/she/it	taw	
2	940	we	man	
2	941	we (inclusive)	man yotuw	
2	942	we (exclusive)	mantaluw	
2	950	you (plural)	nen; nan	
2	960	they	ten; tan	
3	110	animal	uyxul; wor̃uy	
3	120	male (adj)	xar̃	
3	130	female (adj)	ne	
3	150	livestock	uyxul	
3	160	pasture	sʸar̃ɨk	
3	180	herdsman	uyxul ur̃ɣalane xotpa	
3	190	stable, stall	uyxul kol	
3	200	cattle (bovine)	uyxul	
3	210	bull	xar̃mʸis	
3	230	cow	mʸis	
3	240	calf	manʸmʸis	
3	250	sheep	oš; palʸa	
3	260	ram	xar̃ oš	
3	280	ewe	ne oš	
3	290	lamb	oš koy	
3	320	boar	xar̃ pur̃sʸ	
3	340	sow (2)	pur̃sʸ	
3	350	pig	pur̃sʸ koy	
3	410	horse (equine)	luw	
3	420	stallion	nʸiwɨr̃	
3	440	mare	ne luw	
3	450	foal, colt	nʸiwɨr̃	
3	500	fowl	kolɨŋ towlaŋ uyit	
3	520	cock, rooster	sʸisʸkur̃ʸek	
3	540	hen	ne sʸisʸkur̃ʸek	
3	550	chicken	sʸisʸkur̃ʸek koy; sʸisʸkur̃ʸek pɨɣr̃ʸisʸ	
3	560	goose	lunt	
3	570	duck	was	
3	580	nest	pʸitʸi; umʸi	
3	581	bird	towlɨŋ uy	
3	582	seagull	xalew	
3	583	heron	tar̃ɨɣ	
3	584	eagle	yuswoy	
3	585	hawk	xor̃txan	
3	591	bat	towlaŋ matapr̃ʸisʸ	
3	592	parrot	yipʸi	
3	593	crow	ur̃ʸinekwa	
3	596	owl	maŋkla; yipʸi	
3	610	dog	amp; kutʸuw	
3	614	rabbit	sowɨr̃	
3	620	cat	katʸi	
3	630	mouse, rat	matapr̃ʸisʸ; por̃suy; xuntɨlʸ	
3	650	fish	xul	
3	652	fin (dorsal)	xul tax	
3	653	fishscale	sam	
3	654	gill	nʸaxsʸam	
3	655	shell	kʸer̃	
3	710	wolf	salɨ pur̃ne uy; salɨ uy; xaytnut	
3	730	bear	wor̃tolnut; tor̃ʸew	
3	740	fox	oxsar̃	
3	750	deer	salɨ	
3	811	louse	takum	
3	812	nit (louse egg)	sanɨɣ	
3	813	flea	sus	
3	816	cockroach	tar̃akan	
3	817	ant	xoswoy	
3	818	spider	nʸimsar̃ekwa	
3	819	spider web	nʸimsar̃ pun; nʸimsar̃ pats	
3	820	bee	maɣwar̃up	
3	822	beehive	maɣwar̃up kol	
3	823	wasp	palum	
3	830	fly	ser̃ʸiwar̃up	
3	831	sandfly (midge), gnat	manʸuy; lʸomwoy	
3	832	mosquito	lʸomwoy	
3	840	worm	nʸar̃uy; matar̃; woykanuy	
3	850	snake	yalpɨŋuy	
3	920	butterfly	lapantɨ	
3	930	grasshopper	pumtoslup	
3	950	frog	por̃ʸiɣpanekwa	
3	960	lizard	osʸsʸaleɣ	
4	110	body	alpi	
4	120	skin, hide	sow	
4	130	flesh	nʸowlʸ	
4	140	hair (head)	at	
4	142	beard	tus	
4	144	body hair	at	
4	145	pubic hair	at	
4	146	dandruff	xalʸp	
4	150	blood	wɨɣɨr̃; kʸelpa	
4	151	vein, artery	kʸelptar̃s	
4	160	bone	luw	
4	162	rib	oŋtɨl	
4	170	horn	anʸt	
4	180	tail	leɣ	
4	190	back	sɨs	
4	191	spine	sɨsluw	
4	200	head	puŋk	
4	201	side of head, temple	wowtma	
4	202	skull	puŋkluw	
4	203	brain	walm	
4	204	face	wʸilʸt	
4	205	forehead	wʸilʸtyat	
4	207	jaw	ulsʸ	
4	208	cheek	payt	
4	209	chin	eŋɨn	
4	210	eye	sam	
4	212	eyebrow	sam xulʸm punɨt	
4	213	eyelid	samyer̃	
4	214	eyelash	sampun	
4	215	blink	r̃apasʸ; r̃apsʸuŋkwʸe	
4	220	ear	palʸ	
4	222	earwax	palʸ oŋx	
4	230	nose	nʸol	
4	231	nostril	nʸolssamas	
4	232	mucus (nasal)	polx	
4	240	mouth	sup	
4	241	beak	towlɨŋ uy nʸol	
4	250	lip	pʸitʸmʸi	
4	260	tongue	nʸelum	
4	270	tooth	puŋk	
4	271	gums	puŋknʸowlʸit	
4	272	molartooth	ulsʸpuŋk; towtnepuŋk; paytpuŋk	
4	280	neck	sɨpluw	
4	281	nape of neck	sʸopr̃ʸi	
4	290	throat	tur̃	
4	300	shoulder	waŋn	
4	301	shoulderblade	poŋkal; nʸaxsap	
4	302	collarbone	waŋnluwnur̃	
4	310	arm	kat	
4	312	armpit	xanɨlpatta; putʸi	
4	320	elbow	konɨlowɨl	
4	321	wrist	katsor̃	
4	330	hand	kat	
4	331	palm of hand	katpatta	
4	340	finger	tulʸowɨl	
4	342	thumb	laɣl yanɨɣ tulʸowɨl	
4	344	fingernail	laɣl konskʸer̃	
4	345	claw	kons	
4	350	leg	laɣɨlsor̃	
4	351	thigh	pʸesʸ	
4	352	calf of leg	xaŋr̃atan nʸowlʸit	
4	360	knee	sanspuŋk	
4	370	foot	laɣɨlpatta	
4	372	heel	yunɣa	
4	374	footprint	laɣɨlpatta pos	
4	380	toe	laɣl tulʸowɨl	
4	392	wing	towl	
4	393	feather	pun	
4	400	chest	maɣil	
4	410	breast (of woman)	sʸak	
4	412	nipple, teat	sʸak	
4	420	udder	mʸis sʸakw xur̃ɨɣ	
4	430	navel	pup	
