chapter_id	entry_id	meaning	Khanty_Phonemic	comment
3	160	pasture	sʸaxər̃	
3	180	herdsman	woy-xul lawaltɨ xoyat	
3	190	stable, stall	osʸ	
3	200	cattle (bovine)	woy-xul	
3	210	bull	xor̃ mis	
3	230	cow	mis	
3	240	calf	aymis	
3	250	sheep	oš	
3	260	ram	xor̃ oš	
3	280	ewe	ne oš	
3	290	lamb	oš pušax; oš kuy	
3	320	boar	xor̃ pur̃sʸ	
3	340	sow (2)	ne pur̃sʸ	
3	350	pig	pur̃sʸ pušax; pur̃sʸ kuy	
3	410	horse (equine)	low	
3	420	stallion	nʸewɨr̃	
3	440	mare	ne low	
3	450	foal, colt	nʸewar̃	
3	500	fowl	tuxlaŋ woy-xul	
3	520	cock, rooster	sʸisʸkur̃ek	
3	540	hen	ne sʸisʸkur̃ek	
3	550	chicken	sʸisʸkur̃ek pušax; sʸisʸkur̃ek kuy	
3	560	goose	lənt	
3	570	duck	wasɨ	
3	580	nest	tɨxal	
3	581	bird	tuxlaŋ woy; sʸisʸkʸi	
3	582	seagull	xalew	
3	583	heron	tor̃ɨ	
3	584	eagle	kur̃k	
3	585	hawk	wor̃š	
3	591	bat	tuxlaŋ aywoy	
3	592	parrot	yipi	
3	593	crow	wur̃ŋa	
3	596	owl	aŋkal woy; maŋkla; yipi	
3	610	dog	amp; akar̃	
3	614	rabbit	šowar̃	
3	620	cat	katʸi	
3	630	mouse, rat	ay woy; muw xar̃ woy; leŋkar̃	First two examples are 'mouse'; latter example is 'rat'.; First two examples are 'mouse'; latter example is 'rat'.; First two examples are 'mouse'; latter example is 'rat'.
3	650	fish	xul	
3	652	fin (dorsal)	xul tax	
3	653	fishscale	som	
3	654	gill	nʸaxsʸem	
3	655	shell	kar̃ɨ	
3	663	whale	wəs	
3	710	wolf	wulɨ pur̃tɨ woy; pur̃woy	
3	730	bear	moypar̃	
3	740	fox	wuxsar̃	
3	750	deer	wulɨ	
3	811	louse	tewtum	
3	812	nit (louse egg)	senɨ	
3	813	flea	sus	
3	816	cockroach	tar̃akan	
3	817	ant	xašŋa	
3	818	spider	nʸimsar̃	
3	819	spider web	nʸimsar̃ pun; nʸimsar̃ xošap	
3	820	bee	maw pir̃um	
3	822	beehive	maw pir̃um xot	
3	823	wasp	pos; pʸeslɨ; pir̃um	
3	830	fly	sɨr̃anta	
3	831	sandfly (midge), gnat	aywoy	
3	832	mosquito	pelŋa	
3	840	worm	nʸar̃woy; muwler̃	
3	850	snake	yeman woy	
3	920	butterfly	lɨpanta	
3	950	frog	nawar̃ne	
3	960	lizard	susl	
4	110	body	el	
4	120	skin, hide	sux	
4	130	flesh	nʸuxi	
4	140	hair (head)	əpat; əptat	
4	142	beard	tuš	
4	144	body hair	pun	
4	145	pubic hair	əptat	
4	146	dandruff	xayp	
4	150	blood	kalɨ; wur̃	
4	151	vein, artery	kalɨ yuš	
4	160	bone	luw	
4	162	rib	oŋtɨl	
4	170	horn	oŋat	
4	180	tail	lɨw	
4	190	back	šanš	
4	191	spine	šanšluw	
4	200	head	ux	
4	201	side of head, temple	wowtɨye	
4	202	skull	ux luw; ux xošap	
4	203	brain	wʸelum	
4	204	face	wʸenš	
4	205	forehead	wʸenš loxt; wʸenš luw	
4	207	jaw	ulsʸ	
4	208	cheek	wʸenš puŋal	
4	209	chin	aŋal	
4	210	eye	sem	
4	212	eyebrow	sem xulʸum	
4	213	eyelid	sem puŋal	
4	214	eyelash	sempun	
4	215	blink	r̃apsʸatɨ	
4	220	ear	pal	
4	222	earwax	oŋx	
4	230	nose	nʸul	
4	231	nostril	nʸul wus	
4	232	mucus (nasal)	pulx	
4	240	mouth	uŋal	
4	241	beak	tuxlaŋ woy nʸul	
4	250	lip	tur̃up	
4	260	tongue	nʸalum	
4	270	tooth	pʸeŋk	
4	271	gums	pʸeŋknʸuxʸet	
4	272	molartooth	ulsʸpʸeŋk; lur̃altɨ pʸeŋk; wʸenš puŋal pʸeŋk	
4	280	neck	sapl	
4	281	nape of neck	putlaŋ	
4	290	throat	tur̃	
4	300	shoulder	laŋkar̃	
4	301	shoulderblade	poŋxal	
4	310	arm	yoš	
4	312	armpit	puxat	
