chapter_id	entry_id	meaning	Selkup_Phonemic	comment
4	660	defecate	tüt	
4	670	have sexual intercourse	ɛtɨḳo	
4	680	shiver	tar̃ɨmpɨḳo	
4	690	bathe	musɨltɨḳo	
4	710	beget (of father)	ḳoḳo; ḳokkɨḳo	
4	720	born (to be)	čʸelɨŋḳo	
4	730	pregnant	pær̃ḳɨsɨmɨlʸ	
4	732	conceive	iyasæ ɛḳo	
4	740	live, living, life	ilɨḳo; ilɨptæ	Respectively: live; life.; Respectively: live; life.
4	750	die, dead	ḳuḳo; ilɨptækɨtɨlʸ; ḳupɨlʸ	
4	751	drowned	ütḳɨn ḳupɨlʸ	
4	760	kill	ḳətḳo	
4	770	corpse	čʸapsɨt	
4	780	bury (the dead)	ɩllæ meḳo	
4	790	grave, tomb	lattar̃ čʸɔtp kečʸɨ	
4	810	strong, mighty, powerful	or̃sɨmɨlʸ	
4	820	weak	or̃kɨtɨlʸ; ɔlɨŋɨlʸ	
4	830	well, health	mušʸkɨtɨlʸ; ḳütɨkɨtɨlʸ	
4	840	sick, sickness	ḳütɨntɨy; ḳütɨ	
4	850	wound, sore	kɨr̃	
4	856	boil (noun)	pən	
4	857	pus	tɛ	
4	860	cure, heal	lečʸɨŋḳo	
4	870	physician	lekkar̃	
4	880	medicine, drug	lekar̃salʸmɨ	
4	910	tired, weary	nunɨčʸɨpɨlʸ	
4	912	rest	nišʸḳɨlḳo	
4	920	lazy	ɨŋkalta	
4	930	bald	optɨkɨtɨlʸ	
4	940	lame	ḳur̃alʸ; nʸor̃ḳalʸ	
4	950	deaf	ḳokɨta; ḳokɨtɨlʸ	
4	960	mute	ətɨkɨta; ətɨkɨtɨlʸ	
4	970	blind	sayɨkɨta; sayɨkɨtɨlʸ	
4	980	intoxicated	ütɨmpɨlʸ ḳum	
4	990	naked, bare	nʸaŋɨčʸalʸ; nʸaŋɨčʸa	
5	110	eat	amɨr̃ḳo	
5	120	food	apsɨ	
5	121	cooked	mušʸɨr̃ɨpɨlʸ	
5	122	raw	čʸentalʸ	
5	123	ripe	sočʸɨmpɨlʸ	
5	124	green, unripe	ašʸšʸa sočʸɨmpɨlʸ	
5	125	rotten	tɛpɨlʸ	
5	130	drink	ütɨr̃ḳo	
5	140	hunger	amna	
5	141	famine	amna	
5	150	thirst	pakkɨmɔtka	
5	160	suck	nimḳo	
5	180	chew	tutalḳo	
5	181	swallow	polɨḳo	
5	190	choke	ɨpḳɨlḳo; ɨpaḳo	Respectively: frequentative; momentaneous verb; Respectively: frequentative; momentaneous verb
5	210	cook	mušʸɨr̃ɨḳo	
5	220	boil (vb)	mušʸɨr̃ɨḳo	
5	230	roast, fry	pir̃ɨḳo	
5	240	bake	pir̃ɨḳo	
5	250	oven	šʸoḳɨr̃	
5	270	kettle	čʸi	
5	320	plate	amɨr̃sa; tor̃ḳɨ	
5	330	bowl	amɨr̃sa; tor̃ḳɨ	
5	340	pitcher, jug	pakal	
5	350	cup, drinking vessel	amɨr̃sa; tor̃ḳɨ; čʸɔšʸka	
5	360	saucer	čʸɔšʸkan ɨlɨ	
5	370	spoon	solak	
5	380	knife (2)	paŋɨ	
5	391	tongs	tɨšʸšʸan	
5	410	meal (a)	apsɨ	
5	420	breakfast	čʸɔy	
5	430	lunch	ḳar̃ɨlʸ apsɨ	
5	440	dinner	čʸelɨlʸ apsɨ	
5	450	supper	ütɨn apsɨ	
5	460	peel	tɛšʸaŋḳo	
5	480	scrape	natḳɨlḳo	
5	490	stir, mix	kor̃pɨtḳo	
5	510	bread	nʸanʸ; nʸay	
5	540	knead	kor̃pɨtḳo	
5	550	meal, flour	muka; por̃sa	Respectively: meal; meal from fish.; Respectively: meal; meal from fish.
5	560	crush, grind	kɨpɛmtɨḳa	
5	610	meat	məčʸɨ; wəčʸɨ	
5	640	soup, broth	keni	
5	700	potato	kar̃tofelʸ	
5	770	nut	sɛtḳɨ	
5	790	oil	ür̃	
5	791	grease, fat	ür̃; čʸošʸ	
5	810	salt	šʸæk; šʸæŋ	
5	850	sugar	sɔkɨr̃	
5	860	milk (noun)	nima	
5	870	milk (vb)	par̃kɨlḳo; par̃kɛntɨḳo	
5	890	butter	ür̃	
5	920	wine	nʸar̃ḳɨ üt	
5	970	egg	ɛŋ	
6	110	put on (clothes)	tokaltɨḳo	
6	120	clothing, clothes	por̃ḳɨ	
6	130	tailor	šʸütɨr̃ɨpɨlʸ kum; šʸütɨr̃ɨpɨlʸ ima	
6	210	cloth	ḳampiy; lɨptɨk; künʸčʸɨ; ḳɔtɨr̃	
6	220	wool	tar̃ɨlʸ lɨptɨk	Means 'woolen cloth'.
6	280	fur	sur̃ɨt ḳopɨ	
6	290	leather	ḳopɨ	
6	350	sew	šʸütɨr̃nḳo; šʸütḳo	
6	360	needle	mɨka	
6	370	awl	utɨlʸ pur̃	
6	380	thread	šʸekɨ	
6	390	dye	natḳɨlḳo; kr̃askasæ natḳɨlḳo	
6	420	woman's dress	ḳalʸpor̃ḳɨ	
6	440	shirt	ḳalʸpor̃ḳɨ	
6	450	collar	solʸ ker̃ɨ	
6	460	skirt	yupka	
6	480	trousers	pümmɨ	
6	490	stocking, sock	toka	
6	510	shoe	pemɨ	
6	520	boot	pemɨ	
6	540	shoemaker, cobbler	pemɨlʸ šʸütɨr̃ɨpɨlʸ ḳum	
6	550	hat, cap	ükɨ	
6	570	belt, girdle	čʸü	
6	580	glove	nopɨ	
6	610	pocket	kar̃mat	
6	620	button	muḳḳɨlʸa	
6	710	ornament, adornment	nɛkɨr̃	
6	720	jewel	mir̃sɨmɨlʸ	
6	730	ring (for finger)	munkəsɨ	
6	760	bead	püsalʸ ker̃	
6	770	earring	ḳolʸ kəsɨ; ḳotɨ	
6	780	headband, headdress	lenta	
6	810	handkerchief, rag	kar̃matḳɨlʸ ḳampi; ḳampi	Respectively: handkerchief; rag.; Respectively: handkerchief; rag.
6	820	towel	mučʸitɨlʸ ḳampi	
6	910	comb	tiwsɨn	
6	920	brush	šʸotka	
6	921	braid	patḳɨlḳo	
6	940	ointment	mɨtɨ	
6	950	soap	mɔytak	
6	960	mirror	zer̃kalo	
7	110	dwell, live	ilɨḳo	
7	120	house	mɔt	
7	130	hut	čʸulʸ mɔt; mɔtlaka	
7	150	yard, court	ɛtɨmantɨ	
7	180	meeting house	nulʸ mɔt	
7	220	door, gate	mɔta	
7	230	lock (noun)	tama	
7	250	window	okošʸka	
7	260	floor	mɔtɨn ɨlɨ	
7	270	wall	mɔt po	
7	320	stove	šʸokɨr̃	
7	330	chimney	tur̃pa	
7	420	bed	tæḳašʸ	
7	421	pillow	üŋalʸ kota; üŋalʸ	
7	422	blanket	čʸontɨr̃sa	
7	430	chair	ɔmtɨtɨlʸpo	
7	440	table	tɔntɨpo	
7	450	lamp, torch	lampa	
7	470	shelf	polka	
7	480	trough	pata	
7	510	roof	mɔtɨpɔr̃ɨ	
