chapter_id	entry_id	meaning	Hungarian_Standard	Hungarian_Phonemic	comment
3	290	lamb	kisbárány	kišbaaraaɲ	
3	320	boar	vaddisznó	waddisnoo	
3	340	sow (2)	disznó; sertés	disnoo; šerteeš	
3	350	pig	malac	malac̷	
3	360	goat	keczke	kečke	
3	370	he-goat	bakkeczke	bakkečke	
3	380	kid	keczkegida	kečkegida	
3	410	horse (equine)	ló	loo	
3	420	stallion	cződör; mén	čöödör; meen	
3	440	mare	kanca	kanc̷a	
3	450	foal, colt	czikó	čikoo	
3	460	ass, donkey	szamár	samaar	
3	470	mule	öszvér	ösweer	
3	500	fowl	háziszárnyas; baromfi	haazisaarɲaš; baromfi	
3	520	cock, rooster	kakas	kakaš	
3	540	hen	tyúk	tʸuuk	
3	550	chicken	czibe; czirke	čibe; čirke	
3	560	goose	liba	liba	
3	570	duck	kacza	kača	
3	580	nest	fészek	feesek	
3	581	bird	madár	madaar	
3	582	seagull	sirály	širaalʸ	
3	583	heron	kóczag	koočag	
3	584	eagle	sas	šaš	
3	585	hawk	sólyom	šoolʸom	
3	586	vulture	dögevő	dögewöö	
3	591	bat	denevér	deneweer	
3	592	parrot	papagáy	papagaay	
3	593	crow	varyú	waryuu	
3	594	dove	galamb	galamb	
3	596	owl	bagoly	bagolʸ	
3	610	dog	kutya; eb	kutʸa; eb	
3	614	rabbit	nyúl	ɲuul	
3	620	cat	maczka	mačka	
3	622	opossum	oposzszum	opossum	
3	630	mouse, rat	egér; patkány	egeer; patkaaɲ	
3	650	fish	hal	hal	
3	652	fin (dorsal)	uszony	usoɲ	
3	653	fishscale	pikkely	pikkelʸ	
3	654	gill	kopoltyú	kopoltʸuu	
3	655	shell	kagyuló	kadʸuloo	
3	661	shark	cápa	c̷aapa	
3	662	porpoise, dolphin	delfin	delfin	
3	663	whale	bálna; cet	baalna; c̷et	
3	664	stingray	ráya	raaya	
3	665	freshwater eel	édesvízi angolna	eedešwiizi angolna	
3	710	wolf	farkas	farkaš	
3	720	lion	oroszlán	oroslaan	
3	730	bear	medve	medwe	
3	740	fox	róka	rooka	
3	750	deer	szarvas	sarwaš	
3	760	monkey	mayom	mayom	
3	770	elephant	elefánt	elefaant	
3	780	camel	teve	tewe	
3	810	insect	rovar	rowar	
3	811	louse	tetű	tetüü	
3	812	nit (louse egg)	tetűpete	tetüüpete	
3	813	flea	bolha	bolha	
3	814	centipede	százlábú	saazlaabuu	
3	815	scorpion	skorpió	škorpioo	
3	816	cockroach	porosz	poros	
3	817	ant	hangya	handʸa	
3	818	spider	pók	pook	
3	819	spider web	pókháló	pookhaaloo	
3	820	bee	méh	meeh	
3	821	beeswax	méhviasz	meehwias	
3	822	beehive	méhkas; kaptár	meehkaš; kaptaar	
3	823	wasp	darázs	daraaž	
3	830	fly	légy	leedʸ	
3	831	sandfly (midge), gnat	szúnyog	suuɲog	
3	832	mosquito	moszkitó	moskitoo	
3	840	worm	kukac; féreg	kukac̷; feereg	
3	850	snake	kígyó	kiidʸoo	
3	910	firefly	szentyánosbogár	sentyaanošbogaar	
3	920	butterfly	lepke; pillangó	lepke; pillangoo	
3	930	grasshopper	szöczke	söčke	
3	940	snail	cziga	čiga	
3	950	frog	béka	beeka	
3	960	lizard	gyík	dʸiik	
3	970	crocodile, alligator	krokodil; alligátor	krokodil; alligaator	
3	980	turtle	teknősbéka	teknööšbeeka	
4	110	body	test	tešt	
4	120	skin, hide	bőr	böör	
4	130	flesh	hús	huuš	
4	140	hair (head)	hayszál; hay	haysaal; hay	
4	142	beard	szakáll	sakaall	
4	144	body hair	szőr	söör	
4	145	pubic hair	nemi szőrzet	nemi söörzet	
4	146	dandruff	korpa	korpa	
4	150	blood	vér	weer	
4	151	vein, artery	véna; ütőér	weena; ütööeer	
4	160	bone	czont	čont	
4	162	rib	borda	borda	
4	170	horn	szarv	sarw	
4	180	tail	farok	farok	
4	190	back	hát	haat	
4	191	spine	gerincoszlop; hátgerinc	gerinc̷oslop; haatgerinc̷	
4	200	head	fey	fey	
4	201	side of head, temple	halánték	halaanteek	
4	202	skull	koponya	kopoɲa	
4	203	brain	agy	adʸ	
4	204	face	arc	arc̷	
4	205	forehead	homlok	homlok	
4	207	jaw	állkapocz	aallkapoč	
4	208	cheek	orca	orc̷a	
4	209	chin	áll	aall	
4	210	eye	szem	sem	
4	212	eyebrow	szemöldök	semöldök	
4	213	eyelid	szemhéy	semheey	
4	214	eyelash	szempilla	sempilla	
4	215	blink	hunyorgat; pislog	huɲorgat; pišlog	
4	220	ear	fül	fül	
4	221	earlobe	fülcimpa	fülc̷impa	
4	222	earwax	fülzsír	fülžiir	
4	230	nose	orr	orr	
4	231	nostril	orrlyuk	orrlʸuk	Lit. 'nose-hole' 12.850.
4	232	mucus (nasal)	takony	takoɲ	
4	240	mouth	száy	saay	
4	241	beak	czőr	čöör	
4	250	lip	ayak	ayak	
4	260	tongue	nyelv	ɲelw	
4	270	tooth	fog	fog	
4	271	gums	íny	iiɲ	
4	272	molartooth	zápfog	zaapfog	
4	280	neck	nyak	ɲak	
4	281	nape of neck	nyakszirt	ɲaksirt	
4	290	throat	torok	torok	
4	300	shoulder	váll	waall	
4	301	shoulderblade	lapocka	lapoc̷ka	
4	302	collarbone	kulczczont	kulččont	
4	310	arm	kar	kar	
4	312	armpit	hónaly	hoonaly	
4	320	elbow	könyök	köɲök	
4	321	wrist	czukló	čukloo	
4	330	hand	kéz	keez	
4	331	palm of hand	tenyér	teɲeer	
4	340	finger	uyy	uyy	
4	342	thumb	hüvelykuyy	hüwelʸkuyy	
4	344	fingernail	köröm	köröm	
4	345	claw	karom	karom	
4	350	leg	láb	laab	
4	351	thigh	comb	c̷omb	
4	352	calf of leg	lábikra	laabikra	
4	360	knee	térd	teerd	
4	370	foot	láb	laab	
4	371	ankle	boka	boka	
4	372	heel	sarok	šarok	
4	374	footprint	lábnyom	laabɲom	
4	380	toe	lábuyy	laabuyy	
4	392	wing	szárny	saarɲ	
4	393	feather	toll; madártoll	toll; madaartoll	
4	400	chest	mell	mell	
4	410	breast (of woman)	mell; emlő	mell; emlöö	
4	412	nipple, teat	mellbimbó	mellbimboo	
4	420	udder	tőgy	töödʸ	
4	430	navel	köldök	köldök	
4	440	heart	szív	siiw	
4	441	lung	tüdő	tüdöö	
4	450	liver	máy	maay	
4	451	kidney	vese	weše	
4	452	spleen	lép	leep	
4	460	stomach	gyomor	dʸomor	
4	461	intestines, guts	belek	belek	
4	462	waist	nyak; tarkó	ɲak; tarkoo	
4	463	hip	czípő	čiipöö	
4	464	buttocks	fenék; far	feneek; far	
4	470	womb	anyaméh	aɲameeh	
4	490	testicle	here	here	
4	492	penis	pénisz	peenis	
4	510	breathe, breath	légelzik; légezés	leegelzik; leegezeeš	
4	520	yawn, gape	císít	c̷iišiit	
4	521	hiccough	czuklik	čuklik	
4	530	cough	köhög	köhög	
4	540	sneeze	tüszszent	tüssent	
4	550	perspire	izzad	izzad	
4	560	spit	köp	köp	
4	570	vomit	hány; okádik	haaɲ; okaadik	
4	580	bite	harap	harap	
4	590	lick	nyal; nyalogat	ɲal; ɲalogat	
4	591	dribble	czöpög	čöpög	
4	610	sleep	alszik	alsik	
4	612	snore	horkol	horkol	
4	620	dream	álmodik	aalmodik	
4	630	wake up	ébred	eebred	
4	640	break wind	szellent	sellent	
4	650	urinate	vizel	wizel	
4	660	defecate	bélsár; ürülék	beelšaar; ürüleek	
4	670	have sexual intercourse	közösül	közöšül	
4	680	shiver	remeg; reszket	remeg; resket	
4	690	bathe	fürdik	fürdik	
4	710	beget (of father)	születik	sületik	
4	720	born (to be)	szül	sül	
4	730	pregnant	terhes; állapotos	terheš; aallapotoš	
4	732	conceive	teherbe esik	teherbe ešik	
4	740	live, living, life	él; élő; élet	eel; eelöö; eelet	
4	750	die, dead	meghal; halott	meghal; halott	
4	751	drowned	vízbefúlt	wiizbefuult	
4	760	kill	megöl	megöl	
4	770	corpse	hulla; tetem	hulla; tetem	
4	780	bury (the dead)	eltemet	eltemet	
4	790	grave, tomb	sír	šiir	
4	810	strong, mighty, powerful	erős; hatalmas	erööš; hatalmaš	
4	820	weak	gyenge	dʸenge	
4	830	well, health	egészséges; egészség	egeesšeegeš; egeesšeeg	
4	840	sick, sickness	beteg; betegség	beteg; betegšeeg	
4	841	fever	láz	laaz	
4	842	goiter	golyva	golʸwa	
4	843	cold (catarrh)	meghűlés	meghüüleeš	
4	850	wound, sore	seb	šeb	
4	852	bruise	kék folt; véraláfutás	keek folt; weeralaafutaaš	
4	853	swelling	feldagad; felpuffad	feldagad; felpuffad	
4	854	itch	viszketés	wisketeeš	
4	855	blister	hólyag	hoolʸag	
4	856	boil (noun)	kelés; tályog	keleeš; taalʸog	
4	857	pus	genny	genɲ	
4	858	scar	heg; forradás	heg; forradaaš	
4	860	cure, heal	ápol; kezel	aapol; kezel	
4	870	physician	orvos	orwoš	
4	880	medicine, drug	orvosság	orwoššaag	
4	890	poison	méreg	meereg	
4	910	tired, weary	fáradt; kimerült	faaradt; kimerült	
4	912	rest	pihen	pihen	
4	920	lazy	lusta	lušta	
4	930	bald	kopasz	kopas	
4	940	lame	sánta	šaanta	
4	950	deaf	süket	šüket	
4	960	mute	néma	neema	
4	970	blind	vak	wak	
4	980	intoxicated	részeg	reeseg	
4	990	naked, bare	meztelen; pucér	meztelen; puc̷eer	
5	110	eat	eszik	esik	
5	120	food	étel	eetel	
5	121	cooked	főtt; sült	föött; šült	Respectively: 'boiled; roasted, baked'.; Respectively: 'boiled; roasted, baked'.
5	122	raw	nyers	ɲerš	
5	123	ripe	érett	eerett	
5	124	green, unripe	zöld; nyers	zöld; ɲerš	
5	125	rotten	rothadt	rothadt	
5	130	drink	iszik	isik	
5	140	hunger	éhség	eehšeeg	
5	141	famine	éhség	eehšeeg	
5	150	thirst	szomy	somy	
5	160	suck	szív	siiw	
5	180	chew	rág	raag	
5	181	swallow	nyel	ɲel	
5	190	choke	fuldoklik; megfoyt	fuldoklik; megfoyt	
5	210	cook	főz	fööz	
5	220	boil (vb)	forral	forral	
5	230	roast, fry	süt	šüt	
5	240	bake	süt	šüt	
5	250	oven	tűzhely; kályha	tüüzhelʸ; kaalʸha	
5	260	pot, cooking vessel	edény; fazék	edeeɲ; fazeek	
5	270	kettle	üst	üšt	
5	280	pan	serpenyő	šerpeɲöö	
5	310	dish	edény	edeeɲ	
5	320	plate	tányér	taaɲeer	
5	330	bowl	tál	taal	
5	340	pitcher, jug	köczög; korsó; kanczó	köčög; koršoo; kančoo	
5	350	cup, drinking vessel	czésze	čeese	
5	360	saucer	czészealy	čeesealy	
5	370	spoon	kanál	kanaal	
5	380	knife (2)	kés	keeš	
5	390	fork (2)	villa	willa	
5	391	tongs	fogó	fogoo	
5	410	meal (a)	étkezés; étel	eetkezeeš; eetel	
5	420	breakfast	reggeli; tízórai	reggeli; tiizoorai	
5	430	lunch	löncz; étkezés	lönč; eetkezeeš	
5	440	dinner	ebéd	ebeed	
5	450	supper	vaczora	wačora	
5	460	peel	hámoz	haamoz	
5	470	sieve, strain	szűr; átszűr	süür; aatsüür	
5	480	scrape	levakar	lewakar	
5	490	stir, mix	kever; vegyít	kewer; wedʸiit	
5	510	bread	kenyér	keɲeer	
5	530	dough	tészta	teesta	
