chapter_id	entry_id	meaning	Komi_Phonemic	comment
1	100	world	enköla; mu	
1	210	earth, land	mu	
1	212	earth=ground, soil	musin; pod; poduv	
1	213	dust	bus	
1	214	mud	nyayt	
1	215	sand	lɩa	
1	220	mountain, hill	ker̃ös; nör̃ɩs	Respectively: mountain; hill.; Respectively: mountain; hill.
1	222	cliff, precipice	kɩr̃ta	
1	230	plain, field	tšötškösin; er̃d; er̃d vɩv	Respectively: plain; field.; Respectively: plain; field.; Respectively: plain; field.
1	240	valley	kovtɩs	
1	250	island	di	
1	260	mainland	mater̃ik	
1	270	shore	vador̃	
1	280	cave	gor̃s	
1	310	water	va	
1	320	sea	sar̃idz	
1	322	calm (of sea)	lönʸ	
1	323	rough (of sea)	gɩa; gɩzʸöm	
1	324	foam	bɩg	
1	329	ocean	okean	
1	330	lake	tɩ; vad	
1	340	gulf, bay	kur̃ya	
1	342	reef	va kɩr̃ta	
1	343	headland, point	ködž; kötšas	
1	350	wave	gɩ	
1	352	tide	va tuöm; va sodöm; va usʸöm	
1	353	lowtide	va usʸöm	
1	354	hightide	va sodöm	
1	360	river, stream, brook	yu; vizuv; šor̃	
1	362	whirlpool	vaber̃gač	
1	370	spring, well	öšmös; yukmös	
1	380	swamp	nyur̃	
1	390	waterfall	bor̃gan	
1	410	woods, forest	vör̃	
1	420	tree (cf 08.600)	pu	
1	430	wood	vör̃; ker̃	
1	440	stone, rock	iz; kɩr̃ta	
1	450	earthquake	mu vör̃öm	
1	510	sky	enež	
1	520	sun	šondi	
1	530	moon	tölɩsʸ	
1	540	star	kodzuv	
1	550	lightning	vir̃d	
1	560	thunder	gɩm	
1	570	lightning (as striking)	gɩmnʸöv	
1	580	storm	tövnɩr̃; buškov	
1	590	rainbow	öškamöška	
1	610	light (noun)	yugɩd; bi	
1	620	darkness	pemɩd	
1	630	shade, shadow	vudžör̃	
1	640	dew	lɩsva	
1	710	air	sɩnöd	
1	720	wind	töv	
1	730	cloud	kɩmör̃	
1	740	fog	r̃u	
1	750	rain (noun)	zer̃	
1	760	snow (noun)	lɩm	
1	770	ice	yi	
1	780	weather	povoddya	
1	810	fire	bi	
1	820	flame (noun)	nyala bi	
1	830	smoke (noun)	tšɩn	
1	840	ashes	pöim	
1	841	embers	ögɩr̃	
1	851	burn (vb trans)	sotnɩ	
1	852	burn (vb intrans)	sotčɩnɩ	
1	860	light, kindle, ignite	öztɩnɩ	
1	861	extinguish	kusödnɩ	
1	870	match (noun)	istög tuv	
1	880	firewood	pes	
1	890	charcoal	šom	
2	100	person, human being	mor̃t	
2	210	man (vs. woman)	mužik; mužik mor̃t	
2	220	woman	nɩvbaba; anʸ	
2	230	male	ay	
2	240	female	enʸ	
2	250	boy	zon; zonka	
2	251	young man (adolescent)	zon; tom mor̃t	
2	260	girl	nɩv; nɩvka	
2	261	young woman (adolescent)	nɩv	
2	270	child	kaga; čelyadʸ; nɩv-či	
2	280	infant, baby	kaga	
2	310	husband	ver̃ös	
2	320	wife	götɩr̃	
2	330	marry	götr̃asʸnɩ; ver̃ös sayo munnɩ	Respectively: to get married (about man); to get married (about woman).; Respectively: to get married (about man); to get married (about woman).
2	340	marriage, wedding	ver̃ös sayö munöm; kölɩsʸ	Respectively: marriage; wedding.; Respectively: marriage; wedding.
2	341	divorce	yuksʸöm	
2	350	father	batʸ; ay	
2	360	mother	mam	
2	370	parents	ay-mam; batʸ-mam	
2	380	married man	götɩr̃a	
2	390	married woman	ver̃ös sayɩn	
2	410	son	pi	
2	420	daughter	nɩv	
2	430	offspring (son or daughter)	yɩlöm	
2	440	brother	vok	
2	444	older brother	ɩdžɩd vok	
2	445	younger brother	ičötdžɩk vok	
2	450	sister	čoy	
2	454	older sister	ɩdžɩd čoy	
2	455	younger sister	ičötdžɩk čoy	
2	456	sibling	čoya-voka	
2	458	twins	dvöyni	
2	460	grandfather	ɩdžɩd ay; pölʸ	
2	461	old man	pör̃ɩsʸ mor̃t	
2	470	grandmother	pöč; ɩdžɩd mam	
2	471	old woman	pör̃ɩsʸ nɩvbaba	
2	480	grandson	pölʸön šuɩsʸ; pögön šuɩsʸ	
2	490	granddaughter	pölʸön šuɩsʸ; pögön šuɩsʸ	
2	510	uncle	dyadʸ; čož	
2	511	mother's brother	čož	
2	512	father's brother	dyadʸ	
2	520	aunt	tʸöt	
2	521	mother's sister	ičinʸ	
2	522	father's sister	ob	
2	530	nephew	plemyannik	
2	540	niece	plemyannic̷a	
2	550	cousin	voga vok; bratan; voga čoy	
2	560	ancestors	pöč-pölʸ	
2	570	descendants	kotɩr̃; yɩlöm	
2	610	father-in-law (of a man)	ayka	
2	611	father-in-law (of a woman)	testʸ	
2	620	mother-in-law (of a man)	enʸka; inʸka	
2	621	mother-in-law (of a woman)	tʸöšʸa	
2	630	son-in-law (of a man)	zyatʸ	
2	631	son-in-law (of a woman)	zyatʸ	
2	640	daughter-in-law (of a man)	monʸ; kev	
2	641	daughter-in-law (of a woman)	monʸ; kev	
2	710	stepfather	dyadʸ	
2	720	stepmother	tʸötka; ičinʸ	
2	730	stepson	tʸöttom pi; dyadʸvodz pi	
2	740	stepdaughter	tʸötpom nɩv; dyadʸvodz nɩv	
2	750	orphan	batʸ-mamtöm kaga	
2	760	widow	döva	
2	770	widower	döveč	
2	810	relatives, kinsmen	r̃ödvuž; r̃öd	
2	820	family	semʸa; kotɩr̃	
2	910	I	me	
2	920	you (singular)	te	
2	930	he/she/it	siyö	
2	940	we	mi	
2	941	we (inclusive)	mi	
2	942	we (exclusive)	mi	
2	950	you (plural)	ti	
2	960	they	nayö	
3	110	animal	pemös; vör̃sa pemös	
3	120	male (adj)	ay	
3	130	female (adj)	enʸ	
3	150	livestock	vöv-mös; gor̃tsa pemös	
3	160	pasture	yir̃syanin	
3	180	herdsman	sköt vidzɩsʸ; penösʸ vidzɩsʸ	
3	190	stable, stall	kar̃ta; gid	
3	200	cattle (bovine)	vöv-mös; gor̃tsa pemös	
3	210	bull	öš	
3	220	ox	öš	
3	230	cow	mös	
3	240	calf	kuk; kukanʸ	
3	250	sheep	ɩž; balya	
3	260	ram	mež; megö	
3	280	ewe	ɩž	
3	290	lamb	balyapi; ɩžpi	
3	320	boar	vör̃ por̃sʸ	
3	340	sow (2)	por̃sʸ	
3	350	pig	por̃sʸpi	
3	360	goat	köza	
3	370	he-goat	ay köza	
3	380	kid	közapi	
3	410	horse (equine)	vöv	
3	420	stallion	už	
3	440	mare	köbɩla	
3	450	foal, colt	čanʸ; čibö	
3	460	ass, donkey	osyol	
3	500	fowl	čipan	
3	520	cock, rooster	petuk	
3	540	hen	kur̃ög	
3	550	chicken	čipanpi; kur̃öčpi	
3	560	goose	dzodzög	
3	570	duck	utka; čöž	
3	580	nest	poz	
3	581	bird	lebač; kay; pötka	
3	582	seagull	kalya	
3	583	heron	c̷aplya	
3	584	eagle	kutš	
3	585	hawk	var̃ɩš	
3	591	bat	bor̃dya šɩr̃; nyabor̃dya šɩr̃	
3	592	parrot	pöpugay	
3	593	crow	r̃aka	
3	594	dove	gulyu	
3	596	owl	syuzʸ	
3	610	dog	pon	
3	614	rabbit	kr̃olik; seč	
3	620	cat	kanʸ	
3	622	opossum	opossum	
3	630	mouse, rat	šɩr̃; kr̃ɩsa	
3	650	fish	čer̃i	
3	652	fin (dorsal)	bor̃d	
3	653	fishscale	sʸöm	
3	654	gill	nyokčim	
3	655	shell	r̃akpanʸ	
3	661	shark	akula	
3	662	porpoise, dolphin	delʸfin	
3	663	whale	kit	
3	664	stingray	skat	
3	665	freshwater eel	yun; nyugley	
3	710	wolf	köin	
3	720	lion	lev	
3	730	bear	oš	
3	740	fox	r̃uč	
3	750	deer	kör̃	
3	760	monkey	öbezʸyana	
3	770	elephant	slön	
3	780	camel	ver̃blyud	
