chapter_id	entry_id	meaning	Erzya Mordvin_Phonemic	comment
2	220	woman	ava lomanʸ	
2	230	male	c̷ʸor̃anʸ	
2	240	female	avanʸ	
2	250	boy	c̷ʸor̃ɨnʸe	
2	251	young man (adolescent)	od lomanʸ	
2	260	girl	tʸeytʸer̃ʸ	
2	261	young woman (adolescent)	od tʸeytʸer̃ʸ	
2	270	child	eykakš	
2	280	infant, baby	eydʸe	
2	310	husband	mir̃ʸdʸe	
2	320	wife	nʸi	
2	330	marry	ur̃ʸvakstoms; venčams	
2	340	marriage, wedding	svadʸba	
2	341	divorce	yavoma	
2	350	father	tʸetʸa	
2	360	mother	ava	
2	370	parents	tʸetʸat-avat	
2	380	married man	ur̃ʸvakstozʸ c̷ʸora	
2	390	married woman	venčazʸ ava	
2	410	son	c̷ʸor̃a	
2	420	daughter	tʸeytʸer̃ʸ	
2	430	offspring (son or daughter)	eykakš	
2	440	brother	lʸelʸa	
2	445	younger brother	yalaks	
2	450	sister	patʸa	
2	454	older sister	patʸa	
2	455	younger sister	sazor̃	
2	456	sibling	eykakšt	
2	458	twins	kaltasʸketʸ	
2	460	grandfather	bodʸa; pokštʸa	
2	461	old man	atʸa	
2	470	grandmother	sɨr̃ʸe baba	
2	471	old woman	sɨr̃ʸe lomanʸ	
2	480	grandson	nuc̷ʸka	
2	490	granddaughter	nuc̷ʸka	
2	510	uncle	lʸelʸa	
2	511	mother's brother	lʸelʸa	
2	512	father's brother	lʸelʸax	
2	520	aunt	sɨr̃ʸe patʸa	
2	521	mother's sister	sɨr̃ʸkay	
2	522	father's sister	sɨr̃ʸkay	
2	530	nephew	lʸelʸanʸ c̷ʸor̃a	
2	540	niece	patʸanʸ tʸeytʸer̃ʸ	
2	550	cousin	lʸelʸa	
2	560	ancestors	pokštʸat-babat	
2	570	descendants	r̃asʸke	
2	610	father-in-law (of a man)	atʸavt	
2	611	father-in-law (of a woman)	atʸavt	
2	620	mother-in-law (of a man)	nʸizanʸa	
2	621	mother-in-law (of a woman)	avavt	
2	630	son-in-law (of a man)	sodamo	
2	631	son-in-law (of a woman)	sodamo	
2	640	daughter-in-law (of a man)	ur̃ʸva	
2	641	daughter-in-law (of a woman)	ur̃ʸaž	
2	710	stepfather	sayenʸ tʸetʸa	
2	720	stepmother	od ava	
2	730	stepson	sayenʸ eykakš	
2	740	stepdaughter	sayenʸ tʸeytʸer̃ʸ	
2	750	orphan	ur̃oz	
2	760	widow	dova	
2	770	widower	dova	
2	810	relatives, kinsmen	r̃asʸketʸ	
2	820	family	sʸemiya	
2	910	I	mon	
2	920	you (singular)	ton	
2	930	he/she/it	son	
2	940	we	minʸ	
2	941	we (inclusive)	minʸc̷ʸ	
2	942	we (exclusive)	minʸc̷ʸ	
2	950	you (plural)	tɨnʸ	
2	960	they	sɨnʸ	
3	110	animal	r̃akša	
3	120	male (adj)	atʸaka	
3	130	female (adj)	avaka	
3	150	livestock	kudo yutkonʸ r̃akša	
3	160	pasture	vanoma tar̃ka	
3	180	herdsman	stada vanɨ	
3	190	stable, stall	kar̃do	
3	200	cattle (bovine)	kudonʸ r̃akšat	
3	210	bull	buka	
3	220	ox	pičkavtozʸ buka	
3	230	cow	skal	
3	240	calf	vaz	
3	250	sheep	r̃ʸeve	
3	260	ram	bar̃an	
3	280	ewe	r̃ʸeve	
3	290	lamb	r̃ʸevelʸevks	
3	320	boar	atʸaka tuvo	
3	340	sow (2)	tuvo	
3	350	pig	pur̃c̷uz	
3	360	goat	avaka sʸeya	
3	370	he-goat	atʸaka sʸeya	
3	380	kid	sʸeya lʸevks	
3	410	horse (equine)	lʸišme	
3	420	stallion	aygor̃	
3	440	mare	elʸdʸe	
3	450	foal, colt	vašo; par̃nɨ	
3	460	ass, donkey	osʸol	
3	470	mule	mul	
3	500	fowl	sar̃az; kudoyutkonʸ nor̃munʸ	
3	520	cock, rooster	atʸakš	
3	540	hen	sar̃az	
3	550	chicken	c̷ɨpaka	
3	560	goose	gala	
3	570	duck	yaksʸar̃go	
3	580	nest	pize	
3	581	bird	nar̃munʸ	
3	582	seagull	čayka	
3	583	heron	sʸenʸksʸ	
3	584	eagle	vadov	
3	585	hawk	kaval	
3	586	vulture	kaval	
3	591	bat	kedʸ nʸemulʸav	
3	592	parrot	popugay	
3	593	crow	var̃aka	
3	594	dove	gulʸka	
3	596	owl	pokš͜ pr̃ʸa͜ kor̃š	
3	610	dog	kiska	
3	614	rabbit	paksʸa numolo	
3	620	cat	psaka	
3	630	mouse, rat	čeyer̃ʸ	
3	650	fish	kal	
3	652	fin (dorsal)	uyemka	
3	654	gill	žabr̃at	
3	655	shell	akula	
3	662	porpoise, dolphin	delʸfin	
3	663	whale	kit	
3	665	freshwater eel	guy kal	
3	710	wolf	ver̃ʸgiz	
3	720	lion	lev	
3	730	bear	ovto	
3	740	fox	r̃ʸivezʸ	
3	750	deer	sʸar̃do	
3	760	monkey	obezʸgan	
3	770	elephant	slon	
3	780	camel	ver̃blʸud	
3	811	louse	sʸiy	
3	812	nit (louse egg)	sʸar̃ko	
3	813	flea	čičav	
