chapter_id	entry_id	meaning	Northern Saami_Phonemic	comment
2	480	grandson	addyut; ahkkut	Respectively: for grandfather or great-grandfather; for grandmother or great-grandmother.; Respectively: for grandfather or great-grandfather; for grandmother or great-grandmother.
2	490	granddaughter	addyut; ahkkut	Respectively: for grandfather or great-grandfather; for grandmother or great-grandmother.; Respectively: for grandfather or great-grandfather; for grandmother or great-grandmother.
2	510	uncle	eɑnu; čeɑhc̷i; eɑhki	
2	511	mother's brother	eɑnu	
2	512	father's brother	čeɑhc̷i; eɑhki	Respectively: older; younger.; Respectively: older; younger.
2	520	aunt	siessa; goɑski; muoθθa	
2	521	mother's sister	goɑski; muoθθa	Respectively: older; younger.; Respectively: older; younger.
2	522	father's sister	siessa	
2	530	nephew	vielyɑbar̃dni; oɑppabar̃dni	Respectively: brother's son; sister's son.; Respectively: brother's son; sister's son.
2	540	niece	vielyɑnieidɑ; oɑppanieidɑ	Respectively: brother's daughter; sister's daughter.; Respectively: brother's daughter; sister's daughter.
2	550	cousin	oɑmbeɑlli; vilbeɑlle; čeɑhc̷i; eɑhki; siessa; muoθθa; goɑski; eɑnu	Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.; Respectively: female; male; father's male cousin (younger than father); father's male cousin (older than father); father's female cousin; mother's female cousin (younger than mother); mother's female cousin (older than mother); mother's male cousin.
2	560	ancestors	maddɑr̃ɑt	
2	570	descendants	mɑŋisboɑhttit	
2	610	father-in-law (of a man)	vuohppɑ	
2	611	father-in-law (of a woman)	vuohppɑ	
2	620	mother-in-law (of a man)	vuoni	
2	621	mother-in-law (of a woman)	vuoni	
2	630	son-in-law (of a man)	vivvɑ	
2	631	son-in-law (of a woman)	vivvɑ	
2	640	daughter-in-law (of a man)	mɑnɲi	
2	641	daughter-in-law (of a woman)	mɑnɲi	
2	710	stepfather	biebmoahčči	
2	720	stepmother	biebmoeɑdni	
2	730	stepson	biebmobar̃dni	
2	740	stepdaughter	biebmonieidɑ	
2	750	orphan	oɑr̃bbis	
2	760	widow	leɑskɑ	
2	770	widower	leɑskɑ	
2	810	relatives, kinsmen	fulkkeǰɑt	
2	820	family	beɑr̃ɑš	
2	910	I	mun	
2	920	you (singular)	don	
2	930	he/she/it	son; dɑt	
2	940	we	moɑi; mii	Respectively: we two; we (more than two).; Respectively: we two; we (more than two).
2	950	you (plural)	doɑi; dii	Respectively: you two; you (more than two).; Respectively: you two; you (more than two).
2	960	they	soɑi; sii	Respectively: they two; they (more than two).; Respectively: they two; they (more than two).
3	110	animal	eɑlli	
3	120	male (adj)	vɑr̃is	
3	130	female (adj)	ɲiŋŋelɑs	
3	150	livestock	gussɑeɑlli	
3	160	pasture	guohtun	
3	180	herdsman	guoðoheɑddyi	
3	190	stable, stall	navet	
3	200	cattle (bovine)	gussɑeɑlli	
3	210	bull	bur̃r̃u	
3	220	ox	vuoksa	
3	230	cow	gussɑ	
3	240	calf	galbi; miessi	Respectively: of cow; of reindeer, etc.; Respectively: of cow; of reindeer, etc.
3	250	sheep	savd͜zɑ	
3	260	ram	vier̃c̷ɑ	
3	290	lamb	lappis	
3	320	boar	vɑr̃isspiidni	
3	340	sow (2)	eɑdnespiidni	
3	350	pig	spiidni	
3	360	goat	gaic̷ɑ	
3	370	he-goat	bohkka	
3	380	kid	gihc̷c̷i	
3	410	horse (equine)	heɑstɑ	
3	420	stallion	or̃e	
3	440	mare	damma	
3	450	foal, colt	var̃sa	
3	460	ass, donkey	ase	
3	470	mule	mulasen	
3	500	fowl	suoyalɑččɑt	Plural form.
3	520	cock, rooster	vuonc̷avɑr̃is	
3	540	hen	vuonc̷c̷is	
3	550	chicken	vuonc̷ačivgɑ	
3	560	goose	čuoɲɑ	
3	570	duck	suor̃sa	
3	580	nest	beɑssi	
3	581	bird	loddi	
3	582	seagull	gair̃u	
3	583	heron	haigir̃	
3	584	eagle	goɑskin	
3	585	hawk	falli	
3	586	vulture	r̃ahtogoɑskin	
3	591	bat	gir̃disahpan	
3	592	parrot	pahpegoiya	
3	593	crow	vuor̃ččis	
3	594	dove	duvva	
3	596	owl	skuolfi	
3	610	dog	beɑnɑ	
3	614	rabbit	ɲoɑmmil	
3	620	cat	bussa	
3	630	mouse, rat	sahpan; roɑhttu	
3	650	fish	guolli	
3	652	fin (dorsal)	veɑksi	
3	653	fishscale	čuopmɑ	
3	654	gill	suovdi	
3	655	shell	skalǰu	
3	661	shark	ahkolɑkkis	
3	662	porpoise, dolphin	nissu	
3	663	whale	falis	
3	710	wolf	gumpe	
3	720	lion	ledyon	
3	730	bear	guovǰɑ	
3	740	fox	r̃iebɑn	
3	750	deer	sɑr̃vvɑ	
3	760	monkey	ahppɑ	
3	770	elephant	elefantɑ	
3	780	camel	kamel	
3	810	insect	divr̃i	
3	811	louse	dihkki	
3	812	nit (louse egg)	čivr̃osɑt	Plural form.
3	813	flea	lɑhpis	
3	814	centipede	duhatyuolggɑt	
3	815	scorpion	skor̃piovdnɑ	
3	817	ant	gotkɑ	
3	818	spider	heɑvdni	
3	819	spider web	heɑvnni-fier̃bmi	
3	820	bee	mieðɑšeɑtni	
3	823	wasp	vievssis	
3	830	fly	čur̃u	
3	831	sandfly (midge), gnat	muogir̃	
3	832	mosquito	čuoikɑ	
3	840	worm	mahtu	
3	850	snake	geɑr̃pmɑš	
3	920	butterfly	beɑiveloddi	
3	930	grasshopper	r̃asselohkku	
3	940	snail	r̃iipu	
3	950	frog	c̷uoppu	
3	960	lizard	deɑččɑlɑkkis	
3	970	crocodile, alligator	kr̃okodillɑ	
3	980	turtle	gɑlbɑr̃ihc̷c̷i	
4	110	body	gor̃ut	
4	120	skin, hide	liiki; nahkki	
4	130	flesh	oɑǰǰi	
4	140	hair (head)	vuoktɑ	
4	142	beard	seɑmu	
4	145	pubic hair	siehppɑ	
4	146	dandruff	gɑtnɑ	
4	150	blood	vɑr̃r̃ɑ	
4	151	vein, artery	suotnɑ	
4	160	bone	dakti	
4	162	rib	er̃ttet	
