#case       	singular     	dual            	plural         	being	m	nt    	athematic
nominative  	*ténh₂us     	*ténh₂uh₁(e)    	*ténh₂ewes     	thin 	m	u/wih₂	athematic
vocative    	*ténh₂u      	*ténh₂uh₁(e)    	*ténh₂ewes     	thin 	m	u/wih₂	athematic
accusative  	*ténh₂um     	*ténh₂uh₁(e)    	*ténh₂ums      	thin 	m	u/wih₂	athematic
genitive    	*tnₒh₂éws    	*?              	*tnₒh₂éwoHom   	thin 	m	u/wih₂	athematic
ablative    	*tnₒh₂éws    	*?              	*tnₒh₂úmos     	thin 	m	u/wih₂	athematic
dative      	*tnₒh₂éwey   	*?              	*tnₒh₂úmos     	thin 	m	u/wih₂	athematic
locative    	*tnₒh₂éwi    	*?              	*tnₒh₂úsu      	thin 	m	u/wih₂	athematic
instrumental	*tnₒh₂úh₁    	*?              	*tnₒh₂úbʰi     	thin 	m	u/wih₂	athematic
nominative  	*tnₒh₂éwih₂  	*tnₒh₂éwih₂h₁(e)	*tnₒh₂éwih₂es  	thin 	f	u/wih₂	athematic
vocative    	*tnₒh₂éwih₂  	*tnₒh₂éwih₂h₁(e)	*tnₒh₂éwih₂es  	thin 	f	u/wih₂	athematic
accusative  	*tnₒh₂éwih₂mₒ	*tnₒh₂éwih₂h₁(e)	*tnₒh₂éwih₂mₒs 	thin 	f	u/wih₂	athematic
genitive    	*tnₒh₂uyéh₂s 	*?              	*tnₒh₂uyéh₂oHom	thin 	f	u/wih₂	athematic
ablative    	*tnₒh₂uyéh₂s 	*?              	*tnₒh₂uyéh₂mos 	thin 	f	u/wih₂	athematic
dative      	*tnₒh₂uyéh₂ey	*?              	*tnₒh₂uyéh₂mos 	thin 	f	u/wih₂	athematic
locative    	*tnₒh₂uyéh₂i 	*?              	*tnₒh₂uyéh₂su  	thin 	f	u/wih₂	athematic
instrumental	*tnₒh₂uyéh₂h₁	*?              	*tnₒh₂uyéh₂bʰi 	thin 	f	u/wih₂	athematic
nominative  	*ténh₂u      	*ténh₂wih₁      	*ténh₂uh₂      	thin 	n	u/wih₂	athematic
vocative    	*ténh₂u      	*ténh₂wih₁      	*ténh₂uh₂      	thin 	n	u/wih₂	athematic
accusative  	*ténh₂u      	*ténh₂wih₁      	*ténh₂uh₂      	thin 	n	u/wih₂	athematic
genitive    	*tnₒh₂éws    	*?              	*tnₒh₂éwoHom   	thin 	n	u/wih₂	athematic
ablative    	*tnₒh₂éws    	*?              	*tnₒh₂úmos     	thin 	n	u/wih₂	athematic
dative      	*tnₒh₂éwey   	*?              	*tnₒh₂úmos     	thin 	n	u/wih₂	athematic
locative    	*tnₒh₂éwi    	*?              	*tnₒh₂úsu      	thin 	n	u/wih₂	athematic
instrumental	*tnₒh₂úh₁    	*?              	*tnₒh₂úbʰi     	thin 	n	u/wih₂	athematic
