#                 	                	                   	                	              	          	6.4.1.     	From the bases of the personal pronouns, the oldest possessive pronouns seem to have been mos, mine, ṇsmós, ours, twos, thine, usmós, yours, swos, own.                                                           
#                 	                	                   	                	              	          	6.4.2.     	The common Late Indo-European possessives were formed from the same bases with suffixes -(i)jo- in the singular, -(t)ero- in the plural; as, méwijos, menjos, my,ṇserós, our, téwijos, thy, userós, your, séwijos.
#                 	                	                   	                	              	          	6.4.3.     	Possessives are declined like adjectives of the first type, in -os, -ā, -om.                                                                                                                                      
# possessor-person	possessor-gender	possessor-plurality	possessed-gender	possessed-case	singular  	dual       	plural                                                                                                                                                                                                            
                  
2                 	neuter          	singular           	masculine       	vocative      	téwije    	téwijoh₁   	téwijoes                                                                                                                                                                                                          
2                 	neuter          	singular           	masculine       	accusative    	téwijom   	téwijoh₁   	téwijoms                                                                                                                                                                                                          
2                 	neuter          	singular           	masculine       	genitive      	téwijosyo 	         	téwijoHom                                                                                                                                                                                                         
2                 	neuter          	singular           	masculine       	ablative      	téwijead  	         	téwijomos                                                                                                                                                                                                         
2                 	neuter          	singular           	masculine       	dative        	téwijoey  	         	téwijomos                                                                                                                                                                                                         
2                 	neuter          	singular           	masculine       	locative      	téwijoy   	         	téwijoysu                                                                                                                                                                                                         
2                 	neuter          	singular           	masculine       	instrumental  	téwijoh₁  	         	téwijōys                                                                                                                                                                                                          
                  
2                 	neuter          	singular           	feminine        	nominative    	téwijeh₂  	téwijeh₂h₁e	téwijeh₂es                                                                                                                                                                                                        
2                 	neuter          	singular           	feminine        	vocative      	téwijeh₂  	téwijeh₂h₁e	téwijeh₂es                                                                                                                                                                                                        
2                 	neuter          	singular           	feminine        	accusative    	téwijām   	téwijeh₂h₁e	téwijeh₂m̥s                                                                                                                                                                                                       
2                 	neuter          	singular           	feminine        	genitive      	téwijeh₂s 	         	téwijeh₂oHom                                                                                                                                                                                                      
2                 	neuter          	singular           	feminine        	ablative      	téwijeh₂s 	         	téwijeh₂mos                                                                                                                                                                                                       
2                 	neuter          	singular           	feminine        	dative        	téwijeh₂ey	         	téwijeh₂mos                                                                                                                                                                                                       
2                 	neuter          	singular           	feminine        	locative      	téwijeh₂i 	         	téwijeh₂su                                                                                                                                                                                                        
2                 	neuter          	singular           	feminine        	instrumental  	téwijeh₂h₁	         	téwijeh₂bʰi                                                                                                                                                                                                       
                  
2                 	neuter          	singular           	neuter          	nominative    	téwijom   	téwijoyh₁	téwijeh₂                                                                                                                                                                                                          
2                 	neuter          	singular           	neuter          	vocative      	téwijom   	téwijoyh₁	téwijeh₂                                                                                                                                                                                                          
2                 	neuter          	singular           	neuter          	accusative    	téwijom   	téwijoyh₁	téwijeh₂                                                                                                                                                                                                          
2                 	neuter          	singular           	neuter          	genitive      	téwijosyo 	         	téwijoHom                                                                                                                                                                                                         
2                 	neuter          	singular           	neuter          	ablative      	téwijead  	         	téwijomos                                                                                                                                                                                                         
2                 	neuter          	singular           	neuter          	dative        	téwijoey  	         	téwijomos                                                                                                                                                                                                         
2                 	neuter          	singular           	neuter          	locative      	téwijoy   	         	téwijoysu                                                                                                                                                                                                         
2                 	neuter          	singular           	neuter          	instrumental  	téwijoh₁  	         	téwijōys                                                                                                                                                                                                          
                  
2                 	neuter          	plural             	masculine       	nominative    	userós    	useróh₁    	useróes                                                                                                                                                                                                           
2                 	neuter          	plural             	masculine       	vocative      	useré     	useróh₁    	useróes                                                                                                                                                                                                           
2                 	neuter          	plural             	masculine       	accusative    	useróm    	useróh₁    	useróms                                                                                                                                                                                                           
2                 	neuter          	plural             	masculine       	genitive      	userósyo  	         	useróHom                                                                                                                                                                                                          
2                 	neuter          	plural             	masculine       	ablative      	useréad   	         	userómos                                                                                                                                                                                                          
2                 	neuter          	plural             	masculine       	dative        	useróey   	         	userómos                                                                                                                                                                                                          
2                 	neuter          	plural             	masculine       	locative      	useróy    	         	useróysu                                                                                                                                                                                                          
2                 	neuter          	plural             	masculine       	instrumental  	useróh₁   	         	userṓys                                                                                                                                                                                                           
                  
2                 	neuter          	plural             	feminine        	nominative    	useréh₂   	useréh₂h₁e 	useréh₂es                                                                                                                                                                                                         
