#declension 	ie-singular	ie-dual     	ie-plural   	collective 	emoji	emoji-property	en-noun  	preposition	gender	stem          	class    
nominative  	wlₒkʷos    	wlₒkʷoh₁    	wlₒkʷoes    	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
accusative  	wlₒkʷom    	wlₒkʷoh₁    	wlₒkʷoms    	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
vocative    	wlₒkʷe     	wlₒkʷoh₁    	wlₒkʷoes    	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
genitive    	wlₒkʷosyo  	            	wlₒkʷoHom   	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
ablative    	wlₒkʷead   	            	wlₒkʷomos   	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
dative      	wlₒkʷoey   	            	wlₒkʷomos   	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
locative    	wlₒkʷoy    	            	wlₒkʷoysu   	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
instrumental	wlₒkʷoh₁   	            	wlₒkʷōys    	           	🐺    	🍖             	wolf     	by         	m     	o             	thematic 
nominative  	h₂ōwyóm    	h₂ōwyóyh₁   	h₂ōwyéh₂    	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
accusative  	h₂ōwyóm    	h₂ōwyóyh₁   	h₂ōwyéh₂    	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
vocative    	h₂ōwyóm    	h₂ōwyóyh₁   	h₂ōwyéh₂    	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
genitive    	h₂ōwyósyo  	            	h₂ōwyóHom   	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
ablative    	h₂ōwyéad   	            	h₂ōwyómos   	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
dative      	h₂ōwyóey   	            	h₂ōwyómos   	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
locative    	h₂ōwyóy    	            	h₂ōwyóysu   	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
instrumental	h₂ōwyóh₁   	            	h₂ōwyṓys    	           	🥚    	🐥             	egg      	by         	n     	o             	thematic 
nominative  	h₁éḱweh₂   	h₁éḱweh₂ih₁ 	h₁éḱweh₂es  	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
accusative  	h₁éḱweh₂m  	h₁éḱweh₂ih₁ 	h₁éḱweh₂ns  	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
vocative    	h₁éḱweh₂   	h₁éḱweh₂ih₁ 	h₁éḱweh₂es  	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
genitive    	h₁éḱweh₂es 	            	h₁éḱweh₂om  	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
ablative    	h₁éḱweh₂es 	            	h₁éḱweh₂bʰos	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
dative      	h₁éḱweh₂ey 	h₁éḱweh₂bʰām	h₁éḱweh₂bʰos	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
locative    	h₁éḱweh₂i  	h₁éḱweh₂bʰām	h₁éḱweh₂su  	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
instrumental	h₁éḱweh₂eh₁	h₁éḱweh₂bʰām	h₁éḱweh₂bʰis	           	🐎    	💩             	mare     	by         	f     	eh₂           	thematic 
nominative  	gʰóstisis  	gʰóstisih₁e 	gʰóstiseyes 	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
accusative  	gʰóstisim  	gʰóstisih₁e 	gʰóstisims  	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
vocative    	gʰóstisi   	gʰóstisih₁e 	gʰóstiseyes 	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
genitive    	gʰostéys   	            	gʰostéyoHom 	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
ablative    	gʰostéys   	            	gʰostímos   	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
dative      	gʰostéyey  	            	gʰostímos   	           	🦹    	💎             	enemy    	by         	f     	i             	athematic
