# case      	person       	gender   	plurality	clitic  	pie-declined     	
nominative  	interrogative	         	         	        	                 
accusative  	interrogative	         	         	        	                 
genitive    	interrogative	         	         	        	                 
dative      	interrogative	         	         	        	                 
locative    	interrogative	         	         	        	                 
nominative  	interrogative	         	         	        	                 
accusative  	interrogative	         	         	        	                 
genitive    	interrogative	         	         	        	                 
dative      	interrogative	         	         	        	                 
locative    	interrogative	         	         	        	                 
nominative  	interrogative	         	         	        	kʷéyes           	
accusative  	interrogative	         	         	        	kʷíms            	
genitive    	interrogative	         	         	        	kʷéysom          	
dative      	interrogative	         	         	        	kʷeybʰ           	
locative    	interrogative	         	         	        	kʷeysu           	
nominative  	interrogative	         	         	        	kʷéyes           	
accusative  	interrogative	         	         	        	kʷíms            	
genitive    	interrogative	         	         	        	kʷéysom          	
dative      	interrogative	         	         	        	kʷeybʰ           	
locative    	interrogative	         	         	        	kʷeysu           	
nominative  	interrogative	         	         	        	kʷíh₂            	
accusative  	interrogative	         	         	        	kʷíh₂            	
genitive    	interrogative	         	         	        	kʷéysom          	
dative      	interrogative	         	         	        	kʷeybʰ           	
locative    	interrogative	         	         	        	kʷeysu           	
nominative  	interrogative	         	         	        	kʷós             	
accusative  	interrogative	         	         	        	kʷóm             	
genitive    	interrogative	         	         	        	kʷósyo           	
dative      	interrogative	         	         	        	kʷósmey          	
nominative  	interrogative	         	         	        	kʷéh₂            	
accusative  	interrogative	         	         	        	kʷéh₂m           	
genitive    	interrogative	         	         	        	                 	
dative      	interrogative	         	         	        	                 	
nominative  	interrogative	         	         	        	kʷód             	
accusative  	interrogative	         	         	        	kʷód             	
genitive    	interrogative	         	         	        	kʷósyo           	
dative      	interrogative	         	         	        	kʷósmey          
nominative  	interrogative	         	         	        	kʷóy             	
accusative  	interrogative	         	         	        	kʷóms            	
genitive    	interrogative	         	         	        	                 	
dative      	interrogative	         	         	        	                 	
nominative  	interrogative	         	         	        	kʷeh₂(e)s        	
accusative  	interrogative	         	         	        	kʷeh₂ms          	
genitive    	interrogative	         	         	        	                 	
dative      	interrogative	         	         	        	                 	
nominative  	interrogative	         	         	        	kʷeh₂            	
accusative  	interrogative	         	         	        	kʷeh₂            	
genitive    	interrogative	         	         	        	                 	
dative      	interrogative	         	         	        	                 
nominative  	demonstrative	         	         	        	só               	
accusative  	demonstrative	         	         	        	tóm              	
genitive    	demonstrative	         	         	        	tósyo            	
ablative    	demonstrative	         	         	        	tósmead          	
dative      	demonstrative	         	         	        	tósmey           	
locative    	demonstrative	         	         	        	tósmi            	
instrumental	demonstrative	         	         	        	tónoh₁           	
nominative  	demonstrative	         	         	        	séh₂             	
accusative  	demonstrative	         	         	        	tā́m             	
genitive    	demonstrative	         	         	        	tósyeh₂s         	
