frei 	 adjective 	 unimprisoned 	 free; unenslaved; unimprisoned
frei 	 adjective 	 free 	 free; unenslaved; unimprisoned
frei 	 adjective 	 unenslaved 	 free; unenslaved; unimprisoned
frei 	 adjective 	 unrestrained 	 free; unrestricted; more negative also: unrestrained; licentious
frei 	 adjective 	 free 	 free; unrestricted; more negative also: unrestrained; licentious
frei 	 adjective 	 unrestricted 	 free; unrestricted; more negative also: unrestrained; licentious
frei 	 adjective 	 licentious 	 free; unrestricted; more negative also: unrestrained; licentious
frei 	 adjective 	 unblocked 	 unblocked; free for passage
frei 	 adjective 	 independent 	 independent; unaffiliated
frei 	 adjective 	 unaffiliated 	 independent; unaffiliated
frei 	 adjective 	 free 	 free of
frei 	 adjective 	 liberal 	 liberal
frei 	 adjective 	 free of charge 	 free of charge, gratis
frei 	 adjective 	 gratis 	 free of charge, gratis
gratis 	 adverb 	 charge 	 free, without charge
gratis 	 adverb 	 free 	 free, without charge
a 	 noun 	 English 	 A
april 	 noun 	 English 	 April
september 	 noun 	 English 	 September
november 	 noun 	 English 	 November
synonym 	 adjective 	 synonymous 	 synonymous
ab 	 adjective 	 off 	 off; not attached to anything anymore
ab 	 adjective 	 off 	 off; not attached to anything anymore
abaxial 	 adjective 	 English 	 abaxial
abdominal 	 adjective 	 English 	 abdominal
aberrant 	 adjective 	 English 	 aberrant
abnormal 	 adjective 	 English 	 abnormal
aboral 	 adjective 	 English 	 aboral
abrupt 	 adjective 	 English 	 abrupt, suddenly
abrupt 	 adjective 	 suddenly 	 abrupt, suddenly
abrupt 	 adjective 	 jerkingly 	 jerkingly
nu 	 interjection 	 yeah 	 yes; yeah; expresses agreement or understanding
nu 	 interjection 	 yes 	 yes; yeah; expresses agreement or understanding
nu 	 interjection 	 well 	 well; fills pause
absent 	 adjective 	 English 	 absent, not present
abstinent 	 adjective 	 English 	 abstinent, teetotal
abstinent 	 adjective 	 teetotal 	 abstinent, teetotal
plural 	 adjective 	 pluralistic 	 pluralistic
haus 	 noun 	 house 	 house
haus 	 noun 	 home 	 home
haus 	 noun 	 theatre 	 theatre
dat 	 pronoun 	 it 	 it
die 	 pronoun 	 that 	 that; which; who; whom; whose
die 	 pronoun 	 which 	 that; which; who; whom; whose
die 	 pronoun 	 whom 	 that; which; who; whom; whose
die 	 pronoun 	 whose 	 that; which; who; whom; whose
die 	 pronoun 	 who 	 that; which; who; whom; whose
die 	 pronoun 	 that 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 she 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 this 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 they 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 her 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 them 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 those 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 these 	 this one; that one; these ones; those ones; she; her; it; they; them
die 	 pronoun 	 it 	 this one; that one; these ones; those ones; she; her; it; they; them
in 	 adjective 	 English 	 in, popular
in 	 adjective 	 popular 	 in, popular
orange 	 adjective 	 English 	 orange
german 	 noun 	 germane 	 germane
pm 	 noun 	 Pressemitteilung 	 Pressemitteilung
pm 	 noun 	 Papiermaschine 	 Papiermaschine
dezember 	 noun 	 December 	 December
zwei 	 numeral 	 two 	 two
man 	 pronoun 	 one 	 one, you
man 	 pronoun 	 you 	 one, you
man 	 pronoun 	 they 	 they, people
man 	 pronoun 	 people 	 they, people
man 	 pronoun 	 somebody 	 someone, somebody
man 	 pronoun 	 someone 	 someone, somebody
man 	 pronoun 	 they 	 they
man 	 adverb 	 just 	 just; only
man 	 adverb 	 only 	 just; only
dick 	 adjective 	 thick 	 thick
dick 	 adjective 	 fat 	 fat
flatulent 	 adjective 	 English 	 flatulent
feist 	 adjective 	 fat 	 fat
hell 	 adjective 	 bright 	 clear, bright, light
hell 	 adjective 	 clear 	 clear, bright, light
hell 	 adjective 	 light 	 clear, bright, light
hell 	 adjective 	 s:de:Die Orgelpfeifen 	 * 1918, Elisabeth von Heyking, Die Orgelpfeifen, in: Zwei Erzählungen, Phillipp Reclam jun. Verlag, page 9
hell 	 adjective 	 w:de:Elisabeth von Heyking 	 * 1918, Elisabeth von Heyking, Die Orgelpfeifen, in: Zwei Erzählungen, Phillipp Reclam jun. Verlag, page 9
ram 	 noun 	 English 	 RAM
led 	 noun 	 English 	 LED
dvd 	 noun 	 English 	 DVD
urban 	 adjective 	 English 	 urban
aborigine 	 noun 	 Aboriginal Australian 	 Aborigine, Aboriginal Australian
aborigine 	 noun 	 English 	 Aborigine, Aboriginal Australian
aborigine 	 noun 	 Aboriginal Australian 	 Aborigine, Aboriginal Australian
aborigine 	 noun 	 English 	 Aborigine, Aboriginal Australian
uhr 	 noun 	 hour 	 hours, o'clock
uhr 	 noun 	 o'clock 	 hours, o'clock
uhr 	 noun 	 clock 	 clock
uhr 	 noun 	 meter 	 meter; gauge
uhr 	 noun 	 gauge 	 meter; gauge
uhr 	 noun 	 watch 	 watch
global 	 adjective 	 English 	 global
also 	 conjunction 	 therefore 	 so, therefore
also 	 conjunction 	 so 	 so, therefore
also 	 adverb 	 then 	 then
also 	 adverb 	 thus 	 thus
also 	 interjection 	 alrightInterjection 	 alright
also 	 interjection 	 soInterjection 	 so
sms 	 noun 	 English 	 SMS
sms 	 noun 	 English 	 SMS &amp;mdash; Seiner Majestät Schiff
