noun 	 ich 	 3699605
pronoun 	 ich 	 3699605
pronoun 	 sie 	 2409949
conjunction 	 dass 	 1952794
pronoun 	 der 	 1952794
verb 	 ist 	 1920535
noun 	 du 	 1890181
pronoun 	 du 	 1890181
interjection 	 nicht 	 1734016
adverb 	 nicht 	 1734016
pronoun 	 der 	 1585020
noun 	 es 	 1460530
pronoun 	 es 	 1460530
interjection 	 und 	 1441012
conjunction 	 und 	 1441012
pronoun 	 der 	 1109693
determiner 	 was 	 1072372
adverb 	 was 	 1072372
pronoun 	 was 	 1072372
preposition 	 zu 	 918548
adjective 	 zu 	 918548
particle 	 zu 	 918548
adverb 	 zu 	 918548
noun 	 er 	 851812
pronoun 	 er 	 851812
adjective 	 ein 	 841835
adverb 	 ein 	 841835
numeral 	 ein 	 841835
preposition 	 in 	 793011
adjective 	 in 	 793011
pronoun 	 ich 	 645137
preposition 	 mit 	 641744
adverb 	 mit 	 641744
noun 	 ja 	 635186
interjection 	 ja 	 635186
adverb 	 ja 	 635186
pronoun 	 der 	 588653
conjunction 	 wie 	 585413
adverb 	 wie 	 585413
pronoun 	 ich 	 570285
preposition 	 auf 	 567544
interjection 	 auf 	 567544
adverb 	 auf 	 567544
conjunction 	 dass 	 555016
numeral 	 ein 	 535419
pronoun 	 einer 	 535419
noun 	 aber 	 523716
conjunction 	 aber 	 523716
adverb 	 aber 	 523716
conjunction 	 so 	 508157
adverb 	 so 	 508157
pronoun 	 so 	 508157
verb 	 hat 	 499226
noun 	 hier 	 483819
interjection 	 hier 	 483819
adverb 	 hier 	 483819
noun 	 haben 	 475089
verb 	 haben 	 475089
verb 	 sind 	 464876
preposition 	 für 	 461926
preposition 	 von 	 457616
pronoun 	 du 	 443610
verb 	 war 	 441018
noun 	 wenn 	 438665
conjunction 	 wenn 	 438665
determiner 	 ihr 	 408931
pronoun 	 sie 	 408931
noun 	 habe 	 406611
verb 	 habe 	 406611
noun 	 nein 	 404910
interjection 	 nein 	 404910
preposition 	 an 	 399003
adjective 	 an 	 399003
adverb 	 an 	 399003
verb 	 bin 	 369586
conjunction 	 noch 	 358787
adverb 	 noch 	 358787
conjunction 	 da 	 356437
adverb 	 da 	 356437
pronoun 	 du 	 354523
conjunction 	 nur 	 352269
adverb 	 nur 	 352269
pronoun 	 sich 	 336423
pronoun 	 wir 	 331921
noun 	 hast 	 325643
verb 	 hast 	 325643
pronoun 	 der 	 296995
verb 	 kann 	 293647
determiner 	 sein 	 280534
noun 	 sein 	 280534
verb 	 sein 	 280534
pronoun 	 er 	 280534
pronoun 	 es 	 280534
interjection 	 auch 	 277547
adverb 	 auch 	 277547
pronoun 	 er 	 276857
verb 	 schon 	 276809
adverb 	 schon 	 276809
noun 	 als 	 275361
conjunction 	 als 	 275361
noun 	 jetzt 	 274768
adverb 	 jetzt 	 274768
adjective 	 gut 	 274669
noun 	 gut 	 274669
interjection 	 gut 	 274669
adverb 	 gut 	 274669
noun 	 mal 	 271291
verb 	 mal 	 271291
adverb 	 mal 	 271291
