*	*	*	*	case	preposition	postposition	#	
#	subjectivity	motion	role				#	
	subject			nominative	∅	∅	#	
	addressee			vocative	∅	∅	#	
	direct-object			accusative	∅	∅	#	
	indirect-object			dative	∅	∅	#	
	adverbial	departed	agent			∅	#	
	adverbial	associated	agent			∅	#	
	adverbial	acquired	agent			∅	#	
	adverbial	leveraged	agent			∅	#	
	adverbial	departed	force			∅	#	
	adverbial	associated	force			∅	#	
	adverbial	acquired	force			∅	#	
	adverbial	leveraged	force			∅	#	
#	adverbial	departed	possessor			∅	#	
	adverbial	associated	possessor			∅	#	
#	adverbial	acquired	possessor			∅	#	
#	adverbial	leveraged	possessor			∅	#	
	adverbial	departed	location	instrumental	au	∅	#	from, away from, since
	adverbial	associated	location	accusative	are	∅	#	by, with
	adverbial	acquired	location	accusative	in	∅	#	into, to
	adverbial	leveraged	location			∅	#	
	adverbial	approached	location	accusative	ad, at	∅	#	towards
	adverbial	surpassed	location	accusative	sepu	∅	#	past, beyond
#	adverbial	departed	extent			∅	#	
#	adverbial	associated	extent			∅	#	
#	adverbial	acquired	extent	accusative	urit, uritto	∅	#	against
#	adverbial	leveraged	extent			∅	#	
#	adverbial	departed	vicinity			∅	#	
#	adverbial	associated	vicinity	accusative	ambi	∅	#	around
#	adverbial	acquired	vicinity			∅	#	
#	adverbial	leveraged	vicinity			∅	#	
	adverbial	departed	interior	accusative	extra	∅	#	outside
	adverbial	associated	interior	locative	in	∅	#	in
	adverbial	acquired	interior	accusative	entra, in	∅	#	into, inside
	adverbial	leveraged	interior	accusative	trei	∅	#	through
	adverbial	departed	surface			∅	#	
	adverbial	associated	surface	instrumental	uer	∅	#	on
	adverbial	acquired	surface	accusative	tras	∅	#	across, beyond, over
	adverbial	leveraged	surface			∅	#	
	adverbial	surpassed	surface	accusative	ux	∅	#	over
	adverbial	departed	subsurface			∅	#	
	adverbial	associated	subsurface	instrumental	uo	∅	#	under
	adverbial	acquired	subsurface			∅	#	
	adverbial	leveraged	subsurface			∅	#	
#	adverbial	departed	presence			∅	#	
	adverbial	associated	presence	accusative	are	∅	#	by, with
#	adverbial	acquired	presence	instrumental	are	∅	#	before, in front of
	adverbial	leveraged	presence			∅	#	
#	adverbial	departed	aid			∅	#	
	adverbial	associated	aid	instrumental	con	∅	#	with
#	adverbial	acquired	aid			∅	#	
#	adverbial	leveraged	aid			∅	#	
#	adverbial	departed	lack			∅	#	
	adverbial	associated	lack	accusative	cena	∅	#	without
#	adverbial	acquired	lack			∅	#	
#	adverbial	leveraged	lack			∅	#	
#	adverbial	departed	interest			∅	#	
	adverbial	associated	interest	accusative	are	∅	#	for the sake of
#	adverbial	acquired	interest			∅	#	
	adverbial	leveraged	interest			∅	#	
	adverbial	departed	time	instrumental	eron	∅	#	after
	adverbial	associated	time	accusative	samali	∅	#	as
	adverbial	acquired	time	accusative	po	∅	#	until
	adverbial	leveraged	time			∅	#	
#	adverbial	departed	topic			∅	#	
#	adverbial	associated	topic			∅	#	
#	adverbial	acquired	topic			∅	#	
#	adverbial	leveraged	topic			∅	#	
	adverbial	associated	company	accusative	ac	∅	#	along with
