*	*	nominative	vocative	accusative 	genitive 	dative 	instrumental 	locative 	#	
tree	singular 	prenn-on	prenn-on	prenn-on	prenn-ii	prenn-ū	prenn-ū	prenn-ē	#	o-stem, neuter
tree	dual 	prenn-oi	prenn-oi	prenn-oi	prenn-iōs	prenn-obon	prenn-obin	prenn-ou	#	
tree	plural	prenn-ā	prenn-ā	prenn-ā	prenn-ion	prenn-obo	prenn-obi, prenn-ūs	prenn-obi	#	
deer	singular 	elant-is	elant-i	elant-in	elant-ēs, elant-eios	elant-ē	elant-ī	elant-ī	#	i-stem, animate
deer	dual 	elant-ī	elant-ī	elant-ī	elant-iōs, elant-ious	elant-ibon	elant-ibin	elant-ibin	#	
deer	plural	elant-ies, elant-īs, elant-eies	elant-īes, elant-īs, elant-eies	elant-īs	elant-ion	elant-ibo	elant-ibi	elant-ibi	#	
victory	singular 	boud-i	boud-i	boud-i	boud-ēs, boud-eios	boud-ē	boud-ī	boud-ī	#	i-stem, neuter
victory	dual 	boud-ī	boud-ī	boud-ī	boud-iōs, boud-ious	boud-ibon	boud-ibin	boud-ibin	#	
victory	plural	boud-iā	boud-iā	boud-iā	boud-ion	boud-ibo	boud-ibi	boud-ibi	#	
thought	singular 	brit-us	brit-u	brit-un	brit-ous, -ōs	brit-ou, -ō	brit-ū	brit-ū	#	u-stem, animate
thought	dual 	brit-ū	brit-ū	brit-ū	brit-ouō	brit-oubon	brit-oubin	brit-oubin	#	
thought	plural	brit-oues	brit-oues	brit-ūs	brit-uion	brit-oubo	brit-oubi	brit-oubi	#	
idea	singular 	brit-us	brit-u	brit-un	brit-ous, -ōs	brit-ou, -ō	brit-ū	brit-ū	#	
idea	dual 	brit-ū	brit-ū	brit-ū	brit-ouō	brit-oubon	brit-oubin	brit-oubin	#	
idea	plural	brit-oues	brit-oues	brit-ūs	brit-uion	brit-oubo	brit-oubi	brit-oubi	#	
lake	singular 	loc-u	loc-u	loc-u	loc-ous, -ōs	loc-ou, -ō	loc-ū	loc-ū	#	u-stem, neuter
lake	dual 	loc-ū	loc-ū	loc-ū	loc-ouō	loc-oubon	loc-oubin	loc-oubin	#	
lake	plural	loc-uā	loc-uā	loc-uā	loc-uion	loc-oubo	loc-oubi	loc-oubi	#	
dog	singular 	cū	cū	cun-en	cun-os	cun-ē	cun-i	cun-i	#	nasal 
dog	dual 	cun-e	cun-e	cun-e	cun-ou, cun-ō	cun-obon	cun-obin	cun-obin	#	
dog	plural	cun-es	cun-es	cun-ās	cun-on	cun-obo	cun-obi	cun-obi	#	
name	singular 	anuan	anuan	anuan	anuēs	anuan-ē	anuan-i	anuan-i	#	nasal 
name	dual 	anuan-e	anuan-e	anuan-e	anuan-ou, anuan-ō	anuam-bon	anuam-bin	anuam-bin	#	
name	plural	anuan-ā	anuan-ā	anuan-ā	anuan-on	anuam-bo	anuam-bi	anuam-bi	#	
sky	singular 	nem-os	nem-os	nem-os	nem-ios	nem-es	nem-es	nem-es	#	s-stem
sky	dual 	nem-ie	nem-ie	nem-ie	nem-iō	nem-obon	nem-obin	nem-obin	#	
sky	plural	nem-iā	nem-iā	nem-iā	nem-ion	nem-obo	nem-obi	nem-obi	#	
friend	singular 	carans, carant-s, caranð	carans, carant-s, caranð	carant-en	carant-os	carant-ē	carant-i	carant-i	#	
friend	dual 	carant-e	carant-e	carant-e	carant-ou, carant-ō	carant-obon, carand-bon	carant-obin, carand-bin	carant-obin, carand-bin	#	dental-stem, animate
