*	*		*	active	active	active	active	passive	passive	passive	passive	#											
strike	perfective	1	past	beba	bebame	beyas-īn	beyas-īmos	—	—	—	—	#											
strike	perfective	2	past	bebas?	bebate	beyas-īs	beyas-īte	—	—	—	—	#											
strike	perfective	3	past	bebe	bebyar	beyas-īt	beyas-īnt?; beyas-ī(n)tor	—	—	—	—	#											
provide	simple	1	present	rosmer-ū	rosmer-omos	rosmer-sū	rosmer-somos	rosmer-ūr	rosmer-omor	rosmer-sūr	rosmer-somor	#	B1										
provide	simple	2	present	rosmer-es	rosmer-ete	rosmer-ses	rosmer-sete	rosmer-etār	rosmer-ete	rosmer-setār	rosmer-sete	#											
provide	simple	3	present	rosmer-et	rosmer-ont	rosmer-set	rosmer-sont	rosmer-etor	rosmer-ontor	rosmer-setor	rosmer-sontor	#											
provide	simple	1	future	rosmer-siū	rosmer-siomos	—	—	rosmer-siūr	rosmer-siomor	—	—	#											
provide	simple	2	future	rosmer-sies	rosmer-siete	—	—	rosmer-sietār	rosmer-siete	—	—	#											
provide	simple	3	future	rosmer-siet	rosmer-siont	—	—	rosmer-sietor	rosmer-siontor	—	—	#											
provide	imperfective	1	past	rosmer-onna	rosmer-omes	—	—	rosmer-onnar	rosmer-omor	—	—	#											
provide	imperfective	2	past	rosmer-etās	rosmer-etē	—	—	rosmer-etār	rosmer-etē	—	—	#											
provide	imperfective	3	past	rosmer-eto	rosmer-onto	—	—	rosmer-etor	rosmer-ontor	—	—	#											
provide	perfective	1	past	rosmer-tū	rosmer-tomes	rosmer-sīn	rosmer-sīmos	rosmert-ā/-os immi	rosmert-ās/-oi emos	rosmert-ā/-os buiū	rosmert-ās/-oi buomos	#											
provide	perfective	2	past	rosmer-tes	rosmer-tete	rosmer-sīs	rosmer-sīte	rosmert-ā/-os ei	rosmert-ās/-oi esue	rosmert-ā/-os bues	rosmert-ās/-oi buete	#											
provide	perfective	3	past	rosmer-ti	rosmer-ton	rosmer-sīt	rosmer-sīnt	rosmert-ā/-os essi	rosmert-ās/-oi sent	rosmert-ā/-os buet	rosmert-ās/-oi buont	#											
kill	simple	1	present	org-ū	org-omos	orx-sū	orx-somos	org-ūr	org-omor	orx-sūr	orx-somor	#	B1										
kill	simple	2	present	org-es	org-ete	orx-ses	orx-sete	org-etār	org-ete	orx-setār	orx-sete	#											
kill	simple	3	present	org-et	org-ont	orx-set	orx-sont	org-etor	org-ontor	orx-setor	orx-sontor	#											
kill	simple	1	future	orx-siū	orx-siomos	—	—	orx-siūr	orx-siomor	—	—	#											
kill	simple	2	future	orx-sies	orx-siete	—	—	orx-sietār	orx-siete	—	—	#											
kill	simple	3	future	orx-siet	orx-siont	—	—	orx-sietor	orx-siontor	—	—	#											
kill	imperfective	1	past	org-onna	org-omes	—	—	org-onnar	org-omor	—	—	#											
kill	imperfective	2	past	org-etās	org-etē	—	—	org-etār	org-etē	—	—	#											
kill	imperfective	3	past	org-eto	org-onto	—	—	org-etor	org-ontor	—	—	#											
kill	perfective	1	past	orx-tū	orx-tomes	orx-sīn	orx-sīmos	orxt-ā/-os immi	orxt-ās/-oi emos	orxt-ā/-os buiū	orxt-ās/-oi buomos	#											
kill	perfective	2	past	orx-tes	orx-tete	orx-sīs	orx-sīte	orxt-ā/-os ei	orxt-ās/-oi esue	orxt-ā/-os bues	orxt-ās/-oi buete	#											
kill	perfective	3	past	orx-ti	orx-ton	orx-sīt	orx-sīnt	orxt-ā/-os essi	orxt-ās/-oi sent	orxt-ā/-os buet	orxt-ās/-oi buont	#											
see	simple	1	present	appis-ū	appis-omos	appis-sū	appis-somos	appis-ūr	appis-omor	appis-sūr	appis-somor	#	B1										
see	simple	2	present	appis-es	appis-ete	appis-ses	appis-sete	appis-etār	appis-ete	appis-setār	appis-sete	#											
see	simple	3	present	appis-et	appis-ont	appis-set	appis-sont	appis-etor	appis-ontor	appis-setor	appis-sontor	#											
