*	*		*	active	active	active	active	passive	passive	passive	passive	#											
endure	simple	3	present	pass-et	pass-ont	pass-set	pass-sont	pass-etor	pass-ontor	pass-setor	pass-sontor	#											
endure	simple	1	future	pass-siū	pass-siomos	—	—	pass-siūr	pass-siomor	—	—	#											
endure	simple	2	future	pass-sies	pass-siete	—	—	pass-sietār	pass-siete	—	—	#											
endure	simple	3	future	pass-siet	pass-siont	—	—	pass-sietor	pass-siontor	—	—	#											
endure	imperfective	1	past	pass-onna	pass-omes	—	—	pass-onnar	pass-omor	—	—	#											
endure	imperfective	2	past	pass-etās	pass-etē	—	—	pass-etār	pass-etē	—	—	#											
endure	imperfective	3	past	pass-eto	pass-onto	—	—	pass-etor	pass-ontor	—	—	#											
endure	perfective	1	past	❔	❔	❔	❔	pass-ā/-os immi	pass-ās/-oi emos	pass-ā/-os buiū	pass-ās/-oi buomos	#											
endure	perfective	2	past	❔	❔	❔	❔	pass-ā/-os ei	pass-ās/-oi esue	pass-ā/-os bues	pass-ās/-oi buete	#											
endure	perfective	3	past	❔	❔	❔	❔	pass-ā/-os essi	pass-ās/-oi sent	pass-ā/-os buet	pass-ās/-oi buont	#											
lay down	simple	1	present	log-īyū	log-īyomos	log-ān	log-āmas	—	—	—	—	#	C1										
lay down	simple	2	present	log-īs(i)	log-īte(s)	log-ās	log-āte	—	—	—	—	#											
lay down	simple	3	present	log-īt(i)	log-īyont(i)	log-āt	log-ānt	—	—	—	—	#											
lay down	simple	1	future	lox-syū 	lox-syomos	—	—	—	—	—	—	#											
lay down	simple	2	future	lox-syes	lox-syete	—	—	—	—	—	—	#											
lay down	simple	3	future	lox-syet	lox-syont	—	—	—	—	—	—	#											
lay down	imperfective	1	past	logī-yonna	logī-massi	—	—	—	—	—	—	#											
lay down	imperfective	2	past	logī-tās	logī-tes	—	—	—	—	—	—	#											
lay down	imperfective	3	past	logī-tu	logī-yontu	—	—	—	—	—	—	#											
lay down	perfective	1	past	—	—	—	—	—	—	—	—	#											
lay down	perfective	2	past	—	—	—	—	—	—	—	—	#											
lay down	perfective	3	past	—	—	—	—	—	—	—	—	#											
load	simple	1	present	lung-ū	lung-omos	lō xs-ou	lō xs-omo(s)	—	—	—	—	#	C2									#	C2
load	simple	2	present	lung-es(i)	lung-ete(s)	lō xs -es	lō xs-eté	—	—	—	—	#											
load	simple	3	present	lung-et(i)	lung-ont(i)	lō xs-(e)t	lō xs-int	—	—	—	—	#											
load	simple	1	future	liluxs-you	liluxs-yomo(s)	—	—	—	—	—	—	#					#						
load	simple	2	future	liluxs -yes	liluxs-yeté	—	—	—	—	—	—	#											
load	simple	3	future	libuxs-yet	liluxs-yont	—	—	—	—	—	—	#											
load	imperfective	1	past	❔	❔	—	—	—	—	—	—	#											
load	imperfective	2	past	❔	❔	—	—	—	—	—	—	#											
load	imperfective	3	past	❔	❔	—	—	—	—	—	—	#											
load	perfective	1	past	❔	❔	—	—	—	—	—	—	#											
load	perfective	2	past	❔	❔	—	—	—	—	—	—	#											
load	perfective	3	past	❔	❔	—	—	—	—	—	—	#											
eat	simple	1	present	ess-ū	ess-omos	ess-sū	ess-somos	ess-ūr	ess-omor	ess-sūr	ess-somor	#	B1										
eat	simple	2	present	ess-es	ess-ete	ess-ses	ess-sete	ess-etār	ess-ete	ess-setār	ess-sete	#											
eat	simple	3	present	ess-et	ess-ont	ess-set	ess-sont	ess-etor	ess-ontor	ess-setor	ess-sontor	#											
eat	simple	1	future	ess-siū	ess-siomos	—	—	ess-siūr	ess-siomor	—	—	#											
eat	simple	2	future	ess-sies	ess-siete	—	—	ess-sietār	ess-siete	—	—	#											
eat	simple	3	future	ess-siet	ess-siont	—	—	ess-sietor	ess-siontor	—	—	#											
eat	imperfective	1	past	ess-onna	ess-omes	—	—	ess-onnar	ess-omor	—	—	#											
eat	imperfective	2	past	ess-etās	ess-etē	—	—	ess-etār	ess-etē	—	—	#											
eat	imperfective	3	past	ess-eto	ess-onto	—	—	ess-etor	ess-ontor	—	—	#											
eat	perfective	1	past	❔	❔	❔	❔	ess-ā/-os immi	ess-ās/-oi emos	ess-ā/-os buiū	ess-ās/-oi buomos	#											
fall	simple	1	present	ced-ū	ced-omos	ced-sū	ced-somos	ced-ūr	ced-omor	ced-sūr	ced-somor	#	B1										
fall	simple	2	present	ced-es	ced-ete	ced-ses	ced-sete	ced-etār	ced-ete	ced-setār	ced-sete	#											
fall	simple	3	present	ced-et	ced-ont	ced-set	ced-sont	ced-etor	ced-ontor	ced-setor	ced-sontor	#											
fall	simple	1	future	ced-siū	ced-siomos	—	—	ced-siūr	ced-siomor	—	—	#											
fall	simple	2	future	ced-sies	ced-siete	—	—	ced-sietār	ced-siete	—	—	#											
fall	simple	3	future	ced-siet	ced-siont	—	—	ced-sietor	ced-siontor	—	—	#											
fall	imperfective	1	past	ced-onna	ced-omes	—	—	ced-onnar	ced-omor	—	—	#											
fall	imperfective	2	past	ced-etās	ced-etē	—	—	ced-etār	ced-etē	—	—	#											
fall	imperfective	3	past	ced-eto	ced-onto	—	—	ced-etor	ced-ontor	—	—	#											
fall	perfective	1	past	❔	❔	❔	❔	ceds-ā/-os immi	ceds-ās/-oi emos	ceds-ā/-os buiū	ceds-ās/-oi buomos	#											
fall	perfective	2	past	❔	❔	❔	❔	ceds-ā/-os ei	ceds-ās/-oi esue	ceds-ā/-os bues	ceds-ās/-oi buete	#											
fall	perfective	3	past	❔	❔	❔	❔	ceds-ā/-os essi	ceds-ās/-oi sent	ceds-ā/-os buet	ceds-ās/-oi buont	#											
fly	simple	1	present	et-ū	et-omos	et-sū	et-somos	et-ūr	et-omor	et-sūr	et-somor	#	B1										
fly	simple	2	present	et-es	et-ete	et-ses	et-sete	et-etār	et-ete	et-setār	et-sete	#											
fly	simple	3	present	et-et	et-ont	et-set	et-sont	et-etor	et-ontor	et-setor	et-sontor	#											
fly	simple	1	future	et-siū	et-siomos	—	—	et-siūr	et-siomor	—	—	#											
fly	simple	2	future	et-sies	et-siete	—	—	et-sietār	et-siete	—	—	#											
fly	simple	3	future	et-siet	et-siont	—	—	et-sietor	et-siontor	—	—	#											
fly	imperfective	1	past	et-onna	et-omes	—	—	et-onnar	et-omor	—	—	#											
fly	imperfective	2	past	et-etās	et-etē	—	—	et-etār	et-etē	—	—	#											
fly	imperfective	3	past	et-eto	et-onto	—	—	et-etor	et-ontor	—	—	#											
fly	perfective	1	past	❔	❔	❔	❔	et-ā/-os immi	et-ās/-oi emos	et-ā/-os buiū	et-ās/-oi buomos	#											
show	simple	1	present	deic-ū	deic-omos	deic-sū	deic-somos	deic-ūr	deic-omor	deic-sūr	deic-somor	#	B1										
show	simple	2	present	deic-es	deic-deice	deic-ses	deic-sdeice	deic-deicār	deic-deice	deic-sdeicār	deic-sdeice	#											
show	simple	3	present	deic-et	deic-ont	deic-sdeic	deic-sont	deic-deicor	deic-ontor	deic-sdeicor	deic-sontor	#											
show	simple	1	future	deic-siū	deic-siomos	—	—	deic-siūr	deic-siomor	—	—	#											
show	simple	2	future	deic-sies	deic-sideice	—	—	deic-sideicār	deic-sideice	—	—	#											
show	simple	3	future	deic-sideic	deic-siont	—	—	deic-sideicor	deic-siontor	—	—	#											
show	imperfective	1	past	deic-onna	deic-omes	—	—	deic-onnar	deic-omor	—	—	#											
show	imperfective	2	past	deic-deicās	deic-deicē	—	—	deic-deicār	deic-deicē	—	—	#											
show	imperfective	3	past	deic-deico	deic-onto	—	—	deic-deicor	deic-ontor	—	—	#											
show	perfective	1	past	❔	❔	❔	❔	deic-ā/-os immi	deic-ās/-oi emos	deic-ā/-os buiū	deic-ās/-oi buomos	#											
swim	simple	1	present	snā-iū	snā-mos	snā-n	snā-omos	snā-iūr	snā-mor	snā-r	snā-omor	#	A1										
swim	simple	2	present	snā-i	snā-te	snā-ii	snā-ite	snā-tar	snā-te	snā-itar	snā-ite	#											
swim	simple	3	present	snā-t	snā-nt	snā-it	snā-ont	snā-tor	snā-ntor	snā-itor	snā-ontor	#											
swim	simple	1	future	snā-siū	snā-siomos	—	—	snā-siūr	snā-siomor	—	—	#											
swim	simple	2	future	snā-sies	snā-siete	—	—	snā-sietar	snā-siete	—	—	#											
swim	simple	3	future	snā-siet	snā-siont	—	—	snā-sietor	snā-siontor	—	—	#											
swim	imperfective	1	past	snā-nna	snā-mes	—	—	snā-nnar	snā-mor	—	—	#											
swim	imperfective	2	past	snāt-ās	snā-tē	—	—	snāt-ār	snā-tē	—	—	#											
swim	imperfective	3	past	snā-to	snā-nto	—	—	snā-tor	snā-ntor	—	—	#											
swim	perfective	1	past	snā-ssū	snā-ssamos	snā-ssīn	snā-ssīmos	snāt-ā/-os immi	snāt-ās/-oi emos	snāt-ā/-os buiū	snāt-ās/-oi buomos	#											
swim	perfective	2	past	snā-sses	snā-ssate	snā-ssīs	snā-ssītē	snāt-ā/-os ei	snāt-ās/-oi esue	snāt-ā/-os bues	snāt-ās/-oi buete	#											
swim	perfective	3	past	snā-sset	snā-ssar	snā-ssīt	snā-ssīnt	snāt-ā/-os essi	snāt-ās/-oi sent	snāt-ā/-os buet	snāt-ās/-oi buont	#											
warm	simple	1	present	tā-iū	tā-iomos	tā-ān	tā-aomos	tā-iūr	tā-iomor	tā-ār	tā-āomor	#	B2										
warm	simple	2	present	tā-ies	tā-iete	tā-ais	tā-aite	tā-ietar	tā-iete	tā-āitār	tā-āite	#											
warm	simple	3	present	tā-iet	tā-iont	tā-ait	tā-aont	tā-ietor	tā-iontor	tā-āitor	tā-āontor	#											
warm	simple	1	future	tā-siū	tā-siomos	—	—	tā-siūr	tā-siomor	—	—	#											
warm	simple	2	future	tā-sies	tā-siete	—	—	tā-sietār	tā-siete	—	—	#											
warm	simple	3	future	tā-siet	tā-siont	—	—	tā-sietor	tā-siontor	—	—	#											
warm	imperfective	1	past	tā-ionna	tā-iomes	—	—	tā-ionnar	tā-iomor	—	—	#											
warm	imperfective	2	past	tā-ietās	tā-ietē	—	—	tā-ietār	tā-ietē	—	—	#											
warm	imperfective	3	past	tā-ieto	tā-ionto	—	—	tā-ietor	tā-iontor	—	—	#											
warm	perfective	1	past	tā-tū	tā-tomes	tā-sīn	tā-sīmos	tāt-ā/-os immi	tāt-ās/-oi emos	tāt-ā/-os buiū	tāt-ās/-oi buomos	#											
warm	perfective	2	past	tā-tes	tā-tete	tā-sīs	tā-sīte	tāt-ā/-os ei	tāt-ās/-oi esue	tāt-ā/-os bues	tāt-ās/-oi buete	#											
warm	perfective	3	past	tā-ti	tā-ton	tā-sīt	tā-sīnt	tāt-ā/-os essi	tāt-ās/-oi sent	tāt-ā/-os buet	tāt-ās/-oi buont	#											
watch	simple	1	present	uil-iū	uil-iomos	uil-ān	uil-aomos	uil-iūr	uil-iomor	uil-ār	uil-āomor	#	B2										
watch	simple	2	present	uil-ies	uil-iete	uil-ais	uil-aite	uil-ietar	uil-iete	uil-āiuilr	uil-āite	#											
watch	simple	3	present	uil-iet	uil-iont	uil-ait	uil-aont	uil-ietor	uil-iontor	uil-āitor	uil-āontor	#											
watch	simple	1	future	uil-siū	uil-siomos	—	—	uil-siūr	uil-siomor	—	—	#											
watch	simple	2	future	uil-sies	uil-siete	—	—	uil-sieuilr	uil-siete	—	—	#											
watch	simple	3	future	uil-siet	uil-siont	—	—	uil-sietor	uil-siontor	—	—	#											
watch	imperfective	1	past	uil-ionna	uil-iomes	—	—	uil-ionnar	uil-iomor	—	—	#											
watch	imperfective	2	past	uil-ieuils	uil-ietē	—	—	uil-ieuilr	uil-ietē	—	—	#											
watch	imperfective	3	past	uil-ieto	uil-ionto	—	—	uil-ietor	uil-iontor	—	—	#											
watch	perfective	1	past	uil-tū	uil-tomes	uil-sīn	uil-sīmos	uilt-ā/-os immi	uilt-ās/-oi emos	uilt-ā/-os buiū	uilt-ās/-oi buomos	#											
watch	perfective	2	past	uil-tes	uil-tete	uil-sīs	uil-sīte	uilt-ā/-os ei	uilt-ās/-oi esue	uilt-ā/-os bues	uilt-ās/-oi buete	#											
watch	perfective	3	past	uil-ti	uil-ton	uil-sīt	uil-sīnt	uilt-ā/-os essi	uilt-ās/-oi sent	uilt-ā/-os buet	uilt-ās/-oi buont	#											
work	simple	1	present	ureget-ū	ureget-omos	ureget-sū	ureget-somos	ureget-ūr	ureget-omor	ureget-sūr	ureget-somor	#	B1										
work	simple	2	present	ureget-es	ureget-uregete	ureget-ses	ureget-suregete	ureget-uregetār	ureget-uregete	ureget-suregetār	ureget-suregete	#											
work	simple	3	present	ureget-ureget	ureget-ont	ureget-sureget	ureget-sont	ureget-uregetor	ureget-ontor	ureget-suregetor	ureget-sontor	#											
work	simple	1	future	ureget-siū	ureget-siomos	—	—	ureget-siūr	ureget-siomor	—	—	#											
work	simple	2	future	ureget-sies	ureget-siuregete	—	—	ureget-siuregetār	ureget-siuregete	—	—	#											
work	simple	3	future	ureget-siureget	ureget-siont	—	—	ureget-siuregetor	ureget-siontor	—	—	#											
work	imperfective	1	past	ureget-onna	ureget-omes	—	—	ureget-onnar	ureget-omor	—	—	#											
work	imperfective	2	past	ureget-uregetās	ureget-uregetē	—	—	ureget-uregetār	ureget-uregetē	—	—	#											
work	imperfective	3	past	ureget-uregeto	ureget-onto	—	—	ureget-uregetor	ureget-ontor	—	—	#											
work	perfective	1	past	❔	❔	❔	❔	ureget-ā/-os immi	ureget-ās/-oi emos	ureget-ā/-os buiū	ureget-ās/-oi buomos	#											
climb	simple	1	present	dreng-ū	dreng-omos	drenx-sū	drenx-somos	dreng-ūr	dreng-omor	drenx-sūr	drenx-somor	#	B3										
climb	simple	2	present	dreng-es	dreng-ete	drenx-ses	drenx-sete	dreng-etār	dreng-ete	drenx-setār	drenx-sete	#											
climb	simple	3	present	dreng-et	dreng-ont	drenx-set	drenx-sont	dreng-etor	dreng-ontor	drenx-setor	drenx-sontor	#											
climb	simple	1	future	drenx-siū	drenx-siomos	—	—	drenx-siūr	drenx-siomor	—	—	#											
climb	simple	2	future	drenx-sies	drenx-siete	—	—	drenx-sietār	drenx-siete	—	—	#											
climb	simple	3	future	drenx-siet	drenx-siont	—	—	drenx-sietor	drenx-siontor	—	—	#											
climb	imperfective	1	past	dreng-onna	dreng-omes	—	—	dreng-onnar	dreng-omor	—	—	#											
climb	imperfective	2	past	dreng-etās	dreng-etē	—	—	dreng-etār	dreng-etē	—	—	#											
climb	imperfective	3	past	dreng-eto	dreng-onto	—	—	dreng-etor	dreng-ontor	—	—	#											
climb	perfective	1	past	dreg-ū	dreg-omes	tax-sīn	tax-sīimos	drext-ā/-os immi	drext-ās/-oi emos	drext-ā/-os buiū	drext-ās/-oi buomos	#											
climb	perfective	2	past	dreg-es	dreg-ete	tax-sīs	tax-sīte	drext-ā/-os ei	drext-ās/-oi esue	drext-ā/-os bues	drext-ās/-oi buete	#											
climb	perfective	3	past	dreg-i	dreg-on	tax-sīt	tax-sīnt	drext-ā/-os essi	drext-ās/-oi sent	drext-ā/-os buet	drext-ās/-oi buont	#											
appear	simple	1	present	dog-ū	dog-omos	dog-sū	dog-somos	dog-ūr	dog-omor	dog-sūr	dog-somor	#	B1										
appear	simple	2	present	dog-es	dog-ete	dog-ses	dog-sete	dog-etār	dog-ete	dog-setār	dog-sete	#	"lit. ""arrive"""										
appear	simple	3	present	dog-et	dog-ont	dog-set	dog-sont	dog-etor	dog-ontor	dog-setor	dog-sontor	#											
appear	simple	1	future	dog-siū	dog-siomos	—	—	dog-siūr	dog-siomor	—	—	#											
appear	simple	2	future	dog-sies	dog-siete	—	—	dog-sietār	dog-siete	—	—	#											
appear	simple	3	future	dog-siet	dog-siont	—	—	dog-sietor	dog-siontor	—	—	#											
appear	imperfective	1	past	dog-onna	dog-omes	—	—	dog-onnar	dog-omor	—	—	#											
appear	imperfective	2	past	dog-etās	dog-etē	—	—	dog-etār	dog-etē	—	—	#											
appear	imperfective	3	past	dog-eto	dog-onto	—	—	dog-etor	dog-ontor	—	—	#											
appear	perfective	1	past	❔	❔	❔	❔	dog-ā/-os immi	dog-ās/-oi emos	dog-ā/-os buiū	dog-ās/-oi buomos	#											
