	singular	dual	plural
nominative	-∅	-k	-t
accusative	-m	-kem	-jem
genitive	-n	-ken	-jen
lative	-ŋ	-keŋ	-jeŋ
locative	-na	-kena	-jena
ablative	-ta	-keta	-jeta
