*	*	*	*	*	nominative 	genitive 	dative 	accusative 	vocative 	#attic																
singular-possessor	2nd-possessor	plural	feminine	latin	saí 	sôn 	saîs 	sā́s 	saí 																	
singular-possessor	2nd-possessor	plural	neuter	greek	σᾰ́	σῶν	σοῖς	σᾰ́	σᾰ́																	
singular-possessor	2nd-possessor	plural	neuter	latin	sá	sôn	soîs	sá	sá 																	
																										
plural-possessor	2nd-possessor	singular	masculine	greek	ῡ̔μέτερος	ῡ̔μετέρου	ῡ̔μετέρῳ	ῡ̔μέτερον	ῡ̔μέτερε																	
plural-possessor	2nd-possessor	singular	masculine	latin	hūméteros 	hūmetérou 	hūmetérōi 	hūméteron 	hūmétere 																	
plural-possessor	2nd-possessor	singular	feminine	greek	ῡ̔μετέρᾱ	ῡ̔μετέρᾱς	ῡ̔μετέρᾳ	ῡ̔μετέρᾱν	ῡ̔μετέρᾱ																	
plural-possessor	2nd-possessor	singular	feminine	latin	hūmetérā 	hūmetérās 	hūmetérāi 	hūmetérān 	hūmetérā 																	
plural-possessor	2nd-possessor	singular	neuter	greek	ῡ̔μέτερον	ῡ̔μετέρου	ῡ̔μετέρῳ	ῡ̔μέτερον	ῡ̔μέτερον																	
plural-possessor	2nd-possessor	singular	neuter	latin	hūméteron 	hūmetérou 	hūmetérōi 	hūméteron 	hūméteron 																	
																										
plural-possessor	2nd-possessor	dual	masculine	greek	ῡ̔μετέρω	ῡ̔μετέροιν	ῡ̔μετέροιν	ῡ̔μετέρω	ῡ̔μετέρω																	
plural-possessor	2nd-possessor	dual	masculine	latin	hūmetérō 	hūmetéroin 	hūmetéroin 	hūmetérō 	hūmetérō 																	
plural-possessor	2nd-possessor	dual	feminine	greek	ῡ̔μετέρᾱ	ῡ̔μετέραιν	ῡ̔μετέραιν	ῡ̔μετέρᾱ	ῡ̔μετέρᾱ																	
plural-possessor	2nd-possessor	dual	feminine	latin	hūmetérā 	hūmetérain 	hūmetérain 	hūmetérā 	hūmetérā 																	
plural-possessor	2nd-possessor	dual	neuter	greek	ῡ̔μετέρω	ῡ̔μετέροιν	ῡ̔μετέροιν	ῡ̔μετέρω	ῡ̔μετέρω																	
plural-possessor	2nd-possessor	dual	neuter	latin	hūmetérō 	hūmetéroin 	hūmetéroin 	hūmetérō 	hūmetérō 																	
																										
plural-possessor	2nd-possessor	plural	masculine	greek	ῡ̔μέτεροι	ῡ̔μετέρων	ῡ̔μετέροις	ῡ̔μετέρους	ῡ̔μέτεροι																	
plural-possessor	2nd-possessor	plural	masculine	latin	hūméteroi 	hūmetérōn 	hūmetérois 	hūmetérous 	hūméteroi 																	
plural-possessor	2nd-possessor	plural	feminine	greek	ῡ̔μέτεραι	ῡ̔μετέρων	ῡ̔μετέραις	ῡ̔μετέρᾱς	ῡ̔μέτεραι																	
plural-possessor	2nd-possessor	plural	feminine	latin	hūméterai 	hūmetérōn 	hūmetérais 	hūmetérās 	hūméterai 																	
plural-possessor	2nd-possessor	plural	neuter	greek	ῡ̔μέτερᾰ	ῡ̔μετέρων	ῡ̔μετέροις	ῡ̔μέτερᾰ	ῡ̔μέτερᾰ																	
plural-possessor	2nd-possessor	plural	neuter	latin	hūmétera	hūmetérōn	hūmetérois	hūmétera	hūmétera 																	
																										
singular-possessor	3rd-possessor	singular	masculine	greek	ἑός	ἑοῦ	ἑῷ/εἱῷ	ἑόν	ἑέ																	
singular-possessor	3rd-possessor	singular	masculine	latin	heós 	heoû 	heôi/heiôi 	heón 	heé 																	
singular-possessor	3rd-possessor	singular	feminine	greek	ἑᾱ́	ἑᾶς	ἑᾷ	ἑᾱ́ν	ἑᾱ́																	
singular-possessor	3rd-possessor	singular	feminine	latin	heā́ 	heâs 	heâi 	heā́n 	heā́ 																	
singular-possessor	3rd-possessor	singular	neuter	greek	ἑόν	ἑοῦ	ἑῷ/εἱῷ	ἑόν	ἑόν																	
singular-possessor	3rd-possessor	singular	neuter	latin	heón 	heoû 	heôi/heiôi 	heón 	heón 																	
																										
singular-possessor	3rd-possessor	dual	masculine	greek	ἑώ	ἑοῖν	ἑοῖν	ἑώ	ἑώ																	
singular-possessor	3rd-possessor	dual	masculine	latin	heṓ 	heoîn 	heoîn 	heṓ 	heṓ 																	
singular-possessor	3rd-possessor	dual	feminine	greek	ἑᾱ́	ἑαῖν	ἑαῖν	ἑᾱ́	ἑᾱ́																	
singular-possessor	3rd-possessor	dual	feminine	latin	heā́ 	heaîn 	heaîn 	heā́ 	heā́ 																	
singular-possessor	3rd-possessor	dual	neuter	greek	ἑώ	ἑοῖν	ἑοῖν	ἑώ	ἑώ																	
singular-possessor	3rd-possessor	dual	neuter	latin	heṓ 	heoîn 	heoîn 	heṓ 	heṓ 																	
																										
singular-possessor	3rd-possessor	plural	masculine	greek	ἑοί	ἑῶν	ἑοῖς	ἑούς	ἑοί																	
singular-possessor	3rd-possessor	plural	masculine	latin	heoí 	heôn 	heoîs 	heoús 	heoí 																	
singular-possessor	3rd-possessor	plural	feminine	greek	ἑαί	ἑῶν	ἑαῖς	ἑᾱ́ς	ἑαί																	
singular-possessor	3rd-possessor	plural	feminine	latin	heaí 	heôn 	heaîs 	heā́s 	heaí 																	
singular-possessor	3rd-possessor	plural	neuter	greek	ἑᾰ́	ἑῶν	ἑοῖς	ἑᾰ́	ἑᾰ́																	
singular-possessor	3rd-possessor	plural	neuter	latin	heá	heôn	heoîs	heá	heá 																	
																										
plural-possessor	3rd-possessor	singular	masculine	greek	σφέτερος	σφετέρου	σφετέρῳ	σφέτερον	σφέτερε																	
plural-possessor	3rd-possessor	singular	masculine	latin	sphéteros 	sphetérou 	sphetérōi 	sphéteron 	sphétere 																	
plural-possessor	3rd-possessor	singular	feminine	greek	σφετέρᾱ	σφετέρᾱς	σφετέρᾳ	σφετέρᾱν	σφετέρᾱ																	
plural-possessor	3rd-possessor	singular	feminine	latin	sphetérā 	sphetérās 	sphetérāi 	sphetérān 	sphetérā 																	
plural-possessor	3rd-possessor	singular	neuter	greek	σφέτερον	σφετέρου	σφετέρῳ	σφέτερον	σφέτερον																	
plural-possessor	3rd-possessor	singular	neuter	latin	sphéteron 	sphetérou 	sphetérōi 	sphéteron 	sphéteron 																	
																										
plural-possessor	3rd-possessor	dual	masculine	greek	σφετέρω	σφετέροιν	σφετέροιν	σφετέρω	σφετέρω																	
plural-possessor	3rd-possessor	dual	masculine	latin	sphetérō 	sphetéroin 	sphetéroin 	sphetérō 	sphetérō 																	
plural-possessor	3rd-possessor	dual	feminine	greek	σφετέρᾱ	σφετέραιν	σφετέραιν	σφετέρᾱ	σφετέρᾱ																	
plural-possessor	3rd-possessor	dual	feminine	latin	sphetérā 	sphetérain 	sphetérain 	sphetérā 	sphetérā 																	
plural-possessor	3rd-possessor	dual	neuter	greek	σφετέρω	σφετέροιν	σφετέροιν	σφετέρω	σφετέρω																	
plural-possessor	3rd-possessor	dual	neuter	latin	sphetérō 	sphetéroin 	sphetéroin 	sphetérō 	sphetérō 																	
																										
plural-possessor	3rd-possessor	plural	masculine	greek	σφέτεροι	σφετέρων	σφετέροις	σφετέρους	σφέτεροι																	
plural-possessor	3rd-possessor	plural	masculine	latin	sphéteroi 	sphetérōn 	sphetérois 	sphetérous 	sphéteroi 																	
plural-possessor	3rd-possessor	plural	feminine	greek	σφέτεραι	σφετέρων	σφετέραις	σφετέρᾱς	σφέτεραι																	
plural-possessor	3rd-possessor	plural	feminine	latin	sphéterai 	sphetérōn 	sphetérais 	sphetérās 	sphéterai 																	
plural-possessor	3rd-possessor	plural	neuter	greek	σφέτερᾰ	σφετέρων	σφετέροις	σφέτερᾰ	σφέτερᾰ																	
plural-possessor	3rd-possessor	plural	neuter	latin	sphétera	sphetérōn	sphetérois	sphétera	sphétera 																	
