*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
orator	dual 	masculine	latin	rhḗtore	rhētóroin	rhētóroin	rhḗtore	rhḗtore	#	3														
orator	plural	masculine	greek	ῥήτορες	ῥητόρων	ῥήτορσῐ/ῥήτορσῐν	ῥήτορᾰς	ῥήτορες	#	3														
orator	plural	masculine	latin	rhḗtores	rhētórōn	rhḗtorsi(n)	rhḗtoras	rhḗtores	#	3														
									#															
father	singular 	masculine	greek	πᾰτήρ	πᾰτρός/πᾰτέρος	πᾰτρῐ́/πᾰτέρῐ	πᾰτέρᾰ	πάτερ	#	3														
father	singular 	masculine	latin	patḗr	patrós/patéros	patrí/patéri	patéra	páter	#	3														
father	dual 	masculine	greek	πᾰτέρε	πᾰτέροιν	πᾰτέροιν	πᾰτέρε	πᾰτέρε	#	3														
father	dual 	masculine	latin	patére	patéroin	patéroin	patére	patére	#	3														
father	plural	masculine	greek	πᾰτέρες	πᾰτέρων/πᾰτρῶν	πᾰτρᾰ́σῐ	πᾰτέρᾰς	πᾰτέρες	#	3														
father	plural	masculine	latin	patéres	patérōn/patrôn	patrási	patéras	patéres	#	3														
									#															
man	singular 	masculine	greek	ᾰ̓νήρ	ᾰ̓νδρός	ᾰ̓νδρῐ́	ᾰ̓́νδρᾰ	ᾰ̓́νερ	#	3														
man	singular 	masculine	latin	anḗr	andrós	andrí	ándra	áner	#	3														
man	dual 	masculine	greek	ᾰ̓́νδρε	ᾰ̓νδροῖν	ᾰ̓νδροῖν	ᾰ̓́νδρε	ᾰ̓́νδρε	#	3														
man	dual 	masculine	latin	ándre	androîn	androîn	ándre	ándre	#	3														
man	plural	masculine	greek	ᾰ̓́νδρες	ᾰ̓νδρῶν	ᾰ̓νδρᾰ́σῐ/ᾰ̓νδρᾰ́σῐν	ᾰ̓́νδρᾰς	ᾰ̓́νδρες	#	3														
man	plural	masculine	latin	ándres	andrôn	andrási(n)	ándras	ándres	#	3														
									#															
Demeter	singular	feminine	greek	Δημήτηρ	Δήμητρος	Δήμητρῐ	Δήμητρᾰ	Δήμητερ	#	3														
Demeter	singular	feminine	latin	Dēmḗtēr	Dḗmētros	Dḗmētri	Dḗmētra	Dḗmēter	#	3														
									#															
Socrates	singular 	masculine	greek	Σωκρᾰ́της	Σωκρᾰ́τους	Σωκρᾰ́τει	Σωκρᾰ́τη/Σωκρᾰ́την	Σώκρᾰτες	#	3														
Socrates	plural 	masculine	latin	Sōkrátēs	Sōkrátous	Sōkrátei	Σωκρᾰ́τη/Σωκρᾰ́την	Sṓkrates	#	3														
																								
Pericles	singular 	masculine	greek	ὁ Περῐκλῆς	τοῦ Περῐκλέους	τῷ Περῐκλεῖ	τὸν Περῐκλέᾱ	Περῐ́κλεις	#	3														
Pericles	plural	masculine	greek	ho Periklês	toû Perikléous	tôi Perikleî	tòn Perikléā	Períkleis 	#	3														
									#															
arrow	singular 	neuter	greek	βέλος	βέλους	βέλει	βέλος	βέλος	#	3														
arrow	singular 	neuter	latin	bélos	bélous	bélei	bélos	bélos	#	3														
arrow	dual 	neuter	greek	βέλει	βελοῖν	βελοῖν	βέλει	βέλει	#	3														
arrow	dual 	neuter	latin	bélei	beloîn	beloîn	bélei	bélei	#	3														
arrow	plural	neuter	greek	βέλη	βελῶν	βέλεσῐ/βέλεσῐν	βέλη	βέλη	#	3														
arrow	plural	neuter	latin	bélē	belôn	bélesi(n)	bélē	bélē	#	3														
									#															
foundation	singular 	neuter	greek	ἔδᾰφος	ἐδᾰ́φους	ἐδᾰ́φει	ἔδᾰφος	ἔδᾰφος	#	3														
foundation	singular 	neuter	latin	édaphos	edáphous	edáphei	édaphos	édaphos	#	3														
foundation	dual 	neuter	greek	ἐδᾰ́φει	ἐδᾰφοῖν	ἐδᾰφοῖν	ἐδᾰ́φει	ἐδᾰ́φει	#	3														
foundation	dual 	neuter	latin	edáphei	edaphoîn	edaphoîn	edáphei	edáphei	#	3														
foundation	plural	neuter	greek	ἐδᾰ́φη	ἐδᾰφῶν	ἐδᾰ́φεσῐ/ἐδᾰ́φεσῐν	ἐδᾰ́φη	ἐδᾰ́φη	#	3														
foundation	plural	neuter	latin	edáphē	edaphôn	edáphesi(n)	edáphē	edáphē	#	3														
																								
shame	singular 	feminine	greek	αἰδώς/αἰδώ	αἰδοῦς	αἰδοῖ	αἰδῶ	αἰδώς/αἰδώ	#	3														
shame	singular 	feminine	latin	aidṓs/aidṓ	aidoûs	aidoî	aidô	aidṓs/aidṓ	#	3														
shame	dual 	feminine	greek	αἰδῶε	αἰδώοιν	αἰδώοιν	αἰδῶε	αἰδῶε	#	3														
shame	dual 	feminine	latin	aidôe	aidṓoin	aidṓoin	aidôe	aidôe	#	3														
shame	plural	feminine	greek	αἰδῶες/αἰδοί	αἰδώων	αἰδῶσι	αἰδῶας	αἰδῶες/αἰδοί	#	3														
shame	plural	feminine	latin	aidôes/aidoí	aidṓōn	aidôsi	aidôas	aidôes/aidoí	#	3														
																								
Ares	singular 	masculine	greek	ὁ Ἄρης	τοῦ Ἄρεως	τῷ Ἄρει	τὸν Ἄρη	Ἄρες	#	irregular														
Ares	singular 	masculine	latin	ho Árēs	toû Áreōs	tôi Árei	tòn Árē	Áres 	#	irregular														
																								
woman	singular 	feminine	greek	γῠνή	γῠναικός	γῠναικί	γῠναῖκᾰ	γύναι	#	irregular														
woman	singular 	feminine	latin	gunḗ	gunaikós	gunaikí	gunaîka	gúnai	#	irregular														
woman	dual 	feminine	greek	γῠναῖκε	γῠναικοῖν	γῠναικοῖν	γῠναῖκε	γῠναῖκε	#	irregular														
woman	dual 	feminine	latin	gunaîke	gunaikoîn	gunaikoîn	gunaîke	gunaîke	#	irregular														
woman	plural	feminine	greek	γῠναῖκες	γῠναικῶν	γῠναιξί/γῠναιξίν	γῠναῖκᾰς	γῠναῖκες	#	irregular														
woman	plural	feminine	latin	gunaîkes	gunaikôn	gunaixí(n)	gunaîkas	gunaîkes	#	irregular														
																								
Thales	singular 	masculine	greek	ὁ Θᾰλῆς	τοῦ Θᾰλέω / Θᾰλοῦ	τῷ Θᾰλῇ	τὸν Θᾰλῆν	Θᾰλῆ	#	irregular														
Thales	singular 	masculine	latin	ho Thalês	toû Thaléō / Thaloû	tôi Thalêi	tòn Thalên	Thalê 	#	irregular														
																								
Oedipus	singular 	masculine	greek	Οἰδῐ́πους	Οἰδῐ́ποδος	Οἰδῐ́ποδῐ	Οἰδῐ́πουν/Οἰδῐ́ποδᾰ	Οἰδῐ́που	#	irregular														
Oedipus	singular 	masculine	latin	Oidípous	Oidípodos	Oidípodi	Oidípoun/Oidípoda	Oidípou	#	irregular														
																								
fire	singular 	neuter	greek	πῦρ	πῠρός	πῠρῐ́	πῦρ	πῦρ	#	irregular														
fire	singular 	neuter	latin	pûr	purós	purí	pûr	pûr	#	irregular														
																								
Apollo	singular 	masculine	greek	Ἀπόλλων	Ἀπόλλωνος	Ἀπόλλωνῐ	Ἀπόλλω/Ἀπόλλωνᾰ	Ἄπολλον	#	irregular														
Apollo	singular 	masculine	latin	Apóllōn	Apóllōnos	Apóllōni	Apóllō/Apóllōna	Ápollon	#	irregular														
																								
knee	singular 	feminine	greek	γόνῠ	γόνᾰτος	γόνᾰτῐ	γόνῠ	γόνῠ	#	irregular														
knee	singular 	feminine	latin	gónu	gónatos	gónati	gónu	gónu	#	irregular														
knee	dual 	feminine	greek	γόνᾰτε	γονᾰ́τοιν	γονᾰ́τοιν	γόνᾰτε	γόνᾰτε	#	irregular														
knee	dual 	feminine	latin	gónate	gonátoin	gonátoin	gónate	gónate	#	irregular														
knee	plural	feminine	greek	γόνᾰτᾰ	γονᾰ́των	γόνᾰσῐ/γόνᾰσῐν	γόνᾰτᾰ	γόνᾰτᾰ	#	irregular														
knee	plural	feminine	latin	gónata	gonátōn	gónasi(n)	gónata	gónata	#	irregular														
																								
wood	singular 	neuter	greek	δόρῠ	δόρᾰτος	δόρᾰτῐ	δόρῠ	δόρῠ	#	irregular														
wood	singular 	neuter	latin	dóru	dóratos	dórati	dóru	dóru	#	irregular														
wood	dual 	neuter	greek	δόρᾰτε	δορᾰ́τοιν	δορᾰ́τοιν	δόρᾰτε	δόρᾰτε	#	irregular														
wood	dual 	neuter	latin	dórate	dorátoin	dorátoin	dórate	dórate	#	irregular														
wood	plural	neuter	greek	δόρᾰτᾰ	δορᾰ́των	δόρᾰσῐ/δόρᾰσῐν	δόρᾰτᾰ	δόρᾰτᾰ	#	irregular														
wood	plural	neuter	latin	dórata	dorátōn	dórasi(n)	dórata	dórata	#	irregular														
																								
Zeus	singular 	masculine	greek	Ζεύς	Δῐός/Ζηνός	Δῐῐ́/Ζηνῐ́	Δῐ́ᾰ/Ζῆνᾰ	Ζεῦ	#	irregular														
Zeus	singular 	masculine	latin	Zeús	Diós/Zēnós	Dií/Zēní	Día/Zêna	Zeû	#	irregular														
																								
liver	singular 	neuter	greek	ἧπᾰρ	ἥπᾰτος	ἥπᾰτῐ	ἧπᾰρ	ἧπᾰρ	#	irregular														
liver	singular 	neuter	latin	hêpar	hḗpatos	hḗpati	hêpar	hêpar	#	irregular														
liver	dual 	neuter	greek	ἥπᾰτε	ἡπᾰ́τοιν	ἡπᾰ́τοιν	ἥπᾰτε	ἥπᾰτε	#	irregular														
liver	dual 	neuter	latin	hḗpate	hēpátoin	hēpátoin	hḗpate	hḗpate	#	irregular														
liver	plural	neuter	greek	ἥπᾰτᾰ	ἡπᾰ́των	ἥπᾰσῐ/ἥπᾰσῐν	ἥπᾰτᾰ	ἥπᾰτᾰ	#	irregular														
liver	plural	neuter	latin	hḗpata	hēpátōn	hḗpasi(n)	hḗpata	hḗpata	#	irregular														
																								
dog	singular 	masculine	greek	κῠ́ων	κῠνός	κῠνῐ́	κῠ́νᾰ	κῠ́ον/κῠ́ων	#	irregular														
dog	singular 	masculine	latin	kúōn	kunós	kuní	kúna	kúon/kúōn	#	irregular														
dog	dual 	masculine	greek	κῠ́νε	κῠνοῖν	κῠνοῖν	κῠ́νε	κῠ́νε	#	irregular														
dog	dual 	masculine	latin	kúne	kunoîn	kunoîn	kúne	kúne	#	irregular														
dog	plural	masculine	greek	κῠ́νες	κῠνῶν	κῠσῐ́/κῠσῐ́ν/κῠ́νεσσῐ	κῠ́νᾰς	κῠ́νες	#	irregular														
dog	plural	masculine	latin	kúnes	kunôn	kusí/kusín/kúnessi	kúnas	kúnes	#	irregular														
																								
dog	singular 	feminine	greek	κῠ́ων	κῠνός	κῠνῐ́	κῠ́νᾰ	κῠ́ον/κῠ́ων	#	irregular														
dog	singular 	feminine	latin	kúōn	kunós	kuní	kúna	kúon/kúōn	#	irregular														
dog	dual 	feminine	greek	κῠ́νε	κῠνοῖν	κῠνοῖν	κῠ́νε	κῠ́νε	#	irregular														
dog	dual 	feminine	latin	kúne	kunoîn	kunoîn	kúne	kúne	#	irregular														
dog	plural	feminine	greek	κῠ́νες	κῠνῶν	κῠσῐ́/κῠσῐ́ν/κῠ́νεσσῐ	κῠ́νᾰς	κῠ́νες	#	irregular														
dog	plural	feminine	latin	kúnes	kunôn	kusí/kusín/kúnessi	kúnas	kúnes	#	irregular														
																								
ship	singular 	feminine	greek	ναῦς	νεώς	νηΐ	ναῦν	ναῦ	#	irregular														
ship	singular 	feminine	latin	naûs	neṓs	nēḯ	naûn	naû	#	irregular														
ship	dual 	feminine	greek	νῆε	νεοῖν	νεοῖν	νῆε	νῆε	#	irregular														
ship	dual 	feminine	latin	nêe	neoîn	neoîn	nêe	nêe	#	irregular														
ship	plural	feminine	greek	νῆες	νεῶν	ναυσί/ναυσίν	ναῦς	νῆες	#	irregular														
ship	plural	feminine	latin	nêes	neôn	nausí(n)	naûs	nêes	#	irregular														
																								
ear	singular 	neuter	greek	οὖς	ὠτός	ὠτῐ́	οὖς	οὖς	#	irregular														
ear	singular 	neuter	latin	oûs	ōtós	ōtí	oûs	oûs	#	irregular														
ear	plural	neuter	greek	ὦτᾰ	ὤτων	ὠσῐ́/ὠσῐ́ν	ὦτᾰ	ὦτᾰ	#	irregular														
ear	plural	neuter	latin	ôta	ṓtōn	ōsí(n)	ôta	ôta	#	irregular														
																								
water	singular 	neuter	greek	ῠ̔́δωρ	ῠ̔́δᾰτος	ῠ̔́δᾰτῐ	ῠ̔́δωρ	ῠ̔́δωρ	#	irregular														
water	singular 	neuter	latin	húdōr	húdatos	húdati	húdōr	húdōr	#	irregular														
water	dual 	neuter	greek	ῠ̔́δᾰτε	ῠ̔δᾰ́τοιν	ῠ̔δᾰ́τοιν	ῠ̔́δᾰτε	ῠ̔́δᾰτε	#	irregular														
water	dual 	neuter	latin	húdate	hudátoin	hudátoin	húdate	húdate	#	irregular														
water	plural	neuter	greek	ῠ̔́δᾰτᾰ	ῠ̔δᾰ́των	ῠ̔́δᾰσῐ/ῠ̔́δᾰσῐν	ῠ̔́δᾰτᾰ	ῠ̔́δᾰτᾰ	#	irregular														
water	plural	neuter	latin	húdata	hudátōn	húdasi(n)	húdata	húdata	#	irregular														
																								
hand	singular 	feminine	greek	χείρ	χειρός	χειρῐ́	χεῖρᾰ	χείρ	#	irregular														
hand	singular 	feminine	latin	kheír	kheirós	kheirí	kheîra	kheír	#	irregular														
hand	dual 	feminine	greek	χεῖρε	χεροῖν	χεροῖν	χεῖρε	χεῖρε	#	irregular														
hand	dual 	feminine	latin	kheîre	kheroîn	kheroîn	kheîre	kheîre	#	irregular														
hand	plural	feminine	greek	χεῖρες	χερῶν/χειρῶν	χερσί/χερσίν/χείρεσσι/χείρεσσιν	χεῖρᾰς	χεῖρες	#	irregular														
hand	plural	feminine	latin	kheîres	kherôn/kheirôn	khersí(n)/kheíressi(n)	kheîras	kheîres	#	irregular														
