*	singular	plural
animal	animale	animali
attention	attenzione	attenzioni
bird	uccello	uccelli
brother	fratello	fratelli
boat	barca	barche
book	libro	libri
bug	insetto	insetti
clothing	vestario	vestario
daughter	figlia	figlie
dog	cane	cani
drum	tamburo	batteria
enemy	nemica	nemiche
fire	incendio	incendi
food	alimento	alimenti
gift	regalo	regali
guard	guardia	guardie
horse	cavallo	cavalli
house	casa	case
livestock	bestiame	bestiame
love	amore	amori
idea	idea	idee
man	uomo	uomini
monster	mostro	mostri
name	nome	nomi
rock	roccia	rocce
rope	corda	corde
size	dimensione	dimensioni
son	figlio	figli
sister	sorella	sorelle
sound	suono	suoni
warmth	calore	calori
water	acqua	acque
way	modo	modi
window	finestra	finestre
woman	donna	donne
work	lavoro	lavori
hello	ciao	ciao
strong	forte	forti
