dɪkʃnɛri	dictionary
fri	free
frɪi	free
θɪsɔrəs	thesaurus
ɪnsaɪkləpidiə	encyclopedia
pɔrtmæntoʊ	portmanteau
ɪnsaɪkləpidiə	encyclopaedia
kæt	cat
grætɪs	gratis
wɛrd	word
livrə	livre
livər	livre
bʊk	book
buk	book
paʊnd	pound
pɑnd	pond
paɪz	pies
nɑnsɛns	nonsense
paɪ	pie
eɪ	a
kroʊ	crow
reɪvən	raven
rævən	raven
ɛləfənt	elephant
ɛlɪfənt	elephant
braʊn	brown
dɪsɛmbər	december
flɒksɪnɔsɪnaɪhɪlɪpɪlɪfɪkeɪʃn	floccinaucinihilipilification
flɒksinɒsinɪhɪlɪpɪlɪfɪkeɪʃn	floccinaucinihilipilification
mʌnθ	month
dʒænjuɛri	january
dʒænjuæri	january
fɛbruɛri	february
fɛbjuɛəri	february
mɑrtʃ	march
eɪprəl	april
meɪ	may
dʒun	june
dʒjun	june
dʒəlaɪ	july
dʒulaɪ	july
dʒʊlaɪ	july
ɔgʌst	august
ə-	august
sɛptɛmbər	september
səp-	september
ɑktoʊbər	october
noʊvɛmbər	november
deɪ	day
mʌndeɪ	monday
mʌndi	monday
tjuzdeɪ	tuesday
tjuzdi	tuesday
wɛnzdeɪ	wednesday
wɛnzdi	wednesday
θɛrzdeɪ	thursday
θɛrzdi	thursday
fraɪdeɪ	friday
fraɪdi	friday
sætərdeɪ	saturday
sætərteɪ	saturday
sætərdi	saturday
sætərti	saturday
sʌndeɪ	sunday
sʌndi	sunday
lɛksɪkɑgrəfi	lexicography
-sə-	lexicography
æntənɪm	antonym
kɑnəteɪʃn	connotation
dinoʊteɪʃn	denotation
sɪnənɪm	synonym
daɪəlɛkt	dialect
haɪpoʊnɪm	hyponym
haɪpənɪm	hyponym
sɪmæntɪks	semantics
fɔls frɛnd	false friend
fɑls frɛnd	false friend
naʊn	noun
aʊər	hour
ælfəbɛtɪkəl	alphabetical
mɪnɪt	minute
maɪnjut	minute
mənjut	minute
bɑrtər	barter
ɛtɪmɑlədʒi	etymology
swɒp	swap
swɑp	swop
treɪd	trade
