,,,Nominative,Accusative,Genitive,Prepositional,Dative,Instrumental,
new,animate,masculine,но́вый,но́вого,но́вого,но́вом,но́вому,но́вым,
new,animate,neuter,но́вое,но́вое,но́вого,но́вом,но́вому,но́вым,
new,animate,feminine,но́вая,но́вую,но́вой,но́вой,но́вой,но́вой,
new,animate,plural,но́вые,но́вых,но́вых,но́вых,но́вым,но́выми ,
new,inanimate,masculine,но́вый,но́вый,но́вого,но́вом,но́вому,но́вым,
new,inanimate,neuter,но́вое,но́вое,но́вого,но́вом,но́вому,но́вым,
new,inanimate,feminine,но́вая,но́вую,но́вой,но́вой,но́вой,но́вой,
new,inanimate,plural,но́вые,но́вые,но́вых,но́вых,но́вым,но́выми ,
,,,,,,,,,
blue,animate,masculine,си́ний,си́него,си́него,си́нем,си́нему,си́ним,
blue,animate,neuter,си́нее,си́нее,си́него,си́нем,си́нему,си́ним,
blue,animate,feminine,си́няя,си́нюю,си́ней,си́ней,си́ней,си́ней,
blue,animate,plural,си́ние,си́них ,си́них ,си́них ,си́ним,си́ними ,
blue,inanimate,masculine,си́ний,си́ний,си́него,си́нем,си́нему,си́ним,
blue,inanimate,neuter,си́нее,си́нее,си́него,си́нем,си́нему,си́ним,
blue,inanimate,feminine,си́няя,си́нюю,си́ней,си́ней,си́ней,си́ней,
blue,inanimate,plural,си́ние,си́ние,си́них ,си́них ,си́ним,си́ними ,
,,,,,,,,,
tall,animate,masculine,высо́кий,высо́кого,высо́кого,высо́ком,высо́кому,высо́ким,
tall,animate,neuter,высо́кое,высо́кое,высо́кого,высо́ком,высо́кому,высо́ким,
tall,animate,feminine,высо́кая,высо́кую,высо́кой,высо́кой,высо́кой,высо́кой,
tall,animate,plural,высо́кие,высо́ких ,высо́ких ,высо́ких ,высо́ким,высо́кими ,
tall,inanimate,masculine,высо́кий,высо́кий,высо́кого,высо́ком,высо́кому,высо́ким,
tall,inanimate,neuter,высо́кое,высо́кое,высо́кого,высо́ком,высо́кому,высо́ким,
tall,inanimate,feminine,высо́кая,высо́кую,высо́кой,высо́кой,высо́кой,высо́кой,
tall,inanimate,plural,высо́кие,высо́кие,высо́ких ,высо́ких ,высо́ким,высо́кими ,
,,,,,,,,,
good,animate,masculine,хоро́ший,хоро́шего,хоро́шего,хоро́шем,хоро́шему,хоро́шим,
good,animate,neuter,хоро́шее,хоро́шее,хоро́шего,хоро́шем,хоро́шему,хоро́шим,
good,animate,feminine,хоро́шая,хоро́шую,хоро́шей,хоро́шей,хоро́шей,хоро́шей,
good,animate,plural,хоро́шие,хоро́ших ,хоро́ших ,хоро́ших ,хоро́шим,хоро́шими ,
good,inanimate,masculine,хоро́ший,хоро́ший,хоро́шего,хоро́шем,хоро́шему,хоро́шим,
good,inanimate,neuter,хоро́шее,хоро́шее,хоро́шего,хоро́шем,хоро́шему,хоро́шим,
good,inanimate,feminine,хоро́шая,хоро́шую,хоро́шей,хоро́шей,хоро́шей,хоро́шей,
good,inanimate,plural,хоро́шие,хоро́шие,хоро́ших ,хоро́ших ,хоро́шим,хоро́шими ,
,,,,,,,,,
