*	*	*	*		*	nominative	genitive	dative	accusative	vocative	#	doric			
personal	1		singular	tonic	greek	ἐγών	ἐμέος / ἐμοῦς / ἐμεῦς / ἐμέθεν	ἐμῐ́ν	ἐμέ						
personal	1		singular	tonic	latin	egṓn	eméos / emoûs / emeûs / eméthen	emín	emé						
personal	1		singular	enclitic	greek			μοι†	με†						
personal	1		singular	enclitic	latin			moi†	me†						
personal	1		plural		greek	ᾱ̔μές	ᾱ̔μέων / ᾱ̔μίων / ᾱ̔μῶν	ᾱ̔μίν / ἇμῐν	ᾱ̔μέ						
personal	1		plural		latin	hāmés	hāméōn / hāmíōn / hāmôn	hāmín / hâmin	hāmé 						
															
personal	2		singular	tonic	greek	τῠ́ / τῡ́νη	τέος / τεοῦς / τιοῦς / τεῦς / τέο / τεῦ / τεοῦ / τεοῖο / τίω / τίως / τίος / τώς	τῐ́ν / τῑ́νη	τέ / τῐ́ν / τῠ́						
personal	2		singular	tonic	latin	tú / tū́nē	téos / teoûs / tioûs / teûs / téo / teû / teoû / teoîo / tíō / tíōs / tíos / tṓs	tín / tī́nē	té / tín / tú						
personal	2		singular	enclitic	greek		τοι† / τεος†		τῠ†						
personal	2		singular	enclitic	latin		toi† / teos†		tu†						
personal	2		plural		greek	ῡ̔μές / ῡ̔μέν	ῡ̔μέων / ῡ̔μῶν	ῡ̔μῐ́ν / ὗμῐν†	ῡ̔μέ	ῡ̔μές / ῡ̔μέν					
personal	2		plural		latin	hūmés / hūmén	hūméōn / hūmôn	hūmín / hûmin†	hūmé	hūmés / hūmén 					
															
personal	3		singular	tonic	greek		ἑοῦς / ἑοῦ / ϝέος / ἕθεν	οἷ / ϝῐ́ν	ἕ / ϝέ / νῐ́ν						
personal	3		singular	tonic	latin		heoûs / heoû / wéos / héthen	hoî / wín	hé / wé / nín						
personal	3		singular	enclitic	greek			οἱ† / ϝοι†							
personal	3		singular	enclitic	latin			hoi† / woi†							
personal	3		plural		greek		σφείων / ψέων	φῐ́ν / ψῐ́ν / σφῐ / σφῐν†	σφέ / ψέ						
personal	3		plural		latin		spheíōn / pséōn	phín / psín / sphi(n)†	sphé / psé						
															
															
															
															
															
															
