love	dative	(unei) iubiri	iubirii	(unor) iubiri	iubirilor						
love	vocative	iubire, iubireo	iubire, iubireo	iubirilor	iubirilor						
idea	nominative	(o) idee	ideea	(niște) idei	ideile						
idea	accusative	(o) idee	ideea	(niște) idei	ideile						
idea	dative	(unei) idei	ideii	(unor) idei	ideilor						
idea	vocative	idee, ideeo	idee, ideeo	ideilor	ideilor						
man	nominative	(un) bărbat	bărbatul	(niște) bărbați	bărbații						
man	accusative	(un) bărbat	bărbatul	(niște) bărbați	bărbații						
man	dative	(unui) bărbat	bărbatului	(unor) bărbați	bărbaților						
man	vocative	bărbatule, bărbate	bărbatule, bărbate	bărbaților	bărbaților						
money	nominative	(un) ban	banul	(niște) bani	banii						
money	accusative	(un) ban	banul	(niște) bani	banii						
money	dative	(unui) ban	banului	(unor) bani	banilor						
money	vocative	banule	banule	banilor	banilor						
monster	nominative	(un) monstru	monstrul	(niște) monștri	monștrii						
monster	accusative	(un) monstru	monstrul	(niște) monștri	monștrii						
monster	dative	(unui) monstru	monstrului	(unor) monștri	monștrilor						
monster	vocative	monstrule	monstrule	monștrilor	monștrilor						
name	nominative	(un) nume	numele	(niște) nume	numele						
name	accusative	(un) nume	numele	(niște) nume	numele						
name	dative	(unui) nume	numelui	(unor) nume	numelor						
name	vocative	nume	nume	numelor	numelor						
rock	nominative	(o) stană	stana	(niște) stane	stanele						
rock	accusative	(o) stană	stana	(niște) stane	stanele						
rock	dative	(unei) stane	stanei	(unor) stane	stanelor						
rock	vocative	stană, stano	stană, stano	stanelor	stanelor						
rope	nominative	(o) frânghie	frânghia	(niște) frânghii	frânghiile						
rope	accusative	(o) frânghie	frânghia	(niște) frânghii	frânghiile						
rope	dative	(unei) frânghii	frânghiei	(unor) frânghii	frânghiilor						
rope	vocative	frânghie, frânghio	frânghie, frânghio	frânghiilor	frânghiilor						
size	nominative	(o) mărime	mărimea	(niște) mărimi	mărimile						
size	accusative	(o) mărime	mărimea	(niște) mărimi	mărimile						
size	dative	(unei) mărimi	mărimii	(unor) mărimi	mărimilor						
size	vocative	mărime, mărimeo	mărime, mărimeo	mărimilor	mărimilor						
sister	nominative	(o) soră	sora	(niște) surori	surorile						
sister	accusative	(o) soră	sora	(niște) surori	surorile						
sister	dative	(unei) surori	surorii	(unor) surori	surorilor						
sister	vocative	—	—	—	—						
son	nominative	(un) fiu	fiul	(niște) fii	fiii						
son	accusative	(un) fiu	fiul	(niște) fii	fiii						
son	dative	(unui) fiu	fiului	(unor) fii	fiilor						
son	vocative	fiule	fiule	fiilor	fiilor						
sound	nominative	(un) sunet	sunetul	(niște) sunete	sunetele						
sound	accusative	(un) sunet	sunetul	(niște) sunete	sunetele						
sound	dative	(unui) sunet	sunetului	(unor) sunete	sunetelor						
sound	vocative	sunetule	sunetule	sunetelor	sunetelor						
warmth	nominative	(o) căldură	căldura	(niște) călduri	căldurile						
warmth	accusative	(o) căldură	căldura	(niște) călduri	căldurile						
warmth	dative	(unei) călduri	căldurii	(unor) călduri	căldurilor						
warmth	vocative	căldură, călduro	căldură, călduro	căldurilor	căldurilor						
water	nominative	(o) apă	apa	(niște) ape	apele						
water	accusative	(o) apă	apa	(niște) ape	apele						
water	dative	(unei) ape	apei	(unor) ape	apelor						
water	vocative	apă, apo	apă, apo	apelor	apelor						
way	nominative	(o) cale	calea	(niște) căi	căile						
way	accusative	(o) cale	calea	(niște) căi	căile						
way	dative	(unei) căi	căii	(unor) căi	căilor						
way	vocative	cale, caleo	cale, caleo	căilor	căilor						
wind	nominative	(un) vânt	vântul	(niște) vânturi	vânturile						
wind	accusative	(un) vânt	vântul	(niște) vânturi	vânturile						
wind	dative	(unui) vânt	vântului	(unor) vânturi	vânturilor						
wind	vocative	vântule	vântule	vânturilor	vânturilor						
window	nominative	(o) fereastră	fereastra	(niște) ferestre	ferestrele						
window	accusative	(o) fereastră	fereastra	(niște) ferestre	ferestrele						
window	dative	(unei) ferestre	ferestrei	(unor) ferestre	ferestrelor						
window	vocative	fereastră, fereastro	fereastră, fereastro	ferestrelor	ferestrelor						
woman	nominative	(o) femeie	femeia	(niște) femei	femeile						
woman	accusative	(o) femeie	femeia	(niște) femei	femeile						
woman	dative	(unei) femei	femeii	(unor) femei	femeilor						
woman	vocative	femeie, femeio	femeie, femeio	femeilor	femeilor						
work	nominative	(o) muncă	munca	(niște) munci	muncile						
work	accusative	(o) muncă	munca	(niște) munci	muncile						
work	dative	(unei) munci	muncii	(unor) munci	muncilor						
work	vocative	muncă, munco	muncă, munco	muncilor	muncilor						
hello		salut	salut	salut	salut						
