# Swadesh 207 id	part-of-speech	English	Vietnamese
1	noun                 	I	tôi
2	noun                 	you	
3	noun                 	he, she, it	anh ấy, ông ấy
4	noun                 	we	mình (inclusive), chúng ta (inclusive), chúng tôi (exclusive)
5	noun                 	you all	các bạn, bây (informal)
6	noun                 	they	họ
7	noun                 	this	này, đây
8	noun                 	that	đó
9	noun                 	here	đây
10	noun                 	there	ở đó, đấy
11	noun                 	who	ai (interrogative)
12	noun                 	what	gì, cái gì (interrogative)
13	noun                 	where	ở đâu (no movement, interrogative)
14	noun                 	when	khi nào (interrogative)
15	noun                 	how	sao (interrogative)
16	adverb              	not	không, chẳng, chả
17	determiner            	all	tất cả, mọi, hết
18	determiner            	many	nhiều, lắm
19	determiner            	some	mấy, vài
20	determiner            	few	ít
21	determiner            	other	khác
22	numeral	one	một
23	numeral	two	hai
24	numeral	three	ba
25	numeral	four	bốn
26	numeral	five	năm
27	adjective	big	lớn, to, bự
28	adjective	long	dài
29	adjective	wide	rộng
30	adjective	thick	dày
31	adjective	heavy	nặng
32	adjective	small	nhỏ, bé
33	adjective	short	ngắn
34	adjective	narrow	chật, hẹp
35	adjective	thin	mỏng
36	noun	woman	đàn bà, phụ nữ
37	noun	man	đàn ông, trai
38	noun	human	người
39	noun	child	con
40	noun	wife	vợ
41	noun	husband	chồng
42	noun	mother	mẹ, má, u, mạ, mệ
43	noun	father	cha, bố, ba, tía, thầy
44	noun	animal	thú
45	noun	fish	cá
46	noun	bird	chim
47	noun	dog	chó
48	noun	louse	rận, chấy
49	noun	snake	rắn
50	noun	worm	giun, trùn
51	noun	tree	cây
52	noun	forest	rừng
53	noun	stick	gậy, cây
54	noun	fruit	quả, trái
55	noun	seed	hạt
56	noun	leaf	lá
57	noun	root	rễ
58	noun	bark	vỏ
59	noun	flower	hoa, bông
60	noun	grass	cỏ
61	noun	rope	dây
62	noun	skin	da
63	noun	meat	thịt
64	noun	blood	máu
65	noun	bone	xương
66	noun	fat	mỡ
67	noun	egg	trứng
68	noun	horn	sừng
69	noun	tail	đuôi
70	noun	feather	lông vũ
71	noun	hair	lông, tóc
72	noun	head	đầu
73	noun	ear	tai
74	noun	eye	mắt
75	noun	nose	mũi
76	noun	mouth	miệng, mồm
77	noun	tooth	răng
78	noun	tongue	lưỡi
79	noun	fingernail	móng
80	noun	foot	bàn chân
81	noun	leg	chân, giò, cẳng
82	noun	knee	đầu gối, gối
83	noun	hand	bàn tay
84	noun	wing	cánh
85	noun	belly	bụng
86	noun	guts	lòng, ruột
87	noun	neck	cổ
88	noun	back	lưng
89	noun	breast	vú, ngực
90	noun	heart	tim
91	noun	liver	gan
92	verb	drink	uống
93	verb	eat	ăn
94	verb	bite	cắn
95	verb	suck	mút, hút (straw), bú (breast)
96	verb	spit	nhổ
97	verb	vomit	nôn, mửa, ói
98	verb	blow	thổi
99	verb	breathe	hô hấp, thở
100	verb	laugh	cười
101	verb	see	thấy, nhìn (look), trông
102	verb	hear	nghe
103	verb	know	biết
104	verb	think	nghĩ
105	verb	smell	ngửi
106	verb	fear	sợ
107	verb	sleep	ngủ
108	verb	live	sống
109	verb	die	chết
110	verb	kill	giết
111	verb	fight	đánh, chiến đấu
112	verb	hunt	săn
113	verb	hit	đánh
114	verb	cut	cắt
115	verb	split	chẻ
116	verb	stab	đâm
117	verb	scratch	gãi, cạo, cào
118	verb	dig	đào
119	verb	swim	bơi
120	verb	fly	bay
121	verb	walk	đi
122	verb	come	đến
123	verb	lay	nằm (action)
124	verb	sit	ngồi (action)
125	verb	stand	đứng (action)
126	verb	turn	quay, xoay
127	verb	fall	ngã, té, rớt, rơi
128	verb	give	cho, tặng
129	verb	hold	cầm, nắm
130	verb	squeeze	vắt, siết
131	verb	rub	cọ, cà, chà, cạ
132	verb	wash	giặt, rửa
133	verb	wipe	lau, chùi
134	verb	pull	kéo
135	verb	push	đẩy
136	verb	throw	ném, chọi, quăng, quẳng
137	verb	tie	trói, buộc, bó
138	verb	sew	khâu, may
139	verb	count	đếm
140	verb	say	nói
141	verb	sing	hát
142	verb	play	chơi
143	verb	float	nổi
144	verb	flow	chảy
145	verb	freeze	đông lại, đóng băng
146	verb	swell	sưng lên
147	noun	sun	mặt trời
148	noun	moon	trăng, mặt trăng
149	noun	star	sao
150	noun	water	nước
151	noun	rain	mưa
152	noun	river	sông
153	noun	lake	hồ
154	noun	sea	biển
155	noun	salt	muối
156	noun	stone	đá
157	noun	sand	cát
158	noun	dust	bụi
159	noun	earth	đất
160	noun	cloud	mây
161	noun	fog	sương mù
162	noun	sky	trời
163	noun	wind	gió
164	noun	snow	tuyết
165	noun	ice	nước đá, băng
166	noun	smoke	khói
167	noun	fire	lửa
168	noun	ash	tro
169	verb	to burn	đốt
170	noun	road	đường
171	noun	mountain	núi
172	adjective	red	đỏ
173	adjective	green	xanh
174	adjective	yellow	vàng
175	adjective	white	trắng
176	adjective	black	đen
177	noun	night	đêm
178	noun	day	ngày, hôm, bữa
179	noun	year	năm
180	adjective	warm	ấm
181	adjective	cold	lạnh
182	adjective	full	đầy
183	adjective	new	mới
184	adjective	old	cổ, cũ (object), già (living being)
185	adjective	good	tốt, ngon, hay (act), giỏi (work)
186	adjective	bad	xấu, tồi, dở, kém
187	adjective	rotten	thối, ung, mục, mủn, ruỗng
188	adjective	dirty	bẩn, dơ
189	adjective	straight	thẳng
190	adjective	round	tròn
191	adjective	sharp (as a knife)	sắc, bén
192	adjective	dull (as a knife)	mòn, cùn, cùi
193	adjective	smooth	mịn, trơn, nhẵn
194	adjective	wet	ướt
195	adjective	dry	khô
196	adjective	correct	đúng
197	adjective	near	gần
198	adjective	far	xa
199	adjective	right	phải
200	adjective	left	trái
201	preposition	at	ở
202	preposition	in	trong
203	preposition	with	với
204	preposition	and	và, với
205	preposition	if	nếu
206	preposition	because	vì, bởi vì, do, tại
207	noun	name	tên 
			
			
			
