#english	lemma	part of speech	proto indo european		
I                   	I             	noun                 	éǵh₂(om)                         		
you                 	you           	noun                 	túh₂                             		
he, she, it         	he            	noun                 	éy, is                               		
we                  	we            	noun                 	wéy                              		
you all               	you all      	noun                 	yū                               		
they                	they          	noun                 	éyes                             		
this                	this          	noun                 	só, séh₂, tód                    		
that                	that          	noun                 	yós, yéh₂, yód                   		
here                	here          	noun                 	ḱi                               		
there               	there         	noun                 	h₂en                             		
who                 	who           	noun                 	kʷis (pron.), kʷod (adj.)        		
what                	what          	noun                 	kʷis                             		
where               	where         	noun                 	kʷesmi                           		
when                	when          	noun                 	                                 		
how                 	how           	noun                 	                                 		
not                 	not           	adverb              	n̥-, ne                          		
all                 	all           	determiner            	                                 		
many                	many          	determiner            	monogʰo-                         		
some                	some          	determiner            	kaylo-, solwo-                   		
few                 	few           	determiner            	peh₂w-                           		
other               	other         	determiner            	h₂élyos, h₂el-nó-                		
one                 	one           	noun                 	(H)óynos, (H)óykos, (H)óywos, sḗm		
two                 	two           	noun                 	dwóh₁; dwó                       		
three               	three         	noun                 	tréyes                           		
four                	four          	noun                 	kʷetwóres                        		
five                	five          	noun                 	pénkʷe                           		
six                 	six           	noun                 	swéḱs                           		
seven               	seven         	noun                 	septḿ̥                           		
eight               	eight         	noun                 	oḱtṓw                           		
nine                	nine          	noun                 	h₁néwn̥                           		
ten                 	ten           	noun                 	déḱm̥                           		
hundred             	hundred       	noun                 	ḱm̥tóm                           		
thousand            	thousand      	noun                 	tuHsont                           		
big                 	big           	adjective            	méǵh₂s                           		
long                	long          	adjective            	dl̥h₁gʰós                        		
wide                	wide          	adjective            	stelh₃ós                         		
thick               	thick         	adjective            	bʰenǵʰ, tégus                    		
heavy               	heavy         	adjective            	gʷréh₂us                         		
small               	small         	adjective            	mey-                             		
short               	short         	adjective            	mréǵʰus, (s)ker-                 		
narrow              	narrow        	adjective            	h₂enǵʰ-                          		
thin                	thin          	adjective            	ténh₂us                          		
woman               	woman         	noun                 	gʷḗn, h₁esor-                    		
man                 	man           	noun                 	h₂nḗr, wiHrós                    		
human               	human         	noun                 	dʰéǵʰōm                       		
child               	child         	noun                 	                                 		
wife                	wife          	noun                 	pótnih₂                          		
husband             	husband       	noun                 	wiHrós, pótis                    		
mother              	mother        	noun                 	méh₂tēr                          		
father              	father        	noun                 	ph₂tḗr                     		
animal              	animal        	noun                 	dʰewsóm, ǵʰwer-                  		
worm                	worm          	noun                 	wr̥mis                           		
louse               	louse         	noun                 	ḱ(o)nid-, lewH-                  		
fish                	fish          	noun                 	dʰǵʰu-, peysḱ-                   		
snake               	snake         	noun                 	h₂éngʷʰis, (s)neh₁tr-            		
bird                	bird          	noun                 	h₂éwis                           		
grass               	grass         	noun                 	koyno-                           		
tree                	tree          	noun                 	dóru (genitive dréws)            		
forest              	forest        	noun                 	                                 		
marsh               	marsh         	noun                 	sélos		
stick               	stick         	noun                 	ǵʰasto-                          		
fruit, crop, harvest	fruit         	noun                  	(s)h₁es-		
seed                	seed          	noun                 	séh₁mn̥                          		
leaf                	leaf          	noun                 	lewbʰ-, bʰolh₃yom                		
root                	root          	noun                 	wréh₂ds                          		
bark                	bark          	noun                 	bʰérHǵos                         		
flower              	flower        	noun                 	bʰleh₃-                          		
rope                	rope          	noun                 	roypnós                          		
skin                	skin          	noun                 	pel-, twékos                     		
meat                	meat          	noun                 	mḗms, krewh₂-                    		
blood               	blood         	noun                 	krewh₂-, h₁ésh₂r̥                		
bone                	bone          	noun                 	h₂óst, kost-                     		
fat                 	fat           	noun                 	smérus                           		
egg                 	egg           	noun                 	h₂ōwyóm                          		
horn                	horn          	noun                 	ḱr̥nom, ḱerh₂(s), ḱerh₂sr̥, koru 		
tail                	tail          	noun                 	                                 		
feather             	feather       	noun                 	péth₂r̥                          		
hair                	hair          	noun                 	pulh₂-                           		
beard               	beard         	noun                 	bʰardʰéh₂		
head                	head          	noun                 	káput-, gʰebʰelo-                		
ear                 	ear           	noun                 	h₂ṓws                            		
eye                 	eye           	noun                 	h₃ókʷs                           		
nose                	nose          	noun                 	Hnéh₂s                           		
mouth               	mouth         	noun                 	h₃éh₁os                          		
tooth               	tooth         	noun                 	h₃dónts, ǵómbʰos		
tongue              	tongue        	noun                 	dn̥ǵʰwéh₂s                       		
lip                 	lip           	noun                  	leb-		
cheek, jaw, chin    	chin          	noun                 	ǵénus		
forehead            	forehead      	noun                 	h₂énts		
eyebrow             	eyebrow       	noun                 	h₃bʰrúhs		
fingernail          	fingernail    	noun                 	h₃negʰ-                          		
foot                	foot          	noun                 	pṓds                             		
leg                 	leg           	noun                 	kroksko                          		
knee                	knee          	noun                 	ǵónu                             		
hand                	hand          	noun                 	ǵʰésr̥, mar-                     		
belly               	belly         	noun                 	úderos                           		
guts                	guts          	noun                 	eh₁ter-                          		
neck                	neck          	noun                 	mon-, gʷrihwéh₂		
back                	back          	noun                 	                                 		
shoulder            	shoulder      	noun                 	h₂ṓms		
chest, rib          	chest         	noun                	pérḱus		
navel               	navel         	noun                 	h₃nebʰ-		
heart               	heart         	noun                 	ḱḗr (genitive ḱr̥dés)            		
brain, marrow       	brain         	noun                 	mosgʰós		
liver               	liver         	noun                 	Hyékʷr̥                          		
kidney              	kidney        	noun                 	negʷʰrós		
lung                	lung          	noun                 	pléwmō		
womb                	womb          	noun                	gʷelbʰ-		
wing                	wing          	noun                 	péth₂r̥                          		
eat                 	eat           	verb                 	h₁ed-                            		
drink               	drink         	verb                 	píph₃eti, h₁egʷʰ-                		
breathe             	breathe       	verb                 	pnew-                            		
sleep               	sleep         	verb                 	swep-, drem-                     		
sweat               	sweat         	verb                	sweyd-		
bite                	bite          	verb                 	denḱ-, h₁ed-                     		
suck                	suck          	verb                 	dʰeh₁(y)-                        		
spit                	spit          	verb                 	sp(y)ew-                         		
vomit               	vomit         	verb                 	wemh₁-, h₁reug-                  		
blow                	blow          	verb                 	h₂weh₁-                          		
laugh               	laugh         	verb                 	(s)mey-                          		
see                 	see           	verb                 	derḱ-, weyd-                     		
hear                	hear          	verb                 	ḱlew-                            		
smell               	smell         	verb                 	h₃ed-                            		
taste               	taste         	verb                 	ǵéwstus, ǵews-, sep-		
know                	know          	verb                 	ǵneh₃-, ǵnéh₃-sḱ-, weyd-         		
think               	think         	verb                 	memóne, teng-                    		
fear                	fear          	verb                 	pr̥k-		
live                	live          	verb                 	gʷeyh₃-                          		
die                 	die           	verb                 	mer-, dʰew-                      		
alive, living       	living        	adjective             	gʷih₃wós, gʷíh₃weti		
dead, mortal        	dead          	adjective             	mr̥tós		
kill                	kill          	verb                 	gʷʰen-                           		
fight               	fight         	verb                 	keh₃-                        		
hunt                	hunt          	verb                 	weyh₁-, sekʷh₃-                  		
hit                 	hit           	verb                 	pleh₂k-                          		
cut                 	cut           	verb                 	kr̥t-                            		
split               	split         	verb                 	skéydt, skinédti                 		
stab                	stab          	verb                 	dʰeygʷ-, bʰod-                   		
scratch             	scratch       	verb                 	gerbʰ-                           		
dig                 	dig           	verb                 	dʰeygʷ-                          		
swim                	swim          	verb                 	(s)neh₂-                         		
fly                 	fly           	verb                 	peth₂-, gʷel-                    		
walk                	walk          	verb                 	gʰredʰ-                          		
climb               	climb         	verb                  	steygʰ-		
jump                	jump          	verb                  	prew-		
go                  	go            	verb                  	h₁ey-, gʷem-, ǵʰeh₁-		
do, make, build     	build         	verb                  	kʷer-		
work, make          	work          	verb                  	wérǵom, h₃ep-		
come                	come          	verb                 	gʷémt, gʷm̥sḱéti, gʷeh₂-         		
lay                 	lay           	verb                 	légʰyeti, ḱéytor                 		
sit                 	sit           	verb                 	sédt, sísdeti                    		
stand               	stand         	verb                 	stéh₂t, stestóh₂e, stísteh₂ti    		
turn                	turn          	verb                 	wértti                           		
fall                	fall          	verb                 	ḱh₂d-                            		
give                	give          	verb                 	déh₃t, dédeh₃ti                  		
hold                	hold          	verb                 	segʰ-                            		
squeeze             	squeeze       	verb                 	                                 		
rub                 	rub           	verb                 	melh₂-                           		
wash                	wash          	verb                 	lewh₃-, neygʷ-                   		
wipe                	wipe          	verb                 	                                 		
pull                	pull          	verb                 	tragʰ-                           		
push                	push          	verb                 	trenkʷ-, (s)tew-		
throw               	throw         	verb                 	swep-                            		
tie                 	tie           	verb                 	yewg-		
sew                 	sew           	verb                 	syuh₁-                           		
count               	count         	verb                 	dol-, del-                       		
say                 	say           	verb                 	sekʷ-, wéwket                    		
sing                	sing          	verb                 	kan-, sengʷʰ-                             		
play                	play          	verb                 			
float               	float         	verb                 	plew-                            		
flow                	flow          	verb                 	plew-                            		
freeze              	freeze        	verb                 	gel-                             		
swell               	swell         	verb                 	tewh₂-                           		
sun                 	sun           	noun                 	sóh₂wl̥                          		
moon                	moon          	noun                 	mḗh₁n̥s, lówksneh₂               		
star                	star          	noun                 	h₂stḗr                           		
water               	water         	noun                 	h₂ekʷeh₂, h₂ep-, wódr̥           		
