च 	15132
तद् 	14724
न 	6312
मद् 	5915
त्वद् 	4039
एव 	3857
तु 	3808
इदम् 	3743
अपि 	3696
कृ 	3384
यद् 	3099
सर्व 	2861
इव 	2749
महा 	2739
राम 	2559
इति 	2522
भू 	2289
ततस् 	2285
दृश् 	2177
गम् 	2152
हि 	2143
अस् 	2091
वच् 	2039
एतद् 	1903
राजन् 	1728
वा 	1717
तथा 	1631
अर्थ 	1537
ब्रू 	1530
क 	1521
धर्म 	1469
स 	1444
राक्षस 	1336
यथा 	1297
श्रु 	1278
सु 	1186
एवम् 	1161
आत्मन् 	1156
तत्र 	1137
बल 	1125
राघव 	1049
पुत्र 	997
लक्ष्मण 	986
वानर 	984
वन 	976
तदा 	971
रावण 	962
हन् 	960
कश्चिद् 	944
अथ 	905
अन्य 	893
पुनर् 	893
वाक्य 	885
लोक 	865
स्व 	864
स्था 	849
महन्त् 	846
देव 	832
कर्मन् 	825
सह 	799
सीता 	790
दा 	744
काल 	744
इन्द्र 	726
पितृ 	703
पर 	695
त्व 	658
वचन 	648
एक 	643
वर 	637
प्राप् 	621
आगम् 	620
यदि 	611
महात्मन् 	597
बहु 	594
प्रिय 	589
विद् 	589
शर 	574
तेजस् 	574
हरि 	572
भ्रातृ 	566
इह 	557
वीर 	553
सुग्रीव 	544
मुनि 	535
इष् 	530
परम 	526
काम 	525
दुःख 	523
ऋषि 	523
स्त्री 	520
अद्य 	514
प्हल 	507
गुण 	506
रक्षस् 	499
नर 	486
भरत 	480
रूप 	480
रथ 	478
शोक 	477
तपस् 	477
जन 	476
ग्रह् 	472
सुख 	472
पुरुष 	471
भय 	470
मनस् 	470
नाम 	464
उत्तम 	463
हनुमन्त् 	457
या 	457
कथम् 	440
सम 	437
युज् 	437
आदि 	434
बाहु 	423
अर्ह् 	422
कार्य 	417
कपि 	415
प्रविश् 	415
अग्नि 	412
वचस् 	411
ज्ञा 	410
जन् 	409
त्रि 	409
अत्र 	407
पत् 	407
राज्य 	398
वत् 	386
पश् 	383
शत 	381
घोर 	379
दर्शन 	378
सुत 	370
देश 	366
भवन्त् 	365
शुभ 	360
यत्र 	360
वेग 	359
सहस्र 	354
वैदेही 	350
युद्ध 	350
भर्तृ 	349
ता 	348
सत्त्व 	342
सत्य 	342
हा 	339
मन् 	339
पाप 	335
श्रेष्ठ 	335
ब्राह्मण 	334
भूमि 	327
मुख 	326
गण 	325
लङ्का 	323
बुद्धि 	322
मुच् 	322
पर्वत 	321
निहन् 	320
गिरि 	315
मृग 	315
ज्ञ 	313
बाण 	312
स्वयम् 	312
ब्रह्मन् 	311
त्यज् 	310
रण 	307
वस् 	304
एनद् 	303
ह 	303
उपम 	303
स्थ 	302
वै 	302
भूत 	300
गुरु 	296
वीर्य 	296
कुल 	294
अन्तर 	293
दिश् 	293
हृ 	293
पूर्व 	292
आश्रम 	291
अपर 	289
विक्रम 	288
भाव 	283
नित्यम् 	283
वध 	283
अह् 	281
शब्द 	280
अदस् 	279
मातृ 	279
गृह 	278
क्रोध 	276
नृप 	275
भार्या 	274
ऋषभ 	274
शत्रु 	274
वर्ष 	270
चर् 	268
क्रुध् 	268
अङ्ग 	266
हित 	266
मूल 	266
दोष 	265
सागर 	264
भीम 	263
सुर 	263
पति 	259
पाद 	258
द्विज 	257
शैल 	257
तल 	257
दिव्य 	256
धन 	255
लभ् 	254
विधि 	254
अग्र 	253
गति 	252
आत्मज 	251
वृक्ष 	251
यत् 	250
काकुत्स्थ 	249
प्रीति 	247
पुष्प 	246
वाच् 	246
वृत् 	245
हेतु 	244
रस 	244
वद् 	242
यतस् 	242
कर 	237
सौमित्रि 	237
ईश्वर 	236
विविध 	236
साधु 	235
आर्त 	234
मध्य 	234
शिरस् 	233
धनुस् 	232
आदा 	230
वालिन् 	230
यज्ञ 	230
अन्त 	229
तावत् 	229
अस्त्र 	228
हस्त 	228
जल 	228
दशरथ 	227
जीव् 	227
रक्ष् 	227
देवी 	224
विभीषण 	222
कथय् 	220
इन्द्रिय 	218
वर्ण 	218
योग 	218
अङ्गद 	217
श्रीमन्त् 	217
दण्ड 	216
प्राण 	216
राज 	216
भिद् 	215
जीवित 	215
काञ्चन 	215
मैथिली 	215
शरीर 	213
हृष् 	212
सैन्य 	211
संकाश 	209
सूर्य 	208
यशस् 	208
कन्या 	207
सिंह 	207
चन्द्र 	206
शक् 	206
दीप् 	205
प्रभा 	204
युध् 	204
कारण 	203
पूर्वम् 	203
सम्पद् 	203
वश 	203
वृ 	203
बाल 	202
दशन् 	202
गज 	202
मित्र 	202
बन्ध् 	201
गो 	201
नदी 	200
पुरी 	200
विषय 	200
पुण्य 	199
पुर 	199
शूर 	199
स्मृ 	198
तस्मात् 	198
ज 	197
आप् 	196
द्रुम 	196
मन्त्रिन् 	196
चित्त 	195
दीन 	194
स्म 	194
अतस् 	193
क्षिप्रम् 	192
पद 	192
विधा 	192
यावत् 	192
जि 	191
सूत 	191
प्रच्छ् 	190
प्रति 	190
भुज् 	189
काय 	188
सहित 	188
संशय 	188
व्रत 	187
चतुर् 	186
चिन्तय् 	186
नी 	186
अधिप 	185
उत्था 	185
अश्व 	184
भगवन्त् 	184
चित्र 	184
पूजय् 	184
अक्ष 	183
पृथिवी 	183
सौम्य 	183
श्री 	183
विप्र 	182
पुरा 	181
सदृश 	178
अति 	177
रत्न 	177
शास्त्र 	175
चेद् 	174
पुंगव 	174
व्याघ्र 	174
पञ्चन् 	173
शक्र 	173
सुहृद् 	173
विज्ञा 	173
विशेष 	172
कुम्भकर्ण 	171
निपत् 	171
निशाचर 	171
नाग 	170
नामन् 	170
प्री 	170
छिद् 	169
उभ् 	169
हेमन् 	168
मति 	168
मेघ 	168
स्थान 	168
कैकेयी 	167
रम्य 	167
समुद्र 	167
वज्र 	167
ज्ञान 	166
वृत्ति 	166
खलु 	165
मृत्यु 	165
पराक्रम 	164
प्रजा 	164
अन्न 	163
आर्य 	163
आसादय् 	163
गन्धर्व 	163
विश्वामित्र 	163
दान 	162
मा 	162
द्वि 	161
खर 	161
मात्र 	161
मृ 	161
मुहूर्त 	161
नाना 	161
यदा 	161
आस्था 	160
रम् 	160
विना 	160
शक्ति 	159
भद्र 	158
भूयस् 	158
वसिष्ठ 	158
अरण्य 	157
सदा 	157
उत्तर 	157
पार्थिव 	156
मांस 	154
पद्म 	154
पाणि 	154
प्रभु 	154
सिद्धि 	154
तत्त्व 	153
तीक्ष्ण 	153
वास 	153
आनी 	152
मय 	152
पा 	152
शक्य 	152
अम्बर 	151
दशग्रीव 	151
हृदय 	151
यूथप 	151
कथा 	150
शार्दूल 	150
स्नेह 	150
वायु 	150
बाष्प 	148
दर्शय् 	148
मुख्य 	148
नील 	148
प्रकृति 	148
राग 	148
आश्रि 	147
दीर्घ 	147
मधु 	147
वेद 	147
रिपु 	146
वृद्ध 	146
आसन 	145
भञ्ज् 	145
प्रवृत् 	145
रात्रि 	145
जगन्त् 	144
समर 	144
शी 	144
असुर 	143
नु 	143
प्रतिज्ञा 	143
राक्षसी 	143
तप् 	142
उपस्था 	142
अयोध्या 	141
दह् 	141
क्षय 	141
पक्षिन् 	141
पथ् 	141
प्रतिग्रह् 	141
सर्वतस् 	141
आकाश 	140
प्रतिवच् 	140
तुल्य 	140
दारुण 	139
कौसल्या 	139
मही 	139
सेव् 	139
अनुगम् 	138
लक्षण 	138
शत्रुघ्न 	138
शिला 	138
शूल 	138
व्यसन 	138
आस् 	137
चक्षुस् 	137
मन्त्र 	137
क्रिया 	136
निवृत् 	135
वीर्यवन्त् 	135
आयुध 	134
नियम् 	134
रुद् 	134
समीप 	134
निमित्त 	133
निशा 	132
आनन 	131
शीघ्रम् 	131
आख्या 	130
गात्र 	130
कुशल 	130
शस्त्र 	130
उदक 	130
उपे 	130
दक्षिण 	129
कोप 	129
सन्त् 	129
आशु 	128
दिव् 	128
दुर्ग 	128
गृध्र 	128
मार्ग 	128
प्रहृष् 	128
समाहित 	128
शूद्र 	128
स्वर्ग 	128
अल्प 	127
आवृ 	127
दुःखित 	127
द्वार 	127
मान 	127
प्रया 	127
उपाय 	127
भृशम् 	126
हर्ष 	126
तात 	126
आरुह् 	125
देवता 	125
नारी 	125
अभिवादय् 	124
अवस्था 	124
दार 	124
मुहुर् 	124
नश् 	124
सहस् 	124
शील 	124
स्वन 	124
योजन 	124
ज्वल् 	123
मूर्धन् 	123
नित्य 	123
रति 	123
ओघ 	122
पत्त्र 	122
प्राञ्जलि 	122
सार्धम् 	122
शुचि 	122
भक्षय् 	121
निवेदय् 	121
वासस् 	121
भी 	120
क्षिप् 	120
मधुर 	120
पक्ष 	120
शृङ्ग 	120
आभरण 	119
भवन 	119
बीज 	119
गन्ध 	119
नाथ 	119
वादिन् 	119
आदित्य 	118
अन्योन्य 	118
ईक्षण 	118
लोचन 	118
उद्यम् 	118
आकार 	117
धीमन्त् 	117
इतस् 	117
क्षण 	117
रघुनन्दन 	117
विकृ 	117
आपद् 	116
वदन 	116
दूत 	115
इ 	115
जाल 	115
मणि 	115
मास 	115
पावक 	115
विमान 	115
विश् 	115
यम 	115
अधिक 	114
हय 	114
ईदृश 	114
ज्येष्ठ 	114
मानुष 	114
पत्नी 	114
यत्न 	114
माया 	113
पीडय् 	113
सप्तन् 	113
सत्तम 	113
सृज् 	113
उत्सृज् 	113
क्व 	112
मोह 	112
प्रदा 	112
रोष 	112
शेष 	112
स्वामिन् 	112
भाष् 	111
गदा 	111
घन 	111
संनिभ 	111
शोणित 	111
विलप् 	111
विपुल 	111
विष्णु 	111
भूषण 	110
दानव 	110
धारय् 	110
जनय् 	110
शिखर 	110
स्वप् 	110
तीर 	110
वृत्त 	110
अभाव 	109
भुज 	109
दैव 	109
धर 	109
समीक्ष् 	109
चेतस् 	108
प्लवंगम 	108
अञ्जलि 	107
बलवन्त् 	107
द्रव्य 	107
निश्चय 	107
समागम् 	107
समन्ततः 	107
चाप 	106
दूर 	106
नूनम् 	106
संक्रुध् 	106
शासन 	106
आयुस् 	105
प्रयुज् 	105
वध् 	105
अभिगम् 	104
अभिहन् 	104
अन्वित 	104
अरि 	104
कल्प 	104
प्रसाद 	104
व्रज् 	104
अग्रतस् 	103
अहर् 	103
बन्धु 	103
इक्ष्वाकु 	103
निभ 	103
परस्पर 	103
विसृज् 	103
अधर्म 	102
दृढ 	102
गङ्गा 	102
उत्पत् 	102
विशाल 	102
आचर् 	101
अर्थिन् 	101
बान्धव 	101
मुद् 	101
प्रमाण 	101
अवाप् 	100
देह 	100
मन्द 	100
ऋक्ष 	100
रुधिर 	100
स्पृश् 	100
अमात्य 	99
गमन 	99
नयन 	99
सलिल 	99
संयुज् 	99
सिध् 	99
वक्त्र 	99
योषित् 	99
ध्वज 	98
नाद 	98
पादप 	98
