*	*	*	*	nominative	genitive	dative	accusative	vocative	#	epic												
street	plural	feminine	latin	hodoí	hodôn	hodoîsi(n) / hodoîs	hodoús	hodoí 	#													
									#													
hero	singular 	masculine	greek	ἥρως	ἥρωος	ἥρῳ / ἥρωῐ̈	ἥρω / ἥρωᾰ	ἥρως	#													
hero	singular 	masculine	latin	hḗrōs 	hḗrōos 	hḗrōi / hḗrōï 	hḗrō / hḗrōa 	hḗrōs 	#													
hero	dual 	masculine	greek	ἥρωε	ἡρώοιῐν	ἡρώοιῐν	ἥρωε	ἥρωε	#													
hero	dual 	masculine	latin	hḗrōe 	hērṓoiin 	hērṓoiin 	hḗrōe 	hḗrōe 	#													
hero	plural	masculine	greek	ἥρωες	ἡρώων	ἥρωσῐ / ἥρωσῐν / ἡρώεσσῐ / ἡρώεσσῐν / ἡρώεσῐ / ἡρώεσῐν	ἥρωᾰς	ἥρωες	#													
hero	plural	masculine	latin	hḗrōes	hērṓōn	hḗrōsi(n) / hērṓessi(n) / hērṓesi(n)	hḗrōas	hḗrōes 	#													
									#													
city	singular 	feminine	greek	πόλῐς	πόλῐος / πόληος	πόλῐῐ / πόλῑ / πόληῐ̈ / πόλει	πόλῐν	πόλῐ	#													
city	singular 	feminine	latin	pólis 	pólios / pólēos 	pólii / pólī / pólēï / pólei 	pólin 	póli 	#													
city	dual 	feminine	greek	πόλῐε	πολῐ́οιῐν	πολῐ́οιῐν	πόλῐε	πόλῐε	#													
city	dual 	feminine	latin	pólie 	políoiin 	políoiin 	pólie 	pólie 	#													
city	plural	feminine	greek	πόλῐες / πόληες	πολῐ́ων	πολῐ́εσσῐ / πολῐ́εσσῐν / πόλεσῐ / πόλεσῐν / πόλῐσῐ / πόλῐσῐν	πόλῐᾰς / πόληᾰς / πόλῑς	πόλῐες / πόληες	#													
city	plural	feminine	latin	pólies / pólēes	políōn	políessi(n) / pólesi(n) / pólisi(n)	pólias / pólēas / pólīs	pólies / pólēes 	#													
									#													
axe	singular 	masculine	greek	πέλεκῠς	πελέκεος	πελέκει	πέλεκῠν	πέλεκῠ	#													
axe	singular 	masculine	latin	pélekus 	pelékeos 	pelékei 	pélekun 	péleku 	#													
axe	dual 	masculine	greek	πελέκει	πελεκέοιῐν	πελεκέοιῐν	πελέκει	πελέκει	#													
