*	*	*	*	*	nominative 	genitive 	dative 	accusative 	vocative 	#epic																
singular-possessor	2-possessor	singular	feminine	latin	sḗ 	sês 	sêi 	sḗn 	sḗ 																	
singular-possessor	2-possessor	singular	neuter	greek	σόν	σοῦ / σοῖο / σόο	σῷ	σόν	σόν																	
singular-possessor	2-possessor	singular	neuter	latin	són 	soû / soîo / sóo 	sôi 	són 	són 																	
																										
singular-possessor	2-possessor	dual	masculine	greek	σώ	σοῖῐν	σοῖῐν	σώ	σώ																	
singular-possessor	2-possessor	dual	masculine	latin	sṓ 	soîin 	soîin 	sṓ 	sṓ 																	
singular-possessor	2-possessor	dual	feminine	greek	σᾱ́	σαῖν / σαῖῐν / σῇῐν	σαῖν / σαῖῐν / σῇῐν	σᾱ́	σᾱ́																	
singular-possessor	2-possessor	dual	feminine	latin	sā́ 	saî(i)n / sêiin 	saî(i)n / sêiin 	sā́ 	sā́ 																	
singular-possessor	2-possessor	dual	neuter	greek	σώ	σοῖῐν	σοῖῐν	σώ	σώ																	
singular-possessor	2-possessor	dual	neuter	latin	sṓ 	soîin 	soîin 	sṓ 	sṓ 																	
																										
singular-possessor	2-possessor	plural	masculine	greek	σοί	σῶν	σοῖσῐ / σοῖσῐν / σοῖς	σούς	σοί																	
singular-possessor	2-possessor	plural	masculine	latin	soí 	sôn 	soîsi(n) / soîs 	soús 	soí 																	
singular-possessor	2-possessor	plural	feminine	greek	σαί	σᾱ́ων / σέ͜ων / σῶν	σῇσῐ / σῇσῐν / σῇς / σαῖς	σᾱ́ς	σαί																	
singular-possessor	2-possessor	plural	feminine	latin	saí 	sā́ōn / sé͜ōn / sôn 	sêisi(n) / sêis / saîs 	sā́s 	saí 																	
singular-possessor	2-possessor	plural	neuter	greek	σᾰ́	σῶν	σοῖσῐ / σοῖσῐν / σοῖς	σᾰ́	σᾰ́																	
singular-possessor	2-possessor	plural	neuter	latin	sá	sôn	soîsi(n) / soîs	sá	sá 																	
																										
singular-possessor	3-possessor	singular	masculine	greek	ἑός	ἑοῦ/ἑοῖο/ἑόο	ἑῷ/εἱῷ	ἑόν	ἑέ																	
singular-possessor	3-possessor	singular	masculine	latin	heós 	heoû/heoîo/heóo 	heôi/heiôi 	heón 	heé 																	
singular-possessor	3-possessor	singular	feminine	greek	ἑή	ἑῆς	ἑῇ	ἑήν	ἑή																	
singular-possessor	3-possessor	singular	feminine	latin	heḗ 	heês 	heêi 	heḗn 	heḗ 																	
singular-possessor	3-possessor	singular	neuter	greek	ἑόν	ἑοῦ/ἑοῖο/ἑόο	ἑῷ	ἑόν	ἑόν																	
singular-possessor	3-possessor	singular	neuter	latin	heón 	heoû/heoîo/heóo 	heôi 	heón 	heón 																	
																										
singular-possessor	3-possessor	dual	masculine	greek	ἑώ	ἑοῖῐν	ἑοῖῐν	ἑώ	ἑώ																	
singular-possessor	3-possessor	dual	masculine	latin	heṓ 	heoîin 	heoîin 	heṓ 	heṓ 																	
singular-possessor	3-possessor	dual	feminine	greek	ἑᾱ́	ἑαῖν/ἑαῖῐν/ἑῇῐν	ἑαῖν/ἑαῖῐν/ἑῇῐν	ἑᾱ́	ἑᾱ́																	
singular-possessor	3-possessor	dual	feminine	latin	heā́ 	heaî(i)n/heêiin 	heaî(i)n/heêiin 	heā́ 	heā́ 																	
singular-possessor	3-possessor	dual	neuter	greek	ἑώ	ἑοῖῐν	ἑοῖῐν	ἑώ	ἑώ																	
singular-possessor	3-possessor	dual	neuter	latin	heṓ 	heoîin 	heoîin 	heṓ 	heṓ 																	
																										
singular-possessor	3-possessor	plural	masculine	greek	ἑοί	ἑῶν	ἑοῖσῐ/ἑοῖσῐν/ἑοῖς	ἑούς	ἑοί																	
singular-possessor	3-possessor	plural	masculine	latin	heoí 	heôn 	heoîsi(n)/heoîs 	heoús 	heoí 																	
singular-possessor	3-possessor	plural	feminine	greek	ἑαί	ἑᾱ́ων/ἑέ͜ων/ἑῶν	ἑῇσῐ/ἑῇσῐν/ἑῇς/ἑαῖς	ἑᾱ́ς	ἑαί																	
singular-possessor	3-possessor	plural	feminine	latin	heaí 	heā́ōn/heé͜ōn/heôn 	heêisi(n)/heêis/heaîs 	heā́s 	heaí 																	
singular-possessor	3-possessor	plural	neuter	greek	ἑᾰ́	ἑῶν	ἑοῖσῐ/ἑοῖσῐν/ἑοῖς	ἑᾰ́	ἑᾰ́																	
singular-possessor	3-possessor	plural	neuter	latin	heá	heôn	heoîsi(n)/heoîs	heá	heá 																	
																										
plural-possessor	3-possessor	singular	masculine	greek	σφέτερος	σφετέρου / σφετεροῖο / σφετέροιο / σφετερόο / σφετέροο	σφετέρῳ	σφέτερον	σφέτερε																	
plural-possessor	3-possessor	singular	masculine	latin	sphéteros 	sphetérou / spheteroîo / sphetéroio / spheteróo / sphetéroo 	sphetérōi 	sphéteron 	sphétere 																	
plural-possessor	3-possessor	singular	feminine	greek	σφετέρᾱ	σφετέρᾱς	σφετέρᾳ	σφετέρᾱν	σφετέρᾱ																	
plural-possessor	3-possessor	singular	feminine	latin	sphetérā 	sphetérās 	sphetérāi 	sphetérān 	sphetérā 																	
plural-possessor	3-possessor	singular	neuter	greek	σφέτερον	σφετέρου / σφετεροῖο / σφετέροιο / σφετερόο / σφετέροο	σφετέρῳ	σφέτερον	σφέτερον																	
plural-possessor	3-possessor	singular	neuter	latin	sphéteron 	sphetérou / spheteroîo / sphetéroio / spheteróo / sphetéroo 	sphetérōi 	sphéteron 	sphéteron 																	
																										
plural-possessor	3-possessor	dual	masculine	greek	σφετέρω	σφετέροιῐν	σφετέροιῐν	σφετέρω	σφετέρω																	
plural-possessor	3-possessor	dual	masculine	latin	sphetérō 	sphetéroiin 	sphetéroiin 	sphetérō 	sphetérō 																	
plural-possessor	3-possessor	dual	feminine	greek	σφετέρᾱ	σφετέραιν / σφετέραιῐν / σφετέρῃῐν	σφετέραιν / σφετέραιῐν / σφετέρῃῐν	σφετέρᾱ	σφετέρᾱ																	
plural-possessor	3-possessor	dual	feminine	latin	sphetérā 	sphetérai(i)n / sphetérēiin 	sphetérai(i)n / sphetérēiin 	sphetérā 	sphetérā 																	
plural-possessor	3-possessor	dual	neuter	greek	σφετέρω	σφετέροιῐν	σφετέροιῐν	σφετέρω	σφετέρω																	
plural-possessor	3-possessor	dual	neuter	latin	sphetérō 	sphetéroiin 	sphetéroiin 	sphetérō 	sphetérō 																	
																										
plural-possessor	3-possessor	plural	masculine	greek	σφέτεροι	σφετέρων	σφετέροισῐ / σφετέροισῐν / σφετέροις	σφετέρους	σφέτεροι																	
plural-possessor	3-possessor	plural	masculine	latin	sphéteroi 	sphetérōn 	sphetéroisi(n) / sphetérois 	sphetérous 	sphéteroi 																	
plural-possessor	3-possessor	plural	feminine	greek	σφέτεραι	σφετερᾱ́ων / σφετερέ͜ων / σφετερῶν	σφετέρῃσῐ / σφετέρῃσῐν / σφετέρῃς / σφετέραις	σφετέρᾱς	σφέτεραι																	
plural-possessor	3-possessor	plural	feminine	latin	sphéterai 	spheterā́ōn / spheteré͜ōn / spheterôn 	sphetérēisi(n) / sphetérēis / sphetérais 	sphetérās 	sphéterai 																	
plural-possessor	3-possessor	plural	neuter	greek	σφέτερᾰ	σφετέρων	σφετέροισῐ / σφετέροισῐν / σφετέροις	σφέτερᾰ	σφέτερᾰ																	
plural-possessor	3-possessor	plural	neuter	latin	sphétera	sphetérōn	sphetéroisi(n) / sphetérois	sphétera	sphétera 																	
