*		nominative	vocative	accusative 	genitive 	dative 	instrumental 	locative 		
tribe	singular	*toṷtā 	*toṷtā 	*toṷtan ~ *toṷtam > *toṷtim 	toṷtās > *toṷtiās 	*toṷtai > *toṷtī 	*toṷtia > *toṷtī 	*toṷtī 		
tribe	plural	*toṷtās 	*toṷtās 	*toṷtās 	*toṷtanom 	*toṷtābo(s) 	*toṷtābi(s) 	*toṷtābo(s) 		
boy	singular	*mapos (n. *-on) 	*mape 	*mapon ~ *mapom (n. *-on) 	*mapoiso > *mapi 	*mapūi > *mapū 	*mapū 	*mapei > *mapē 		
boy	plural	*mapoi 	*mapoi 	*mapōs > *mapūs 	*mapon 	*mapobo(s) 	*mapuis > *mapūs 	*mapois 		
seer	singular	*ṷātis 	*ṷāti 	*ṷātin ~ *ṷātim 	*ṷātēis 	*ṷātei > *ṷāte 	*ṷātī 	*ṷātei 		
seer	plural	*ṷātīs 	*ṷātīs 	*ṷātīs 	*ṷātiom 	*ṷātibo(s) 	*ṷātibi(s) 	*ṷātibo(s) 		
voice	singular	*gutus 	*gutu 	*gutun ~ *gutum 	*gutoṷs > *gutōs 	*gutoṷei > gutoṷ 	*gutū 	*gutoṷ 		
voice	plural	*gutoṷes 	*gutoṷes 	*gutūs 	*gutoṷom 	*gutuibo(s) 	*gutuibi(s) 	*gutubo(s) 		
brother	singular	*brātīr	*brāter	*brāterem	*brātros	*brātrei	*brātri	*brātri 		
brother	plural	*brāteres	*brāteres	*brāterās	*brātron	*brātrebo(s)	*brātrebi(s)	*brātrebo(s) 		
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
