*	*	*	*	nominative	genitive  	dative    	accusative	ablative  	vocative  	#	declension					
mean	neuter	positive	plural	atrōcia	atrōcium	atrōcibus	atrōcia	atrōcibus	atrōcia	#	3, one ending					
mean	masculine	comparative	singular	atrōcior	atrōciōris	atrōciōrī	atrōciōrem	atrōciōre	atrōcior 	#						
mean	feminine	comparative	singular	atrōcior	atrōciōris	atrōciōrī	atrōciōrem	atrōciōre	atrōcior 	#						
mean	neuter	comparative	singular	atrōcius	atrōciōris	atrōciōrī	atrōcius	atrōciōre	atrōcius	#						
mean	masculine	comparative	plural	atrōciōrēs	atrōciōrum	atrōciōribus	atrōciōrēs	atrōciōribus	atrōciōrēs 	#						
mean	feminine	comparative	plural	atrōciōrēs	atrōciōrum	atrōciōribus	atrōciōrēs	atrōciōribus	atrōciōrēs 	#						
mean	neuter	comparative	plural	atrōciōra	atrōciōrum	atrōciōribus	atrōciōra	atrōciōribus	atrōciōra	#						
mean	masculine	superlative	singular	atrōcissimus	atrōcissimī	atrōcissimō	atrōcissimum	atrōcissimō	atrōcissime 	#						
mean	feminine	superlative	singular	atrōcissima	atrōcissimae	atrōcissimae	atrōcissimam	atrōcissimā	atrōcissima 	#						
mean	neuter	superlative	singular	atrōcissimum	atrōcissimī	atrōcissimō	atrōcissimum	atrōcissimō	atrōcissimum 	#						
mean	masculine	superlative	plural	atrōcissimī	atrōcissimōrum	atrōcissimīs	atrōcissimōs 	atrōcissimīs	atrōcissimī 	#						
mean	feminine	superlative	plural	atrōcissimae	atrōcissimārum 	atrōcissimīs	atrōcissimās 	atrōcissimīs	atrōcissimae 	#						
mean	neuter	superlative	plural	atrōcissima	atrōcissimōrum 	atrōcissimīs	atrōcissima 	atrōcissimīs	atrōcissima 	#						
old	masculine	positive	singular	vetus	veteris	veterī	veterem	vetere	vetus 	#	3, one ending, non-i-stem					
old	feminine	positive	singular	vetus	veteris	veterī	veterem	vetere	vetus 	#	3, one ending, non-i-stem					
old	neuter	positive	singular	vetus	veteris	veterī	vetus	vetere	vetus 	#	3, one ending, non-i-stem					
old	masculine	positive	plural	veterēs	veterum	veteribus	veterēs	veteribus	veterēs 	#	3, one ending, non-i-stem					
old	feminine	positive	plural	veterēs	veterum	veteribus	veterēs	veteribus	veterēs 	#	3, one ending, non-i-stem					
old	neuter	positive	plural	vetera	veterum	veteribus	vetera	veteribus	vetera	#	3, one ending, non-i-stem					
old	masculine	comparative	singular	vetustior	vetustiōris	vetustiōrī	vetustiōrem	vetustiōre	vetustior 	#						
old	feminine	comparative	singular	vetustior	vetustiōris	vetustiōrī	vetustiōrem	vetustiōre	vetustior 	#						
old	neuter	comparative	singular	vetustius	vetustiōris	vetustiōrī	vetustius	vetustiōre	vetustius	#						
old	masculine	comparative	plural	vetustiōrēs	vetustiōrum	vetustiōribus	vetustiōrēs	vetustiōribus	vetustiōrēs 	#						
old	feminine	comparative	plural	vetustiōrēs	vetustiōrum	vetustiōribus	vetustiōrēs	vetustiōribus	vetustiōrēs 	#						
old	neuter	comparative	plural	vetustiōra	vetustiōrum	vetustiōribus	vetustiōra	vetustiōribus	vetustiōra	#						
old	masculine	superlative	singular	vetustissimus 	vetustissimī 	vetustissimō 	vetustissimum 	vetustissimō 	vetustissime 	#						
old	feminine	superlative	singular	vetustissima 	vetustissimae 	vetustissimae 	vetustissimam 	vetustissimā 	vetustissima 	#						
old	neuter	superlative	singular	vetustissimum	vetustissimī	vetustissimō	vetustissimum	vetustissimō	vetustissimum 	#						
old	masculine	superlative	plural	vetustissimī 	vetustissimōrum 	vetustissimīs	vetustissimōs 	vetustissimīs	vetustissimī 	#						
old	feminine	superlative	plural	vetustissimae 	vetustissimārum 	vetustissimīs	vetustissimās 	vetustissimīs	vetustissimae 	#						
old	neuter	superlative	plural	vetustissima	vetustissimōrum	vetustissimīs	vetustissima	vetustissimīs	vetustissima 	#						
nimble	masculine	positive	singular	agilis	agilis	agilī	agilem	agilī	agilis 	#	3, two endings					
nimble	feminine	positive	singular	agilis	agilis	agilī	agilem	agilī	agilis 	#	3, two endings					
nimble	neuter	positive	singular	agile	agilis	agilī	agile	agilī	agile	#	3, two endings					
nimble	masculine	positive	plural	agilēs	agilium	agilibus	agilēs|agilīs	agilibus	agilēs 	#	3, two endings					
nimble	feminine	positive	plural	agilēs	agilium	agilibus	agilēs|agilīs	agilibus	agilēs 	#	3, two endings					
nimble	neuter	positive	plural	agilia	agilium	agilibus	agilia	agilibus	agilia	#	3, two endings					
nimble	masculine	comparative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	feminine	comparative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	neuter	comparative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	masculine	comparative	plural	❕	❕	❕	❕	❕	❕	#						
nimble	feminine	comparative	plural	❕	❕	❕	❕	❕	❕	#						
nimble	neuter	comparative	plural	❕	❕	❕	❕	❕	❕	#						
nimble	masculine	superlative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	feminine	superlative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	neuter	superlative	singular	❕	❕	❕	❕	❕	❕	#						
nimble	masculine	superlative	plural	❕	❕	❕	❕	❕	❕	#						
nimble	feminine	superlative	plural	❕	❕	❕	❕	❕	❕	#						
nimble	neuter	superlative	plural	❕	❕	❕	❕	❕	❕	#						
swift	masculine	positive	singular	celer	celeris	celerī	celerem	celerī	celer 	#	3, three endings					
swift	feminine	positive	singular	celeris	celeris	celerī	celerem	celerī	celeris	#	3, three endings					
swift	neuter	positive	singular	celere	celeris	celerī	celere	celerī	celere	#	3, three endings					
swift	masculine	positive	plural	celerēs	celerium	celeribus	celerēs	celeribus	celerēs 	#	3, three endings					
swift	feminine	positive	plural	celerēs	celerium	celeribus	celerēs	celeribus	celerēs 	#	3, three endings					
swift	neuter	positive	plural	celeria	celerium	celeribus	celeria	celeribus	celeria	#	3, three endings					
swift	masculine	comparative	singular	❕	❕	❕	❕	❕	❕	#						
swift	feminine	comparative	singular	❕	❕	❕	❕	❕	❕	#						
swift	neuter	comparative	singular	❕	❕	❕	❕	❕	❕	#						
swift	masculine	comparative	plural	❕	❕	❕	❕	❕	❕	#						
swift	feminine	comparative	plural	❕	❕	❕	❕	❕	❕	#						
swift	neuter	comparative	plural	❕	❕	❕	❕	❕	❕	#						
swift	masculine	superlative	singular	❕	❕	❕	❕	❕	❕	#						
swift	feminine	superlative	singular	❕	❕	❕	❕	❕	❕	#						
swift	neuter	superlative	singular	❕	❕	❕	❕	❕	❕	#						
