change	imperative	active	future	simple	—	cambiātō	cambiātō	—	cambiātōte	cambiantō									
climb	indicative	active	present	simple	ascendō	ascendis	ascendit	ascendimus	ascenditis	ascendunt									
climb	indicative	active	past	imperfective	ascendēbam	ascendēbās	ascendēbat	ascendēbāmus	ascendēbātis	ascendēbant									
climb	indicative	active	future	simple	ascendam	ascendēs	ascendet	ascendēmus	ascendētis	ascendent									
climb	indicative	active	present	perfective	ascendī	ascendistī	ascendit	ascendimus	ascendistis	ascendērunt, ascendēre									
climb	indicative	active	past	perfective	ascenderam	ascenderās	ascenderat	ascenderāmus	ascenderātis	ascenderant									
climb	indicative	active	future	perfective	ascenderō	ascenderis	ascenderit	ascenderimus	ascenderitis	ascenderint									
climb	indicative	passive	present	simple	ascendor	ascenderis, ascendere	ascenditur	ascendimur	ascendiminī	ascenduntur									
climb	indicative	passive	past	imperfective	ascendēbar	ascendēbāris, ascendēbāre	ascendēbātur	ascendēbāmur	ascendēbāminī	ascendēbantur									
climb	indicative	passive	future	simple	ascendar	ascendēris, ascendēre	ascendētur	ascendēmur	ascendēminī	ascendentur									
climb	subjunctive	active	present	simple	ascendam	ascendās	ascendat	ascendāmus	ascendātis	ascendant									
climb	subjunctive	active	past	imperfective	ascenderem	ascenderēs	ascenderet	ascenderēmus	ascenderētis	ascenderent									
climb	subjunctive	active	present	perfective	ascenderim	ascenderīs	ascenderit	ascenderīmus	ascenderītis	ascenderint									
climb	subjunctive	active	past	perfective	ascendissem	ascendissēs	ascendisset	ascendissēmus	ascendissētis	ascendissent									
climb	subjunctive	passive	present	simple	ascendar	ascendāris, ascendāre	ascendātur	ascendāmur	ascendāminī	ascendantur									
climb	subjunctive	passive	past	imperfective	ascenderer	ascenderēris, ascenderēre	ascenderētur	ascenderēmur	ascenderēminī	ascenderentur									
climb	imperative	active	present	simple	—	ascende	—	—	ascendite	—									
climb	imperative	active	future	simple	—	ascenditō	ascenditō	—	ascenditōte	ascenduntō									
climb	imperative	passive	present	simple	—	ascendere	—	—	ascendiminī	—									
climb	imperative	passive	future	simple	—	ascenditor	ascenditor	—	—	ascenduntor									
direct	indicative	active	present	simple	dūcō	dūcis	dūcit	dūcimus	dūcitis	dūcunt									
direct	indicative	active	past	imperfective	dūcēbam	dūcēbās	dūcēbat	dūcēbāmus	dūcēbātis	dūcēbant									
direct	indicative	active	future	simple	dūcam	dūcēs	dūcet	dūcēmus	dūcētis	dūcent									
direct	indicative	active	present	perfective	dūxī	dūxistī	dūxit	dūximus	dūxistis	dūxērunt, dūxēre									
direct	indicative	active	past	perfective	dūxeram	dūxerās	dūxerat	dūxerāmus	dūxerātis	dūxerant									
