*	tonic	tonic	tonic	tonic	tonic	tonic	tonic	tonic	tonic	tonic	tonic	enclitic	enclitic	enclitic	enclitic	enclitic	enclitic
*	personal	personal	personal	personal	personal	reflexive	reflexive	reflexive	reflexive	reflexive	reflexive	personal	personal	personal	personal	personal	personal
*	1	2	1	2	3	1	2	1	2	3	3	1	2	3	1	2	3
*	singular	singular	plural	plural	singular	singular	singular	plural	plural	singular	plural	singular	singular	singular	plural	plural	plural
nominative	ammuk (uk)	tuk	anzās	sum(m)ēs	apās	ukila	zikila	wēsila	sumāsila	apāsila	apāsila			as			at
accusative	ammuk (uk)	tuk	anzās	sum(m)ēs	apās					apāsilus		me	ta	an	nas	smas	as
genitive	ammēl	tuēl	anzēl	sumēl	apēl					apenzan							
dative	ammuk	tuk	anzās	sum(m)ēs	apās					apās		me	ta	si	nas	smas	smas
locative	ammuk	tuk	anzās	sum(m)ēs	apās					apās		me	ta	si	nas	smas	smas
ablative	ammēdaz(a)	tuēdaz(a)	anzēdaz	sum(m)ēdaz	apēdaz					apēdaz							
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
