#	subjectivity	verb	voice	valency	dummy-motion	dummy-role	dummy-subjectivity	dummy-definiteness	dummy-noun	#		noun	usages	classification
	subject	cool	passive	intransitive	associated-dummy	force-dummy	adverbial-dummy	definite-dummy	water-dummy	#				
	subject	dance	active	intransitive	associated-dummy	company-dummy	adverbial-dummy	definite-dummy	man-dummy	#				
	subject	do	active	transitive	associated-dummy	theme-dummy	direct-object-dummy	definite-dummy	work-dummy	#				
	subject	do	middle	intransitive	associated-dummy	company-dummy	adverbial-dummy	definite-dummy	work-dummy	#				
	subject	do	passive	intransitive	associated-dummy	company-dummy	adverbial-dummy	definite-dummy	work-dummy	#				
	subject	draw	active	transitive	associated-dummy	patient-dummy	direct-object-dummy	definite-dummy	man-dummy	#				
	subject	draw	middle	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	man-dummy	#				
	subject	draw	passive	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	man-dummy	#				
	subject	drink	active	transitive	associated-dummy	patient-dummy	direct-object-dummy	definite-dummy	water-dummy	#				
	subject	drive	active	transitive	associated-dummy	theme-dummy	direct-object-dummy	definite-dummy	boat-dummy	#				
	subject	drive	middle	intransitive	associated-dummy	force-dummy	adverbial-dummy	definite-dummy	love-dummy	#				
	subject	drive	passive	intransitive	associated-dummy	force-dummy	adverbial-dummy	definite-dummy	love-dummy	#				
	subject	fear	active	transitive	associated-dummy	stimulus-dummy	direct-object-dummy	definite-dummy	monster-dummy	#				
	subject	fear	middle	intransitive	associated-dummy	experiencer-dummy	adverbial-dummy	definite-dummy	enemy-dummy	#				
	subject	fear	passive	intransitive	associated-dummy	experiencer-dummy	adverbial-dummy	definite-dummy	enemy-dummy	#				
	subject	feed	active	transitive	associated-dummy	patient-dummy	direct-object-dummy	definite-dummy	dog-dummy	#				
	subject	feed	middle	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	feed	passive	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	find	active	transitive	associated-dummy	theme-dummy	direct-object-dummy	definite-dummy	book-dummy	#				
	subject	find	middle	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	find	passive	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	forgive	active	transitive	associated-dummy	theme-dummy	direct-object-dummy	definite-dummy	man-dummy	#				
	subject	forgive	middle	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	forgive	passive	intransitive	associated-dummy	agent-dummy	adverbial-dummy	definite-dummy	guard-dummy	#				
	subject	give	active	transitive	associated-dummy	theme-dummy	direct-object-dummy	definite-dummy	gift-dummy	#				
