*	*	*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic
personal	1	tonic		singular 	greek	ἐγώ 	ἐμοῦ	ἐμοί	ἐμέ	—	#	
personal	1	tonic		singular 	latin	egṓ 	emoû	emoí	emé	—	#	
personal	1	enclitic		singular 	greek	—	μου	μοι	με	—	#	
personal	1	enclitic		singular 	latin	—	mou	moi	me	—	#	
personal	1			dual 	greek	νώ	νῷν	νῷν	νώ	νώ	#	
personal	1			dual 	latin	nṓ	nôin	nôin	nṓ	nṓ 	#	
personal	1			plural 	greek	ἡμεῖς	ἡμῶν	ἡμῖν	ἡμᾶς	—	#	
personal	1			plural 	latin	hēmeîs	hēmôn	hēmîn	hēmâs 	—	#	
personal	2	tonic		singular	greek	σῠ́	σοῦ 	σοί 	σέ 	τᾶν	#	
personal	2	tonic		singular	latin	sú	soû 	soí 	sé 	tân 	#	
personal	2	enclitic		singular	greek	—	σου†	σοι†	σε†	—	#	
personal	2	enclitic		singular 	latin	—	sou†	soi†	se†	—	#	
personal	2			dual	greek	σφώ	σφῷν	σφῷν	σφώ	σφώ	#	
personal	2			dual	latin	sphṓ	sphôin	sphôin	sphṓ	sphṓ 	#	
personal	2			plural	greek	ῡ̔μεῖς	ῡ̔μῶν	ῡ̔μῖν	ῡ̔μᾶς	ῡ̔μεῖς	#	
personal	2			plural	latin	hūmeîs	hūmôn	hūmîn	hūmâs	hūmeîs 	#	
personal	3	tonic		singular	greek	∅	οὗ	οἷ	ἕ	—	#	
personal	3	tonic		singular	latin	∅	hoû 	hoî 	hé 	—	#	
personal	3	enclitic		singular	greek	—	οὑ†	οἱ†	ἑ†	—	#	
personal	3	enclitic		singular 	latin	—	hou†	hoi†	he†	—	#	
personal	3			dual	greek	σφωέ	σφωῐ̈ν	σφωῐ̈ν	σφωέ	σφωέ	#	
personal	3			dual	latin	sphōé	sphōïn	sphōïn	sphōé	sphōé 	#	
personal	3			plural	greek	σφεῖς	σφῶν	σφῐ́σῐ / σφῐ́σῐν	σφᾶς	— 	#	
personal	3			plural	latin	spheîs	sphôn	sphísi(n)	sphâs	— 	#	
#demonstrative			masculine	singular 	greek	οὗτος	τούτου	τούτῳ	τοῦτον	οὗτος	#	
#demonstrative			masculine	dual	greek	τούτω	τούτοιν	τούτοιν	τούτω	—	#	
#demonstrative			masculine	plural 	greek	οὗτοι	τούτων	τούτοις	τούτους	—	#	
#demonstrative			feminine	singular 	greek	αὕτη	ταύτης	ταύτῃ	ταύτην	αὕτη	#	
#demonstrative			feminine	dual	greek	τούτω	τούτοιν	τούτοιν	τούτω	—	#	
#demonstrative			feminine	plural 	greek	αὗται	τούτων	ταύταις	ταύτας	—	#	
#demonstrative			neuter	singular 	greek	τοῦτο	τούτου	τούτῳ	τοῦτο	—	#	
#demonstrative			neuter	dual	greek	τούτω	τούτοιν	τούτοιν	τούτω	—	#	
#demonstrative			neuter	plural 	greek	ταῦτα	τούτων	τούτοις	ταῦτα	—	#	
#interrogative			masculine	singular 	greek	τίς	τίνος/τοῦ	τίνι/τῷ	τίνα	—	#	
#interrogative			masculine	dual	greek	τίνε	τίνοιν	τίνοιν	τίνε 	—	#	
#interrogative			masculine	plural 	greek	τίνες	τίνων	τίσι(ν)	τίνας	—	#	
#interrogative			feminine	singular 	greek	τίς	τίνος/τοῦ	τίνι/τῷ	τίνα	—	#	
#interrogative			feminine	dual	greek	τίνε	τίνοιν	τίνοιν	τίνε 	—	#	
#interrogative			feminine	plural 	greek	τίνες	τίνων	τίσι(ν)	τίνας	—	#	
#interrogative			neuter	singular 	greek	τί	τίνος/τοῦ	τίνι/τῷ	τί	—	#	
#interrogative			neuter	dual	greek	τίνε	τίνοιν	τίνοιν	τίνε 	—	#	
#interrogative			neuter	plural 	greek	τίνα/ἄττα	τίνων	τίσι(ν)	τίνα/ἄττα	—	#	
#indefinite			masculine	singular 	greek	τίς	τινός/του	τινί/τῳ	τινά	—	#	
#indefinite			masculine	dual	greek	τινέ	τινοῖν	τινοῖν	τινέ 	—	#	
#indefinite			masculine	plural 	greek	τινές	τινῶν	τισί(ν)	τινάς	—	#	
#indefinite			feminine	singular 	greek	τίς	τινός/του	τινί/τῳ	τινά	—	#	
#indefinite			feminine	dual	greek	τινέ	τινοῖν	τινοῖν	τινέ 	—	#	
#indefinite			feminine	plural 	greek	τινές	τινῶν	τισί(ν)	τινάς	—	#	
#indefinite			neuter	singular 	greek	τί	τινός/του	τινί/τῳ	τί	—	#	
#indefinite			neuter	dual	greek	τινέ	τινοῖν	τινοῖν	τινέ 	—	#	
#indefinite			neuter	plural 	greek	τινά/ἄττα	τινῶν	τισί(ν)	τινά/ἄττα	—	#	
#relative			masculine	singular 	greek	ὅς	οὗ	ᾧ	ὅν	—	#	
#relative			masculine	dual 	greek	ὥ	οἷν	οἷν	ὥ	—	#	
#relative			masculine	plural 	greek	οἵ	ὧν	οἷς	οὕς	—	#	
#relative			feminine	singular 	greek	ἥ	ἧς	ᾗ	ἥν	—	#	
#relative			feminine	dual 	greek	ὥ (ἅ)	οἷν (αἷν)	οἷν (αἷν)	ὥ (ἅ)	—	#	
#relative			feminine	plural 	greek	αἵ	ὧν	αἷς	ἅς	—	#	
#relative			neuter	singular 	greek	ὅ	οὗ	ᾧ	ὅ	—	#	
#relative			neuter	dual 	greek	ὥ	οἷν	οἷν	ὥ	—	#	
#relative			neuter	plural	greek	ἅ	ὧν	οἷς	ἅ 	—	#	
#numeral			masculine 	singular	greek	εἷς	ἑνός	ἑνί	ἕνα	—	#	
#numeral			feminine 	singular	greek	μία	μιᾶς	μιᾷ	μίαν	—	#	
#numeral			neuter 	singular	greek	ἕν	ἑνός	ἑνί	ἕν	—	#	
#numeral			masculine 	dual	greek	δύο	δυοῖν (δύο)	δυοῖν (δύο)	δύο	—	#	
#numeral			feminine 	dual	greek	δύο	δυοῖν (δύο)	δυοῖν (δύο)	δύο	—	#	
#numeral			neuter 	dual	greek	δύο	δυοῖν (δύο)	δυοῖν (δύο)	δύο	—	#	
#numeral			masculine	triple	greek	τρεῖς	τριῶν	τρισί(ν)	τρεῖς	—	#	
#numeral			feminine	triple	greek	τρεῖς	τριῶν	τρισί(ν)	τρεῖς	—	#	
#numeral			neuter	triple	greek	τρία	τριῶν	τρισί(ν)	τρία	—	#	
#numeral			masculine	quadruple	greek	τέσσαρες	τεσσάρων	τέσσαρσι(ν)	τέσσαρας	—	#	
#numeral			feminine	quadruple	greek	τέσσαρες	τεσσάρων	τέσσαρσι(ν)	τέσσαρας	—	#	
#numeral			neuter	quadruple	greek	τέσσαρα	τεσσάρων	τέσσαρσι(ν)	τέτταρα 	—	#	
