*	*	*	*	*	active	active	active	middle	middle	passive	passive	passive
see	past	finished	infinitive	infinitive	βλέψαι	βλέψαι	βλέψαι	βλέψᾰσθαι	βλέψᾰσθαι	βλεφθῆναι	βλεφθῆναι	βλεφθῆναι
see	past	finished	participle	masculine	βλέψᾱς	βλέψᾱς	βλέψᾱς	βλεψᾰ́μενος	βλεψᾰ́μενος	βλεφθείς	βλεφθείς	βλεφθείς
see	past	finished	participle	feminine	βλέψᾱσᾰ	βλέψᾱσᾰ	βλέψᾱσᾰ	βλεψᾰμένη	βλεψᾰμένη	βλεφθεῖσᾰ	βλεφθεῖσᾰ	βλεφθεῖσᾰ
see	past	finished	participle	neuter	βλέψᾰν	βλέψᾰν	βλέψᾰν	βλεψᾰ́μενον	βλεψᾰ́μενον	βλεφθέν	βλεφθέν	βλεφθέν
see		perfect	infinitive	infinitive	βεβλεφέναι	βεβλεφέναι	βεβλεφέναι	βεβλεφέναι	βεβλέφθαι	βεβλέφθαι	βεβλέφθαι	βεβλέφθαι
see		perfect	participle	masculine	βεβλεφώς	βεβλεφώς	βεβλεφώς	βεβλεφώς	βεβλεμμένος	βεβλεμμένος	βεβλεμμένος	βεβλεμμένος
see		perfect	participle	feminine	βεβλεφυῖᾰ	βεβλεφυῖᾰ	βεβλεφυῖᾰ	βεβλεφυῖᾰ	βεβλεμμένη	βεβλεμμένη	βεβλεμμένη	βεβλεμμένη
see		perfect	participle	neuter	βεβλεφός	βεβλεφός	βεβλεφός	βεβλεφός	βεβλεμμένον	βεβλεμμένον	βεβλεμμένον	βεβλεμμένον
show		present	infinitive	infinitive	δεικνῠ́ναι	δεικνῠ́ναι	δεικνῠ́ναι	δεικνῠ́ναι	δείκνῠσθαι	δείκνῠσθαι	δείκνῠσθαι	δείκνῠσθαι
show		present	participle	masculine	δεικνῡ́ς	δεικνῡ́ς	δεικνῡ́ς	δεικνῡ́ς	δεικνῠ́μενος	δεικνῠ́μενος	δεικνῠ́μενος	δεικνῠ́μενος
show		present	participle	feminine	δεικνῦσᾰ	δεικνῦσᾰ	δεικνῦσᾰ	δεικνῦσᾰ	δεικνῠμένη	δεικνῠμένη	δεικνῠμένη	δεικνῠμένη
show		present	participle	neuter	δεικνῠ́ν	δεικνῠ́ν	δεικνῠ́ν	δεικνῠ́ν	δεικνῠ́μενον	δεικνῠ́μενον	δεικνῠ́μενον	δεικνῠ́μενον
show		future	infinitive	infinitive	δείξειν	δείξειν	δείξειν	δείξεσθαι	δείξεσθαι	δειχθήσεσθαι	δειχθήσεσθαι	δειχθήσεσθαι
show		future	participle	masculine	δείξων	δείξων	δείξων	δειξόμενος	δειξόμενος	δειχθησόμενος	δειχθησόμενος	δειχθησόμενος
show		future	participle	feminine	δείξουσᾰ	δείξουσᾰ	δείξουσᾰ	δειξομένη	δειξομένη	δειχθησομένη	δειχθησομένη	δειχθησομένη
show		future	participle	neuter	δεῖξον	δεῖξον	δεῖξον	δειξόμενον	δειξόμενον	δειχθησόμενον	δειχθησόμενον	δειχθησόμενον
show	past	finished	infinitive	infinitive	δεῖξαι	δεῖξαι	δεῖξαι	δείξᾰσθαι	δείξᾰσθαι	δειχθῆναι	δειχθῆναι	δειχθῆναι
show	past	finished	participle	masculine	δείξᾱς	δείξᾱς	δείξᾱς	δειξᾰ́μενος	δειξᾰ́μενος	δειχθείς	δειχθείς	δειχθείς
show	past	finished	participle	feminine	δείξᾱσᾰ	δείξᾱσᾰ	δείξᾱσᾰ	δειξᾰμένη	δειξᾰμένη	δειχθεῖσᾰ	δειχθεῖσᾰ	δειχθεῖσᾰ
show	past	finished	participle	neuter	δεῖξᾰν	δεῖξᾰν	δεῖξᾰν	δειξᾰ́μενον	δειξᾰ́μενον	δειχθέν	δειχθέν	δειχθέν
show		perfect	infinitive	infinitive	δεδειχέναι	δεδειχέναι	δεδειχέναι	δεδειχέναι	δεδεῖχθαι	δεδεῖχθαι	δεδεῖχθαι	δεδεῖχθαι
show		perfect	participle	masculine	δεδειχώς	δεδειχώς	δεδειχώς	δεδειχώς	δεδειγμένος	δεδειγμένος	δεδειγμένος	δεδειγμένος
show		perfect	participle	feminine	δεδειχυῖᾰ	δεδειχυῖᾰ	δεδειχυῖᾰ	δεδειχυῖᾰ	δεδειγμένη	δεδειγμένη	δεδειγμένη	δεδειγμένη
show		perfect	participle	neuter	δεδειχός	δεδειχός	δεδειχός	δεδειχός	δεδειγμένον	δεδειγμένον	δεδειγμένον	δεδειγμένον
startle		present	infinitive	infinitive	φοβέειν	φοβέειν	φοβέειν	φοβέειν	φοβέεσθαι	φοβέεσθαι	φοβέεσθαι	φοβέεσθαι
startle		present	participle	masculine	φοβέων	φοβέων	φοβέων	φοβέων	φοβεόμενος	φοβεόμενος	φοβεόμενος	φοβεόμενος
startle		present	participle	feminine	φοβέουσᾰ	φοβέουσᾰ	φοβέουσᾰ	φοβέουσᾰ	φοβεομένη	φοβεομένη	φοβεομένη	φοβεομένη
startle		present	participle	neuter	φοβέον	φοβέον	φοβέον	φοβέον	φοβεόμενον	φοβεόμενον	φοβεόμενον	φοβεόμενον
startle		present	infinitive	infinitive	φοβεῖν	φοβεῖν	φοβεῖν	φοβεῖν	φοβεῖσθαι	φοβεῖσθαι	φοβεῖσθαι	φοβεῖσθαι
startle		present	participle	masculine	φοβῶν	φοβῶν	φοβῶν	φοβῶν	φοβούμενος	φοβούμενος	φοβούμενος	φοβούμενος
startle		present	participle	feminine	φοβοῦσᾰ	φοβοῦσᾰ	φοβοῦσᾰ	φοβοῦσᾰ	φοβουμένη	φοβουμένη	φοβουμένη	φοβουμένη
startle		present	participle	neuter	φοβοῦν	φοβοῦν	φοβοῦν	φοβοῦν	φοβούμενον	φοβούμενον	φοβούμενον	φοβούμενον
startle		future	infinitive	infinitive	φοβήσειν	φοβήσειν	φοβήσειν	φοβήσεσθαι	φοβήσεσθαι	φοβηθήσεσθαι	φοβηθήσεσθαι	φοβηθήσεσθαι
startle		future	participle	masculine	φοβήσων	φοβήσων	φοβήσων	φοβησόμενος	φοβησόμενος	φοβηθησόμενος	φοβηθησόμενος	φοβηθησόμενος
startle		future	participle	feminine	φοβήσουσᾰ	φοβήσουσᾰ	φοβήσουσᾰ	φοβησομένη	φοβησομένη	φοβηθησομένη	φοβηθησομένη	φοβηθησομένη
startle		future	participle	neuter	φοβῆσον	φοβῆσον	φοβῆσον	φοβησόμενον	φοβησόμενον	φοβηθησόμενον	φοβηθησόμενον	φοβηθησόμενον
startle	past	finished	infinitive	infinitive	φοβῆσαι	φοβῆσαι	φοβῆσαι	φοβήσᾰσθαι	φοβήσᾰσθαι	φοβηθῆναι	φοβηθῆναι	φοβηθῆναι
startle	past	finished	participle	masculine	φοβήσᾱς	φοβήσᾱς	φοβήσᾱς	φοβησᾰ́μενος	φοβησᾰ́μενος	φοβηθείς	φοβηθείς	φοβηθείς
startle	past	finished	participle	feminine	φοβήσᾱσᾰ	φοβήσᾱσᾰ	φοβήσᾱσᾰ	φοβησᾰμένη	φοβησᾰμένη	φοβηθεῖσᾰ	φοβηθεῖσᾰ	φοβηθεῖσᾰ
startle	past	finished	participle	neuter	φοβῆσᾰν	φοβῆσᾰν	φοβῆσᾰν	φοβησᾰ́μενον	φοβησᾰ́μενον	φοβηθέν	φοβηθέν	φοβηθέν
startle		perfect	infinitive	infinitive					πεφοβῆσθαι	πεφοβῆσθαι	πεφοβῆσθαι	πεφοβῆσθαι
startle		perfect	participle	masculine					πεφοβημένος	πεφοβημένος	πεφοβημένος	πεφοβημένος
startle		perfect	participle	feminine					πεφοβημένη	πεφοβημένη	πεφοβημένη	πεφοβημένη
startle		perfect	participle	neuter					πεφοβημένον	πεφοβημένον	πεφοβημένον	πεφοβημένον
swim		present	infinitive	infinitive	νεῖν	νεῖν	νεῖν	νεῖν				
swim		present	participle	masculine	νέων	νέων	νέων	νέων				
swim		present	participle	feminine	νέουσᾰ	νέουσᾰ	νέουσᾰ	νέουσᾰ				
swim		present	participle	neuter	νέον	νέον	νέον	νέον				
swim		future	infinitive	infinitive				νεύσεσθαι	νεύσεσθαι			
swim		future	participle	masculine				νευσόμενος	νευσόμενος			
swim		future	participle	feminine				νευσομένη	νευσομένη			
swim		future	participle	neuter				νευσόμενον	νευσόμενον			
swim		future	infinitive	infinitive				νευσέεσθαι	νευσέεσθαι			
swim		future	participle	masculine				νευσεόμενος	νευσεόμενος			
swim		future	participle	feminine				νευσεομένη	νευσεομένη			
swim		future	participle	neuter				νευσεόμενον	νευσεόμενον			
swim		future	infinitive	infinitive				νευσεῖσθαι	νευσεῖσθαι			
swim		future	participle	masculine				νευσούμενος	νευσούμενος			
swim		future	participle	feminine				νευσουμένη	νευσουμένη			
swim		future	participle	neuter				νευσούμενον	νευσούμενον			
swim	past	finished	infinitive	infinitive	νεῦσαι	νεῦσαι	νεῦσαι					
swim	past	finished	participle	masculine	νεύσᾱς	νεύσᾱς	νεύσᾱς					
swim	past	finished	participle	feminine	νεύσᾱσᾰ	νεύσᾱσᾰ	νεύσᾱσᾰ					
swim	past	finished	participle	neuter	νεῦσᾰν	νεῦσᾰν	νεῦσᾰν					
swim		perfect	infinitive	infinitive	νενευκέναι	νενευκέναι	νενευκέναι	νενευκέναι				
swim		perfect	participle	masculine	νενευκώς	νενευκώς	νενευκώς	νενευκώς				
swim		perfect	participle	feminine	νενευκυῖᾰ	νενευκυῖᾰ	νενευκυῖᾰ	νενευκυῖᾰ				
swim		perfect	participle	neuter	νενευκός	νενευκός	νενευκός	νενευκός				
swim		present	infinitive	infinitive	νεῖν	νεῖν	νεῖν	νεῖν				
swim		present	participle	masculine	νέων,νῶν	νέων,νῶν	νέων,νῶν	νέων,νῶν				
swim		present	participle	feminine	νέουσᾰ,νῶσᾰ	νέουσᾰ,νῶσᾰ	νέουσᾰ,νῶσᾰ	νέουσᾰ,νῶσᾰ				
swim		present	participle	neuter	νέον,νῶν	νέον,νῶν	νέον,νῶν	νέον,νῶν				
swim		future	infinitive	infinitive	νήσειν	νήσειν	νήσειν	νήσεσθαι	νήσεσθαι	νηθήσεσθαι	νηθήσεσθαι	νηθήσεσθαι
swim		future	participle	masculine	νήσων	νήσων	νήσων	νησόμενος	νησόμενος	νηθησόμενος	νηθησόμενος	νηθησόμενος
swim		future	participle	feminine	νήσουσᾰ	νήσουσᾰ	νήσουσᾰ	νησομένη	νησομένη	νηθησομένη	νηθησομένη	νηθησομένη
swim		future	participle	neuter	νῆσον	νῆσον	νῆσον	νησόμενον	νησόμενον	νηθησόμενον	νηθησόμενον	νηθησόμενον
swim	past	finished	infinitive	infinitive	νῆσαι	νῆσαι	νῆσαι	νήσᾰσθαι	νήσᾰσθαι	νηθῆναι	νηθῆναι	νηθῆναι
swim	past	finished	participle	masculine	νήσᾱς	νήσᾱς	νήσᾱς	νησᾰ́μενος	νησᾰ́μενος	νηθείς	νηθείς	νηθείς
swim	past	finished	participle	feminine	νήσᾱσᾰ	νήσᾱσᾰ	νήσᾱσᾰ	νησᾰμένη	νησᾰμένη	νηθεῖσᾰ	νηθεῖσᾰ	νηθεῖσᾰ
swim	past	finished	participle	neuter	νῆσᾰν	νῆσᾰν	νῆσᾰν	νησᾰ́μενον	νησᾰ́μενον	νηθέν	νηθέν	νηθέν
swim		future	infinitive	infinitive	νήσειν	νήσειν	νήσειν	νήσεσθαι	νήσεσθαι	νηθήσεσθαι	νηθήσεσθαι	νηθήσεσθαι
swim		future	participle	masculine	νήσων	νήσων	νήσων	νησόμενος	νησόμενος	νηθησόμενος	νηθησόμενος	νηθησόμενος
swim		future	participle	feminine	νήσουσᾰ	νήσουσᾰ	νήσουσᾰ	νησομένη	νησομένη	νηθησομένη	νηθησομένη	νηθησομένη
swim		future	participle	neuter	νῆσον	νῆσον	νῆσον	νησόμενον	νησόμενον	νηθησόμενον	νηθησόμενον	νηθησόμενον
swim		finished	infinitive	infinitive	νῆσαι	νῆσαι	νῆσαι	νήσᾰσθαι	νήσᾰσθαι	νηθῆναι	νηθῆναι	νηθῆναι
swim		finished	participle	masculine	νήσᾱς	νήσᾱς	νήσᾱς	νησᾰ́μενος	νησᾰ́μενος	νηθείς	νηθείς	νηθείς
swim		finished	participle	feminine	νήσᾱσᾰ	νήσᾱσᾰ	νήσᾱσᾰ	νησᾰμένη	νησᾰμένη	νηθεῖσᾰ	νηθεῖσᾰ	νηθεῖσᾰ
swim		finished	participle	neuter	νῆσᾰν	νῆσᾰν	νῆσᾰν	νησᾰ́μενον	νησᾰ́μενον	νηθέν	νηθέν	νηθέν
swim		perfect	infinitive	infinitive					νενῆσθαι	νενῆσθαι	νενῆσθαι	νενῆσθαι
swim		perfect	participle	masculine					νενησμένος	νενησμένος	νενησμένος	νενησμένος
swim		perfect	participle	feminine					νενησμένη	νενησμένη	νενησμένη	νενησμένη
swim		perfect	participle	neuter					νενησμένον	νενησμένον	νενησμένον	νενησμένον
walk		present	infinitive	infinitive	πᾰτέειν	πᾰτέειν	πᾰτέειν	πᾰτέειν	πᾰτέεσθαι	πᾰτέεσθαι	πᾰτέεσθαι	πᾰτέεσθαι
walk		present	participle	masculine	πᾰτέων	πᾰτέων	πᾰτέων	πᾰτέων	πᾰτεόμενος	πᾰτεόμενος	πᾰτεόμενος	πᾰτεόμενος
walk		present	participle	feminine	πᾰτέουσᾰ	πᾰτέουσᾰ	πᾰτέουσᾰ	πᾰτέουσᾰ	πᾰτεομένη	πᾰτεομένη	πᾰτεομένη	πᾰτεομένη
walk		present	participle	neuter	πᾰτέον	πᾰτέον	πᾰτέον	πᾰτέον	πᾰτεόμενον	πᾰτεόμενον	πᾰτεόμενον	πᾰτεόμενον
walk		present	infinitive	infinitive	πᾰτεῖν	πᾰτεῖν	πᾰτεῖν	πᾰτεῖν	πᾰτεῖσθαι	πᾰτεῖσθαι	πᾰτεῖσθαι	πᾰτεῖσθαι
walk		present	participle	masculine	πᾰτῶν	πᾰτῶν	πᾰτῶν	πᾰτῶν	πᾰτούμενος	πᾰτούμενος	πᾰτούμενος	πᾰτούμενος
walk		present	participle	feminine	πᾰτοῦσᾰ	πᾰτοῦσᾰ	πᾰτοῦσᾰ	πᾰτοῦσᾰ	πᾰτουμένη	πᾰτουμένη	πᾰτουμένη	πᾰτουμένη
walk		present	participle	neuter	πᾰτοῦν	πᾰτοῦν	πᾰτοῦν	πᾰτοῦν	πᾰτούμενον	πᾰτούμενον	πᾰτούμενον	πᾰτούμενον
walk		future	infinitive	infinitive	πᾰτήσειν	πᾰτήσειν	πᾰτήσειν	πᾰτήσεσθαι	πᾰτήσεσθαι	πᾰτηθήσεσθαι	πᾰτηθήσεσθαι	πᾰτηθήσεσθαι
walk		future	participle	masculine	πᾰτήσων	πᾰτήσων	πᾰτήσων	πᾰτησόμενος	πᾰτησόμενος	πᾰτηθησόμενος	πᾰτηθησόμενος	πᾰτηθησόμενος
walk		future	participle	feminine	πᾰτήσουσᾰ	πᾰτήσουσᾰ	πᾰτήσουσᾰ	πᾰτησομένη	πᾰτησομένη	πᾰτηθησομένη	πᾰτηθησομένη	πᾰτηθησομένη
walk		future	participle	neuter	πᾰτῆσον	πᾰτῆσον	πᾰτῆσον	πᾰτησόμενον	πᾰτησόμενον	πᾰτηθησόμενον	πᾰτηθησόμενον	πᾰτηθησόμενον
walk	past	finished	infinitive	infinitive	πᾰτῆσαι	πᾰτῆσαι	πᾰτῆσαι	πᾰτήσᾰσθαι	πᾰτήσᾰσθαι	πᾰτηθῆναι	πᾰτηθῆναι	πᾰτηθῆναι
walk	past	finished	participle	masculine	πᾰτήσᾱς	πᾰτήσᾱς	πᾰτήσᾱς	πᾰτησᾰ́μενος	πᾰτησᾰ́μενος	πᾰτηθείς	πᾰτηθείς	πᾰτηθείς
walk	past	finished	participle	feminine	πᾰτήσᾱσᾰ	πᾰτήσᾱσᾰ	πᾰτήσᾱσᾰ	πᾰτησᾰμένη	πᾰτησᾰμένη	πᾰτηθεῖσᾰ	πᾰτηθεῖσᾰ	πᾰτηθεῖσᾰ
walk	past	finished	participle	neuter	πᾰτῆσᾰν	πᾰτῆσᾰν	πᾰτῆσᾰν	πᾰτησᾰ́μενον	πᾰτησᾰ́μενον	πᾰτηθέν	πᾰτηθέν	πᾰτηθέν
walk		perfect	infinitive	infinitive	πεπᾰτηκέναι	πεπᾰτηκέναι	πεπᾰτηκέναι	πεπᾰτηκέναι	πεπᾰτῆσθαι	πεπᾰτῆσθαι	πεπᾰτῆσθαι	πεπᾰτῆσθαι
walk		perfect	participle	masculine	πεπᾰτηκώς	πεπᾰτηκώς	πεπᾰτηκώς	πεπᾰτηκώς	πεπᾰτημένος	πεπᾰτημένος	πεπᾰτημένος	πεπᾰτημένος
walk		perfect	participle	feminine	πεπᾰτηκυῖᾰ	πεπᾰτηκυῖᾰ	πεπᾰτηκυῖᾰ	πεπᾰτηκυῖᾰ	πεπᾰτημένη	πεπᾰτημένη	πεπᾰτημένη	πεπᾰτημένη
walk		perfect	participle	neuter	πεπᾰτηκός	πεπᾰτηκός	πεπᾰτηκός	πεπᾰτηκός	πεπᾰτημένον	πεπᾰτημένον	πεπᾰτημένον	πεπᾰτημένον
warm		present	infinitive	infinitive	θᾰ́λπειν	θᾰ́λπειν	θᾰ́λπειν	θᾰ́λπειν	θᾰ́λπεσθαι	θᾰ́λπεσθαι	θᾰ́λπεσθαι	θᾰ́λπεσθαι
warm		present	participle	masculine	θᾰ́λπων	θᾰ́λπων	θᾰ́λπων	θᾰ́λπων	θᾰλπόμενος	θᾰλπόμενος	θᾰλπόμενος	θᾰλπόμενος
warm		present	participle	feminine	θᾰ́λπουσᾰ	θᾰ́λπουσᾰ	θᾰ́λπουσᾰ	θᾰ́λπουσᾰ	θᾰλπομένη	θᾰλπομένη	θᾰλπομένη	θᾰλπομένη
warm		present	participle	neuter	θᾰ́λπον	θᾰ́λπον	θᾰ́λπον	θᾰ́λπον	θᾰλπόμενον	θᾰλπόμενον	θᾰλπόμενον	θᾰλπόμενον
warm		future	infinitive	infinitive	θᾰ́λψειν	θᾰ́λψειν	θᾰ́λψειν	θᾰ́λψεσθαι	θᾰ́λψεσθαι	θᾰλφθήσεσθαι	θᾰλφθήσεσθαι	θᾰλφθήσεσθαι
warm		future	participle	masculine	θᾰ́λψων	θᾰ́λψων	θᾰ́λψων	θᾰλψόμενος	θᾰλψόμενος	θᾰλφθησόμενος	θᾰλφθησόμενος	θᾰλφθησόμενος
warm		future	participle	feminine	θᾰ́λψουσᾰ	θᾰ́λψουσᾰ	θᾰ́λψουσᾰ	θᾰλψομένη	θᾰλψομένη	θᾰλφθησομένη	θᾰλφθησομένη	θᾰλφθησομένη
warm		future	participle	neuter	θᾰ́λψον	θᾰ́λψον	θᾰ́λψον	θᾰλψόμενον	θᾰλψόμενον	θᾰλφθησόμενον	θᾰλφθησόμενον	θᾰλφθησόμενον
warm	past	finished	infinitive	infinitive	θᾰ́λψαι	θᾰ́λψαι	θᾰ́λψαι	θᾰ́λψᾰσθαι	θᾰ́λψᾰσθαι	θᾰλφθῆναι	θᾰλφθῆναι	θᾰλφθῆναι
warm	past	finished	participle	masculine	θᾰ́λψᾱς	θᾰ́λψᾱς	θᾰ́λψᾱς	θᾰλψᾰ́μενος	θᾰλψᾰ́μενος	θᾰλφθείς	θᾰλφθείς	θᾰλφθείς
warm	past	finished	participle	feminine	θᾰ́λψᾱσᾰ	θᾰ́λψᾱσᾰ	θᾰ́λψᾱσᾰ	θᾰλψᾰμένη	θᾰλψᾰμένη	θᾰλφθεῖσᾰ	θᾰλφθεῖσᾰ	θᾰλφθεῖσᾰ
warm	past	finished	participle	neuter	θᾰ́λψᾰν	θᾰ́λψᾰν	θᾰ́λψᾰν	θᾰλψᾰ́μενον	θᾰλψᾰ́μενον	θᾰλφθέν	θᾰλφθέν	θᾰλφθέν
warm		perfect	infinitive	infinitive					τεθᾶλφθαι	τεθᾶλφθαι	τεθᾶλφθαι	τεθᾶλφθαι
warm		perfect	participle	masculine					τεθαλμμένος	τεθαλμμένος	τεθαλμμένος	τεθαλμμένος
warm		perfect	participle	feminine					τεθαλμμένη	τεθαλμμένη	τεθαλμμένη	τεθαλμμένη
warm		perfect	participle	neuter					τεθαλμμένον	τεθαλμμένον	τεθαλμμένον	τεθαλμμένον
watch		present	infinitive	infinitive	σκοπέειν	σκοπέειν	σκοπέειν	σκοπέειν	σκοπέεσθαι	σκοπέεσθαι	σκοπέεσθαι	σκοπέεσθαι
watch		present	participle	masculine	σκοπέων	σκοπέων	σκοπέων	σκοπέων	σκοπεόμενος	σκοπεόμενος	σκοπεόμενος	σκοπεόμενος
watch		present	participle	feminine	σκοπέουσᾰ	σκοπέουσᾰ	σκοπέουσᾰ	σκοπέουσᾰ	σκοπεομένη	σκοπεομένη	σκοπεομένη	σκοπεομένη
watch		present	participle	neuter	σκοπέον	σκοπέον	σκοπέον	σκοπέον	σκοπεόμενον	σκοπεόμενον	σκοπεόμενον	σκοπεόμενον
watch		present	infinitive	infinitive	σκοπεῖν	σκοπεῖν	σκοπεῖν	σκοπεῖν	σκοπεῖσθαι	σκοπεῖσθαι	σκοπεῖσθαι	σκοπεῖσθαι
watch		present	participle	masculine	σκοπῶν	σκοπῶν	σκοπῶν	σκοπῶν	σκοπούμενος	σκοπούμενος	σκοπούμενος	σκοπούμενος
watch		present	participle	feminine	σκοποῦσᾰ	σκοποῦσᾰ	σκοποῦσᾰ	σκοποῦσᾰ	σκοπουμένη	σκοπουμένη	σκοπουμένη	σκοπουμένη
watch		present	participle	neuter	σκοποῦν	σκοποῦν	σκοποῦν	σκοποῦν	σκοπούμενον	σκοπούμενον	σκοπούμενον	σκοπούμενον
watch		future	infinitive	infinitive	σκοπήσειν	σκοπήσειν	σκοπήσειν	σκοπήσεσθαι	σκοπήσεσθαι	σκοπηθήσεσθαι	σκοπηθήσεσθαι	σκοπηθήσεσθαι
watch		future	participle	masculine	σκοπήσων	σκοπήσων	σκοπήσων	σκοπησόμενος	σκοπησόμενος	σκοπηθησόμενος	σκοπηθησόμενος	σκοπηθησόμενος
watch		future	participle	feminine	σκοπήσουσᾰ	σκοπήσουσᾰ	σκοπήσουσᾰ	σκοπησομένη	σκοπησομένη	σκοπηθησομένη	σκοπηθησομένη	σκοπηθησομένη
watch		future	participle	neuter	σκοπῆσον	σκοπῆσον	σκοπῆσον	σκοπησόμενον	σκοπησόμενον	σκοπηθησόμενον	σκοπηθησόμενον	σκοπηθησόμενον
watch	past	finished	infinitive	infinitive	σκοπῆσαι	σκοπῆσαι	σκοπῆσαι	σκοπήσᾰσθαι	σκοπήσᾰσθαι	σκοπηθῆναι	σκοπηθῆναι	σκοπηθῆναι
watch	past	finished	participle	masculine	σκοπήσᾱς	σκοπήσᾱς	σκοπήσᾱς	σκοπησᾰ́μενος	σκοπησᾰ́μενος	σκοπηθείς	σκοπηθείς	σκοπηθείς
watch	past	finished	participle	feminine	σκοπήσᾱσᾰ	σκοπήσᾱσᾰ	σκοπήσᾱσᾰ	σκοπησᾰμένη	σκοπησᾰμένη	σκοπηθεῖσᾰ	σκοπηθεῖσᾰ	σκοπηθεῖσᾰ
watch	past	finished	participle	neuter	σκοπῆσᾰν	σκοπῆσᾰν	σκοπῆσᾰν	σκοπησᾰ́μενον	σκοπησᾰ́μενον	σκοπηθέν	σκοπηθέν	σκοπηθέν
watch		perfect	infinitive	infinitive	ἐσκοπηκέναι	ἐσκοπηκέναι	ἐσκοπηκέναι	ἐσκοπηκέναι	ἐσκοπῆσθαι	ἐσκοπῆσθαι	ἐσκοπῆσθαι	ἐσκοπῆσθαι
watch		perfect	participle	masculine	ἐσκοπηκώς	ἐσκοπηκώς	ἐσκοπηκώς	ἐσκοπηκώς	ἐσκοπημένος	ἐσκοπημένος	ἐσκοπημένος	ἐσκοπημένος
watch		perfect	participle	feminine	ἐσκοπηκυῖᾰ	ἐσκοπηκυῖᾰ	ἐσκοπηκυῖᾰ	ἐσκοπηκυῖᾰ	ἐσκοπημένη	ἐσκοπημένη	ἐσκοπημένη	ἐσκοπημένη
watch		perfect	participle	neuter	ἐσκοπηκός	ἐσκοπηκός	ἐσκοπηκός	ἐσκοπηκός	ἐσκοπημένον	ἐσκοπημένον	ἐσκοπημένον	ἐσκοπημένον
work		present	infinitive	infinitive					ἐργᾰ́ζεσθαι	ἐργᾰ́ζεσθαι	ἐργᾰ́ζεσθαι	ἐργᾰ́ζεσθαι
work		present	participle	masculine					ἐργᾰζόμενος	ἐργᾰζόμενος	ἐργᾰζόμενος	ἐργᾰζόμενος
work		present	participle	feminine					ἐργᾰζομένη	ἐργᾰζομένη	ἐργᾰζομένη	ἐργᾰζομένη
work		present	participle	neuter					ἐργᾰζόμενον	ἐργᾰζόμενον	ἐργᾰζόμενον	ἐργᾰζόμενον
work		future	infinitive	infinitive				ἐργᾰ́σεσθαι	ἐργᾰ́σεσθαι	ἐργᾰσθήσεσθαι	ἐργᾰσθήσεσθαι	ἐργᾰσθήσεσθαι
work		future	participle	masculine				ἐργᾰσόμενος	ἐργᾰσόμενος	ἐργᾰσθησόμενος	ἐργᾰσθησόμενος	ἐργᾰσθησόμενος
work		future	participle	feminine				ἐργᾰσομένη	ἐργᾰσομένη	ἐργᾰσθησομένη	ἐργᾰσθησομένη	ἐργᾰσθησομένη
work		future	participle	neuter				ἐργᾰσόμενον	ἐργᾰσόμενον	ἐργᾰσθησόμενον	ἐργᾰσθησόμενον	ἐργᾰσθησόμενον
work	past	finished	infinitive	infinitive				ἐργᾰ́σᾰσθαι	ἐργᾰ́σᾰσθαι	ἐργᾰσθῆναι	ἐργᾰσθῆναι	ἐργᾰσθῆναι
work	past	finished	participle	masculine				ἐργᾰσᾰ́μενος	ἐργᾰσᾰ́μενος	ἐργᾰσθείς	ἐργᾰσθείς	ἐργᾰσθείς
work	past	finished	participle	feminine				ἐργᾰσᾰμένη	ἐργᾰσᾰμένη	ἐργᾰσθεῖσᾰ	ἐργᾰσθεῖσᾰ	ἐργᾰσθεῖσᾰ
work	past	finished	participle	neuter				ἐργᾰσᾰ́μενον	ἐργᾰσᾰ́μενον	ἐργᾰσθέν	ἐργᾰσθέν	ἐργᾰσθέν
work		perfect	infinitive	infinitive					εἰργᾰ́σθαι	εἰργᾰ́σθαι	εἰργᾰ́σθαι	εἰργᾰ́σθαι
work		perfect	participle	masculine					εἰργᾰσμένος	εἰργᾰσμένος	εἰργᾰσμένος	εἰργᾰσμένος
work		perfect	participle	feminine					εἰργᾰσμένη	εἰργᾰσμένη	εἰργᾰσμένη	εἰργᾰσμένη
work		perfect	participle	neuter					εἰργᾰσμένον	εἰργᾰσμένον	εἰργᾰσμένον	εἰργᾰσμένον
release		present	infinitive	infinitive	λῡ́ειν	λῡ́ειν	λῡ́ειν	λῡ́ειν	λῡ́εσθαι	λῡ́εσθαι	λῡ́εσθαι	λῡ́εσθαι
release		present	participle	masculine	λῡ́ων	λῡ́ων	λῡ́ων	λῡ́ων	λῡόμενος	λῡόμενος	λῡόμενος	λῡόμενος
release		present	participle	feminine	λῡ́ουσᾰ	λῡ́ουσᾰ	λῡ́ουσᾰ	λῡ́ουσᾰ	λῡομένη	λῡομένη	λῡομένη	λῡομένη
release		present	participle	neuter	λῦον	λῦον	λῦον	λῦον	λῡόμενον	λῡόμενον	λῡόμενον	λῡόμενον
release		future	infinitive	infinitive	λῡ́σειν	λῡ́σειν	λῡ́σειν	λῡ́σεσθαι	λῡ́σεσθαι	λῠθήσεσθαι	λῠθήσεσθαι	λῠθήσεσθαι
release		future	participle	masculine	λῡ́σων	λῡ́σων	λῡ́σων	λῡσόμενος	λῡσόμενος	λῠθησόμενος	λῠθησόμενος	λῠθησόμενος
