*	*	*	*	*	active	active	active	middle	middle	passive	passive	passive
fall		present	participle	masculine	πῑ́πτων	πῑ́πτων	πῑ́πτων	πῑ́πτων				
fall		present	participle	feminine	πῑ́πτουσᾰ	πῑ́πτουσᾰ	πῑ́πτουσᾰ	πῑ́πτουσᾰ				
fall		present	participle	neuter	πῖπτον	πῖπτον	πῖπτον	πῖπτον				
fall		future	infinitive	infinitive				πεσέεσθαι	πεσέεσθαι			
fall		future	participle	masculine				πεσεόμενος	πεσεόμενος			
fall		future	participle	feminine				πεσεομένη	πεσεομένη			
fall		future	participle	neuter				πεσεόμενον	πεσεόμενον			
fall		future	infinitive	infinitive				πεσεῖσθαι	πεσεῖσθαι			
fall		future	participle	masculine				πεσούμενος	πεσούμενος			
fall		future	participle	feminine				πεσουμένη	πεσουμένη			
fall		future	participle	neuter				πεσούμενον	πεσούμενον			
fall	past	finished	infinitive	infinitive	πεσεῖν	πεσεῖν	πεσεῖν					
fall	past	finished	participle	masculine	πεσών	πεσών	πεσών					
fall	past	finished	participle	feminine	πεσοῦσᾰ	πεσοῦσᾰ	πεσοῦσᾰ					
fall	past	finished	participle	neuter	πεσόν	πεσόν	πεσόν					
fall		perfect	infinitive	infinitive	πεπτωκέναι	πεπτωκέναι	πεπτωκέναι	πεπτωκέναι				
fall		perfect	participle	masculine	πεπτωκώς,πεπτεώς,πεπτηώς	πεπτωκώς,πεπτεώς,πεπτηώς	πεπτωκώς,πεπτεώς,πεπτηώς	πεπτωκώς,πεπτεώς,πεπτηώς				
fall		perfect	participle	feminine	πεπτωκυῖᾰ,πεπτευῖᾰ,πεπτηυῖᾰ	πεπτωκυῖᾰ,πεπτευῖᾰ,πεπτηυῖᾰ	πεπτωκυῖᾰ,πεπτευῖᾰ,πεπτηυῖᾰ	πεπτωκυῖᾰ,πεπτευῖᾰ,πεπτηυῖᾰ				
fall		perfect	participle	neuter	πεπτωκός,πεπτεός,πεπτηός	πεπτωκός,πεπτεός,πεπτηός	πεπτωκός,πεπτεός,πεπτηός	πεπτωκός,πεπτεός,πεπτηός				
