*	*	*	*	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek
*	*	*	*	indicative	subjunctive	optative	imperative	indicative	indicative	optative	indicative	subjunctive	optative	imperative	indicative	subjunctive	optative	imperative	indicative	indicative	optative
*	*	*	*	present	present	present	present	past	future	future	past	past	past	past	present	present	present	present	past	future	future
release	active	1	plural	λῡ́ομεν 	λῡ́ωμεν 	λῡ́οιμεν 	—	ἐλῡ́ομεν 	λῡ́σομεν 	λῡ́σοιμεν 	ἐλῡ́σᾰμεν 	λῡ́σωμεν 	λῡ́σαιμεν 	—	λελῠ́κᾰμεν 	λελῠ́κωμεν 	λελῠ́κοιμεν 	—	ἐλελῠ́κεμεν 	λελυκότες ἐσόμεθα	—
release	active	2	plural	λῡ́ετε 	λῡ́ητε 	λῡ́οιτε 	λῡ́ετε 	ἐλῡ́ετε 	λῡ́σετε 	λῡ́σοιτε 	ἐλῡ́σᾰτε 	λῡ́σητε 	λῡ́σαιτε 	λῡ́σᾰτε 	λελῠ́κᾰτε 	λελῠ́κητε 	λελῠ́κοιτε 	λελῠ́κετε 	ἐλελῠ́κετε 	λελυκότες ἔσεσθε	—
release	active	3	plural	λῡ́ουσῐ(ν)	λῡ́ωσῐ(ν)	λῡ́οιεν	λῡόντων 	ἔλῡον	λῡ́σουσῐ(ν)	λῡ́σοιεν 	ἔλῡσᾰν	λῡ́σωσῐ(ν)	λῡ́σειᾰν/λῡ́σαιεν	λῡσᾰ́ντων	λελῠ́κᾱσῐ(ν)	λελῠ́κωσῐ(ν)	λελῠ́κοιεν	λελῠκόντων	ἐλελῠ́κεσᾰν	λελυκότες ἔσονται	—
release	middle	1	singular	λῡ́ομαι 	λῡ́ωμαι 	λῡοίμην 	—	ἐλῡόμην 	λῡ́σομαι 	λῡσοίμην 	ἐλῡσᾰ́μην 	λῡ́σωμαι 	λῡσαίμην 	—	λέλῠμαι 	λελῠμένος ὦ 	λελῠμένος εἴην 	—	ἐλελῠ́μην 	λελῡ́σομαι 	λελῡσοίμην 
release	middle	2	singular	λῡ́ῃ/λῡ́ει 	λῡ́ῃ 	λῡ́οιο 	λῡ́ου 	ἐλῡ́ου 	λῡ́σῃ/λῡ́σει 	λῡ́σοιο 	ἐλῡ́σω 	λῡ́σῃ 	λῡ́σαιο 	λῦσαι 	λέλῠσαι 	λελῠμένος ᾖς 	λελῠμένος εἴης 	λέλῠσο 	ἐλέλῠσο 	λελῡ́σῃ/λελῡ́σει 	λελῡ́σοιο 
release	middle	3	singular	λῡ́εται 	λῡ́ηται 	λῡ́οιτο 	λῡέσθω 	ἐλῡ́ετο 	λῡ́σεται 	λῡ́σοιτο 	ἐλῡ́σᾰτο 	λῡ́σηται 	λῡ́σαιτο 	λῡσᾰ́σθω 	λέλῠται 	λελῠμένος ᾖ 	λελῠμένος εἴη 	λελῠ́σθω 	ἐλέλῠτο 	λελῡ́σεται 	λελῡ́σοιτο 
release	middle	2	dual	λῡ́εσθον 	λῡ́ησθον 	λῡ́οισθον 	λῡ́εσθον 	ἐλῡ́εσθον 	λῡ́σεσθον 	λῡ́σοισθον 	ἐλῡ́σᾰσθον 	λῡ́σησθον 	λῡ́σαισθον 	λῡ́σᾰσθον 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἴητον/εἶτον 	λέλῠσθον 	ἐλέλῠσθον 	λελῡ́σεσθον 	λελῡ́σοισθον 
release	middle	3	dual	λῡ́εσθον 	λῡ́ησθον 	λῡοίσθην 	λῡέσθων 	ἐλῡέσθην 	λῡ́σεσθον 	λῡσοίσθην 	ἐλῡσᾰ́σθην 	λῡ́σησθον 	λῡσαίσθην 	λῡσᾰ́σθων 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἰήτην/εἴτην 	λελῠ́σθων 	ἐλελῠ́σθην 	λελῡ́σεσθον 	λελῡσοίσθην 
release	middle	1	plural	λῡόμεθᾰ 	λῡώμεθᾰ 	λῡοίμεθᾰ 	—	ἐλῡόμεθᾰ 	λῡσόμεθᾰ 	λῡσοίμεθᾰ 	ἐλῡσᾰ́μεθᾰ 	λῡσώμεθᾰ 	λῡσαίμεθᾰ 	—	λελῠ́μεθᾰ 	λελῠμένοι ὦμεν 	λελῠμένοι εἴημεν/εἶμεν 	—	ἐλελῠ́μεθᾰ 	λελῡσόμεθᾰ 	λελῡσοίμεθᾰ 
release	middle	2	plural	λῡ́εσθε 	λῡ́ησθε 	λῡ́οισθε 	λῡ́εσθε 	ἐλῡ́εσθε 	λῡ́σεσθε 	λῡ́σοισθε 	ἐλῡ́σᾰσθε 	λῡ́σησθε 	λῡ́σαισθε 	λῡ́σᾰσθε 	λέλῠσθε 	λελῠμένοι ἦτε 	λελῠμένοι εἴητε/εἶτε 	λέλῠσθε 	ἐλέλῠσθε 	λελῡ́σεσθε 	λελῡ́σοισθε 
release	middle	3	plural	λῡ́ονται	λῡ́ωνται	λῡ́οιντο	λῡέσθων 	ἐλῡ́οντο 	λῡ́σονται	λῡ́σοιντο 	ἐλῡ́σᾰντο	λῡ́σωνται	λῡ́σαιντο	λῡσᾰ́σθων	λέλῠνται	λελῠμένοι ὦσῐ(ν)	λελῠμένοι εἴησᾰν/εἶεν	λελῠ́σθων 	ἐλέλῠντο 	λελῡ́σονται	λελῡ́σοιντο 
release	passive	1	singular	λῡ́ομαι 	λῡ́ωμαι 	λῡοίμην 	—	ἐλῡόμην 	λῠθήσομαι 	λῠθησοίμην 	ἐλῠ́θην 	λῠθῶ 	λῠθείην 	—	λέλῠμαι 	λελῠμένος ὦ 	λελῠμένος εἴην 	—	ἐλελῠ́μην 	λελῡ́σομαι 	λελῡσοίμην 
release	passive	2	singular	λῡ́ῃ/λῡ́ει 	λῡ́ῃ 	λῡ́οιο 	λῡ́ου 	ἐλῡ́ου 	λῠθήσῃ 	λῠθήσοιο 	ἐλῠ́θης 	λῠθῇς 	λῠθείης 	λῠ́θητῐ 	λέλῠσαι 	λελῠμένος ᾖς 	λελῠμένος εἴης 	λέλῠσο 	ἐλέλῠσο 	λελῡ́σῃ/λελῡ́σει 	λελῡ́σοιο 
release	passive	3	singular	λῡ́εται 	λῡ́ηται 	λῡ́οιτο 	λῡέσθω 	ἐλῡ́ετο 	λῠθήσεται 	λῠθήσοιτο 	ἐλῠ́θη 	λῠθῇ 	λῠθείη 	λῠθήτω 	λέλῠται 	λελῠμένος ᾖ 	λελῠμένος εἴη 	λελῠ́σθω 	ἐλέλῠτο 	λελῡ́σεται 	λελῡ́σοιτο 
release	passive	2	dual	λῡ́εσθον 	λῡ́ησθον 	λῡ́οισθον 	λῡ́εσθον 	ἐλῡ́εσθον 	λῠθήσεσθον 	λῠθήσοισθον 	ἐλῠ́θητον 	λῠθῆτον 	λῠθεῖτον/λῠθείητον 	λῠ́θητον 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἴητον/εἶτον 	λέλῠσθον 	ἐλέλῠσθον 	λελῡ́σεσθον 	λελῡ́σοισθον 
release	passive	3	dual	λῡ́εσθον 	λῡ́ησθον 	λῡοίσθην 	λῡέσθων 	ἐλῡέσθην 	λῠθήσεσθον 	λῠθησοίσθην 	ἐλῠθήτην 	λῠθῆτον 	λῠθείτην/λῠθειήτην 	λῠθήτων 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἰήτην/εἴτην 	λελῠ́σθων 	ἐλελῠ́σθην 	λελῡ́σεσθον 	λελῡσοίσθην 
release	passive	1	plural	λῡόμεθᾰ 	λῡώμεθᾰ 	λῡοίμεθᾰ 	—	ἐλῡόμεθᾰ 	λῠθησόμεθᾰ 	λῠθησοίμεθᾰ 	ἐλῠ́θημεν 	λῠθῶμεν 	λῠθεῖμεν/λῠθείημεν 	—	λελῠ́μεθᾰ 	λελῠμένοι ὦμεν 	λελῠμένοι εἴημεν/εἶμεν 	—	ἐλελῠ́μεθᾰ 	λελῡσόμεθᾰ 	λελῡσοίμεθᾰ 
release	passive	2	plural	λῡ́εσθε 	λῡ́ησθε 	λῡ́οισθε 	λῡ́εσθε 	ἐλῡ́εσθε 	λῠθήσεσθε 	λῠθήσοισθε 	ἐλῠ́θητε 	λῠθῆτε 	λῠθεῖτε/λῠθείητε 	λῠ́θητε 	λέλῠσθε 	λελῠμένοι ἦτε 	λελῠμένοι εἴητε/εἶτε 	λέλῠσθε 	ἐλέλῠσθε 	λελῡ́σεσθε 	λελῡ́σοισθε 
release	passive	3	plural	λῡ́ονται	λῡ́ωνται	λῡ́οιντο	λῡέσθων 	ἐλῡ́οντο 	λῠθήσονται	λῠθήσοιντο 	ἐλῠ́θησᾰν	λῠθῶσῐ(ν)	λῠθεῖεν/λῠθείησᾰν	λῠθέντων 	λέλῠνται	λελῠμένοι ὦσῐ(ν)	λελῠμένοι εἴησᾰν/εἶεν	λελῠ́σθων 	ἐλέλῠντο 	λελῡ́σονται	λελῡ́σοιντο 
