*	*	*	*	*	indicative	indicative	imperative	subjunctive	optative	
*	*	*	*	*	present	past				
primary-imperfective-reduplicated-thematic	sit	active	1	plural	√₁omos	√₁ome	—	√₁ōmos	√₁oyme	
primary-imperfective-reduplicated-thematic	sit	active	2	plural	√₁ete	√₁ete	√₁ete	√₁ēte	√₁oyte	
primary-imperfective-reduplicated-thematic	sit	active	3	plural	√₁onti	√₁ont	√₁ontu	√₁ōnti	√₁oyh₁n̥t	
primary-imperfective-nasal-infix	leave	active	1	singular	√₁mi	√₁m̥	—	√₁oh₂	√₁yéh₁m̥	
primary-imperfective-nasal-infix	leave	active	2	singular	√₁si	√₁s	√₁	√₁esi	√₁yéh₁s	
primary-imperfective-nasal-infix	leave	active	3	singular	√₁ti	√₁t	√₁tu	√₁eti	√₁yéh₁t	
primary-imperfective-nasal-infix	leave	active	1	dual	√₁wós	√₁wé	—	√₁owos	√₁ih₁wé	
primary-imperfective-nasal-infix	leave	active	2	dual	√₁tés	√₁tóm	√₁tóm	√₁etes	√₁ih₁tóm	
primary-imperfective-nasal-infix	leave	active	3	dual	√₁tés	√₁tā´m	√₁tā´m	√₁etes	√₁ih₁tā´m	
primary-imperfective-nasal-infix	leave	active	1	plural	√₁mós	√₁mé	—	√₁omos	√₁ih₁mé	
primary-imperfective-nasal-infix	leave	active	2	plural	√₁té	√₁té	√₁té	√₁ete	√₁ih₁té	
primary-imperfective-nasal-infix	leave	active	3	plural	√₁énti	√₁ént	√₁éntu	√₁onti	√₁ih₁ént	
primary-imperfective-nasal-infix	leave	middle	1	singular	√₁h₂ér	√₁h₂é	—	√₁oh₂er	√₁ih₁h₂é	
primary-imperfective-nasal-infix	leave	middle	2	singular	√₁th₂ér	√₁th₂é	√₁só	√₁eth₂er	√₁ih₁th₂é	
primary-imperfective-nasal-infix	leave	middle	3	singular	√₁tór	√₁tó	—	√₁etor	√₁ih₁tó	
primary-imperfective-nasal-infix	leave	middle	1	dual	√₁wósdʰh₂	√₁wédʰh₂	—	√₁owosdʰh₂	√₁ih₁wédʰh₂	
primary-imperfective-nasal-infix	leave	middle	2	dual	—	—	—	—	—	
primary-imperfective-nasal-infix	leave	middle	3	dual	—	—	—	—	—	
primary-imperfective-nasal-infix	leave	middle	1	plural	√₁mósdʰh₂	√₁médʰh₂	—	√₁omosdʰh₂	√₁ih₁médʰh₂	
primary-imperfective-nasal-infix	leave	middle	2	plural	√₁dʰh₂wé	√₁dʰh₂wé	√₁dʰh₂wé	√₁edʰh₂we	√₁ih₁dʰh₂wé	
primary-imperfective-nasal-infix	leave	middle	3	plural	√₁rór	√₁ró	—	√₁oror	√₁ih₁ró	
primary-imperfective-nu-suffix	stretch	active	1	singular	√₁néwmi	√₁nḗm	—	√₁néwoh₂	√₁nuyéh₁m̥	
primary-imperfective-nu-suffix	stretch	active	2	singular	√₁néwsi	√₁néws	√₁néw	√₁néwesi	√₁nuyéh₁s	
primary-imperfective-nu-suffix	stretch	active	3	singular	√₁néwti	√₁néwt	√₁néwtu	√₁néweti	√₁nuyéh₁t	
primary-imperfective-nu-suffix	stretch	active	1	dual	√₁nuwós	√₁nuwé	—	√₁néwowos	√₁n̥wih₁wé	
primary-imperfective-nu-suffix	stretch	active	2	dual	√₁nutés	√₁nutóm	√₁nutóm	√₁néwetes	√₁n̥wih₁tóm	
primary-imperfective-nu-suffix	stretch	active	3	dual	√₁nutés	√₁nutā´m	√₁nutā´m	√₁néwetes	√₁n̥wih₁tā´m	
primary-imperfective-nu-suffix	stretch	active	1	plural	√₁numós	√₁numé	—	√₁néwomos	√₁n̥wih₁mé	
primary-imperfective-nu-suffix	stretch	active	2	plural	√₁nuté	√₁nuté	√₁nuté	√₁néwete	√₁n̥wih₁té	
primary-imperfective-nu-suffix	stretch	active	3	plural	√₁n̥wénti	√₁n̥wént	√₁n̥wéntu	√₁néwonti	√₁n̥wih₁ént	
primary-imperfective-nu-suffix	stretch	middle	1	singular	√₁nuh₂ér	√₁nuh₂é	—	√₁néwoh₂er	√₁n̥wih₁h₂é	
primary-imperfective-nu-suffix	stretch	middle	2	singular	√₁nuth₂ér	√₁nuth₂é	√₁nusó	√₁néweth₂er	√₁n̥wih₁th₂é	
primary-imperfective-nu-suffix	stretch	middle	3	singular	√₁nutór	√₁nutó	—	√₁néwetor	√₁n̥wih₁tó	
primary-imperfective-nu-suffix	stretch	middle	1	dual	√₁nuwósdʰh₂	√₁nuwédʰh₂	—	√₁néwowosdʰh₂	√₁n̥wih₁wédʰh₂	
primary-imperfective-nu-suffix	stretch	middle	2	dual	—	—	—	—	—	
primary-imperfective-nu-suffix	stretch	middle	3	dual	—	—	—	—	—	
primary-imperfective-nu-suffix	stretch	middle	1	plural	√₁numósdʰh₂	√₁numédʰh₂	—	√₁néwomosdʰh₂	√₁n̥wih₁médʰh₂	
primary-imperfective-nu-suffix	stretch	middle	2	plural	√₁nudʰh₂wé	√₁nudʰh₂wé	√₁nudʰh₂wé	√₁néwedʰh₂we	√₁n̥wih₁dʰh₂wé	
primary-imperfective-nu-suffix	stretch	middle	3	plural	√₁nurór	√₁nuró	—	√₁néworor	√₁n̥wih₁ró	
primary-imperfective-ye-suffix	work	active	1	singular	√₁yóh₂	√₁yóm	—	√₁yṓh₂	√₁yóyh₁m̥	
primary-imperfective-ye-suffix	work	active	2	singular	√₁yési	√₁yés	√₁yé	√₁yḗsi	√₁yóys	
primary-imperfective-ye-suffix	work	active	3	singular	√₁yéti	√₁yét	√₁yétu	√₁yḗti	√₁yóyt	
primary-imperfective-ye-suffix	work	active	1	dual	√₁yówos	√₁yówe	—	√₁yṓwos	√₁yóywe	
primary-imperfective-ye-suffix	work	active	2	dual	√₁yétes	√₁yétom	√₁yétom	√₁yḗtes	√₁yóytom	
primary-imperfective-ye-suffix	work	active	3	dual	√₁yétes	√₁yétām	√₁yétām	√₁yḗtes	√₁yóytām	
primary-imperfective-ye-suffix	work	active	1	plural	√₁yómos	√₁yóme	—	√₁yṓmos	√₁yóyme	
primary-imperfective-ye-suffix	work	active	2	plural	√₁yéte	√₁yéte	√₁yéte	√₁yḗte	√₁yóyte	
primary-imperfective-ye-suffix	work	active	3	plural	√₁yónti	√₁yónt	√₁yóntu	√₁yṓnti	√₁yóyh₁n̥t	
primary-imperfective-ye-suffix	work	middle	1	singular	√₁yóh₂er	√₁yóh₂e	—	√₁yṓh₂er	√₁yóyh₂e	
primary-imperfective-ye-suffix	work	middle	2	singular	√₁yéth₂er	√₁yéth₂e	√₁yéso	√₁yḗth₂er	√₁yóyth₂e	
primary-imperfective-ye-suffix	work	middle	3	singular	√₁yétor	√₁yéto	—	√₁yḗtor	√₁yóyto	
primary-imperfective-ye-suffix	work	middle	1	dual	√₁yówosdʰh₂	√₁yówedʰh₂	—	√₁yṓwosdʰh₂	√₁yóywedʰh₂	
primary-imperfective-ye-suffix	work	middle	2	dual	—	—	—	—	—	
primary-imperfective-ye-suffix	work	middle	3	dual	—	—	—	—	—	
primary-imperfective-ye-suffix	work	middle	1	plural	√₁yómosdʰh₂	√₁yómedʰh₂	—	√₁yṓmosdʰh₂	√₁yóymedʰh₂	
primary-imperfective-ye-suffix	work	middle	2	plural	√₁yédʰh₂we	√₁yédʰh₂we	√₁yédʰh₂we	√₁yḗdʰh₂we	√₁yóydʰh₂we	
primary-imperfective-ye-suffix	work	middle	3	plural	√₁yóror	√₁yóro	—	√₁yṓror	√₁yóyro	
primary-imperfective-ske-suffix	ask	active	1	singular	√₁sḱóh₂	√₁sḱóm	—	√₁sḱṓh₂	√₁sḱóyh₁m̥	
primary-imperfective-ske-suffix	ask	active	2	singular	√₁sḱési	√₁sḱés	√₁sḱé	√₁sḱḗsi	√₁sḱóys	
primary-imperfective-ske-suffix	ask	active	3	singular	√₁sḱéti	√₁sḱét	√₁sḱétu	√₁sḱḗti	√₁sḱóyt	
primary-imperfective-ske-suffix	ask	active	1	dual	√₁sḱówos	√₁sḱówe	—	√₁sḱṓwos	√₁sḱóywe	
primary-imperfective-ske-suffix	ask	active	2	dual	√₁sḱétes	√₁sḱétom	√₁sḱétom	√₁sḱḗtes	√₁sḱóytom	
primary-imperfective-ske-suffix	ask	active	3	dual	√₁sḱétes	√₁sḱétām	√₁sḱétām	√₁sḱḗtes	√₁sḱóytām	
primary-imperfective-ske-suffix	ask	active	1	plural	√₁sḱómos	√₁sḱóme	—	√₁sḱṓmos	√₁sḱóyme	
primary-imperfective-ske-suffix	ask	active	2	plural	√₁sḱéte	√₁sḱéte	√₁sḱéte	√₁sḱḗte	√₁sḱóyte	
primary-imperfective-ske-suffix	ask	active	3	plural	√₁sḱónti	√₁sḱónt	√₁sḱóntu	√₁sḱṓnti	√₁sḱóyh₁n̥t	
primary-imperfective-ske-suffix	ask	middle	1	singular	√₁sḱóh₂er	√₁sḱóh₂e	—	√₁sḱṓh₂er	√₁sḱóyh₂e	
primary-imperfective-ske-suffix	ask	middle	2	singular	√₁sḱéth₂er	√₁sḱéth₂e	√₁sḱéso	√₁sḱḗth₂er	√₁sḱóyth₂e	
primary-imperfective-ske-suffix	ask	middle	3	singular	√₁sḱétor	√₁sḱéto	—	√₁sḱḗtor	√₁sḱóyto	
primary-imperfective-ske-suffix	ask	middle	1	dual	√₁sḱówosdʰh₂	√₁sḱówedʰh₂	—	√₁sḱṓwosdʰh₂	√₁sḱóywedʰh₂	
primary-imperfective-ske-suffix	ask	middle	2	dual	—	—	—	—	—	
primary-imperfective-ske-suffix	ask	middle	3	dual	—	—	—	—	—	
primary-imperfective-ske-suffix	ask	middle	1	plural	√₁sḱómosdʰh₂	√₁sḱómedʰh₂	—	√₁sḱṓmosdʰh₂	√₁sḱóymedʰh₂	
primary-imperfective-ske-suffix	ask	middle	2	plural	√₁sḱédʰh₂we	√₁sḱédʰh₂we	√₁sḱédʰh₂we	√₁sḱḗdʰh₂we	√₁sḱóydʰh₂we	
primary-imperfective-ske-suffix	ask	middle	3	plural	√₁sḱóror	√₁sḱóro	—	√₁sḱṓror	√₁sḱóyro	
