*	*	*	*	indicative	indicative	imperative   	subjunctive     	optative        	
work	active	2     	dual     	wr̥ǵyétes         	wr̥ǵyétom      	wr̥ǵyétom    	wr̥ǵyḗtes       	wr̥ǵyóytom      	
work	active	3     	dual     	wr̥ǵyétes         	wr̥ǵyétām      	wr̥ǵyétām    	wr̥ǵyḗtes       	wr̥ǵyóytām      	
work	active	1     	plural   	wr̥ǵyómos         	wr̥ǵyóme       	—	wr̥ǵyṓmos       	wr̥ǵyóyme       	
work	active	2     	plural   	wr̥ǵyéte          	wr̥ǵyéte       	wr̥ǵyéte     	wr̥ǵyḗte        	wr̥ǵyóyte       	
work	active	3     	plural   	wr̥ǵyónti         	wr̥ǵyónt       	wr̥ǵyóntu    	wr̥ǵyṓnti       	wr̥ǵyóyh₁n̥t    	
work	middle	1     	singular 	wr̥ǵyóh₂er        	wr̥ǵyóh₂e      	—	wr̥ǵyṓh₂er      	wr̥ǵyóyh₂e      	
work	middle	2     	singular 	wr̥ǵyéth₂er       	wr̥ǵyéth₂e     	wr̥ǵyéso     	wr̥ǵyḗth₂er     	wr̥ǵyóyth₂e     	
work	middle	3     	singular 	wr̥ǵyétor         	wr̥ǵyéto       	—	wr̥ǵyḗtor       	wr̥ǵyóyto       	
work	middle	1     	dual     	wr̥ǵyówosdʰh₂     	wr̥ǵyówedʰh₂   	—	wr̥ǵyṓwosdʰh₂   	wr̥ǵyóywedʰh₂   	
work	middle	2     	dual     	—	—	—	—	—	
work	middle	3     	dual     	—	—	—	—	—	
work	middle	1     	plural   	wr̥ǵyómosdʰh₂     	wr̥ǵyómedʰh₂   	—	wr̥ǵyṓmosdʰh₂   	wr̥ǵyóymedʰh₂   	
work	middle	2     	plural   	wr̥ǵyédʰh₂we      	wr̥ǵyédʰh₂we   	wr̥ǵyédʰh₂we 	wr̥ǵyḗdʰh₂we    	wr̥ǵyóydʰh₂we   	
work	middle	3     	plural   	wr̥ǵyóror         	wr̥ǵyóro       	—	wr̥ǵyṓror       	wr̥ǵyóyro       	
do	active	1     	singular 	dʰédʰeh₁mi        	dʰédʰeh₁m̥     	—	dʰédʰeh₁oh₂     	dʰédʰh₁yeh₁m̥   	
do	active	2     	singular 	dʰédʰeh₁si        	dʰédʰeh₁s      	dʰédʰeh₁     	dʰédʰeh₁esi     	dʰédʰh₁yeh₁s    	
do	active	3     	singular 	dʰédʰeh₁ti        	dʰédʰeh₁t      	dʰédʰeh₁tu   	dʰédʰeh₁eti     	dʰédʰh₁yeh₁t    	
do	active	1     	dual     	dʰédʰh₁wos        	dʰédʰh₁we      	—	dʰédʰeh₁owos    	dʰédʰh₁ih₁we    	
do	active	2     	dual     	dʰédʰh₁tes        	dʰédʰh₁tom     	dʰédʰh₁tom   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tom   	
do	active	3     	dual     	dʰédʰh₁tes        	dʰédʰh₁tām     	dʰédʰh₁tām   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tām   	
do	active	1     	plural   	dʰédʰh₁mos        	dʰédʰh₁me      	—	dʰédʰeh₁omos    	dʰédʰh₁ih₁me    	
do	active	2     	plural   	dʰédʰh₁te         	dʰédʰh₁te      	dʰédʰh₁te    	dʰédʰeh₁ete     	dʰédʰh₁ih₁te    	
do	active	3     	plural   	dʰédʰh₁n̥ti       	dʰédʰh₁n̥t     	dʰédʰh₁n̥tu  	dʰédʰeh₁onti    	dʰédʰh₁ih₁n̥t   	
do	middle	1     	singular 	dʰédʰh₁h₂er       	dʰédʰh₁h₂e     	—	dʰédʰeh₁oh₂er   	dʰédʰh₁ih₁h₂e   	
do	middle	2     	singular 	dʰédʰh₁th₂er      	dʰédʰh₁th₂e    	dʰédʰh₁so    	dʰédʰeh₁eth₂er  	dʰédʰh₁ih₁th₂e  	
do	middle	3     	singular 	dʰédʰh₁tor        	dʰédʰh₁to      	—	dʰédʰeh₁etor    	dʰédʰh₁ih₁to    	
do	middle	1     	dual     	dʰédʰh₁wosdʰh₂    	dʰédʰh₁wedʰh₂  	—	dʰédʰeh₁owosdʰh₂	dʰédʰh₁ih₁wedʰh₂	
do	middle	2     	dual     	—	—	—	—	—	
do	middle	3     	dual     	—	—	—	—	—	
do	middle	1     	plural   	dʰédʰh₁mosdʰh₂    	dʰédʰh₁medʰh₂  	—	dʰédʰeh₁omosdʰh₂	dʰédʰh₁ih₁medʰh₂	
do	middle	2     	plural   	dʰédʰh₁dʰh₂we     	dʰédʰh₁dʰh₂we  	dʰédʰh₁dʰh₂we	dʰédʰeh₁edʰh₂we 	dʰédʰh₁ih₁dʰh₂we	
do	middle	3     	plural   	dʰédʰh₁ror        	dʰédʰh₁ro      	—	dʰédʰeh₁oror    	dʰédʰh₁ih₁ro    	
ask	active	1     	singular 	pr̥sḱóh₂          	pr̥sḱóm        	—	pr̥sḱṓh₂        	pr̥sḱóyh₁m̥     	
ask	active	2     	singular 	pr̥sḱési          	pr̥sḱés        	pr̥sḱé       	pr̥sḱḗsi        	pr̥sḱóys        	
ask	active	3     	singular 	pr̥sḱéti          	pr̥sḱét        	pr̥sḱétu     	pr̥sḱḗti        	pr̥sḱóyt        	
ask	active	1     	dual     	pr̥sḱówos         	pr̥sḱówe       	—	pr̥sḱṓwos       	pr̥sḱóywe       	
ask	active	2     	dual     	pr̥sḱétes         	pr̥sḱétom      	pr̥sḱétom    	pr̥sḱḗtes       	pr̥sḱóytom      	
ask	active	3     	dual     	pr̥sḱétes         	pr̥sḱétām      	pr̥sḱétām    	pr̥sḱḗtes       	pr̥sḱóytām      	
ask	active	1     	plural   	pr̥sḱómos         	pr̥sḱóme       	—	pr̥sḱṓmos       	pr̥sḱóyme       	
ask	active	2     	plural   	pr̥sḱéte          	pr̥sḱéte       	pr̥sḱéte     	pr̥sḱḗte        	pr̥sḱóyte       	
ask	active	3     	plural   	pr̥sḱónti         	pr̥sḱónt       	pr̥sḱóntu    	pr̥sḱṓnti       	pr̥sḱóyh₁n̥t    	
ask	middle	1     	singular 	pr̥sḱóh₂er        	pr̥sḱóh₂e      	—	pr̥sḱṓh₂er      	pr̥sḱóyh₂e      	
ask	middle	2     	singular 	pr̥sḱéth₂er       	pr̥sḱéth₂e     	pr̥sḱéso     	pr̥sḱḗth₂er     	pr̥sḱóyth₂e     	
ask	middle	3     	singular 	pr̥sḱétor         	pr̥sḱéto       	—	pr̥sḱḗtor       	pr̥sḱóyto       	
ask	middle	1     	dual     	pr̥sḱówosdʰh₂     	pr̥sḱówedʰh₂   	—	pr̥sḱṓwosdʰh₂   	pr̥sḱóywedʰh₂   	
ask	middle	2     	dual     	—	—	—	—	—	
ask	middle	3     	dual     	—	—	—	—	—	
ask	middle	1     	plural   	pr̥sḱómosdʰh₂     	pr̥sḱómedʰh₂   	—	pr̥sḱṓmosdʰh₂   	pr̥sḱóymedʰh₂   	
ask	middle	2     	plural   	pr̥sḱédʰh₂we      	pr̥sḱédʰh₂we   	pr̥sḱédʰh₂we 	pr̥sḱḗdʰh₂we    	pr̥sḱóydʰh₂we   	
ask	middle	3     	plural   	pr̥sḱóror         	pr̥sḱóro       	—	pr̥sḱṓror       	pr̥sḱóyro       	
stretch	active	1     	singular 	tn̥néwmi          	tn̥nḗm         	—	tn̥néwoh₂       	tn̥nuyéh₁m̥     	
stretch	active	2     	singular 	tn̥néwsi          	tn̥néws        	tn̥néw       	tn̥néwesi       	tn̥nuyéh₁s      	
stretch	active	3     	singular 	tn̥néwti          	tn̥néwt        	tn̥néwtu     	tn̥néweti       	tn̥nuyéh₁t      	
