*	*	nominative	accusative	genitive	prepositional	dative	instrumental	#	declension	gender							
job	singular	рабо́та	рабо́ту	рабо́ты	рабо́те	рабо́те	рабо́той	#	1	feminine							
bathhouse	singular	ба́ня	ба́ню	ба́ни	ба́не	ба́не	ба́ней	#	1	feminine							
book	singular	кни́га	кни́гу	кни́ги	кни́ге	кни́ге	кни́гой	#	1	feminine							
line	singular	ли́ния	ли́нию	ли́нии	ли́нии	ли́нии	ли́нией	#	1	feminine							
job	plural	рабо́ты	рабо́ты	рабо́т	рабо́тах	рабо́там	рабо́тами	#	1	feminine							
bathhouse	plural	ба́ни	ба́ни	ба́нь	ба́нях	ба́ням	ба́нями	#	1	feminine							
book	plural	кни́ги	кни́ги	книг	кни́гах	кни́гам	кни́гами	#	1	feminine							
line	plural	ли́нии	ли́нии	ли́ний	ли́ниях	ли́ниям	ли́ниями 	#	1	feminine							
movie	singular	фи́льм	фи́льм	фи́льма	фи́льме	фи́льму	фи́льмом	#	2	masculine							
writer	singular	писа́тель	писа́теля	писа́теля	писа́теле	писа́телю	писа́телем	#	2	masculine							
hero	singular	геро́й	геро́я	геро́я	геро́е	геро́ю	геро́ем	#	2	masculine							
comment	singular	коммента́рий	коммента́рий	коммента́рия	коммента́рии	коммента́рию	коммента́рием	#	2	masculine							
movie	plural	фи́льмы	фи́льмы	фи́льмов	фи́льмах	фи́льмам	фи́льмами	#	2	masculine							
writer	plural	писа́тели	писа́телей	писа́телей	писа́телях	писа́телям	писа́телями	#	2	masculine							
hero	plural	геро́и	геро́ев 	геро́ев 	геро́ях	геро́ям	геро́ями	#	2	masculine							
comment	plural	коммента́рии	коммента́рии	коммента́риев	коммента́риях	коммента́риям	коммента́риями 	#	2	masculine							
place	singular	ме́сто	ме́сто	ме́ста	ме́сте	ме́сту	ме́стом	#	2	neuter							
sea	singular	мо́ре	мо́ре	мо́ря	мо́ре	мо́рю	мо́рем	#	2	neuter							
building	singular	зда́ние	зда́ние	зда́ния	зда́нии	зда́нию	зда́нием	#	2	neuter							
place	plural	места́	места́	мест	места́х	места́м	места́ми	#	2	neuter							
sea	plural	моря́	моря́	море́й	моря́х	моря́м	моря́ми	#	2	neuter							
building	plural	зда́ния	зда́ния	зда́ний	зда́ниях	зда́ниям	зда́ниями 	#	2	neuter							
bone	singular	ко́сть 	ко́сть 	ко́сти 	ко́сти 	ко́сти 	ко́стью 	#	3	feminine							
mouse	singular	мы́шь 	мы́шь 	мы́ши 	мы́ши 	мы́ши 	мы́шью 	#	3	feminine							
name	singular	и́мя	и́мя	и́мени	и́мени	и́мени	и́менем 	#	3	feminine							
bone	plural	ко́сти	ко́сти	косте́й	костя́х	костя́м	костя́ми 	#	3	feminine							
mouse	plural	мы́ши	мыше́й	мыше́й	мыша́х	мыша́м	мыша́ми 	#	3	feminine							
name	plural	имена́	имена́	имён	имена́х	имена́м	имена́ми 	#	3	feminine							
																	
																	
																	
																	
																	
																	
																	
																	
