					nominative	accusative	genitive	prepositional	dative	instrumental			
I	1		singular		я	меня́	меня́	мне	мне	мной			
you	2		singular		ты	тебя́	тебя́	тебе́	тебе́	тобо́й			
it	3		singular	neuter	оно́	(н)его́	(н)его́	нём	(н)ему́	(н)им			
he	3		singular	masculine	он	(н)его́	(н)его́	нём	(н)ему́	(н)им			
she	3		singular	feminine	она́	(н)её	(н)её	ней	(н)ей	(н)ей			
we	1		plural		мы	нас	нас	нас	нам	на́ми			
you all	2		plural		вы	вас	вас	вас	вам	ва́ми			
they	3		plural		они́	(н)их	(н)их	них	(н)им 	(н)и́ми			
*self	reflexive		reflexive		сам 	себя́ 	себя́ 	себе́	себе́	собо́й			
this	proximal	animate	singular	masculine	э́тот	э́того	э́того	э́том	э́тому	э́тим			
this	proximal	animate	singular	neuter	э́то	э́то	э́того	э́том	э́тому	э́тим			
this	proximal	animate	singular	feminine	э́та	э́ту	э́той	э́той	э́той	э́той			
this	proximal	animate	plural		э́ти	э́тих 	э́тих 	э́тих 	э́тим	э́тими 			
this	proximal	inanimate	singular	masculine	э́тот	э́тот	э́того	э́том	э́тому	э́тим			
this	proximal	inanimate	singular	neuter	э́то	э́то	э́того	э́том	э́тому	э́тим			
this	proximal	inanimate	singular	feminine	э́та	э́ту	э́той	э́той	э́той	э́той			
this	proximal	inanimate	"plural	"		э́ти	э́ти	э́тих 	э́тих 	э́тим	э́тими 			
that	distal	animate	singular	masculine	тот	того́	того́	том	тому́	тем			
that	distal	animate	singular	neuter	то	то	того́	том	тому́	тем			
that	distal	animate	singular	feminine	та	ту	той	той	той	той			
that	distal	animate	"plural	"		те	тех 	тех 	тех 	тем	те́ми 			
that	distal	inanimate	singular	masculine	тот	тот	того́	том	тому́	тем			
that	distal	inanimate	singular	neuter	то	то	того́	том	тому́	тем			
that	distal	inanimate	singular	feminine	та	ту	той	той	той	той			
that	distal	inanimate	"plural	"		те	те	тех 	тех 	тем	те́ми 			
who	interrogative				кто	кого́	кого́	кому́	кем	ком			
what	interrogative				что	что	чего́	чему́	чем	чём 			
													
													
													
													
													
													
