woman	case     \     number	singular	plural
woman	nominative	γυναίκα •	γυναίκες •
woman	genitive	γυναίκας •	γυναικών •
woman	accusative	γυναίκα •	γυναίκες •
woman	vocative	γυναίκα •	γυναίκες •
work	case     \     number	singular	plural
work	nominative	εργασία •	εργασίες •
work	genitive	εργασίας •	εργασιών •
work	accusative	εργασία •	εργασίες •
work	vocative	εργασία •	εργασίες •
