*	*	*	*	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek	greek
*	*	*	*	indicative	subjunctive	optative	imperative	indicative	indicative	—	indicative	subjunctive	optative	imperative	indicative	subjunctive	optative	imperative	indicative	indicative	optative
*	*	*	*	present	present	present	present	past	future	future	past	past	past	past	present	present	present	present	past	future	future
release	active	3	dual	λῡ́ετον 	λῡ́ητον 	λῡοίτην 	λῡέτων 	λῡέτην 	λῡ́σετον 	λῡσοίτην 	λῡσᾰ́την 	λῡ́σητον 	λῡσείτην 	λῡσᾰ́των 	λελῠ́κᾰτον 	λελῠ́κητον 	λελῠκοίτην 	λελῠκέτων 	ἐλελῠκέτην 	—	—
release	active	1	plural	λῡ́ομεν 	λῡ́ωμεν 	λῡ́οιμεν 	—	λῡ́ομεν 	λῡ́σομεν 	λῡ́σοιμεν 	λῡ́σᾰμεν 	λῡ́σωμεν 	λῡσεῖμεν 	—	λελῠ́κᾰμεν 	λελῠ́κωμεν 	λελῠ́κοιμεν 	—	ἐλελῠ́κεμεν 	λελυκότες ἐσόμεθα	—
release	active	2	plural	λῡ́ετε 	λῡ́ητε 	λῡ́οιτε 	λῡ́ετε 	λῡ́ετε 	λῡ́σετε 	λῡ́σοιτε 	λῡ́σᾰτε 	λῡ́σητε 	λῡσεῖτε 	λῡ́σᾰτε 	λελῠ́κᾰτε 	λελῠ́κητε 	λελῠ́κοιτε 	λελῠ́κετε 	ἐλελῠ́κετε 	λελυκότες ἔσεσθε	—
release	active	3	plural	λῡ́ουσῐ(ν)	λῡ́ωσῐ(ν)	λῡ́οιεν	λῡόντων 	λῦον 	λῡ́σουσῐ(ν)	λῡ́σοιεν 	λῦσᾰν	λῡ́σωσῐ(ν)	λῡσεῖεν	λῡσᾰ́ντων	λελῠ́κᾱσῐ(ν)	λελῠ́κωσῐ(ν)	λελῠ́κοιεν	λελῠκόντων	ἐλελῠ́κεσᾰν	λελυκότες ἔσονται	—
release	middle	1	singular	λῡ́ομαι 	λῡ́ωμαι 	λῡοίμην 	—	λῡόμην 	λῡ́σομαι 	λῡσοίμην 	λῡσᾰ́μην 	λῡ́σωμαι/λῡσώμαιμῐ 	λῡσαίμην 	—	λέλῠμαι 	λελῠμένος ὦ 	λελῠμένος εἴην 	—	ἐλελῠ́μην 	*λελύσομαι	*λελυσοίμην
release	middle	2	singular	λῡ́ῃ/λῡ́ει 	λῡ́ῃ 	λῡ́οιο 	λῡ́ου 	λῡ́ου 	λῡ́σῃ/λῡ́σει 	λῡ́σοιο 	λῡ́σω 	λῡ́σηαι/λῡ́σηαι 	λῡ́σαιο 	λῦσαι 	λέλῠσαι 	λελῠμένος ᾖς 	λελῠμένος εἴης 	λέλῠσο 	ἐλέλῠσο 	*λελύσῃ/*λελύσει	*λελύσοιο
release	middle	3	singular	λῡ́εται 	λῡ́ηται 	λῡ́οιτο 	λῡέσθω 	λῡ́ετο 	λῡ́σεται 	λῡ́σοιτο 	λῡ́σᾰτο 	λῡ́σηται/λῡσήταισῐ 	λῡ́σαιτο 	λῡσᾰ́σθω 	λέλῠται 	λελῠμένος ᾖ 	λελῠμένος εἴη 	λελῠ́σθω 	ἐλέλῠτο 	*λελύσεται	*λελύσοιτο
release	middle	2	dual	λῡ́εσθον 	λῡ́ησθον 	λῡ́οισθον 	λῡ́εσθον 	λῡ́εσθον 	λῡ́σεσθον 	λῡ́σοισθον 	λῡ́σᾰσθον 	λῡ́σησθον 	λῡ́σαισθον 	λῡ́σᾰσθον 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἴητον/εἶτον 	λέλῠσθον 	ἐλέλῠσθον 	—	—
release	middle	3	dual	λῡ́εσθον 	λῡ́ησθον 	λῡοίσθην 	λῡέσθων 	λῡέσθην 	λῡ́σεσθον 	λῡσοίσθην 	λῡσᾰ́σθην 	λῡ́σησθον 	λῡσαίσθην 	λῡσᾰ́σθων 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἰήτην/εἴτην 	λελῠ́σθων 	ἐλελῠ́σθην 	—	—
release	middle	1	plural	λῡόμεθᾰ 	λῡώμεθᾰ 	λῡοίμεθᾰ 	—	λῡόμε(σ)θᾰ 	λῡσόμεθᾰ 	λῡσοίμεθᾰ 	λῡσᾰ́με(σ)θᾰ 	λῡσώμε(σ)θᾰ 	λῡσαίμε(σ)θᾰ 	—	λελῠ́μεθᾰ 	λελῠμένοι ὦμεν 	λελῠμένοι εἴημεν/εἶμεν 	—	ἐλελῠ́μεθᾰ 	*λελυσόμεθα	*λελυσοίμεθα
release	middle	2	plural	λῡ́εσθε 	λῡ́ησθε 	λῡ́οισθε 	λῡ́εσθε 	λῡ́εσθε 	λῡ́σεσθε 	λῡ́σοισθε 	λῡ́σᾰσθε 	λῡ́σησθε 	λῡ́σαισθε 	λῡ́σᾰσθε 	λέλῠσθε 	λελῠμένοι ἦτε 	λελῠμένοι εἴητε/εἶτε 	λέλῠσθε 	ἐλέλῠσθε 	*λελύσεσθε	*λελύσοισθε
release	middle	3	plural	λῡ́ονται	λῡ́ωνται	λῡ́οιντο	λῡέσθων 	λῡ́οντο 	λῡ́σονται	λῡ́σοιντο 	λῡ́σᾰντο	λῡ́σωνται	λῡσαίᾰτο	λῡσᾰ́σθων	λέλῠνται	λελῠμένοι ὦσῐ(ν)	λελῠμένοι εἴησᾰν/εἶεν	λελῠ́σθων 	ἐλέλῠντο 	*λελύσονται	*λελύσοιντο
release	passive	1	singular	λῡ́ομαι 	λῡ́ωμαι 	λῡοίμην 	—	λῡόμην 	λῠθήσομαι 	λῠθησοίμην 	λῠ́μην/λῠ́θην 	λῠθῶ/λῠθῶμῐ 	λῠθείην 	—	λέλῠμαι 	λελῠμένος ὦ 	λελῠμένος εἴην 	—	ἐλελῠ́μην 	*λελύσομαι	*λελυσοίμην
release	passive	2	singular	λῡ́ῃ/λῡ́ει 	λῡ́ῃ 	λῡ́οιο 	λῡ́ου 	λῡ́ου 	λῠθήσῃ 	λῠθήσοιο 	λῠ́θης 	λῠθῇς/λῠθῇσθᾰ 	λῠθείης 	λῠ́θητῐ 	λέλῠσαι 	λελῠμένος ᾖς 	λελῠμένος εἴης 	λέλῠσο 	ἐλέλῠσο 	*λελύσῃ/*λελύσει	*λελύσοιο
release	passive	3	singular	λῡ́εται 	λῡ́ηται 	λῡ́οιτο 	λῡέσθω 	λῡ́ετο 	λῠθήσεται 	λῠθήσοιτο 	λῠ́θη/λῠ́το/λῦτο 	λῠθῇ/λῠθῇσῐ 	λῠθείη 	λῠθήτω 	λέλῠται 	λελῠμένος ᾖ 	λελῠμένος εἴη 	λελῠ́σθω 	ἐλέλῠτο 	*λελύσεται	*λελύσοιτο
release	passive	2	dual	λῡ́εσθον 	λῡ́ησθον 	λῡ́οισθον 	λῡ́εσθον 	λῡ́εσθον 	λῠθήσεσθον 	λῠθήσοισθον 	λῠ́θητον 	λῠθῆτον 	λῠθεῖτον/λῠθείητον 	λῠ́θητον 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἴητον/εἶτον 	λέλῠσθον 	ἐλέλῠσθον 	—	—
release	passive	3	dual	λῡ́εσθον 	λῡ́ησθον 	λῡοίσθην 	λῡέσθων 	λῡέσθην 	λῠθήσεσθον 	λῠθησοίσθην 	λῠθήτην 	λῠθῆτον 	λῠθείτην/λῠθειήτην 	λῠθήτων 	λέλῠσθον 	λελῠμένω ἦτον 	λελῠμένω εἰήτην/εἴτην 	λελῠ́σθων 	ἐλελῠ́σθην 	—	—
release	passive	1	plural	λῡόμεθᾰ 	λῡώμεθᾰ 	λῡοίμεθᾰ 	—	λῡόμε(σ)θᾰ 	λῠθησόμεθᾰ 	λῠθησοίμεθᾰ 	λῠ́θημεν 	λῠθῶμεν 	λῠθεῖμεν/λῠθείημεν 	—	λελῠ́μεθᾰ 	λελῠμένοι ὦμεν 	λελῠμένοι εἴημεν/εἶμεν 	—	ἐλελῠ́μεθᾰ 	*λελυσόμεθα	*λελυσοίμεθα
release	passive	2	plural	λῡ́εσθε 	λῡ́ησθε 	λῡ́οισθε 	λῡ́εσθε 	λῡ́εσθε 	λῠθήσεσθε 	λῠθήσοισθε 	λῠ́θητε 	λῠθῆτε 	λῠθεῖτε/λῠθείητε 	λῠ́θητε 	λέλῠσθε 	λελῠμένοι ἦτε 	λελῠμένοι εἴητε/εἶτε 	λέλῠσθε 	ἐλέλῠσθε 	*λελύσεσθε	*λελύσοισθε
release	passive	3	plural	λῡ́ονται	λῡ́ωνται	λῡ́οιντο	λῡέσθων 	λῡ́οντο 	λῠθήσονται	λῠθήσοιντο 	λῠ́θησᾰν/λῠ́θεν/λύντο	λῠθῶσῐ(ν)	λῠ́θειεν/λῠθείησᾰν	λῠθέντων 	λέλῠνται	λελῠμένοι ὦσῐ(ν)	λελῠμένοι εἴησᾰν/εἶεν	λελῠ́σθων 	ἐλέλῠντο 	*λελύσονται	*λελύσοιντο
