person→		1	2	3		1	2	3			
move	old-english	move	move	moves	move	moved	moved	moved	moved	moved	moving
think	old-english	think	think	thinks	think	thought	thought	thought	thought	thought	thinking
point out	proto-indo-european	point out	point out	points out	point out	pointed out	pointed out	pointed out	pointed out	pointed out	pointing out
set down	proto-indo-european	set down	set down	sets down	set down	seated	seated	seated	seated	seated	setting down
be red	proto-indo-european	am red	are red	is red	are red	was red	were red	was red	were red	been made red	being red
want to see	proto-indo-european	want to see	want to see	wants to see	want to see	wanted to see	wanted to see	wanted to see	wanted to see	wanted seen	wanting to see
pass for	russian	pass for	pass for	passes for	pass for	passed for	passed for	passed for	passed for	passed for	passing for
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
