voice	aspect	tense	lookup	template	
active	aorist	present		{verb|present} {argument} 	
active	aorist	past		{verb|past} {argument} 	
active	aorist	future		will {verb|infinitive} {argument} 	
active	imperfect	present		{be|present} {verb|imperfect} {argument} 	
active	imperfect	past		{be|past} {verb|imperfect} {argument} 	
active	imperfect	future		will be {verb|imperfect} {argument} 	
active	perfect	present		{have|present} {verb|perfect} {argument} 	
active	perfect	past		{have|past} {verb|perfect} {argument} 	
active	perfect	future		will have {verb|perfect} {argument} 	
active	perfect-progressive	present		{have|present} been {verb|imperfect} {argument} 	
active	perfect-progressive	past		{have|past} been {verb|imperfect} {argument} 	
active	perfect-progressive	future		will have been {verb|imperfect} {argument} 	
active	aorist	present	infinitive	{verb|infinitive} {argument} [right now]	
active	aorist	past	infinitive	{verb|infinitive} {argument} [back then]	
active	aorist	future	infinitive	{verb|infinitive} {argument} [by then]	
active	imperfect	present	infinitive	be {verb|imperfect} {argument} [right now]	
active	imperfect	past	infinitive	be {verb|imperfect} {argument} [back then]	
active	imperfect	future	infinitive	be {verb|imperfect} {argument} [by then]	
active	perfect	present	infinitive	have {verb|perfect} {argument} [right now]	
active	perfect	past	infinitive	have {verb|perfect} {argument} [back then]	
active	perfect	future	infinitive	have {verb|perfect} {argument} [by then]	
active	perfect-progressive	present	infinitive	have been {verb|imperfect} {argument} [just now]	
active	perfect-progressive	past	infinitive	have been {verb|imperfect} {argument} [back then]	
active	perfect-progressive	future	infinitive	have been {verb|imperfect} {argument} [by then]	
passive	aorist	present		{be|present} {verb|perfect} {argument} 	
passive	aorist	past		{be|past} {verb|perfect} {argument} 	
passive	aorist	future		will be {verb|perfect} {argument} 	
passive	imperfect	present		{be|present} being {verb|perfect} {argument} 	
passive	imperfect	past		{be|past} being {verb|perfect} {argument} 	
passive	imperfect	future		will be [occasionally] {verb|perfect} {argument} 	
passive	perfect	present		{have|present} been {verb|perfect} {argument} 	
passive	perfect	past		{have|past} been {verb|perfect} {argument} 	
passive	perfect	future		will have been {verb|perfect} {argument} 	
passive	perfect-progressive	present		{have|present} been [occasionally] {verb|perfect} {argument} 	
passive	perfect-progressive	past		{have|past} been [occasionally] {verb|perfect} {argument} 	
passive	perfect-progressive	future		will have been [occasionally] {verb|perfect} {argument} 	
passive	aorist	present	infinitive	be {verb|perfect} {argument} [right now]	
passive	aorist	past	infinitive	be {verb|perfect} {argument} [back then]	
passive	aorist	future	infinitive	be {verb|perfect} {argument} [by then]	
passive	imperfect	present	infinitive	be [occasionally] {verb|perfect} {argument} [right now]	
passive	imperfect	past	infinitive	be [occasionally] {verb|perfect} {argument} [back then]	
passive	imperfect	future	infinitive	be [occasionally] {verb|perfect} {argument} [by then]	
passive	perfect	present	infinitive	have been {verb|perfect} {argument} [just now]	
passive	perfect	past	infinitive	have been {verb|perfect} {argument} [back then]	
passive	perfect	future	infinitive	have been {verb|perfect} {argument} [by then]	
passive	perfect-progressive	present	infinitive	have been [occasionally] {verb|perfect} {argument} [just now]	
passive	perfect-progressive	past	infinitive	have been [occasionally] {verb|perfect}  {argument} [back then]	
passive	perfect-progressive	future	infinitive	have been [occasionally] {verb|perfect} {argument} [by then]	
middle	aorist	present		[{be|present}] {verb|perfect} {argument} 	
middle	aorist	past		[{be|past}] {verb|perfect} {argument} 	
middle	aorist	future		will [be] {verb|perfect} {argument} 	
middle	imperfect	present		{be|present} [being] {verb|perfect} {argument} 	
middle	imperfect	past		{be|past} [being] {verb|perfect} {argument} 	
middle	imperfect	future		will [be [occasionally]] {verb|perfect} {argument} 	
middle	perfect	present		{have|present} [been] {verb|perfect} {argument} 	
middle	perfect	past		{have|past} [been] {verb|perfect} {argument} 	
middle	perfect	future		will have [been] {verb|perfect} {argument} 	
middle	perfect-progressive	present		{have|present} [been occasionally] {verb|perfect} {argument} 	
middle	perfect-progressive	past		{have|past} [been occasionally] {verb|perfect} {argument} 	
middle	perfect-progressive	future		will have [been occasionally] {verb|perfect} {argument} 	
middle	aorist	present	infinitive	[be] {verb|perfect} {argument} [right now]	
middle	aorist	past	infinitive	[be] {verb|perfect} {argument} [back then]	
middle	aorist	future	infinitive	[be] {verb|perfect} {argument} [by then]	
middle	imperfect	present	infinitive	[be [occasionally]] {verb|perfect} {argument} [right now]	
middle	imperfect	past	infinitive	[be [occasionally]] {verb|perfect} {argument} [back then]	
middle	imperfect	future	infinitive	[be [occasionally]] {verb|perfect} {argument} [by then]	
middle	perfect	present	infinitive	have [been] {verb|perfect} {argument} [just now]	
middle	perfect	past	infinitive	have [been] {verb|perfect} {argument} [back then]	
middle	perfect	future	infinitive	have [been] {verb|perfect} {argument} [by then]	
middle	perfect-progressive	present	infinitive	have [been occasionally] {verb|perfect} {argument} [just now]	
middle	perfect-progressive	past	infinitive	have [been occasionally] {verb|perfect}  {argument} [back then]	
middle	perfect-progressive	future	infinitive	have [been occasionally] {verb|perfect} {argument} [by then]	
